frame1 #-0,5709963#0,9174079#3,370137#-0,5309328#0,7225621#3,372448# -0,3548091#0,1366952#3,174357#-0,7436574#-0,01243427#3,399554#-0,2871667#0,2006514#3,162422#-0,6840557#0,05540055#3,425136#-0,2606336#0,3947356#3,196501#-0,6745601#0,3204738#3,464785#-0,4045507#0,6011438#3,29802#-0,6677342#0,5807859#3,432081#-0,5110954#0,3877776#3,382996#-0,5071279#0,3208207#3,388165#-0,4442893#0,2642701#3,373725#-0,5627218#0,255109#3,403579#-0,1377997#-0,2127996#3,362736#-0,7832639#-0,2215539#3,402644#-0,03594944#-0,491904#3,392749#-0,8578442#-0,5565487#3,387816#0,06352194#-0,5642934#3,370095#-0,892783#-0,6340841#3,351536#1  
frame12 #-0,4677154#0,9027716#3,389813#-0,4740427#0,7061619#3,431803# -0,1621856#0,4349189#3,048195#-0,5890608#0,6189343#3,105981#-0,1681361#0,4122892#3,11704#-0,6084687#0,5665244#3,152497#-0,1511664#0,4451884#3,340263#-0,7744537#0,444011#3,233598#-0,2919471#0,5621936#3,475583#-0,5891922#0,5983769#3,341536#-0,4751096#0,3666794#3,425477#-0,4662851#0,2995716#3,408943#-0,3966615#0,2244062#3,4197#-0,5297199#0,2239366#3,387592#-0,1445069#-0,221872#3,392274#-0,7904496#-0,2129453#3,385423#0,006182862#-0,5279433#3,41796#-0,8609529#-0,5548069#3,384059#0,06583398#-0,5797397#3,395249#-0,9014213#-0,6168715#3,356379#1  
frame13 #-0,4555719#0,8975557#3,395554#-0,4734789#0,7059337#3,431262# -0,2022661#0,3364286#3,145514#-0,558181#0,615318#3,084124#-0,2218425#0,3014952#3,203609#-0,5897073#0,5911669#3,117344#-0,1579008#0,442579#3,357973#-0,7635057#0,4846753#3,179244#-0,297363#0,5716751#3,472234#-0,5997112#0,5324557#3,33462#-0,4700453#0,3598575#3,429997#-0,4595585#0,2910329#3,41336#-0,3897942#0,2199856#3,428898#-0,5233938#0,2152372#3,388814#-0,1427098#-0,2194635#3,390913#-0,7915883#-0,2135208#3,384705#-0,01871951#-0,5065333#3,409226#-0,8615363#-0,5551191#3,381567#0,06211229#-0,5755708#3,395867#-0,9010956#-0,618312#3,354873#1  
frame14 #-0,4530551#0,8954182#3,390808#-0,4780268#0,7055371#3,436431# -0,2688466#0,3454042#3,397946#-0,5427526#0,6363011#2,730717#-0,2883686#0,3105678#3,45588#-0,598029#0,6091821#2,917942#-0,3192933#0,4313882#3,634747#-0,6746912#0,5693355#3,125551#-0,3244678#0,6063478#3,512125#-0,5860348#0,5554512#3,338407#-0,4745651#0,3590675#3,432152#-0,4603117#0,2909307#3,414784#-0,3956149#0,2231251#3,436996#-0,5223247#0,2165122#3,387912#-0,1646408#-0,1397851#3,364537#-0,7964308#-0,2126664#3,394321#-0,03123335#-0,4942524#3,395716#-0,8625653#-0,5548697#3,385315#0,05243219#-0,562177#3,391462#-0,8991928#-0,618654#3,354581#1  
frame15 #-0,4513696#0,8944266#3,390564#-0,4775977#0,7043605#3,43805# -0,2516257#0,3416709#3,393203#-0,5527871#0,6227324#2,739467#-0,2715777#0,3060672#3,452414#-0,6013801#0,6023858#2,911501#-0,3142703#0,4259429#3,626553#-0,6733587#0,5691407#3,128126#-0,3242127#0,6100637#3,511744#-0,5840702#0,5570883#3,338362#-0,4751147#0,3585553#3,435623#-0,4602073#0,2909437#3,416918#-0,3970969#0,2246656#3,441289#-0,5206964#0,2175215#3,388072#-0,1601688#-0,1459696#3,371137#-0,7970837#-0,2124069#3,393562#0,005264618#-0,5282984#3,408124#-0,8624485#-0,5541738#3,383958#0,07459454#-0,5791266#3,391141#-0,8987057#-0,6182358#3,355298#1  
frame16 #-0,4496591#0,8852207#3,390323#-0,4776896#0,7036487#3,439265# -0,2457#0,293846#3,388415#-0,5674338#0,6083875#2,728717#-0,2759212#0,3100052#3,45137#-0,585393#0,5915835#2,806664#-0,310979#0,4269795#3,628645#-0,6285088#0,5738759#3,092629#-0,3223621#0,6104574#3,51256#-0,5840188#0,5573516#3,337816#-0,475957#0,358358#3,437636#-0,4603832#0,2911004#3,417718#-0,3975201#0,2248586#3,443308#-0,5204071#0,2175261#3,387452#-0,1598348#-0,1475979#3,373302#-0,7993162#-0,2135181#3,393052#0,006270172#-0,5302209#3,408637#-0,8625013#-0,5568185#3,386814#0,06372786#-0,5816629#3,397506#-0,895474#-0,6216708#3,358912#1  
frame17 #-0,4571338#0,8912635#3,37724#-0,477725#0,7041062#3,439169# -0,2464249#0,2999843#3,392885#-0,5715221#0,6085848#2,731824#-0,2764629#0,3127585#3,449741#-0,5918897#0,5893545#2,808572#-0,3076511#0,4311975#3,625883#-0,6244819#0,5807149#3,095489#-0,3235672#0,6115608#3,509729#-0,585044#0,5575549#3,336686#-0,4764062#0,3583418#3,438734#-0,4603011#0,2911918#3,417821#-0,3973463#0,2253369#3,443646#-0,5199057#0,2178109#3,386929#-0,1594466#-0,1475123#3,374067#-0,7995522#-0,213728#3,392755#-0,02337884#-0,5074286#3,400469#-0,8642049#-0,5565337#3,382814#0,05563366#-0,5768585#3,397503#-0,8170446#-0,597738#3,316103#1  
frame18 #-0,4595811#0,8842474#3,381739#-0,4802988#0,7037429#3,441734# -0,2414487#0,2981929#3,385878#-0,5784862#0,6113989#2,734853#-0,2756366#0,3216289#3,455371#-0,6175111#0,5967158#2,88695#-0,3029259#0,4654715#3,663354#-0,6255528#0,5816823#3,102647#-0,3245722#0,6144893#3,50605#-0,5852128#0,5576185#3,336323#-0,4771348#0,3578317#3,440203#-0,4603933#0,2911243#3,417865#-0,3974307#0,2254014#3,443506#-0,5195863#0,2181027#3,386521#-0,1592786#-0,1473647#3,374241#-0,7995499#-0,2127194#3,391945#-0,02408841#-0,5069125#3,400506#-0,8648992#-0,5506241#3,384172#0,05463122#-0,5762709#3,399293#-0,8184587#-0,5917803#3,317287#1  
frame19 #-0,4568303#0,8855342#3,390086#-0,4794573#0,703216#3,442312# -0,2280998#0,2914205#3,425011#-0,5827413#0,6117984#2,738282#-0,2790174#0,3244642#3,461093#-0,6135572#0,5937374#2,839024#-0,3033578#0,4651812#3,663918#-0,6297854#0,5807518#3,112484#-0,3253621#0,61296#3,505736#-0,5854017#0,5638261#3,33627#-0,4778992#0,35755#3,441287#-0,4605249#0,2910292#3,417902#-0,3981499#0,2257221#3,443514#-0,5194299#0,2182201#3,385851#-0,1396647#-0,214224#3,379271#-0,7997064#-0,2103227#3,391094#-0,02704917#-0,5040469#3,401115#-0,8640224#-0,5476042#3,38326#0,05649295#-0,5666766#3,388131#-0,8965452#-0,6138704#3,358787#1  
frame20 #-0,4583294#0,8836188#3,391834#-0,4784938#0,7018375#3,443427# -0,2385266#0,2802639#3,42791#-0,581214#0,6087355#2,736257#-0,2801266#0,3249671#3,462867#-0,5912692#0,5922729#2,828858#-0,3060417#0,4515546#3,655542#-0,6289755#0,5750189#3,112124#-0,3281653#0,6097106#3,504654#-0,5844043#0,5605461#3,340049#-0,4779259#0,3546111#3,444067#-0,4603478#0,2880911#3,419609#-0,3988588#0,2246637#3,444726#-0,5181425#0,2165984#3,386222#-0,1395659#-0,2153077#3,379619#-0,7997479#-0,210296#3,391189#-0,02740003#-0,5036445#3,399806#-0,8653522#-0,5467513#3,384656#0,05861839#-0,5639083#3,387135#-0,8968092#-0,6133071#3,358296#1  
frame21 #-0,4605882#0,8886188#3,397863#-0,478574#0,7018044#3,444571# -0,2420589#0,2814075#3,435539#-0,5750185#0,6006787#2,726113#-0,2802307#0,3266913#3,473246#-0,6133516#0,5796427#2,911089#-0,3078417#0,4482666#3,653356#-0,6168477#0,5266768#3,119301#-0,3283056#0,6106581#3,504715#-0,5847885#0,5601211#3,34073#-0,4782166#0,3544846#3,445598#-0,4601693#0,2881555#3,420106#-0,3985595#0,2249259#3,44495#-0,5178638#0,2167411#3,386428#-0,139588#-0,2153331#3,379547#-0,7770106#-0,1568179#3,391234#-0,02735573#-0,5029961#3,40006#-0,8655408#-0,5460526#3,38305#0,05899797#-0,5642121#3,389069#-0,8189086#-0,5878461#3,314916#1  
frame22 #-0,4613689#0,8895752#3,398055#-0,4787102#0,7026932#3,447096# -0,2469921#0,2830163#3,464432#-0,5750636#0,6006655#2,726796#-0,2828572#0,3309942#3,500652#-0,6127937#0,5799636#2,906371#-0,3083694#0,4571894#3,667467#-0,6218726#0,5593352#3,118723#-0,3290817#0,6114005#3,503319#-0,5834604#0,5594183#3,341296#-0,4781933#0,3538686#3,447009#-0,459498#0,287662#3,420325#-0,3979907#0,2251203#3,444945#-0,516414#0,2163655#3,386094#-0,159631#-0,1478256#3,382115#-0,799854#-0,2128124#3,38887#-0,02947135#-0,4974385#3,399194#-0,8644389#-0,5479139#3,378489#0,05364718#-0,5606976#3,376549#-0,9016072#-0,6141382#3,356728#1  
