frame1 #0,005349009#0,4464343#3,390595#0,003156732#0,254146#3,481866# 0,2444446#-0,248756#3,538266#-0,01187438#0,04233182#3,30321#0,251677#-0,1749915#3,567995#-0,06246692#0,0428666#3,334299#0,2733741#0,04630187#3,668443#-0,1535413#0,03219171#3,56689#0,1866108#0,2284343#3,561335#-0,1254978#0,1981984#3,41855#0,0254915#0,001623884#3,623168#0,02995845#-0,04888053#3,654182#0,1058549#-0,1062064#3,706394#-0,03459397#-0,1198126#3,670137#0,1982501#-0,3927675#3,60686#-0,09825855#-0,294176#3,392177#0,07550766#-0,5804733#3,74969#-0,1129078#-0,579424#3,39869#0,1155702#-0,6315064#3,701247#-0,0832353#-0,6509892#3,35535#1  
frame12 #0,08186549#1,007606#3,683001#0,08286522#0,7818783#3,683938# 0,1792247#0,4242124#3,379104#-0,1533001#0,5780306#3,594153#0,1924387#0,4206065#3,409698#-0,154342#0,5861968#3,606667#0,2891774#0,5138746#3,531832#-0,2536882#0,6333652#3,818734#0,2108193#0,6610546#3,658646#-0,07534523#0,7648416#3,765067#0,04776721#0,435573#3,734377#0,04113098#0,3665148#3,74753#0,09977228#0,2853088#3,741475#-0,02966514#0,3110684#3,772791#0,1067092#-0,2102516#3,749343#-0,08004107#-0,1778123#3,648951#0,08217292#-0,5488207#3,799003#-0,1134751#-0,5439003#3,574057#0,1003281#-0,6322501#3,748742#-0,1050087#-0,6277617#3,517116#1  
frame13 #0,08219258#1,007272#3,685505#0,08511252#0,7831958#3,685398# 0,04964548#0,4596356#3,343636#-0,199829#0,5947402#3,644648#0,1280228#0,4451326#3,386118#-0,2052749#0,5799531#3,617199#0,2811875#0,5081367#3,531317#-0,1938197#0,5914159#3,8025#0,2109126#0,6745414#3,665454#-0,07197066#0,741332#3,765079#0,04858123#0,4367675#3,735244#0,04166301#0,3676193#3,74831#0,09918305#0,2888604#3,741638#-0,02877106#0,3118475#3,773509#0,1064566#-0,2124879#3,760862#-0,07522532#-0,1857634#3,669517#0,08133288#-0,5520545#3,79997#-0,1083803#-0,5202288#3,649236#0,1001835#-0,6319907#3,749245#-0,1370657#-0,5679724#3,57378#1  
frame14 #0,07826331#1,019277#3,709575#0,08012503#0,8074009#3,714211# 0,004808895#0,5332935#3,46191#-0,2112416#0,6068237#3,70408#0,09025797#0,5160678#3,483379#-0,2172229#0,6309#3,661815#0,2688218#0,5080627#3,543319#-0,2005226#0,6318043#3,847207#0,2088227#0,688508#3,677924#-0,07740482#0,770128#3,809521#0,04469812#0,4600155#3,744478#0,03736126#0,3911185#3,754869#0,09094601#0,3161691#3,744634#-0,0313639#0,3277102#3,777652#0,1127442#-0,1942221#3,788576#-0,07198648#-0,1561106#3,728265#0,08976235#-0,5558903#3,813321#-0,09093007#-0,5246001#3,776255#0,09922158#-0,6310294#3,756912#-0,1015395#-0,6235772#3,737774#1  
frame15 #0,07847571#1,02079#3,715404#0,07738262#0,8097945#3,720279# 0,005853295#0,5537115#3,521879#-0,2095414#0,6048769#3,70308#0,09033792#0,5254555#3,509168#-0,207526#0,61941#3,661911#0,2630524#0,5094245#3,550419#-0,2000992#0,6314666#3,847617#0,2087617#0,6891051#3,679525#-0,07696433#0,7699034#3,810083#0,04381365#0,460006#3,746852#0,0368239#0,3908036#3,756398#0,09085913#0,3159089#3,745139#-0,03175258#0,3278515#3,778881#0,1137359#-0,1970274#3,795702#-0,06723249#-0,1879397#3,748711#0,0912963#-0,5548275#3,813024#-0,09778922#-0,5165381#3,805183#0,1008171#-0,6303285#3,749661#-0,09920569#-0,6207329#3,777728#1  
frame16 #0,07349056#1,029041#3,728564#0,07627271#0,80954#3,722501# -0,005393609#0,5663424#3,531693#-0,2222605#0,5522636#3,666113#0,07270055#0,5269406#3,512183#-0,203565#0,6145648#3,67864#0,2427112#0,5085513#3,555913#-0,2004181#0,6383623#3,863384#0,2031937#0,6927739#3,690115#-0,07714971#0,7774859#3,826518#0,04021066#0,461058#3,751433#0,03289717#0,3919042#3,760889#0,08729871#0,3161401#3,747612#-0,03633333#0,3310606#3,784979#0,1109821#-0,1948417#3,802559#-0,07237591#-0,1872195#3,757618#0,09999168#-0,5282406#3,808545#-0,08055133#-0,4456889#3,832754#0,10151#-0,6216277#3,754967#-0,1173871#-0,4911883#3,75968#1  
frame17 #0,07505655#1,028545#3,730958#0,07103463#0,8122365#3,731766# -0,008318305#0,5639278#3,553371#-0,2272795#0,6545507#3,631238#0,07136583#0,5254106#3,541079#-0,2005039#0,6345589#3,688206#0,2412494#0,5420529#3,584375#-0,206236#0,6381928#3,874137#0,1982859#0,6997033#3,699241#-0,08285965#0,7774121#3,837131#0,03854558#0,4622473#3,756943#0,0318227#0,3926653#3,765434#0,08697814#0,3161187#3,749487#-0,03710127#0,3318999#3,790298#0,1110835#-0,1940278#3,805208#-0,09173466#-0,1423043#3,767131#0,09729817#-0,5284799#3,8109#-0,08108901#-0,427542#3,837453#0,09630825#-0,6242468#3,763345#-0,1178233#-0,4725601#3,764861#1  
frame18 #0,07409735#1,028601#3,742045#0,06399821#0,8214021#3,756125# 0,01048465#0,5696779#3,548125#-0,1736947#0,7154297#3,641675#0,06802998#0,5373181#3,546993#-0,1970126#0,6468659#3,688802#0,2392832#0,5412814#3,584907#-0,206036#0,6381808#3,874181#0,1958572#0,7028235#3,705734#-0,08266037#0,7774066#3,837273#0,03488447#0,4615899#3,765621#0,02873892#0,3908519#3,772033#0,08492187#0,315179#3,751853#-0,03931677#0,3301389#3,797103#0,1100047#-0,1986777#3,810996#-0,09262034#-0,1432634#3,785767#0,09669992#-0,5265656#3,810345#-0,08263785#-0,4304858#3,843874#0,09223984#-0,6232463#3,766582#-0,1176561#-0,4744387#3,770574#1  
frame19 #0,07002968#1,022599#3,743313#0,06044061#0,8197832#3,768444# -0,03484398#0,6224945#3,551667#-0,1701177#0,7161887#3,665757#0,02481796#0,5945269#3,555039#-0,1835561#0,6630113#3,665093#0,2091663#0,5384684#3,581038#-0,2182838#0,6235276#3,84252#0,1933177#0,7035173#3,708007#-0,09490474#0,7628407#3,805692#0,0329823#0,4521047#3,780901#0,02744569#0,3786767#3,787162#0,0875899#0,3059341#3,764105#-0,04346369#0,3152641#3,811938#0,1103724#-0,1942579#3,814233#-0,08953032#-0,1589283#3,822323#0,09570172#-0,5322982#3,813802#-0,08474758#-0,4313899#3,855491#0,09586274#-0,6243162#3,76105#-0,1110642#-0,4757911#3,779054#1  
frame20 #0,07145555#1,025928#3,748609#0,05885055#0,8210754#3,770402# -0,02984035#0,6393218#3,565675#-0,2197139#0,6605467#3,562433#0,02977869#0,6113744#3,569044#-0,2138316#0,6520082#3,61878#0,2085179#0,5537518#3,593483#-0,1961848#0,6263927#3,800563#0,1917311#0,7050335#3,709174#-0,09272983#0,7587062#3,789063#0,0271236#0,4525717#3,787368#0,02051983#0,378739#3,794471#0,07988958#0,3045672#3,773203#-0,05165904#0,3178799#3,819937#0,109662#-0,1929011#3,817486#-0,08002132#-0,1586065#3,833579#0,09398166#-0,5346912#3,816177#-0,08754001#-0,4289255#3,8751#0,09194238#-0,6265637#3,761406#-0,109942#-0,4740552#3,7969#1  
frame21 #0,06949875#1,028936#3,769998#0,05720522#0,825288#3,778195# -0,02986139#0,6390832#3,566631#-0,1979085#0,7079855#3,619614#0,02971415#0,6111562#3,569998#-0,2220502#0,6519669#3,637609#0,2079984#0,5536222#3,594674#-0,194586#0,6318175#3,818132#0,1820092#0,7049803#3,713845#-0,093978#0,7667147#3,804576#0,02313677#0,449843#3,793802#0,01592175#0,3745128#3,800794#0,07616536#0,300881#3,776476#-0,05701873#0,3142919#3,828718#0,1074478#-0,1904051#3,819366#-0,08123553#-0,1566583#3,84515#0,09111609#-0,5305892#3,817395#-0,08436463#-0,4323575#3,88228#0,09148355#-0,6226764#3,763356#-0,1101476#-0,4771427#3,805145#1  
frame22 #0,06902296#1,040872#3,77899#0,05359228#0,8327782#3,784638# -0,02987387#0,6687139#3,574682#-0,198787#0,7712734#3,59007#0,02965862#0,640807#3,578046#-0,2191#0,7122635#3,63004#0,2079834#0,5760607#3,596894#-0,1834965#0,6231917#3,839286#0,1768175#0,7104608#3,722087#-0,09431085#0,7570404#3,808033#0,02193742#0,4466121#3,797847#0,01498671#0,3688441#3,805085#0,07578564#0,2975748#3,782759#-0,05717352#0,3108863#3,829891#0,1053015#-0,185089#3,823714#-0,0975887#-0,1510456#3,867769#0,08813392#-0,5227163#3,821201#-0,08635441#-0,4353633#3,886432#0,09001722#-0,6158793#3,769193#-0,1112859#-0,4800905#3,809046#1  
frame23 #0,07168141#1,044335#3,793231#0,05365025#0,8376676#3,790792# -0,041842#0,6801033#3,573469#-0,2326554#0,7648229#3,490813#0,01764779#0,6522164#3,576832#-0,2529684#0,705813#3,530783#0,1950567#0,5907304#3,598067#-0,2042032#0,6254727#3,743942#0,1595245#0,7219913#3,725169#-0,09365089#0,7733036#3,812916#0,02022398#0,4496811#3,805155#0,01325398#0,3716133#3,811683#0,07476591#0,3014438#3,789821#-0,06004226#0,3183667#3,837842#0,1036435#-0,1872862#3,826296#-0,08576407#-0,1565364#3,868868#0,08840081#-0,5224751#3,82195#-0,0871233#-0,435128#3,886635#0,09124427#-0,6168431#3,772599#-0,1140967#-0,4796989#3,810036#1  
frame24 #0,06829101#1,044308#3,795215#0,05569082#0,8430859#3,792049# -0,04314143#0,6807762#3,578681#-0,2351032#0,7704829#3,496985#0,01630603#0,6529092#3,582041#-0,2554162#0,711473#3,536955#0,1934348#0,5922284#3,603859#-0,206651#0,6311327#3,750111#0,1577705#0,7219797#3,732135#-0,08731964#0,7764443#3,805595#0,01523095#0,4510407#3,812105#0,005839644#0,3722147#3,820785#0,0626228#0,3044794#3,810594#-0,06659643#0,323308#3,841544#0,1040455#-0,1849286#3,828608#-0,09506567#-0,1546769#3,873817#0,09162164#-0,5292779#3,820518#-0,08452475#-0,4327898#3,894228#0,09125549#-0,6225927#3,769005#-0,1358922#-0,4851613#3,865497#1  
frame25 #0,0664747#1,044943#3,81255#0,05600005#0,8543722#3,811843# -0,04784328#0,686798#3,607809#-0,1496646#0,7174019#3,561651#0,01152552#0,6589679#3,611164#-0,1652409#0,6986115#3,612473#0,1884774#0,598507#3,633151#-0,2119698#0,6422402#3,777726#0,1528136#0,7269993#3,762293#-0,08550758#0,7807676#3,813197#0,0119171#0,455102#3,818588#0,002936991#0,3752797#3,824743#0,06146432#0,3066062#3,811337#-0,07036766#0,3282417#3,844907#0,1040855#-0,184314#3,830768#-0,1043181#-0,1496437#3,873747#0,09092447#-0,535763#3,832978#-0,09471489#-0,4372486#3,886126#0,09293443#-0,6209507#3,769466#-0,1114678#-0,4815192#3,806754#1  
frame26 #0,05699477#1,054214#3,848439#0,05481006#0,8594358#3,810869# -0,04919521#0,6899878#3,606824#-0,04658493#0,7125285#3,658803#0,01012874#0,6621786#3,610176#-0,09992673#0,6965016#3,668276#0,187182#0,6013158#3,631791#-0,2599521#0,6484206#3,709419#0,1514579#0,7300364#3,761088#-0,09068349#0,7867415#3,803679#0,01147567#0,4561764#3,818967#0,002636518#0,3758849#3,824898#0,06008088#0,308993#3,813195#-0,06985544#0,3286958#3,843678#0,08856081#-0,2004179#3,843724#-0,106971#-0,1479312#3,873272#0,08942514#-0,5364016#3,833202#-0,09409884#-0,436276#3,88489#0,0915385#-0,6227206#3,771913#-0,1078896#-0,4805519#3,805346#1  
frame27 #0,03059957#1,055959#3,88476#0,02326242#0,8186855#3,840094# -0,004136961#0,7493019#3,571566#-0,1970547#0,638939#3,455082#0,05502942#0,7215666#3,57491#-0,2172471#0,6435867#3,50769#0,1460292#0,5370709#3,689372#-0,2778245#0,6575297#3,678256#0,1189643#0,6871332#3,788688#-0,1563338#0,7875295#3,848204#-0,0006305218#0,4553075#3,836585#-0,007122825#0,3804054#3,835345#0,05458535#0,3094721#3,822119#-0,07935517#0,3257615#3,847463#0,09729506#-0,1790071#3,840146#-0,1093566#-0,1479892#3,870306#0,09008919#-0,532239#3,825594#-0,09218293#-0,4360704#3,884321#0,09444148#-0,6240715#3,773524#-0,1235706#-0,5038266#3,861459#1  
frame28 #0,02889147#1,055211#3,882689#0,004434715#0,8258486#3,832479# -0,01956552#0,759078#3,559203#-0,029129#0,827988#3,480599#0,03950948#0,7313856#3,562541#-0,08490662#0,7505363#3,540907#0,1312449#0,5472294#3,677629#-0,2666124#0,6560479#3,657854#0,09977394#0,6944125#3,781347#-0,1762646#0,7954846#3,841609#-0,008827132#0,4606007#3,840033#-0,0141961#0,3868526#3,840079#0,04829475#0,3165199#3,827851#-0,08333348#0,3272285#3,851043#0,09699896#-0,1885919#3,841991#-0,1124662#-0,1477451#3,867319#0,08895231#-0,5332011#3,825897#-0,09178854#-0,4356335#3,88324#0,09132446#-0,6266726#3,777331#-0,1233859#-0,503561#3,861975#1  
frame29 #0,02598045#1,052593#3,882982#-0,008276857#0,8255743#3,847025# -0,006011084#0,7575569#3,615352#-0,04009895#0,8211505#3,483934#0,05299228#0,729898#3,618687#-0,09619099#0,7439374#3,546611#0,1473505#0,5421561#3,724803#-0,2745675#0,653185#3,672557#0,08698523#0,6941328#3,796103#-0,1891631#0,7953101#3,85687#-0,01491996#0,4625543#3,847109#-0,01864787#0,3893491#3,844584#0,04625151#0,3183959#3,831063#-0,08797362#0,3283554#3,854307#0,09239194#-0,178766#3,841045#-0,1148551#-0,1436461#3,864493#0,08581717#-0,5127965#3,823507#-0,0919084#-0,4347925#3,883899#0,06944562#-0,5561734#3,744825#-0,1082799#-0,4781693#3,805217#1  
frame30 #0,01717361#1,041439#3,895145#0,004877931#0,7957685#3,87426# 0,02356815#0,769391#3,447721#-0,04162885#0,8193634#3,462633#0,1086362#0,6591613#3,557079#-0,110638#0,7253135#3,548921#0,1666536#0,5181993#3,742162#-0,2584668#0,6189413#3,702267#0,1002045#0,6643131#3,823351#-0,1757804#0,7655371#3,884154#-0,01540182#0,4576637#3,854948#-0,01988752#0,3876351#3,846752#0,04531968#0,3166656#3,832547#-0,09093586#0,3264719#3,855139#0,09074534#-0,1777121#3,84061#-0,1173636#-0,1417855#3,862037#0,08605429#-0,5150456#3,827881#-0,09182022#-0,4347578#3,88342#0,08856655#-0,6084368#3,780594#-0,1062673#-0,476815#3,803965#1  
frame31 #0,005628671#1,036837#3,900623#0,02628603#0,7905924#3,866361# 0,02728179#0,7954035#3,375614#-0,04367619#0,827335#3,394957#0,04109289#0,7751718#3,401146#-0,09351821#0,747067#3,474529#0,07819471#0,7218613#3,605373#-0,2199195#0,6560701#3,65678#0,1216123#0,659146#3,815443#-0,1543646#0,7603825#3,876238#-0,013888#0,4561505#3,859055#-0,02032221#0,387148#3,848839#0,04386427#0,3156143#3,834568#-0,09446759#0,3262115#3,858566#0,09119312#-0,177933#3,840392#-0,1195993#-0,1356263#3,858873#0,08671932#-0,517023#3,828534#-0,09265514#-0,4339108#3,88185#0,09340237#-0,6060609#3,773169#-0,1454878#-0,4925718#3,862073#1  
frame32 #-0,01693118#1,037992#3,91313#0,01652289#0,7927109#3,87277# 0,0298935#0,7953295#3,369399#0,01460833#0,7939436#3,370407#0,04215528#0,7741488#3,398423#-0,0932702#0,7428784#3,471789#0,07484399#0,7217994#3,609599#-0,2191242#0,6602467#3,658778#0,1118492#0,6612663#3,821849#-0,1641288#0,7625065#3,882643#-0,01341121#0,455139#3,864583#-0,02022378#0,3869174#3,851593#0,04387433#0,3156062#3,837154#-0,09414784#0,3258636#3,859446#0,09478982#-0,1615722#3,83932#-0,1197088#-0,1356109#3,858598#0,08632831#-0,5149139#3,826555#-0,0922076#-0,4339109#3,88128#0,09151848#-0,6063542#3,774339#-0,1443352#-0,4931274#3,862324#1  
frame33 #-0,02100051#1,040908#3,91363#-0,003786386#0,7936711#3,885468# 0,0308364#0,7993284#3,342692#0,02212797#0,7956232#3,356712#0,04703807#0,770393#3,398255#-0,09991826#0,733643#3,474895#0,06670894#0,7188703#3,618993#-0,226297#0,663435#3,667055#0,09153961#0,6622281#3,834546#-0,1844382#0,7634706#3,895339#-0,01921906#0,4579566#3,87549#-0,02584313#0,3915954#3,859462#0,0440921#0,3173835#3,840622#-0,1071407#0,3334421#3,869169#0,08439937#-0,183024#3,839673#-0,1200017#-0,1352961#3,857775#0,0870406#-0,5153731#3,825889#-0,09115495#-0,4348195#3,879897#0,09166831#-0,60703#3,773312#-0,1430282#-0,4975623#3,863052#1  
frame34 #-0,02517288#1,047332#3,911992#-0,05599768#0,8473221#3,895885# 0,02562068#0,7932532#3,35944#0,0247913#0,7943424#3,356258#0,03969766#0,7761229#3,394476#-0,06535372#0,7774145#3,474963#0,033278#0,7500303#3,622341#-0,1969295#0,7293153#3,671093#0,03932803#0,7158799#3,844964#-0,2366502#0,8171235#3,905756#-0,03383202#0,4799966#3,888125#-0,03431862#0,4074299#3,867466#0,03954529#0,3370339#3,849409#-0,1087554#0,3420707#3,873653#0,08635097#-0,187774#3,83841#-0,1194551#-0,1452054#3,859569#0,09175023#-0,5455664#3,833553#-0,09097093#-0,4345379#3,879647#0,09158876#-0,6257969#3,765002#-0,1062373#-0,4772888#3,799898#1  
frame35 #-0,02802665#1,046994#3,910877#-0,03535761#0,8234577#3,905053# -0,03113492#0,8158303#3,389781#-0,0140333#0,8031497#3,395896#0,0214291#0,7827387#3,406882#-0,1058557#0,7405273#3,486246#0,02666562#0,7432197#3,637702#-0,2300717#0,6855131#3,685968#0,0599681#0,6920155#3,854132#-0,2160101#0,7932591#3,914924#-0,03394822#0,4790804#3,891757#-0,03614227#0,4091067#3,868895#0,03705955#0,3382744#3,850984#-0,1113014#0,3456074#3,874348#0,08351972#-0,1867255#3,839553#-0,1194423#-0,1461117#3,860212#0,08709034#-0,5216844#3,832029#-0,0907931#-0,4345416#3,880138#0,09006593#-0,6111702#3,774511#-0,1052226#-0,4771789#3,799286#1  
frame36 #-0,03497912#1,042246#3,907022#-0,0347877#0,8232934#3,904741# -0,006224257#0,7996945#3,403131#-0,01498707#0,8051594#3,39695#0,08953215#0,6846226#3,533194#-0,1064621#0,740719#3,481282#0,1382286#0,5677158#3,740004#-0,2292244#0,6882575#3,683441#0,06053801#0,6918511#3,853819#-0,2154402#0,7930948#3,914611#-0,03344284#0,4781526#3,894585#-0,03632702#0,4089386#3,869045#0,03509565#0,3382832#3,852039#-0,1108929#0,3453317#3,874075#0,07506508#-0,1531532#3,840144#-0,1194108#-0,1464445#3,860515#0,08634879#-0,5221201#3,827401#-0,09160987#-0,4344966#3,884146#0,09276076#-0,6136088#3,771968#-0,1061637#-0,477442#3,802736#1  
frame37 #-0,03511909#1,042347#3,906476#-0,03826084#0,8128511#3,896272# 0,003171619#0,7983279#3,385369#-0,009623005#0,8040623#3,388478#0,03082962#0,7787538#3,406706#-0,1071743#0,7384626#3,474177#0,03240258#0,7349125#3,62715#-0,2337617#0,6806574#3,672963#0,05706485#0,6814088#3,845351#-0,2189133#0,7826524#3,906142#-0,03398598#0,4742303#3,895939#-0,0373146#0,40681#3,869277#0,03327658#0,3362889#3,853254#-0,1105499#0,3432961#3,873848#0,08708362#-0,192626#3,843126#-0,1199047#-0,1479302#3,86155#0,08811988#-0,5172338#3,83607#-0,09003828#-0,4377058#3,887469#0,08995949#-0,608383#3,779703#-0,1051728#-0,4809247#3,806289#1  
