frame1 #0,01907429#0,279753#3,485096#0,006539468#0,1199649#3,566684# 0,1697599#-0,2986884#3,363831#0,2349112#-0,04211513#3,024475#0,1656546#-0,3696635#3,414343#0,1596847#-0,09086808#3,122113#0,1477605#-0,2211722#3,665012#-0,05496789#-0,136971#3,301837#0,160301#0,06111546#3,680894#-0,1016716#0,02472068#3,446911#0,02916271#-0,1535457#3,608903#0,03368736#-0,2082478#3,620004#0,09839895#-0,2697898#3,666912#-0,01948874#-0,2861675#3,591134#0,1100496#-0,4786576#3,355411#-0,1375351#-0,3293995#3,236263#0,004369271#-0,61773#3,669893#-0,09788581#-0,6013564#3,384233#-0,02289593#-0,6906549#3,649134#-0,06269228#-0,6732588#3,39339#1  
frame12 #0,02319511#0,3020089#3,475272#0,01334541#0,1186642#3,549456# 0,2442634#-0,01548942#3,035462#0,2674914#-0,01288945#3,03925#0,21038#-0,05778044#3,35706#0,1860771#-0,06807559#3,115684#0,1836797#-0,1093341#3,608735#0,0401237#-0,09745902#3,262954#0,1623653#0,06985276#3,661121#-0,1049773#0,02279143#3,445031#0,03124709#-0,149353#3,599362#0,03490331#-0,2022559#3,611598#0,1018144#-0,2603785#3,662205#-0,02112312#-0,2854657#3,584579#0,1239322#-0,4563317#3,390608#-0,08792751#-0,3480177#3,324438#0,01446516#-0,6375492#3,648802#-0,09250446#-0,6064445#3,412778#-0,009178858#-0,6743598#3,588699#-0,07531411#-0,6601319#3,3622#1  
frame13 #0,01840077#0,3117949#3,475542#0,01390035#0,119275#3,548464# 0,2443527#-0,01553476#3,034767#0,2685021#-0,01219395#3,037957#0,2125415#-0,05801162#3,35762#0,1848#-0,06913626#3,11725#0,1896232#-0,1070621#3,609593#0,04223169#-0,09658982#3,267616#0,1638961#0,07191366#3,656992#-0,1067466#0,02383832#3,445008#0,03136563#-0,1467355#3,599219#0,03485446#-0,1992387#3,611822#0,1023507#-0,2574618#3,662354#-0,02264793#-0,2821867#3,585772#0,1246965#-0,4557098#3,393477#-0,08568204#-0,3493825#3,327143#0,01417421#-0,637532#3,64888#-0,1062134#-0,6124176#3,366757#-0,009610024#-0,6735063#3,589254#-0,07521434#-0,6732075#3,349735#1  
frame14 #0,01847911#0,3121492#3,47563#0,01464386#0,1199735#3,547545# 0,2443183#-0,01561065#3,035733#0,2422427#-0,03978329#3,074242#0,21286#-0,05727106#3,355348#0,2225235#-0,05506656#3,104128#0,190179#-0,1055149#3,606953#0,03425587#-0,09997561#3,267815#0,1642221#0,07281935#3,655738#-0,1080877#0,02560804#3,446465#0,03232826#-0,1448167#3,599044#0,03584717#-0,1972038#3,611878#0,1036431#-0,2549537#3,663072#-0,02210709#-0,281207#3,585723#0,1272956#-0,4555721#3,38808#-0,08827773#-0,3244435#3,323817#0,01278672#-0,6244247#3,614508#-0,1023588#-0,5988169#3,386369#-0,02647659#-0,6788471#3,598367#-0,08121783#-0,6610615#3,352468#1  
frame15 #0,01836048#0,3171175#3,474441#0,01462567#0,1223076#3,544694# 0,2152992#-0,1358006#3,338623#0,2657614#-0,01237481#3,028479#0,2070783#-0,1629014#3,419326#0,2122087#-0,06309533#3,11305#0,1844229#-0,1044212#3,600413#0,05266164#-0,1123751#3,303877#0,1647718#0,07301129#3,654394#-0,10885#0,02683182#3,446822#0,0329265#-0,1438154#3,598683#0,03651909#-0,1964184#3,61179#0,1050811#-0,2538428#3,663661#-0,02170997#-0,28085#3,585654#0,1264883#-0,4544131#3,394086#-0,08467828#-0,3385269#3,327183#0,01094728#-0,6325113#3,636765#-0,1041344#-0,5959485#3,386559#-0,03338446#-0,6756878#3,608959#-0,08036108#-0,6607941#3,342166#1  
frame16 #0,02052765#0,3115206#3,475644#0,01503919#0,1222492#3,544552# 0,07503595#-0,1419736#3,198733#0,2604454#-0,01783182#3,03868#0,1293365#-0,1635744#3,487988#0,208882#-0,05885691#3,100488#0,1742563#-0,148711#3,739441#0,0207651#-0,1033861#3,262262#0,1660222#0,07141382#3,652539#-0,1090515#0,02615348#3,446281#0,03405379#-0,1435011#3,599067#0,03788861#-0,1960837#3,612414#0,1069119#-0,2534353#3,664642#-0,02028392#-0,2808903#3,58648#0,1180535#-0,4503194#3,404771#-0,08530287#-0,337858#3,329626#0,01172221#-0,6133631#3,631556#-0,1038674#-0,5957352#3,386596#0,0543475#-0,6532269#3,578635#-0,0806819#-0,6609054#3,342009#1  
frame17 #0,02516666#0,3040316#3,47458#0,01464547#0,1216906#3,542819# 0,1557991#-0,3124272#3,45096#0,2693571#-0,01801431#3,030378#0,191933#-0,3400391#3,642864#0,2074301#-0,05925648#3,100765#0,1765378#-0,1481139#3,739137#0,02102295#-0,1041998#3,264065#0,1673698#0,0704212#3,649768#-0,1085567#0,02600002#3,447318#0,03560793#-0,1448362#3,598929#0,04027393#-0,1980503#3,612699#0,1106871#-0,2553669#3,666093#-0,01701541#-0,2839399#3,586734#0,109001#-0,4338525#3,425919#-0,09884349#-0,3191581#3,325882#0,01048422#-0,6165249#3,641262#-0,103075#-0,5972624#3,386843#0,0521091#-0,656046#3,588439#-0,08275968#-0,6609184#3,349324#1  
frame18 #0,02408497#0,3049337#3,47625#0,01711802#0,1222918#3,536902# 0,1454292#-0,3083962#3,447872#0,2639032#-0,02303575#3,029328#0,1815631#-0,3360081#3,639776#0,2094208#-0,0604033#3,09886#0,1830916#-0,1404407#3,750797#0,03526047#-0,1034412#3,276271#0,1693777#0,07112812#3,649347#-0,1094352#0,02554483#3,446982#0,03610049#-0,1439585#3,59847#0,04057181#-0,1971172#3,612652#0,1113828#-0,252982#3,665746#-0,0174669#-0,283269#3,588058#0,1118628#-0,4426916#3,408937#-0,1008271#-0,3201849#3,323352#0,01135027#-0,6226317#3,668479#-0,10473#-0,5951682#3,385087#0,05217426#-0,6623207#3,61638#-0,08257905#-0,6572514#3,339004#1  
frame19 #0,0241311#0,3046818#3,475889#0,01674276#0,1217741#3,536958# 0,1500525#-0,3164656#3,407958#0,271237#-0,02396072#3,026076#0,1861863#-0,3440776#3,599861#0,2108021#-0,06384163#3,096376#0,1824921#-0,1426715#3,748018#0,03703646#-0,1012895#3,275351#0,1704473#0,0696668#3,647996#-0,1092847#0,02568885#3,445988#0,03623128#-0,1435867#3,598362#0,04078009#-0,1964212#3,612556#0,1114422#-0,2531217#3,665853#-0,01690209#-0,2819665#3,587841#0,1152502#-0,444334#3,40503#-0,1028343#-0,3194632#3,319859#0,00909169#-0,6304221#3,655888#-0,1048939#-0,5951604#3,385203#0,0493887#-0,6697411#3,604132#-0,08099912#-0,6576815#3,34287#1  
frame20 #0,02516282#0,3026718#3,474595#0,01627047#0,1197332#3,536088# 0,1519368#-0,3150028#3,412227#0,2683511#-0,02803236#3,026927#0,1880707#-0,3426147#3,604131#0,2048529#-0,06708533#3,102348#0,1818919#-0,1449608#3,744217#0,04081866#-0,1125749#3,288826#0,1712902#0,06928964#3,647663#-0,1091152#0,02518198#3,445572#0,03659259#-0,1437082#3,59795#0,0411664#-0,1963873#3,612248#0,1119967#-0,2535936#3,666216#-0,01610788#-0,2824803#3,586873#0,113945#-0,444747#3,405844#-0,09678645#-0,3008907#3,311298#0,009479027#-0,6310512#3,646187#-0,1041266#-0,5952614#3,384934#-0,007831993#-0,6503273#3,561318#-0,08037958#-0,6590509#3,346896#1  
frame21 #0,02547566#0,298258#3,475627#0,01614572#0,119087#3,535925# 0,1520022#-0,3143737#3,414604#0,2649713#-0,03403195#3,021379#0,1881362#-0,3419856#3,606508#0,1895023#-0,06823152#3,073979#0,1830603#-0,1442706#3,745591#0,02368941#-0,1004131#3,261575#0,1723403#0,06899455#3,647527#-0,1088537#0,02476501#3,445676#0,03714645#-0,1440215#3,597567#0,0417995#-0,1966299#3,611909#0,1128932#-0,2548961#3,666156#-0,01510455#-0,2829459#3,586365#0,1106184#-0,4445603#3,406163#-0,1163462#-0,3321117#3,318385#0,005379017#-0,6332087#3,646472#-0,08752276#-0,6040224#3,410542#0,03436162#-0,6053253#3,566577#-0,07775678#-0,6608039#3,349662#1  
frame22 #0,03257167#0,2852103#3,469767#0,01689472#0,1143422#3,536059# 0,1554112#-0,3089027#3,384605#0,2650924#-0,03792023#3,020894#0,191545#-0,3365147#3,576509#0,1563102#-0,1139741#3,122339#0,1706662#-0,156897#3,728189#0,03469406#-0,1225603#3,292361#0,1740262#0,06425421#3,646101#-0,1088594#0,02407174#3,445661#0,03884301#-0,1464812#3,597528#0,04352311#-0,1987344#3,611993#0,1151781#-0,2596707#3,665078#-0,01330887#-0,2840612#3,587678#0,1119466#-0,446018#3,402138#-0,09964613#-0,4564166#3,39539#0,006790199#-0,6317061#3,645012#-0,08769275#-0,6002342#3,402267#-0,01294981#-0,6557163#3,587113#-0,07712334#-0,6607172#3,349633#1  
frame23 #0,02158933#0,2956871#3,453481#0,0158513#0,1121406#3,532508# 0,1671467#-0,2850674#3,48228#0,2624962#-0,04724071#3,016282#0,1827668#-0,2970035#3,565236#0,1643205#-0,113665#3,105846#0,1880435#-0,1372521#3,760252#0,02528679#-0,1176466#3,277913#0,1736525#0,06436457#3,644886#-0,1094199#0,02344792#3,445487#0,03799065#-0,1486757#3,595412#0,0426484#-0,2008645#3,610265#0,1139851#-0,261794#3,663638#-0,01429202#-0,2855367#3,586704#0,1112819#-0,4460438#3,401815#-0,1168553#-0,513278#3,40662#0,009530844#-0,6279234#3,64012#-0,07860534#-0,5998049#3,407187#-0,01310518#-0,6555247#3,585351#-0,07540026#-0,6604211#3,349721#1  
frame24 #0,02952291#0,2892428#3,451646#0,01624621#0,108277#3,527527# 0,08202501#-0,147135#3,150721#0,2676319#-0,05274557#3,004184#0,1963285#-0,2128328#3,596221#0,1852089#-0,1061163#3,075916#0,2407967#-0,06501555#3,795382#0,02680285#-0,1101443#3,271644#0,1711764#0,06407441#3,636488#-0,1098331#0,02250995#3,444619#0,03669771#-0,1501174#3,59363#0,04107798#-0,2020268#3,608926#0,110976#-0,2628782#3,662678#-0,0160181#-0,2862768#3,585974#0,1065219#-0,4510826#3,395037#-0,09158356#-0,4570328#3,400582#0,008304778#-0,6281464#3,641325#-0,07881673#-0,6004105#3,408445#0,05978203#-0,6681129#3,632539#-0,07498938#-0,6603085#3,349345#1  
frame25 #0,03059588#0,2886469#3,450531#0,01310911#0,1057061#3,521734# 0,1109347#-0,1523911#3,145694#0,2705569#-0,05847991#3,004793#0,1457144#-0,2242785#3,359115#0,1255476#-0,161085#3,112667#0,191558#-0,1124509#3,580996#0,009220257#-0,1000344#3,246192#0,1730825#0,06448366#3,628216#-0,1131816#0,02077297#3,439379#0,03619361#-0,1502573#3,593426#0,04068501#-0,2020256#3,609047#0,1108022#-0,2627458#3,664095#-0,01725223#-0,2870489#3,587182#0,1044456#-0,4510959#3,393664#-0,08791076#-0,5113037#3,40168#0,007974437#-0,6273698#3,650326#-0,07133838#-0,5992895#3,437558#-0,02808123#-0,653147#3,601419#-0,07419322#-0,6500503#3,364146#1  
frame26 #0,02757901#0,2881162#3,447176#0,01166479#0,1026578#3,511806# 0,1132579#-0,1537327#3,144277#0,2853512#-0,06704154#3,010684#0,1429816#-0,2243364#3,360529#0,1868318#-0,104877#3,060943#0,1918521#-0,1114557#3,58061#0,009850189#-0,09874739#3,23779#0,1662052#0,06580431#3,6128#-0,1158097#0,01808589#3,430687#0,03201556#-0,1522188#3,582031#0,03620007#-0,2033876#3,598547#0,1069973#-0,2633733#3,658154#-0,02289416#-0,2896944#3,57403#0,1023516#-0,4508401#3,393507#-0,0924098#-0,5127846#3,400612#0,01820073#-0,6145383#3,627638#-0,06701268#-0,6011826#3,42946#-0,02580502#-0,6566822#3,602#-0,07310732#-0,6538249#3,357414#1  
frame27 #0,02535678#0,2864975#3,439734#0,009843636#0,103435#3,509003# 0,108461#-0,1556542#3,118043#0,2851228#-0,06785084#3,010609#0,173941#-0,2248153#3,569798#0,1908341#-0,1048729#3,056209#0,2202411#-0,0757829#3,765913#0,005596548#-0,09505238#3,222857#0,161567#0,07066047#3,604248#-0,1161292#0,01824224#3,420218#0,02916449#-0,151696#3,582602#0,03262784#-0,2027788#3,599976#0,09928297#-0,2607605#3,659661#-0,02629416#-0,2878388#3,578485#0,09908739#-0,4490278#3,395798#-0,07444258#-0,4599951#3,402758#0,01859306#-0,6140104#3,628493#-0,07284396#-0,5963776#3,416737#0,03440075#-0,650807#3,680836#-0,07204611#-0,6583799#3,36093#1  
frame28 #0,02303433#0,2931196#3,433392#0,008570337#0,1097329#3,507322# 0,1295953#-0,1448638#3,124619#0,2839766#-0,06853177#3,010858#0,173376#-0,2141874#3,557353#0,1343597#-0,1216602#3,082787#0,2095895#-0,05719694#3,748089#0,01265464#-0,07740454#3,216449#0,1534355#0,08146022#3,579495#-0,114376#0,02748042#3,414218#0,02470591#-0,1459512#3,579368#0,02756835#-0,1970739#3,596343#0,09191078#-0,2523449#3,652799#-0,03190582#-0,2791516#3,574244#0,09527633#-0,4440901#3,397984#-0,09468229#-0,432346#3,348688#0,01865019#-0,6140427#3,628428#-0,0768446#-0,6613374#3,423486#0,03436012#-0,6514571#3,680363#-0,07164957#-0,657833#3,357877#1  
frame29 #0,01450638#0,3474302#3,418413#-0,00385631#0,1571713#3,472395# 0,2303358#-0,3139888#3,625373#0,2939073#-0,06851454#3,015146#0,2006692#-0,2689016#3,656579#0,1579989#-0,08612192#3,075828#0,21087#-0,03994446#3,741835#0,001792997#-0,02989113#3,199596#0,152326#0,1019901#3,577145#-0,1210315#0,07701904#3,398325#0,009436562#-0,09736653#3,560717#0,01209514#-0,1482741#3,581005#0,07828595#-0,1983724#3,642694#-0,04700906#-0,2332171#3,562582#0,09134707#-0,4364624#3,394032#-0,05315255#-0,4304465#3,367451#0,02173206#-0,6082226#3,621219#-0,07592625#-0,6634091#3,426828#-0,01344101#-0,6615413#3,591813#-0,07053253#-0,6590358#3,356102#1  
frame30 #0,01795755#0,3634644#3,425449#-0,003432142#0,1728078#3,469021# 0,2500326#-0,2754799#3,630792#0,2477265#-0,05212858#3,018494#0,2064435#-0,2372373#3,65336#0,1073783#-0,05420919#3,099318#0,1986571#-0,003762832#3,723404#-0,09334434#-0,0132466#3,23701#0,1555163#0,1526552#3,576029#-0,1238023#0,1146876#3,389962#-0,006587022#-0,06774035#3,56516#-0,009026596#-0,1144491#3,587894#0,05096764#-0,1623009#3,649622#-0,07611989#-0,1902389#3,576269#0,0851867#-0,4215507#3,403861#-0,04898575#-0,3957936#3,383424#0,02197002#-0,6085137#3,621271#-0,07810692#-0,6299763#3,433212#0,0003411118#-0,6675241#3,640277#-0,07064522#-0,6590356#3,356131#1  
frame31 #0,005566429#0,4057539#3,418273#-0,002232005#0,2245672#3,475548# 0,2497579#-0,2538935#3,622403#0,2517316#-0,0352056#3,026287#0,2444842#-0,1941074#3,637651#0,1140242#-0,01648569#3,08232#0,1985697#0,0411925#3,662115#-0,09295115#0,01366459#3,210987#0,1548776#0,1724097#3,571876#-0,133263#0,1569402#3,392581#-0,0131017#-0,03778585#3,568493#-0,01492295#-0,09053055#3,589926#0,04877144#-0,1472405#3,646789#-0,08515961#-0,1645958#3,58021#0,0787588#-0,4050444#3,416028#-0,05995426#-0,3568908#3,367953#0,02564536#-0,6140239#3,649817#-0,07553141#-0,6006737#3,42302#-0,01647559#-0,6466503#3,577638#-0,07171517#-0,6582151#3,354296#1  
frame32 #0,0181683#0,4573836#3,423903#-0,01153999#0,2520808#3,474845# 0,296127#-0,2711342#3,583591#0,2277844#0,0003444442#3,040533#0,2759216#-0,2080913#3,62058#0,08459505#0,02435006#3,093559#0,2078397#0,01645178#3,647021#-0,1211818#0,07750342#3,221451#0,1513965#0,2172864#3,543965#-0,1259062#0,1984738#3,41915#-0,02160852#0,002931158#3,573687#-0,02357884#-0,04617938#3,596386#0,03940285#-0,1095933#3,650909#-0,09016378#-0,1125457#3,589025#0,07192743#-0,3925806#3,426308#-0,06793364#-0,3464324#3,36541#0,01722675#-0,6176614#3,646302#-0,08441128#-0,594803#3,410254#-0,02178167#-0,6521322#3,573994#-0,07082734#-0,6592566#3,356811#1  
frame33 #0,006551668#0,4948244#3,433635#-0,009417964#0,307881#3,4755# 0,327277#-0,2557862#3,543999#0,1898378#0,03394522#3,051541#0,3002864#-0,1853296#3,578637#0,08453691#0,04920163#3,096493#0,222748#0,04156852#3,623813#-0,1230128#0,1080943#3,217359#0,1508666#0,2488671#3,542106#-0,1337342#0,2511821#3,43352#-0,02400068#0,04688384#3,574863#-0,02671592#-0,006752367#3,597324#0,03554692#-0,07601978#3,64298#-0,09629422#-0,06239117#3,599457#0,05947894#-0,3629951#3,432256#-0,08007941#-0,3328102#3,362032#0,01347228#-0,6100473#3,633462#-0,08446144#-0,5946317#3,41004#-0,02135758#-0,6531731#3,581339#-0,07137319#-0,6593915#3,357522#1  
frame34 #0,004541182#0,5464972#3,445049#-0,005116501#0,360593#3,486354# 0,3348085#-0,2390126#3,520693#0,1319324#0,06823755#3,067659#0,3075277#-0,1538263#3,547652#0,02553526#0,09882954#3,109059#0,2357627#0,07142322#3,622746#-0,184456#0,1764348#3,219336#0,1570668#0,2826215#3,547659#-0,1385273#0,2755487#3,437692#-0,02133068#0,08213288#3,587266#-0,02446662#0,02712311#3,610148#0,04026861#-0,03427435#3,647631#-0,09625332#-0,03868782#3,61651#0,05560279#-0,3452029#3,447485#-0,0823612#-0,3225209#3,365423#0,0154635#-0,6063018#3,634454#-0,08741266#-0,593739#3,402515#0,03818675#-0,6539646#3,576972#-0,07162832#-0,6598129#3,357212#1  
frame35 #0,009950441#0,5856099#3,455939#-0,003806059#0,4066536#3,516016# 0,3412903#-0,1787271#3,507011#0,1042267#0,09911552#3,104471#0,3122873#-0,1300307#3,529766#-0,01845723#0,1410282#3,144838#0,2336413#0,09981363#3,586564#-0,2302794#0,2214026#3,254597#0,1600374#0,3279146#3,546882#-0,1418836#0,333727#3,462908#-0,01643142#0,1307614#3,599112#-0,0190184#0,07503851#3,618262#0,04532134#0,0144349#3,64637#-0,08989128#0,001413519#3,625714#0,05172125#-0,3209759#3,466658#-0,08713078#-0,2937183#3,382637#0,01463462#-0,5931125#3,642407#-0,08728213#-0,5935426#3,403084#0,05573892#-0,6395593#3,707973#-0,07212491#-0,659614#3,356505#1  
frame36 #0,02018831#0,6428924#3,46473#0,01072063#0,4595647#3,522047# 0,3503096#-0,1679213#3,464179#0,06018515#0,139695#3,124795#0,3218634#-0,08672357#3,49589#-0,1071666#0,2013206#3,198943#0,230908#0,1415177#3,54861#-0,2590456#0,270769#3,287489#0,1654513#0,3803009#3,540987#-0,1510428#0,3878841#3,492065#-0,01697282#0,1698044#3,600242#-0,02210455#0,1120978#3,618632#0,04152885#0,04538979#3,64218#-0,098179#0,04007432#3,630384#0,04894358#-0,3024712#3,478756#-0,09111451#-0,2700649#3,400234#0,01370954#-0,5824208#3,64665#-0,08876869#-0,5915013#3,400739#0,02354109#-0,627629#3,583701#-0,07198735#-0,659779#3,35822#1  
frame37 #0,02550466#0,7312884#3,503984#0,01317523#0,496369#3,543459# 0,3208478#-0,0619605#3,365221#-0,08638711#0,2583534#3,26037#0,288117#0,00260821#3,407399#-0,1578828#0,2894378#3,291055#0,2197397#0,2209093#3,523059#-0,3001734#0,3780961#3,399582#0,1769144#0,4689053#3,544894#-0,1524133#0,4929467#3,538253#-0,01015672#0,2552785#3,614378#-0,01516303#0,2056703#3,630773#0,04868355#0,1296428#3,655027#-0,09351345#0,1379773#3,64248#0,04636143#-0,243278#3,52671#-0,09381413#-0,2106052#3,454564#0,01056831#-0,5386871#3,678268#-0,07663076#-0,6021645#3,443934#0,04329282#-0,6058831#3,730398#-0,07626564#-0,6577833#3,371752#1  
