frame1 #0,02850532#0,9381776#3,364701#0,04256637#0,749653#3,417599# 0,242601#0,2297474#3,218234#-0,0730325#0,4549358#3,124388#0,2128217#0,2391829#3,278424#-0,1327211#0,4473276#3,155662#0,3148455#0,4412203#3,418009#-0,16673#0,4684257#3,356333#0,1840348#0,6264088#3,36428#-0,1299183#0,6465938#3,488037#0,03034866#0,4002163#3,42853#0,01645519#0,3329156#3,40451#0,08235954#0,2528012#3,372402#-0,05891936#0,2618845#3,427031#0,07360701#-0,251687#3,17661#-0,05362082#-0,2606653#3,574863#0,05928602#-0,6091763#3,09311#0,02795775#-0,4906216#3,236536#0,03621952#-0,6723586#3,05565#-0,001934141#-0,5323611#3,161915#1  
frame14 #-0,008210726#0,9467936#3,396679#0,03850903#0,7509185#3,423152# 0,18802#0,2119382#3,261334#-0,07678282#0,5736113#3,139138#0,2246754#0,2838503#3,313658#-0,1020001#0,5437986#3,190744#0,3020218#0,4373505#3,417196#-0,1776519#0,4543603#3,358844#0,1714419#0,6303318#3,36191#-0,1364561#0,6387815#3,489099#0,02614041#0,4003911#3,432854#0,01085808#0,334005#3,407647#0,07412223#0,260136#3,375516#-0,06368397#0,2593772#3,429652#0,0680596#-0,2462712#3,185673#-0,05813405#-0,2690189#3,576819#0,06463815#-0,6062062#3,092202#0,008569479#-0,5347677#3,190274#0,03220756#-0,6700046#3,051947#-0,02396844#-0,5778941#3,113461#1  
frame15 #-0,01537425#0,9492776#3,398166#0,03617643#0,7521068#3,42402# 0,1827587#0,2121114#3,25401#-0,06579828#0,5757655#3,148358#0,2197689#0,2811967#3,310281#-0,09411205#0,5454713#3,198156#0,2990899#0,4350083#3,412135#-0,1790534#0,4545888#3,360842#0,1692705#0,6318783#3,361584#-0,1380706#0,6398282#3,494672#0,02459786#0,4013754#3,434028#0,009059609#0,3347214#3,408924#0,07224534#0,2610206#3,375663#-0,06516583#0,2593007#3,432657#0,06724257#-0,2469516#3,186982#-0,05915445#-0,268816#3,576715#0,06474456#-0,6064084#3,092849#0,008862227#-0,5346989#3,192979#0,02653582#-0,6703324#3,039554#-0,02523424#-0,5780777#3,11629#1  
frame16 #-0,03542827#0,9469262#3,410827#0,03273841#0,7568076#3,425655# 0,1771323#0,2119612#3,25594#-0,05211437#0,5573896#3,15194#0,2167657#0,2811034#3,311277#-0,08448532#0,532291#3,202196#0,2987932#0,4354238#3,409963#-0,1815982#0,4569952#3,366281#0,1657555#0,6339754#3,362535#-0,1412725#0,6361121#3,496617#0,02292637#0,4008721#3,436138#0,007194872#0,3329625#3,411617#0,0711268#0,2604323#3,377116#-0,06716968#0,2547704#3,437932#0,06720363#-0,2483955#3,189268#-0,06288661#-0,2711196#3,580996#0,06297407#-0,6082541#3,090275#0,007143959#-0,54406#3,205223#0,03045978#-0,6676022#3,045382#-0,02748588#-0,5877546#3,128319#1  
frame17 #-0,0407452#0,9524668#3,427135#0,02405363#0,7661775#3,430279# 0,2218391#0,2052585#3,242114#0,002680879#0,5735627#3,223516#0,1687542#0,2456401#3,268294#-0,04531035#0,5449439#3,256472#0,2983864#0,4370241#3,407713#-0,189284#0,4590874#3,368683#0,16088#0,6344737#3,364433#-0,1430865#0,6333015#3,506535#0,01956096#0,3978549#3,442391#0,003709688#0,3262496#3,420031#0,0686579#0,2568953#3,386807#-0,06891258#0,2488339#3,445213#0,06267051#-0,2444404#3,205634#-0,08023667#-0,2740007#3,611191#0,06413653#-0,6065978#3,092584#-0,006209686#-0,5454708#3,237268#0,02887078#-0,6636024#3,045995#-0,0422815#-0,5887375#3,162616#1  
frame18 #-0,05376802#0,939954#3,456852#0,01689482#0,7620372#3,446759# 0,1808482#0,1743689#3,249429#-0,01437957#0,5688472#3,22846#0,1704532#0,2416217#3,271332#-0,06072628#0,5415332#3,26455#0,2957736#0,4385035#3,405863#-0,1997664#0,4595913#3,386245#0,1475493#0,633377#3,371306#-0,148403#0,6201078#3,509373#0,0156395#0,3846763#3,457668#0,001253858#0,3114173#3,434041#0,06332781#0,2462528#3,398777#-0,06520425#0,2296035#3,460658#0,06227911#-0,2481303#3,210658#-0,08895263#-0,2762641#3,617416#0,06376677#-0,6079844#3,092312#-0,01570591#-0,5477583#3,245658#0,02973272#-0,6641476#3,04529#-0,05205554#-0,5912216#3,170764#1  
frame19 #-0,05903088#0,9398892#3,46249#0,01765545#0,7642137#3,460768# 0,1843982#0,1806532#3,257785#-0,01197685#0,5513371#3,271896#0,1729126#0,2468928#3,281702#-0,06527038#0,5304261#3,301509#0,2969728#0,4503757#3,403114#-0,225151#0,4676929#3,403854#0,1458613#0,6362588#3,375077#-0,1468805#0,6202067#3,519822#0,01696532#0,3829304#3,468893#0,002026482#0,3091973#3,44471#0,06196537#0,2437785#3,40858#-0,06239862#0,2272398#3,471851#0,06286696#-0,2492573#3,214001#-0,0963429#-0,2783239#3,623269#0,06376418#-0,6078681#3,092491#-0,02317701#-0,5490161#3,252942#0,02921489#-0,6647133#3,046998#-0,03699908#-0,6394532#3,196562#1  
frame20 #-0,07344301#0,9414459#3,496203#0,006770702#0,7594312#3,494367# 0,1607212#0,2186059#3,286818#0,01067722#0,5994008#3,331337#0,1962853#0,2958214#3,332387#-0,04518645#0,5730742#3,349771#0,2959191#0,450761#3,404683#-0,2127774#0,4940946#3,418636#0,1329451#0,640303#3,38825#-0,1411829#0,63173#3,57185#0,01835878#0,3832384#3,485767#0,0003799928#0,311056#3,458945#0,05905574#0,2450027#3,414322#-0,05942886#0,2294194#3,492718#0,06391563#-0,2490475#3,228731#-0,09872001#-0,2756093#3,633537#0,06444949#-0,605119#3,096557#-0,02564719#-0,5456001#3,264341#0,02783497#-0,6630769#3,048391#-0,07316399#-0,5877835#3,196509#1  
frame21 #-0,07244315#0,9169528#3,523941#-0,001327702#0,6928568#3,517453# 0,1679702#0,2152558#3,242623#0,01012876#0,6001577#3,336258#0,1664057#0,2352568#3,310754#-0,04597379#0,5735507#3,353633#0,2917989#0,4505022#3,404528#-0,2142815#0,4937297#3,419322#0,1214223#0,6427271#3,398803#-0,1415861#0,6317379#3,573353#0,01351129#0,369297#3,513004#-0,004465605#0,3057286#3,483954#0,0497696#0,2400173#3,435081#-0,05985944#0,2239769#3,518569#0,06596298#-0,252808#3,241409#-0,1000817#-0,2795769#3,647721#0,06523326#-0,6047164#3,097239#0,06717493#-0,5827047#3,349195#0,02733946#-0,6647406#3,046159#0,05246198#-0,6162635#3,248503#1  
frame22 #-0,07626303#0,9191854#3,527584#-0,001976913#0,6937723#3,51775# 0,1384589#0,2071759#3,284039#-0,007891271#0,655677#3,362779#0,1601254#0,2895702#3,328904#-0,05742486#0,6163552#3,375086#0,2844139#0,4584875#3,412613#-0,2060256#0,4983897#3,425572#0,1094995#0,6519395#3,420029#-0,1431128#0,633238#3,575566#0,01071705#0,3686801#3,523314#-0,006929957#0,3046204#3,497466#0,04569083#0,2397575#3,450208#-0,06124943#0,2211613#3,536819#0,06852255#-0,2576079#3,263638#-0,09589878#-0,2845542#3,677578#0,06464222#-0,6053966#3,098772#0,04880677#-0,5548331#3,337913#0,02273725#-0,6672712#3,043106#0,04302149#-0,5942904#3,23824#1  
frame23 #-0,08900971#0,9299594#3,574862#-0,0071254#0,7034832#3,535487# 0,1327191#0,2163124#3,294898#-0,07612601#0,6350408#3,361285#0,1579893#0,2945644#3,345333#-0,1209431#0,6012007#3,392633#0,2751237#0,4637376#3,420938#-0,2553942#0,4996805#3,500246#0,1018163#0,6587579#3,438901#-0,1497115#0,6438764#3,599452#0,009582437#0,3699341#3,546149#-0,007348103#0,304753#3,520088#0,04553542#0,2426378#3,469009#-0,06014396#0,2181182#3,560859#0,06640235#-0,2561651#3,277656#-0,09297535#-0,2863805#3,68991#0,07081059#-0,5874471#3,12614#0,04926667#-0,5530831#3,34873#0,02830881#-0,654935#3,054007#0,04085439#-0,591198#3,248527#1  
frame24 #-0,09344497#0,920743#3,587582#-0,01693624#0,7273788#3,556665# 0,1348777#0,2342377#3,325748#0,008726031#0,7237828#3,402863#0,1760696#0,3084654#3,370601#-0,05686027#0,6721559#3,427154#0,2742028#0,4673596#3,431912#-0,2536191#0,5172751#3,513603#0,1011772#0,6601788#3,454373#-0,1587351#0,6655305#3,618823#0,007776998#0,3769281#3,56257#-0,008021126#0,3098939#3,535726#0,04841442#0,2471222#3,486459#-0,06203781#0,2232677#3,575331#0,06349874#-0,2427293#3,316653#-0,09341235#-0,2866935#3,695758#0,07061467#-0,5808927#3,141353#0,04812963#-0,5518692#3,355629#0,02560611#-0,6396195#3,061907#0,002286725#-0,59554#3,285605#1  
frame25 #-0,1069329#0,9390326#3,608142#-0,02310831#0,7459105#3,57054# 0,1372465#0,2495197#3,337591#-0,119017#0,6897854#3,409032#0,1880547#0,3221539#3,373462#-0,1559514#0,6495906#3,442831#0,2669001#0,4851905#3,452629#-0,2667546#0,5290059#3,557807#0,08839403#0,6748134#3,488589#-0,165356#0,6852019#3,633661#0,002969077#0,3868975#3,581141#-0,01070442#0,317268#3,553806#0,04726513#0,2572538#3,505928#-0,06502871#0,2310275#3,594028#0,0583798#-0,2473049#3,329767#-0,09182537#-0,2905141#3,708521#0,07036306#-0,5850794#3,151616#0,04910251#-0,5543957#3,369441#0,01629794#-0,6437104#3,075676#0,04656672#-0,5933462#3,266185#1  
frame26 #-0,1102615#0,9636953#3,641092#-0,01135111#0,8165691#3,580793# 0,09820896#0,2273263#3,355897#-0,3140588#0,7205111#3,360582#0,1327346#0,3054177#3,398313#-0,269883#0,7111112#3,414673#0,2545385#0,4705542#3,463968#-0,2198924#0,5775862#3,557992#0,08964071#0,6725509#3,494397#-0,1535023#0,7554874#3,643679#-0,004597718#0,4172631#3,606548#-0,02089511#0,3390658#3,584062#0,03954891#0,2638054#3,520033#-0,0824273#0,256504#3,64458#0,04565642#-0,2493319#3,352099#-0,09230228#-0,3104253#3,723837#0,08350469#-0,6108109#3,202797#0,04795864#-0,5729709#3,386276#0,02633193#-0,6599272#3,150915#0,003082719#-0,6181687#3,314311#1  
frame27 #-0,1168602#0,9650747#3,63987#-0,01609468#0,8176353#3,588798# 0,1058723#0,2454231#3,405422#-0,2656431#0,7177345#3,345521#0,1424425#0,3257971#3,441173#-0,2225296#0,6950336#3,396354#0,253495#0,4821385#3,475279#-0,2352695#0,5888365#3,570071#0,0924115#0,6702167#3,501874#-0,1582459#0,7565536#3,651685#-0,0111801#0,4363692#3,621586#-0,02618834#0,3627994#3,605101#0,03808949#0,2717339#3,53437#-0,0932681#0,2888671#3,672827#0,02539746#-0,2594146#3,377804#-0,09447197#-0,3110823#3,726851#0,09546928#-0,6090348#3,253802#0,04526594#-0,5726194#3,390501#0,02562931#-0,6644827#3,19553#0,0004136078#-0,6190242#3,317614#1  
frame28 #-0,1016653#0,9638572#3,65499#-0,01797458#0,8057752#3,599897# 0,09913036#0,2464713#3,418337#-0,388874#0,7827836#3,546286#0,1357096#0,3272098#3,453658#-0,3246679#0,7712626#3,573094#0,2484511#0,4815307#3,484682#-0,2660761#0,5889553#3,599351#0,1007728#0,6651447#3,509975#-0,1601258#0,7446935#3,662784#-0,01250795#0,4357584#3,624253#-0,02605755#0,3628996#3,608448#0,03774695#0,2735543#3,54144#-0,09253037#0,2839379#3,675843#-0,007382597#-0,2608531#3,416401#-0,09577969#-0,3147694#3,725839#0,09140055#-0,5998507#3,290607#0,04354751#-0,5755378#3,390395#0,04173915#-0,6665057#3,281859#-0,0009475648#-0,6220733#3,316076#1  
frame29 #-0,09558211#0,9254177#3,670638#-0,01117727#0,7685747#3,642307# 0,09660107#0,2076549#3,425911#-0,3961788#0,7277649#3,832873#0,1043238#0,2774639#3,429178#-0,3746733#0,697234#3,781372#0,2461822#0,4878951#3,49034#-0,3101569#0,6056412#3,640433#0,1006922#0,664533#3,511675#-0,1533285#0,7074931#3,705194#-0,006792757#0,4295705#3,636908#-0,02416546#0,3618299#3,616642#0,03802347#0,2761869#3,548255#-0,09050152#0,2818098#3,678814#-0,01840329#-0,2611141#3,428146#-0,09489499#-0,3141787#3,731653#0,1072874#-0,5830068#3,371872#0,04370596#-0,5735879#3,39789#0,04960711#-0,6471502#3,29916#0,009661995#-0,6616934#3,360431#1  
frame30 #-0,1056908#0,9387913#3,675718#-0,02546973#0,7872002#3,687132# 0,124392#0,248226#3,39663#-0,2172619#0,8115048#3,568768#0,1078923#0,2776501#3,458127#-0,2534061#0,7945166#3,62643#0,2435949#0,4941146#3,497214#-0,3063396#0,6133505#3,659776#0,09014811#0,6602221#3,524211#-0,1676209#0,7261186#3,750019#-0,01050382#0,4500545#3,666104#-0,02937124#0,3863246#3,640592#0,03403209#0,2890314#3,552815#-0,09281223#0,2981014#3,701257#-0,05466618#-0,2404983#3,468154#-0,09577256#-0,2976069#3,742151#0,0969174#-0,5764481#3,418063#0,04249405#-0,5563903#3,409204#0,05083738#-0,6365412#3,383117#0,0164804#-0,5910787#3,513378#1  
frame31 #-0,1229846#0,9359187#3,685528#-0,0251943#0,7916499#3,689283# 0,07908216#0,2165907#3,438114#-0,2041769#0,7974505#3,554116#0,07517803#0,3113258#3,445164#-0,2367433#0,7589053#3,591662#0,236176#0,5031304#3,50829#-0,3344426#0,6432695#3,717802#0,080144#0,6685345#3,539839#-0,1673455#0,7305683#3,752169#-0,009914778#0,4489736#3,669416#-0,03008143#0,3847781#3,642023#0,03027964#0,2939219#3,561677#-0,0928636#0,2980965#3,701087#-0,07403414#-0,2486046#3,501612#0,04737149#-0,2200414#3,759991#0,08948442#-0,5676414#3,462204#-0,02661045#-0,5793345#3,612329#0,03682898#-0,6180938#3,419771#-0,04591689#-0,6554647#3,667233#1  
frame32 #-0,1301709#0,9419428#3,691406#-0,0395426#0,7970515#3,709143# 0,09734476#0,2771696#3,451533#-0,2065589#0,8352635#3,619598#0,129604#0,3642998#3,471568#-0,2406911#0,7874186#3,641068#0,2374163#0,5141225#3,519189#-0,3430877#0,643884#3,718958#0,06382663#0,6717966#3,553242#-0,1816938#0,7359699#3,77203#-0,01707421#0,4501736#3,679542#-0,03739946#0,3860518#3,648442#0,02083797#0,3020837#3,570382#-0,09735702#0,3001939#3,702755#-0,1048865#-0,2469348#3,548842#0,03425842#-0,2269793#3,746856#0,05387039#-0,5748507#3,518793#-0,03454599#-0,5734194#3,58361#-0,02089242#-0,6444383#3,499667#-0,06273#-0,6519322#3,629768#1  
frame33 #-0,1358965#0,9378679#3,689043#-0,04279372#0,8003017#3,721288# 0,0976126#0,2783619#3,448951#-0,3214645#0,7899461#3,563592#0,1301793#0,3656161#3,468395#-0,3295727#0,7592055#3,617121#0,2292786#0,519872#3,526042#-0,3538972#0,6669837#3,791198#0,05800761#0,6722459#3,562271#-0,1849449#0,73922#3,784175#-0,02145509#0,4460543#3,686485#-0,04385939#0,3812736#3,653203#0,01094598#0,3054162#3,5779#-0,1023673#0,2913672#3,701991#-0,1336841#-0,209028#3,584564#0,01848118#-0,2215164#3,742459#0,03008148#-0,5882427#3,574724#0,09094963#-0,5674543#3,625703#-0,0729482#-0,6305356#3,556998#-0,005960546#-0,6042721#3,581308#1  
frame34 #-0,1460657#0,9551822#3,752138#-0,04910567#0,8024597#3,730326# 0,08033091#0,2658588#3,396837#-0,3012761#0,8640248#3,540129#0,1057768#0,3502567#3,418294#-0,314072#0,8140758#3,606263#0,2130596#0,5257241#3,528125#-0,3524598#0,664229#3,818134#0,04418753#0,6796898#3,576694#-0,1912569#0,7413781#3,793212#-0,03310837#0,4508952#3,696777#-0,05764378#0,3875284#3,661597#-0,002490385#0,3145708#3,584575#-0,1174894#0,3001043#3,708649#-0,1378214#-0,2136163#3,610474#-0,007021541#-0,2214119#3,734313#0,00914844#-0,5915228#3,608176#0,08879672#-0,6195515#3,627131#-0,09916645#-0,6174382#3,589454#-0,008251414#-0,6564217#3,582673#1  
frame35 #-0,1458219#0,9543911#3,751255#-0,05600728#0,7981567#3,740144# 0,07736635#0,3139227#3,340057#-0,4179466#0,850693#3,550685#0,09692444#0,3645009#3,384767#-0,403048#0,8043702#3,61853#0,2071517#0,5142567#3,531224#-0,3583522#0,6654017#3,835534#0,04185727#0,6784431#3,577542#-0,1981584#0,7370751#3,803031#-0,03926311#0,4540983#3,703989#-0,06543687#0,3930939#3,667706#-0,01067347#0,3170027#3,585174#-0,122738#0,3009913#3,714461#-0,1267369#-0,2216241#3,669258#0,03508887#-0,2480473#3,7934#-0,01404231#-0,5930414#3,652916#0,07317649#-0,6021986#3,672226#-0,1231293#-0,622912#3,651229#-0,03562105#-0,6176001#3,645376#1  
frame36 #-0,1511115#0,9561915#3,750968#-0,05913838#0,8015972#3,746065# 0,0866257#0,3902071#3,297698#-0,4791087#0,829614#3,58207#0,1090636#0,4006125#3,332146#-0,4476469#0,7891896#3,647497#0,1945859#0,5130171#3,528401#-0,3532613#0,6679165#3,857243#0,0413403#0,6780121#3,577921#-0,2012895#0,7405155#3,808952#-0,04794364#0,4544452#3,710619#-0,07635339#0,3933848#3,673219#-0,02419702#0,3176695#3,593321#-0,1378839#0,3029314#3,718808#-0,1112725#-0,2349127#3,702718#0,03938756#-0,2094712#3,827125#-0,1350092#-0,5890743#3,662456#0,07331333#-0,6021802#3,672257#-0,2361323#-0,632981#3,688822#-0,03904971#-0,6136272#3,681868#1  
frame37 #-0,1555555#0,9581633#3,754347#-0,06117183#0,8040147#3,746844# 0,09295831#0,4776355#3,327557#-0,5795617#0,803422#3,674044#0,08053748#0,4881924#3,312135#-0,5202432#0,7663983#3,718647#0,1571882#0,4724545#3,492052#-0,3422876#0,6553271#3,865942#0,03589763#0,6748231#3,581053#-0,203323#0,742933#3,809731#-0,05248635#0,4533304#3,711856#-0,08235483#0,3918544#3,673365#-0,03301101#0,3162941#3,59172#-0,1437899#0,2977496#3,719679#-0,1110248#-0,2319725#3,707693#0,03926901#-0,2096419#3,827132#-0,2285114#-0,6012573#3,677208#0,0745242#-0,602135#3,6717#-0,3182537#-0,6366542#3,691446#-0,03792523#-0,6140091#3,679215#1  
