frame1 #0,1242106#0,9048679#3,467089#0,1437316#0,7331683#3,508313# 0,2983154#0,1899143#3,366228#0,1167095#0,5235344#3,293282#0,326405#0,2747288#3,402731#0,0696064#0,5045316#3,328149#0,3982995#0,4216909#3,501589#-0,07170286#0,4475229#3,445625#0,271524#0,6051812#3,436894#-0,03766307#0,6129216#3,567188#0,1371751#0,3944038#3,519964#0,1160231#0,3331532#3,477973#0,1805367#0,2584557#3,446267#0,0414025#0,2619388#3,493917#0,1458116#-0,2499546#3,211391#0,05129781#-0,2230896#3,624293#0,1737084#-0,6449145#3,136065#0,1500891#-0,5472187#3,178628#0,1229357#-0,6518686#3,064422#0,1137036#-0,5951349#3,094253#1  
frame16 #0,1175176#0,9147629#3,458972#0,1404347#0,7277926#3,507916# 0,3289912#0,2315286#3,337086#0,1208587#0,5013547#3,29401#0,3251133#0,2740863#3,39143#0,07009028#0,4889869#3,326692#0,3961025#0,4209965#3,491069#-0,08221485#0,4518833#3,437403#0,2682416#0,6074226#3,430364#-0,03567255#0,6125683#3,563361#0,137786#0,3957382#3,516307#0,1159786#0,3367611#3,470655#0,1790272#0,2640353#3,437886#0,04677929#0,265303#3,482403#0,1445248#-0,245109#3,211731#0,05232159#-0,2355179#3,636407#0,1679236#-0,5960963#3,138066#0,151129#-0,5242537#3,240426#0,1337876#-0,6575358#3,080476#0,1152846#-0,5696387#3,160687#1  
frame17 #0,1149748#0,9140058#3,461445#0,1396613#0,7278066#3,508615# 0,2694668#0,2499164#3,344848#0,1224731#0,4957779#3,292211#0,3143824#0,277687#3,390107#0,0713053#0,4844756#3,324751#0,3961477#0,4204473#3,48982#-0,08219814#0,4505688#3,435052#0,2668743#0,6072948#3,429676#-0,03611136#0,6130487#3,564207#0,1373613#0,3948576#3,516439#0,1151914#0,3357192#3,470756#0,1781641#0,26335#3,437464#0,04533098#0,2637379#3,483578#0,1438528#-0,2472647#3,209555#0,05346408#-0,2519374#3,643513#0,1676246#-0,6023337#3,137082#0,1578478#-0,5519729#3,251152#0,1339039#-0,6587878#3,079312#0,1217529#-0,5971189#3,171989#1  
frame18 #0,11442#0,916355#3,459872#0,1397199#0,7285855#3,508557# 0,2642073#0,1574032#3,345097#0,1232841#0,509336#3,298813#0,2763257#0,2318615#3,361899#0,07193087#0,4945959#3,329685#0,3946009#0,422179#3,486459#-0,08212891#0,4503754#3,43499#0,2665334#0,6072538#3,428293#-0,03620646#0,6132017#3,563739#0,1373982#0,3951057#3,51615#0,1150136#0,3359805#3,470418#0,1778792#0,2633395#3,436832#0,04475234#0,2645664#3,48346#0,1436362#-0,2474905#3,20916#0,05276104#-0,2443278#3,643417#0,1681514#-0,6057177#3,136421#0,1585656#-0,54449#3,245827#0,1331631#-0,6567531#3,077472#0,121774#-0,5902073#3,165745#1  
frame19 #0,1140436#0,916953#3,460456#0,140247#0,730188#3,509171# 0,3119853#0,2443693#3,323427#0,1239173#0,5108778#3,300709#0,3112326#0,2774721#3,38491#0,07240287#0,4957506#3,331167#0,3931471#0,4217885#3,479811#-0,08214056#0,4503688#3,435251#0,2633268#0,6071483#3,423411#-0,03646035#0,6133497#3,563077#0,1383536#0,3946809#3,515636#0,1153493#0,3352911#3,469862#0,1779897#0,2629821#3,436581#0,0450371#0,2643963#3,482944#0,1436315#-0,2478391#3,208622#0,05061668#-0,2336799#3,640657#0,1683139#-0,6038493#3,136743#0,1365117#-0,5163882#3,228615#0,132576#-0,6560854#3,072825#0,09824674#-0,5623011#3,148697#1  
frame20 #0,1105741#0,9170081#3,458503#0,1384979#0,7300231#3,506243# 0,3130575#0,2425561#3,323341#0,1252361#0,5140139#3,30453#0,3123026#0,2757531#3,385#0,07332921#0,4979039#3,333876#0,3932979#0,4217509#3,478096#-0,08239141#0,4495739#3,434638#0,2625761#0,607723#3,421759#-0,03680725#0,6137665#3,563403#0,1379137#0,3939528#3,514605#0,1146829#0,3342354#3,469183#0,1776147#0,2625916#3,436485#0,04430974#0,2633469#3,482547#0,1437138#-0,2497552#3,208753#0,05033661#-0,2337786#3,640693#0,1681495#-0,6035908#3,136362#0,1354403#-0,5149691#3,230921#0,1331716#-0,6570746#3,073393#0,09678283#-0,5608042#3,151468#1  
frame21 #0,109437#0,9168758#3,457852#0,1380242#0,7299606#3,505054# 0,2880754#0,2396376#3,321362#0,1253045#0,5142075#3,306033#0,3139759#0,2770349#3,375071#0,07305074#0,4978901#3,334756#0,3931114#0,4224815#3,471335#-0,08371067#0,448938#3,433653#0,2591353#0,609959#3,416647#-0,03828628#0,6131112#3,563191#0,1384682#0,3938933#3,512117#0,1145449#0,3343349#3,466971#0,1775642#0,2626867#3,433455#0,04407124#0,2635829#3,481127#0,1433426#-0,2500724#3,209024#0,04875578#-0,2381935#3,647476#0,1679984#-0,6019015#3,136375#0,1333945#-0,5177965#3,239726#0,1322256#-0,6573181#3,073011#0,09346456#-0,5634071#3,161263#1  
frame22 #0,1024781#0,9168772#3,464983#0,1353182#0,7315153#3,505075# 0,2854694#0,2341401#3,320823#0,1240019#0,510273#3,303487#0,3120295#0,2783775#3,368418#0,0720984#0,4951844#3,333487#0,3918787#0,4287346#3,454713#-0,08361208#0,4499185#3,436219#0,254605#0,6118197#3,41454#-0,03861079#0,6136636#3,563735#0,1386502#0,3941315#3,510924#0,1143391#0,3344353#3,465762#0,1771683#0,2635311#3,430915#0,04428221#0,2638547#3,480498#0,1431989#-0,2505051#3,209465#0,04737732#-0,2476433#3,654881#0,1667649#-0,5995471#3,132503#0,131418#-0,5258864#3,249784#0,1297254#-0,6556923#3,070267#0,09048396#-0,5713683#3,172066#1  
frame23 #0,09397681#0,9180021#3,465383#0,1314445#0,7341381#3,504321# 0,2658007#0,2086905#3,318572#0,1237144#0,5054906#3,329894#0,3099874#0,2784059#3,365352#0,06803398#0,4909092#3,352617#0,3901701#0,4296931#3,449829#-0,09900726#0,447165#3,433526#0,2480396#0,6140218#3,413276#-0,0387985#0,6130824#3,56399#0,139243#0,3941677#3,510672#0,1145752#0,3336323#3,465706#0,1773185#0,2635612#3,428981#0,04720244#0,2591471#3,484707#0,1434077#-0,2512765#3,212012#0,03746628#-0,2628569#3,678807#0,1644044#-0,597144#3,126328#0,1211279#-0,5393585#3,27557#0,1278568#-0,6612811#3,053486#0,07873851#-0,5852299#3,197892#1  
frame24 #0,08554209#0,9204379#3,481013#0,1206297#0,69787#3,505193# 0,2633532#0,2093349#3,315016#0,1261891#0,5054854#3,33949#0,3074966#0,2790195#3,361524#0,06954075#0,4909119#3,360007#0,3887213#0,4311667#3,443801#-0,1004043#0,4471913#3,4343#0,2387492#0,6187167#3,412038#-0,03839352#0,6122664#3,570992#0,1398094#0,3889129#3,510565#0,1143938#0,331049#3,466358#0,175812#0,263757#3,428197#0,05121879#0,251437#3,488609#0,1481772#-0,2439947#3,227413#0,03101725#-0,2639041#3,715468#0,1680496#-0,5866834#3,134745#0,1141445#-0,5391444#3,31443#0,1281535#-0,6475607#3,068011#0,06832339#-0,5852435#3,238062#1  
frame25 #0,07550125#0,917967#3,487703#0,1199873#0,6936779#3,506292# 0,2611144#0,212739#3,314928#0,08865612#0,5582564#3,456923#0,3061052#0,2840784#3,357704#0,03290316#0,5310727#3,454132#0,3879994#0,4355843#3,441421#-0,1343557#0,4495219#3,458512#0,2304616#0,6233858#3,416652#-0,03701457#0,60988#3,573797#0,1403175#0,3782676#3,515278#0,1153091#0,3207069#3,472004#0,1738189#0,2610646#3,432246#0,05632775#0,2434406#3,494001#0,1499384#-0,241099#3,235051#0,02700729#-0,2634571#3,718451#0,1679688#-0,5853502#3,136482#0,1097241#-0,5373195#3,319266#0,1278562#-0,6497473#3,067572#0,06249867#-0,5840208#3,242828#1  
frame26 #0,05983524#0,922622#3,528952#0,1197619#0,6940848#3,509301# 0,2539814#0,2080539#3,311612#-0,00608591#0,6143452#3,479703#0,2996094#0,2806153#3,351781#-0,03735344#0,5615271#3,467991#0,3781826#0,4370605#3,431564#-0,131156#0,403073#3,445611#0,2157356#0,6245362#3,424408#-0,0350645#0,5966219#3,60343#0,1445184#0,3775563#3,514577#0,1161705#0,3196566#3,473632#0,1735833#0,2608509#3,432206#0,06131601#0,2406012#3,500579#0,1542865#-0,2323024#3,25111#0,02095829#-0,2631365#3,727757#0,1695896#-0,5838606#3,140154#0,1033613#-0,5359672#3,329973#0,1294924#-0,6474168#3,073353#0,04838476#-0,5829195#3,25779#1  
frame27 #0,05837039#0,9122503#3,539235#0,1176441#0,6825036#3,525058# 0,2447586#0,2095105#3,313933#0,01434298#0,6359901#3,515289#0,2924907#0,2813059#3,352333#-0,03005584#0,5921437#3,515201#0,3732805#0,4363666#3,431983#-0,1632523#0,4606041#3,527708#0,2053293#0,6247791#3,436083#-0,03651122#0,5817091#3,618454#0,1407284#0,3596306#3,535181#0,1114864#0,3000974#3,496734#0,1611177#0,2424887#3,460943#0,06014617#0,2307864#3,515798#0,1592021#-0,2436219#3,258798#0,01937947#-0,2660889#3,730335#0,1705866#-0,5803826#3,142542#0,1013434#-0,5374843#3,334498#0,1314241#-0,645463#3,072843#0,04432528#-0,5845357#3,264178#1  
frame28 #0,05039488#0,9223295#3,562421#0,1107277#0,699046#3,54257# 0,2371499#0,214323#3,330202#0,02162306#0,6285427#3,496824#0,2840035#0,2894476#3,361627#-0,02389659#0,5872568#3,507241#0,370823#0,4431618#3,436041#-0,1604555#0,4633992#3,551262#0,1979253#0,6278309#3,458525#-0,04275155#0,5966796#3,634189#0,1417347#0,3612184#3,544178#0,1142706#0,3002384#3,50463#0,1659434#0,2461034#3,465561#0,06404106#0,2242322#3,533682#0,1619614#-0,2471433#3,267761#0,01470705#-0,2676809#3,738514#0,1706671#-0,5806471#3,142689#0,09618606#-0,5374819#3,344854#0,1313424#-0,6462142#3,073305#0,04051758#-0,5845968#3,273367#1  
frame29 #0,04568602#0,9147918#3,583704#0,1102431#0,6930181#3,564772# 0,2089104#0,2213432#3,357172#0,02346123#0,6315205#3,510903#0,2607944#0,2819995#3,3826#-0,02178694#0,5896071#3,519115#0,3704818#0,4465044#3,440799#-0,1575315#0,4638671#3,55653#0,1948287#0,6273008#3,481343#-0,04337042#0,5909208#3,656904#0,1447511#0,3572783#3,567099#0,1180521#0,2956503#3,526455#0,172158#0,2408054#3,495742#0,06622175#0,2256581#3,543132#0,15994#-0,2487071#3,281923#0,01777631#-0,2844728#3,756252#0,1702386#-0,5816265#3,14437#0,09876899#-0,5526751#3,364762#0,1283838#-0,648932#3,071655#0,04286053#-0,5997517#3,293817#1  
frame30 #0,04100651#0,9241949#3,615996#0,1081614#0,7046347#3,601006# 0,2406133#0,2387628#3,31868#0,009178676#0,6450025#3,628825#0,223557#0,2533532#3,383654#-0,03444262#0,6014276#3,622095#0,3687639#0,4507557#3,45407#-0,1653065#0,4707027#3,61469#0,1930381#0,6287993#3,507363#-0,04550069#0,6027188#3,693085#0,1445675#0,3583256#3,583038#0,1172737#0,2969274#3,54031#0,1717152#0,2424143#3,502719#0,06538002#0,2280309#3,559456#0,1569438#-0,251044#3,29318#0,01795867#-0,295033#3,774316#0,1692199#-0,5829504#3,151537#0,09848628#-0,5616983#3,38491#0,1229402#-0,6541077#3,071252#0,04054233#-0,6080496#3,315511#1  
frame31 #0,04838508#0,9014568#3,671386#0,1090487#0,7081434#3,613665# 0,2065434#0,2245575#3,372737#-0,05058153#0,6458821#3,578224#0,2417778#0,2662243#3,413625#-0,05139908#0,6132509#3,638091#0,3500178#0,4368652#3,493425#-0,1844361#0,484947#3,667444#0,1884684#0,6290158#3,521901#-0,04461702#0,6062397#3,705735#0,144347#0,3625832#3,603804#0,1165905#0,2998375#3,56163#0,1696264#0,2461848#3,520767#0,0658308#0,2333539#3,584251#0,1564577#-0,2389072#3,336994#0,01456932#-0,2795336#3,810852#0,1706704#-0,5817379#3,155944#0,09453425#-0,5443373#3,423975#0,1193325#-0,6502035#3,07976#0,03664078#-0,5906779#3,355144#1  
frame32 #0,04314474#0,9029453#3,694746#0,1087597#0,7129113#3,645582# 0,1985401#0,2061288#3,412901#-0,01646612#0,6116751#3,807968#0,2387715#0,2633111#3,425769#-0,05943994#0,5831346#3,774284#0,3454466#0,4438472#3,497835#-0,1883614#0,4975131#3,686033#0,1795798#0,6298065#3,543988#-0,04490863#0,6110178#3,737649#0,1456633#0,3817849#3,638937#0,1164453#0,3217757#3,599286#0,1666138#0,2564263#3,536374#0,07081681#0,2491753#3,635681#0,1508825#-0,2449907#3,355573#0,01556171#-0,2980616#3,84077#0,1766995#-0,5822375#3,182141#0,09501335#-0,5611658#3,456198#0,1174952#-0,639626#3,100653#0,03445594#-0,6073868#3,390182#1  
frame33 #0,002725311#0,9367231#3,709872#0,099984#0,7876737#3,680887# 0,1982972#0,2059364#3,413215#-0,01394953#0,5801169#3,898788#0,2384517#0,2701626#3,43551#-0,04750401#0,5679514#3,848646#0,3372086#0,4485746#3,508504#-0,1481674#0,5314548#3,711047#0,1768025#0,6381299#3,560964#-0,05368491#0,685783#3,772954#0,1327259#0,425145#3,678714#0,1020846#0,3576639#3,639851#0,1563381#0,2721276#3,561711#0,05129768#0,2798479#3,691453#0,14395#-0,2412873#3,387089#-0,003438595#-0,2138272#3,886257#0,1874719#-0,5642723#3,231068#0,07577851#-0,4761547#3,502698#0,1079534#-0,6290131#3,176987#0,01449826#-0,5225245#3,437456#1  
frame34 #0,02968915#0,9462005#3,750151#0,1044912#0,784253#3,700398# 0,1926879#0,2081812#3,419079#-0,06403431#0,5937158#3,904819#0,2339491#0,2619411#3,455461#-0,08847855#0,5842227#3,849456#0,3404931#0,4425552#3,51447#-0,1618113#0,5557433#3,696191#0,1849358#0,6346498#3,566541#-0,04917773#0,6823623#3,792465#0,1367272#0,417062#3,686837#0,1052429#0,3497633#3,647269#0,1762869#0,2665825#3,607264#0,04783167#0,2846826#3,688993#0,1123825#-0,2530937#3,410477#-0,01033919#-0,1151869#3,917568#0,1880082#-0,5915405#3,251512#0,06869171#-0,3768978#3,534858#0,1152#-0,6432887#3,215592#0,005752452#-0,4229013#3,470866#1  
frame35 #0,0131624#0,9046332#3,763561#0,09826394#0,7482232#3,723351# 0,1851408#0,2068753#3,432276#-0,1480116#0,6378197#3,698026#0,2098073#0,2438312#3,483178#-0,1412513#0,6214488#3,756292#0,3287964#0,4565201#3,53725#-0,1209704#0,5723361#3,943904#0,1853844#0,6360283#3,583375#-0,05540497#0,6463325#3,815418#0,1406746#0,4360091#3,704963#0,1116632#0,3856083#3,670172#0,1708287#0,2954301#3,585337#0,0606652#0,3023433#3,728092#0,09663652#-0,2668848#3,419299#0,0164943#-0,130844#3,901032#0,190716#-0,5977203#3,27661#0,09528285#-0,3917523#3,519442#0,1165151#-0,6531032#3,267523#0,03158622#-0,4377567#3,456271#1  
frame36 #0,00661239#0,912448#3,767105#0,1028437#0,7621191#3,73315# 0,1978642#0,2098423#3,488569#-0,192628#0,600503#3,82091#0,227196#0,2487254#3,535058#-0,1334054#0,6163843#3,809508#0,3324823#0,4711276#3,54718#-0,04651198#0,6383993#3,980573#0,1830433#0,6357992#3,597929#-0,05082523#0,6602284#3,825217#0,1401776#0,4382589#3,712136#0,1106489#0,3852806#3,673348#0,1667474#0,295662#3,589131#0,06006018#0,3026125#3,729994#0,07133149#-0,2574317#3,457772#0,01588461#-0,1391936#3,902881#0,1984039#-0,582982#3,369089#0,09272755#-0,4135931#3,532763#0,1240474#-0,6445267#3,328512#0,0290317#-0,459318#3,469432#1  
frame37 #-0,01118481#0,9230147#3,782275#0,09322936#0,7793299#3,767038# 0,1699511#0,2544206#3,457924#-0,1880509#0,6222082#3,827621#0,1990864#0,2930431#3,504102#-0,1366223#0,6333737#3,849473#0,330183#0,4958676#3,557438#-0,03904841#0,6583396#4,012671#0,1787845#0,6383632#3,611236#-0,06043954#0,6774391#3,859105#0,1344196#0,4450148#3,737234#0,1040285#0,3871832#3,694271#0,160691#0,3019622#3,617683#0,05067454#0,3147681#3,745199#0,03429624#-0,2497799#3,497848#-0,001247026#-0,1112049#3,933965#0,2011381#-0,5838972#3,408258#0,09363646#-0,4099784#3,590874#0,1197117#-0,6391535#3,421042#0,07769301#-0,5177652#3,549216#1  
frame38 #-0,02492563#0,9248264#3,80314#0,08307716#0,7828052#3,786679# 0,1447948#0,2375191#3,503964#-0,1986165#0,6719575#3,801012#0,2017334#0,2901716#3,513154#-0,1488582#0,6464823#3,861795#0,3272452#0,4980119#3,562251#-0,06557877#0,6672973#4,034469#0,1761717#0,6440585#3,624459#-0,07059176#0,6809145#3,878745#0,1321607#0,4406683#3,746814#0,1022782#0,380435#3,703826#0,1593514#0,3033048#3,621281#0,05309184#0,2850984#3,756996#0,01184465#-0,2448097#3,546407#0,1376693#-0,2326233#3,816178#0,187195#-0,5179864#3,459436#0,1318569#-0,5664136#3,493664#0,1299223#-0,6193025#3,456564#0,06618175#-0,6121451#3,431667#1  
