frame1 #-0,002963368#0,8887594#3,41645#0,05486475#0,7153735#3,425606# 0,2163801#0,1373426#3,239548#0,05284102#0,5319375#3,249469#0,2160089#0,1883174#3,283663#-0,001688629#0,5036902#3,266904#0,3142722#0,396375#3,415677#-0,1652776#0,4189485#3,332084#0,1771097#0,5931322#3,360345#-0,1249293#0,5770646#3,468782#0,04517552#0,3782487#3,436264#0,03319742#0,3130524#3,413906#0,09723072#0,2437791#3,382687#-0,03868682#0,2365487#3,436222#0,05270917#-0,2519759#3,137962#0,07708219#-0,2617998#3,128837#0,1080422#-0,5881634#3,072222#0,1008729#-0,5916618#3,072088#0,06921214#-0,6644965#3,03635#0,07448267#-0,6318036#3,001351#1  
frame12 #-0,009958324#0,9077727#3,438444#0,04593986#0,7239583#3,431266# 0,1490837#0,1243292#3,256554#-0,01070059#0,5525559#3,256178#0,1895271#0,1920871#3,29037#-0,05503339#0,5428481#3,302796#0,3108573#0,3953606#3,404768#-0,1886052#0,4302253#3,391331#0,1669048#0,5981855#3,363309#-0,1239015#0,5920633#3,508512#0,04583858#0,3790947#3,442623#0,03386#0,3117677#3,425582#0,09623663#0,2406834#3,391325#-0,03094915#0,2369057#3,456389#0,06415643#-0,2449737#3,173799#-0,0639824#-0,2586699#3,701391#0,1049469#-0,5923544#3,076076#0,03335039#-0,4585002#3,342692#0,0705326#-0,662422#3,038305#-0,0009645969#-0,4985427#3,276328#1  
frame13 #-0,01919928#0,8968636#3,446614#0,04143287#0,7244495#3,435061# 0,1449443#0,1275084#3,256601#-0,05487907#0,6462095#3,381663#0,1862905#0,1954421#3,289703#-0,0908256#0,5936628#3,380976#0,3103291#0,399243#3,402034#-0,1986652#0,4360227#3,391943#0,164132#0,5988386#3,369255#-0,1184543#0,5993235#3,534213#0,04559135#0,3753304#3,452666#0,0343945#0,3056715#3,439536#0,09521905#0,2397548#3,399966#-0,02509692#0,2216872#3,480929#0,06928189#-0,2482501#3,182965#-0,06254269#-0,265538#3,71344#0,1052825#-0,5941076#3,07668#0,03324438#-0,4603819#3,350511#0,06934129#-0,6627785#3,037361#-0,005272072#-0,5008922#3,286761#1  
frame14 #-0,02779547#0,8910728#3,468416#0,03109763#0,7315708#3,470449# 0,142202#0,1290597#3,257659#-0,002371475#0,5429914#3,303125#0,1840919#0,196745#3,290511#-0,05714327#0,5240539#3,32944#0,3097613#0,399801#3,402179#-0,2214587#0,4672412#3,421499#0,1544481#0,6008707#3,381161#-0,1176222#0,5993136#3,537984#0,04482458#0,3740449#3,467383#0,0339186#0,3048138#3,448976#0,09320872#0,2381722#3,404829#-0,02367168#0,2223325#3,48734#0,07686512#-0,2511832#3,195629#-0,0639159#-0,2676744#3,734374#0,1057818#-0,595035#3,07949#0,03236433#-0,4687241#3,375828#0,07052555#-0,6601952#3,036476#-0,005854167#-0,5082241#3,311914#1  
frame15 #-0,03905895#0,898035#3,49542#0,022314#0,7396588#3,483513# 0,1191216#0,1309412#3,292325#0,0009882152#0,561605#3,343517#0,1649454#0,200289#3,315968#-0,05543947#0,5383773#3,362392#0,3024167#0,4083325#3,40009#-0,2247225#0,4686942#3,432205#0,1373359#0,6061317#3,397078#-0,1143529#0,6061364#3,575145#0,0454271#0,3777853#3,484811#0,03411729#0,3066973#3,466415#0,09080216#0,2401592#3,416153#-0,01684712#0,2244673#3,509211#0,0817222#-0,2491611#3,205066#-0,06871367#-0,2753208#3,75359#0,1058775#-0,5948199#3,079643#0,02756234#-0,4759346#3,394951#0,07047443#-0,6601003#3,036388#-0,01636345#-0,5156474#3,33526#1  
frame16 #-0,04867684#0,9064909#3,51563#0,01037712#0,7508172#3,507551# 0,166698#0,1796572#3,307521#-0,007258177#0,5893582#3,410848#0,2097999#0,2483982#3,342645#-0,06369372#0,5634032#3,426172#0,2960677#0,4129885#3,403979#-0,2330003#0,485538#3,485426#0,1304306#0,6121858#3,412148#-0,111028#0,6075253#3,614639#0,04397946#0,3825489#3,506404#0,03209345#0,3098782#3,487847#0,08758922#0,2415611#3,427962#-0,01423824#0,2225028#3,538671#0,08960564#-0,2553693#3,227381#-0,0674872#-0,2830032#3,77227#0,1089287#-0,5981229#3,079973#0,02888528#-0,4848778#3,413483#0,07192232#-0,6607941#3,028483#-0,02124199#-0,5258669#3,356263#1  
frame17 #-0,07069644#0,9104001#3,579355#0,006897638#0,7585933#3,528247# 0,1450462#0,1825092#3,295732#-0,008714765#0,5890273#3,412276#0,1707239#0,1954745#3,354339#-0,06522417#0,5630382#3,42762#0,2891067#0,422503#3,413048#-0,2347524#0,4850711#3,487018#0,116788#0,617205#3,436152#-0,1062033#0,5936732#3,61304#0,04395495#0,3661097#3,530603#0,03352706#0,2851995#3,513841#0,08624108#0,232311#3,455588#-0,01129182#0,2035398#3,556763#0,0936991#-0,2594272#3,246859#-0,06674516#-0,2839847#3,782646#0,1111202#-0,5986219#3,081475#0,02962641#-0,4860964#3,423456#0,07023819#-0,6604506#3,023274#-0,01970385#-0,5283025#3,363864#1  
frame18 #-0,07384112#0,9162847#3,588835#-0,0004226677#0,7610157#3,538971# 0,1434852#0,1713077#3,34834#-0,009758294#0,6304443#3,48104#0,1854823#0,2417996#3,381628#-0,07470289#0,5998066#3,488881#0,279563#0,4247222#3,428269#-0,2695367#0,5078936#3,525834#0,1161307#0,6234342#3,483942#-0,1089771#0,5901799#3,616092#0,03487216#0,3700157#3,550682#0,02787176#0,2908874#3,532148#0,08088422#0,2312604#3,484156#-0,01705781#0,2095148#3,575904#0,09542798#-0,2507458#3,281596#-0,05194764#-0,3104268#3,822807#0,1284683#-0,5926708#3,114641#0,0443177#-0,5126046#3,464014#0,08085987#-0,6460246#3,040849#0,003646877#-0,555752#3,397171#1  
frame19 #-0,08296531#0,9385111#3,642925#-0,02789946#0,7756837#3,582235# 0,1421033#0,1528526#3,362258#-0,06880833#0,7063535#3,477385#0,1696992#0,2088511#3,393025#-0,1115151#0,662867#3,496022#0,2759112#0,4237063#3,44645#-0,2396356#0,5324072#3,565403#0,1150662#0,6256435#3,489399#-0,1018695#0,594165#3,70918#0,02832415#0,3845708#3,577891#0,01888878#0,3055498#3,560592#0,07517722#0,2356293#3,4972#-0,02177863#0,2262093#3,612928#0,09139805#-0,2524809#3,302085#-0,06436883#-0,3134745#3,840359#0,1230682#-0,5930161#3,113284#0,03179418#-0,5154375#3,481833#0,07453143#-0,6475544#3,04013#-0,02530936#-0,5589945#3,427806#1  
frame20 #-0,06932832#0,8926077#3,644724#0,01269311#0,7391332#3,597494# 0,1398775#0,1454246#3,381185#-0,2322441#0,6921442#3,792398#0,1686347#0,1989922#3,405907#-0,2357104#0,6584724#3,738473#0,269828#0,4214275#3,46067#-0,2461094#0,557457#3,590189#0,1183007#0,612772#3,507148#-0,1006476#0,6052907#3,73272#0,02686827#0,400939#3,600894#0,008772307#0,3405662#3,593288#0,06001023#0,2466174#3,511629#-0,03766177#0,2438121#3,661037#0,08011424#-0,2565242#3,348188#-0,06749573#-0,3117713#3,845749#0,126597#-0,5876851#3,15524#0,0285762#-0,5135429#3,487499#0,05823583#-0,6349652#3,090101#-0,0310745#-0,5565584#3,43251#1  
frame21 #-0,06879382#0,8743879#3,687439#0,0006529659#0,711823#3,675551# 0,1426746#0,1276335#3,403486#-0,1888387#0,6799161#3,486136#0,1656345#0,1997026#3,437484#-0,2118604#0,6515679#3,537986#0,2612075#0,426477#3,483757#-0,2809257#0,5665231#3,706968#0,1138092#0,6067165#3,520216#-0,1122144#0,5822901#3,819858#0,01982947#0,4221963#3,655899#0,0009178449#0,3667442#3,638295#0,05221109#0,2563106#3,53161#-0,04672851#0,2747898#3,706775#0,06386308#-0,2624879#3,37033#-0,07784347#-0,3101246#3,849536#0,1236689#-0,5888668#3,157301#0,01807318#-0,5115701#3,491941#0,0504301#-0,6452133#3,104113#-0,04965661#-0,553579#3,444574#1  
frame22 #-0,08201704#0,892808#3,71712#-0,01771281#0,727597#3,750625# 0,1608603#0,170274#3,459273#-0,2112719#0,7646526#3,514808#0,1951178#0,2501438#3,478867#-0,2213521#0,7248628#3,562972#0,2543693#0,4379939#3,501867#-0,2515925#0,6054934#3,720869#0,1000191#0,6090829#3,543296#-0,1305802#0,5980641#3,894932#0,009450058#0,4390929#3,696952#-0,007748295#0,3828502#3,670214#0,04284157#0,2737506#3,557068#-0,05126714#0,2836679#3,724674#0,03329987#-0,2542082#3,419477#-0,09162681#-0,3074251#3,849409#0,1193723#-0,563283#3,233133#0,004767023#-0,5098727#3,490219#0,06381301#-0,6282797#3,190669#-0,06601447#-0,5508767#3,447442#1  
frame23 #-0,08990844#0,885379#3,718424#-0,01792702#0,7275662#3,75192# 0,1825028#0,1594442#3,486492#-0,2048492#0,7699504#3,534564#0,1929986#0,2490879#3,486474#-0,2218866#0,7373871#3,585736#0,2412295#0,4350049#3,525723#-0,2729988#0,6396968#3,752634#0,09348425#0,6099471#3,553241#-0,1307944#0,5980333#3,896227#0,008521836#0,4376473#3,699605#-0,009516726#0,381176#3,675217#0,0394311#0,2739261#3,564611#-0,05375561#0,2823287#3,733312#-0,007161496#-0,2693394#3,438277#-0,09908389#-0,3128367#3,848848#0,1294533#-0,5828812#3,267914#-0,00202138#-0,5166887#3,487392#0,05838281#-0,6363789#3,222441#-0,07270077#-0,5576421#3,44482#1  
frame24 #-0,1335686#0,872776#3,733994#0,003842628#0,768266#3,729279# 0,1876449#0,1362821#3,487234#-0,236132#0,8079091#3,592788#0,1660536#0,1982762#3,502076#-0,2505957#0,7627744#3,64463#0,2403679#0,4416673#3,529182#-0,293987#0,6273702#3,813527#0,07741494#0,6115549#3,574459#-0,1090248#0,6387331#3,873586#0,009730352#0,4447113#3,703599#-0,01025652#0,3879355#3,684112#0,03031459#0,2786311#3,577199#-0,05390356#0,2992264#3,770295#-0,03674273#-0,2737953#3,469748#-0,1078625#-0,3010058#3,869809#0,1121218#-0,5768175#3,325686#-0,01041514#-0,5056661#3,507045#0,05611822#-0,6361826#3,290518#-0,08116484#-0,546521#3,46533#1  
frame25 #-0,1189843#0,9018918#3,780402#0,0002778396#0,7708216#3,731676# 0,1662009#0,08827642#3,487239#-0,3166616#0,7875704#3,626542#0,1596747#0,2008037#3,508831#-0,3116793#0,7570864#3,686194#0,2388717#0,4422567#3,531684#-0,2967324#0,6656345#3,878497#0,07042106#0,6166589#3,589115#-0,1125896#0,6412886#3,875983#0,009072397#0,4483405#3,707031#-0,01107699#0,3901228#3,688314#0,02936339#0,2832671#3,584898#-0,05447001#0,3012289#3,77092#-0,08242922#-0,2660308#3,507576#0,04895598#-0,229445#3,797842#0,1082415#-0,5674962#3,398758#0,1466587#-0,4346416#3,434243#0,05640056#-0,6190202#3,364098#0,1195842#-0,5344978#3,41084#1  
frame26 #-0,1256099#0,9136945#3,777798#-0,01205289#0,7761468#3,74916# 0,1712026#0,1471102#3,501798#-0,3329173#0,681199#3,853095#0,1770409#0,2382838#3,518816#-0,3347384#0,6999543#3,773757#0,235378#0,4429264#3,543117#-0,2888497#0,6357476#3,956632#0,06536356#0,6202902#3,60503#-0,1249203#0,6466138#3,893467#0,006993383#0,443685#3,718384#-0,01269616#0,3801601#3,701664#0,02742791#0,2883338#3,593313#-0,05066761#0,2552256#3,790112#-0,1203432#-0,2496745#3,56244#0,03169484#-0,2409024#3,812353#0,08866978#-0,5539454#3,487456#0,086799#-0,5615494#3,533108#0,04135909#-0,6169619#3,443595#0,03589553#-0,6169554#3,458817#1  
frame27 #-0,1335396#0,9209235#3,795341#-0,02138823#0,7805155#3,761275# 0,170645#0,1577899#3,502828#-0,3873408#0,6930746#3,859115#0,1755036#0,2505797#3,517881#-0,4026141#0,7691414#3,806229#0,2374542#0,4486313#3,571415#-0,3202498#0,638565#3,925225#0,05820967#0,624845#3,627318#-0,1342556#0,6509826#3,905582#0,001482984#0,4591933#3,734445#-0,01686546#0,3973225#3,716397#0,02406978#0,3011401#3,597786#-0,05170438#0,262115#3,798722#-0,144788#-0,2443009#3,589724#0,01614647#-0,2355329#3,828322#0,05077896#-0,5486664#3,554204#0,07191379#-0,527226#3,743543#0,022863#-0,6214625#3,569092#0,00691168#-0,5685824#3,668733#1  
frame28 #-0,1106287#0,8897935#3,830591#-0,02557796#0,7087651#3,780533# 0,16453#0,1554838#3,491404#-0,4600485#0,6957719#3,856952#0,1726265#0,2466273#3,51447#-0,4621735#0,7192949#3,881715#0,236769#0,4534045#3,583189#-0,3247956#0,6272005#3,983066#0,05720787#0,6263162#3,638463#-0,1384454#0,5792322#3,92484#-0,00132277#0,3323531#3,719934#-0,02008143#0,260207#3,695458#0,0248847#0,232876#3,662874#-0,06391925#0,195459#3,707841#-0,1604869#-0,2384029#3,651892#0,01141664#-0,2349931#3,842377#0,02087505#-0,5710434#3,645792#0,1053654#-0,5207567#3,809612#-0,06666287#-0,6335275#3,641524#0,02796987#-0,5633695#3,748135#1  
frame29 #-0,1239841#0,8947641#3,843722#-0,0329725#0,7204571#3,788316# 0,1547466#0,1875477#3,432845#-0,5978019#0,7053192#3,953127#0,1567014#0,2663683#3,461467#-0,5124316#0,6720819#3,977823#0,2364991#0,4638514#3,59549#-0,3360186#0,6091329#4,001685#0,053424#0,6288612#3,648449#-0,1458399#0,5909241#3,932623#-0,008290319#0,3380142#3,729145#-0,02684892#0,2648424#3,704708#0,01961077#0,2376378#3,671064#-0,0725363#0,1989415#3,718982#-0,1930897#-0,2260415#3,712063#-0,02933031#-0,2309323#3,846444#0,02207564#-0,5590999#3,73689#0,04465959#-0,5209308#3,797412#-0,07792707#-0,5858506#3,706556#-0,03188695#-0,5619735#3,73344#1  
frame30 #-0,1297993#0,8916892#3,856619#-0,03639583#0,7172823#3,789594# 0,1356936#0,2720898#3,395346#-0,5622796#0,659429#4,017474#0,1610742#0,3247641#3,433926#-0,5279112#0,6075806#3,98526#0,2122719#0,4958484#3,627412#-0,3408886#0,5954664#4,003927#0,04440616#0,632901#3,668103#-0,1492632#0,5877494#3,933902#-0,009785434#0,3389812#3,730462#-0,02808189#0,2665452#3,705876#0,01748057#0,2406965#3,667437#-0,0735742#0,195604#3,725846#-0,2260532#-0,2142427#3,738651#-0,04759957#-0,2346763#3,852423#-0,01000638#-0,5542542#3,761102#0,02782469#-0,5240399#3,803228#-0,1141339#-0,5829515#3,764637#-0,04243764#-0,5936452#3,759675#1  
frame31 #-0,1336958#0,889915#3,85451#-0,05523482#0,6717265#3,794822# 0,1307142#0,352113#3,365385#-0,1132625#0,6018778#4,0047#0,1466108#0,3659371#3,415377#-0,1740314#0,587707#4,002262#0,2024249#0,4906986#3,623175#-0,3563378#0,5451946#4,00829#0,04199903#0,6341754#3,671049#-0,1681022#0,5421935#3,939129#-0,008115642#0,3369305#3,731817#-0,02427512#0,2657644#3,706571#0,02395357#0,2424782#3,663857#-0,05969802#0,180448#3,729389#-0,2885894#-0,181424#3,741484#-0,0766944#-0,246865#3,861709#-0,0598454#-0,5138256#3,767336#-0,001363494#-0,5370914#3,812685#-0,158476#-0,5569835#3,776855#-0,105672#-0,5629547#3,801194#1  
frame32 #-0,1580984#0,8858206#3,871911#-0,06041281#0,6647388#3,799336# 0,1298549#0,4372326#3,401811#-0,1579299#0,5146408#4,001503#0,1256249#0,4402653#3,42524#-0,1792266#0,5808439#4,006695#0,1689596#0,489183#3,614056#-0,3614348#0,5383545#4,012736#0,008450327#0,6341317#3,684171#-0,1732802#0,5352058#3,943643#-0,009652812#0,3208877#3,741666#-0,02374621#0,2535222#3,716218#0,02309189#0,2393784#3,67095#-0,05871437#0,1654302#3,737544#-0,308118#-0,2320311#3,763191#-0,08196561#-0,2597243#3,872327#-0,02289298#-0,5153075#3,807487#0,04674885#-0,5027096#3,867041#-0,1270375#-0,5428575#3,8182#-0,05669281#-0,5291276#3,849103#1  
frame33 #-0,167902#0,8915542#3,86924#-0,1030031#0,7170267#3,821399# 0,09274302#0,5360814#3,401874#-0,1798251#0,5802434#4,013378#0,09991743#0,489347#3,421153#-0,2220754#0,6331208#4,028754#0,1149659#0,4802741#3,620658#-0,4040248#0,5906916#4,034812#-0,02128303#0,6253789#3,689565#-0,2158706#0,5874938#3,965706#-0,07990228#0,3247951#3,754938#-0,09861317#0,2497472#3,728936#-0,05437834#0,2219171#3,712545#-0,1420629#0,1940123#3,726403#-0,313136#-0,219372#3,770559#-0,05685056#-0,2304389#3,890138#-0,01825818#-0,4986206#3,80022#0,05402589#-0,5181276#3,864631#-0,01503657#-0,5898429#3,840572#-0,01800632#-0,5989879#3,863875#1  
frame34 #-0,1820245#0,8905948#3,869769#-0,1163534#0,7074943#3,823781# 0,04236205#0,5898532#3,398284#-0,1929834#0,5710112#4,015804#0,03423774#0,5962093#3,412153#-0,2350616#0,6236732#4,031117#0,07912328#0,4672713#3,553817#-0,4173751#0,5811591#4,037173#-0,08179239#0,6185853#3,704388#-0,2292208#0,5779613#3,968088#-0,09157024#0,3199818#3,753789#-0,1116226#0,2452521#3,729604#-0,07170932#0,2185926#3,714429#-0,1507432#0,1940248#3,726938#-0,321251#-0,2200207#3,783132#-0,05667192#-0,2300036#3,890873#-0,02068287#-0,497703#3,802581#0,053483#-0,52092#3,864414#-0,09596799#-0,5394381#3,765136#-0,02453554#-0,5950767#3,856198#1  
frame35 #-0,2030398#0,8868641#3,877516#-0,1289248#0,7125151#3,828033# -0,02500529#0,7279471#3,513463#-0,2055018#0,5762295#4,020094#-0,005132083#0,6687012#3,511887#-0,2474555#0,6287355#4,035363#0,05448753#0,4909636#3,520532#-0,4299464#0,58618#4,041416#-0,1030047#0,6165264#3,694163#-0,2417922#0,5829822#3,97234#-0,1204927#0,3213207#3,761058#-0,1452515#0,2462393#3,738869#-0,1162734#0,2215718#3,731174#-0,1812265#0,205708#3,734225#-0,4252976#-0,1966512#3,799603#-0,09524719#-0,2231639#3,902794#-0,09745014#-0,4435969#3,798608#0,05394747#-0,5245097#3,869607#-0,1745284#-0,4846063#3,764895#0,08846151#-0,5978577#3,798803#1  
frame36 #-0,2470566#0,8850855#3,878731#-0,1885486#0,7166559#3,829607# -0,09962991#0,7625644#3,504521#-0,2653557#0,580497#4,021687#-0,07976851#0,7033538#3,502946#-0,3071877#0,6328509#4,036912#-0,02018431#0,5257217#3,511601#-0,4895703#0,5903208#4,042976#-0,1580713#0,5931888#3,686897#-0,301416#0,5871229#3,973914#-0,15606#0,3141123#3,763714#-0,174082#0,2365193#3,741014#-0,1373385#0,2099937#3,736377#-0,2077862#0,1998096#3,731871#-0,08066601#-0,1998148#3,896345#-0,09608056#-0,2222328#3,903667#0,2480491#-0,4452254#3,894521#0,05356486#-0,5297089#3,87508#0,180116#-0,5191246#3,855189#0,1000538#-0,6018741#3,809857#1  
frame37 #-0,2607088#0,8937897#3,88505#-0,2269439#0,7193679#3,821988# -0,1587846#0,7302976#3,463944#-0,3045065#0,5832091#4,014072#-0,1497828#0,6858829#3,534716#-0,3462198#0,6354144#4,029253#-0,07491587#0,5243764#3,491609#-0,5279655#0,5930327#4,035348#-0,1593713#0,609926#3,660815#-0,3398113#0,5898349#3,966295#-0,1780017#0,3259046#3,767455#-0,1939576#0,2485749#3,744989#-0,1455017#0,2123884#3,742306#-0,2365723#0,2044339#3,728785#-0,08549349#-0,1973373#3,898422#-0,1032156#-0,2217#3,905489#0,2430512#-0,4426207#3,896577#0,08240581#-0,5575191#3,800205#0,1763711#-0,5102952#3,845226#0,1367756#-0,6241298#3,73486#1  
