frame1 #-0,01836594#0,9125866#3,467059#0,02698838#0,7209015#3,49913# 0,1741271#0,1726052#3,295339#-0,1931642#0,6779624#3,35523#0,187716#0,2224098#3,34259#-0,1873617#0,6135381#3,36965#0,2985576#0,4087027#3,472244#-0,169954#0,4202653#3,425778#0,1522934#0,5968176#3,41116#-0,1458919#0,6053585#3,556451#0,01590458#0,3862288#3,509183#-0,002670291#0,3231879#3,480538#0,05874735#0,245179#3,43774#-0,07543603#0,2490224#3,511298#0,02968289#-0,2459087#3,201528#0,03554222#-0,3372222#3,183216#0,04846102#-0,5994621#3,101552#0,05830917#-0,5977938#3,102137#0,01889672#-0,6669079#3,05473#-0,01268773#-0,6892402#3,125296#1  
frame12 #-0,0008232298#0,9084848#3,469794#0,03285222#0,7209159#3,503273# 0,1557973#0,2059298#3,315317#-0,03509672#0,6019449#3,293928#0,2127321#0,2660341#3,358216#-0,06961717#0,5564188#3,326074#0,2996012#0,4122751#3,469937#-0,1731785#0,4198406#3,435511#0,1557406#0,6002858#3,414761#-0,1445752#0,6031231#3,557478#0,02609683#0,3812781#3,511613#0,005833542#0,3184691#3,476331#0,06855449#0,2396022#3,432149#-0,06747767#0,2440656#3,505582#0,03245377#-0,2514761#3,198367#0,03905692#-0,3224224#3,182105#0,05241961#-0,601656#3,107423#0,06148248#-0,5891708#3,112346#0,0126052#-0,6718877#3,055911#-0,009702615#-0,6913884#3,089683#1  
frame13 #-0,00233472#0,9054348#3,474074#0,03281383#0,7208607#3,503424# 0,1888229#0,252562#3,348513#-0,01690295#0,6112478#3,327748#0,2157103#0,264392#3,354182#-0,05682693#0,5636399#3,348711#0,2990994#0,4105011#3,46915#-0,1765989#0,4208161#3,4246#0,1556842#0,6003371#3,414673#-0,1446545#0,6025908#3,55708#0,02601932#0,3812968#3,512013#0,005607907#0,3185731#3,476496#0,06818621#0,2394468#3,431991#-0,0678176#0,2443582#3,506223#0,03302273#-0,2515616#3,198404#-0,06022778#-0,2160813#3,673943#0,05497517#-0,6012535#3,111033#-0,04141324#-0,4732657#3,593858#0,0178562#-0,6756126#3,064591#-0,03179562#-0,5341685#3,480767#1  
frame14 #-0,004162266#0,9095199#3,472496#0,0332106#0,7206467#3,50396# 0,1633204#0,2022558#3,2749#-0,00194326#0,5954648#3,324889#0,1765057#0,2257684#3,338189#-0,04674272#0,5528727#3,34672#0,2991124#0,410591#3,469039#-0,1811411#0,4250963#3,425211#0,1557119#0,6003907#3,414167#-0,1444276#0,602687#3,556783#0,02614933#0,3810965#3,512243#0,0055334#0,3184559#3,476414#0,0679592#0,2389974#3,431758#-0,06795809#0,2446354#3,505938#0,03360681#-0,2518729#3,198007#-0,06100534#-0,211031#3,6736#0,05709205#-0,6030444#3,109361#-0,0421293#-0,4714107#3,594739#0,01677969#-0,6746715#3,062319#-0,02613825#-0,5122841#3,474365#1  
frame15 #-0,004861832#0,914217#3,470195#0,03269865#0,7208762#3,502579# 0,2083479#0,227914#3,314956#0,002577625#0,5920622#3,329312#0,2319746#0,2765039#3,352#-0,04322055#0,5500345#3,349993#0,3028547#0,4222735#3,476135#-0,1806151#0,4239513#3,425035#0,1556517#0,6004448#3,414079#-0,1442765#0,6025745#3,555952#0,02674889#0,3812969#3,511277#0,006308348#0,3186602#3,475104#0,06897863#0,2391404#3,430166#-0,06655192#0,2451397#3,504568#0,03354836#-0,2515277#3,197984#-0,06142491#-0,2065004#3,672314#0,05809814#-0,6027669#3,107985#-0,04247341#-0,4710473#3,595093#0,01761433#-0,6752756#3,063446#-0,03538763#-0,5297409#3,482134#1  
frame16 #-6,765942E-05#0,9160088#3,465786#0,03207816#0,7215803#3,501724# 0,2060619#0,2210054#3,31605#-0,01142436#0,611673#3,350863#0,2299219#0,2705399#3,351653#-0,05372567#0,5640485#3,366129#0,3015022#0,4191434#3,471459#-0,1806296#0,4211748#3,424923#0,1544672#0,6005334#3,412307#-0,1439303#0,6029832#3,555545#0,02690297#0,3813362#3,510928#0,0062247#0,3185888#3,4747#0,06881854#0,2391155#3,4296#-0,06647292#0,2452579#3,50438#0,03432178#-0,2508793#3,197934#-0,06147142#-0,2038763#3,670541#0,05979013#-0,6019443#3,107848#-0,04248539#-0,4714647#3,594545#0,01876459#-0,6741579#3,064202#-0,03481569#-0,5299231#3,48213#1  
frame17 #-0,005632462#0,9131764#3,466446#0,03101139#0,7223304#3,499072# 0,199517#0,2106074#3,317254#0,01370588#0,5937691#3,376599#0,2248304#0,2613517#3,3501#-0,03484894#0,550613#3,385235#0,3007705#0,4135844#3,461635#-0,1805134#0,4211449#3,42414#0,1518356#0,6019748#3,40912#-0,1438002#0,6029431#3,555602#0,02728922#0,3816111#3,50998#0,006253062#0,318575#3,474217#0,06868947#0,2391721#3,428826#-0,06613257#0,2454239#3,504309#0,03469608#-0,2509405#3,198021#-0,06001084#-0,2040366#3,667818#0,05920583#-0,6027353#3,108953#-0,04102483#-0,4716251#3,591821#0,01877788#-0,6746681#3,065107#-0,03580659#-0,525084#3,47738#1  
frame18 #-0,0174545#0,9073141#3,47194#0,03100814#0,7229776#3,498719# 0,1980455#0,2088186#3,320647#0,02021752#0,5839356#3,367919#0,2237698#0,2605327#3,351716#-0,03018822#0,5433561#3,378594#0,3009427#0,4156753#3,457928#-0,1814054#0,4216173#3,423624#0,1501122#0,6035047#3,406834#-0,1419872#0,604196#3,559041#0,02795481#0,3816925#3,509482#0,006259324#0,3185786#3,474177#0,06818537#0,2391941#3,427949#-0,06557#0,2455007#3,504835#0,03513971#-0,2508446#3,198075#-0,07781958#-0,2264359#3,720532#0,05961474#-0,6033902#3,109637#-0,05883354#-0,4940244#3,644521#0,01875037#-0,6748631#3,066217#-0,04826559#-0,537025#3,526633#1  
frame19 #-0,02202151#0,9068704#3,473141#0,0300568#0,7254285#3,497288# 0,1991027#0,2032729#3,321631#0,02522258#0,5785245#3,365111#0,2241605#0,2564549#3,350779#-0,02631234#0,5395101#3,376418#0,2993339#0,4160008#3,451251#-0,1809171#0,422467#3,423368#0,146208#0,6039366#3,404911#-0,1412082#0,6024397#3,559418#0,02853915#0,38144#3,509025#0,006798143#0,3173172#3,474218#0,06809021#0,2384659#3,427304#-0,06193207#0,241917#3,50777#0,03623807#-0,24958#3,200011#-0,08087595#-0,2391145#3,723446#0,05966512#-0,6035217#3,109596#0,02772366#-0,4779271#3,444954#0,01633222#-0,676438#3,068651#-0,02011002#-0,5285994#3,3588#1  
frame20 #-0,03382064#0,8994395#3,483687#0,02694822#0,7271996#3,502579# 0,197989#0,2020352#3,316185#0,02624001#0,5761558#3,364639#0,2237278#0,2556248#3,344036#-0,02601683#0,5382669#3,376626#0,3009441#0,4163935#3,440644#-0,1827874#0,4246003#3,42564#0,1425606#0,604578#3,403319#-0,1387451#0,6015561#3,563715#0,02958894#0,3806211#3,510345#0,007275259#0,3162832#3,475773#0,06793299#0,2381465#3,427387#-0,05848884#0,2401163#3,512486#0,03629994#-0,2499712#3,200616#-0,08810442#-0,2615552#3,730105#0,05977726#-0,60393#3,109763#0,02387829#-0,4957278#3,44672#0,01568251#-0,6773332#3,068252#0,01197873#-0,5595352#3,335532#1  
frame21 #-0,03657033#0,8976427#3,492289#0,02009393#0,7243674#3,513986# 0,1979292#0,2038918#3,310105#0,02777435#0,5730972#3,370926#0,2233676#0,2570657#3,339113#-0,02519274#0,5362198#3,383197#0,2996827#0,4165877#3,439215#-0,184094#0,4255877#3,43309#0,1411124#0,6051327#3,404346#-0,1348446#0,6008333#3,577082#0,03158734#0,3787522#3,515679#0,008422067#0,3147399#3,480505#0,06805483#0,2377027#3,42867#-0,05429325#0,2379771#3,519#0,03685013#-0,2491627#3,202561#-0,09505605#-0,273581#3,742179#0,06004383#-0,6046696#3,11118#0,02312795#-0,5020766#3,454489#0,01312068#-0,6758958#3,069688#-0,0310297#-0,5528625#3,371184#1  
frame22 #-0,04440517#0,8900356#3,526582#0,01563042#0,6864203#3,524366# 0,238028#0,2028953#3,30331#-0,042227#0,6386908#3,415674#0,2246626#0,2574794#3,340733#-0,07948976#0,5851238#3,423129#0,2993705#0,4195785#3,43727#-0,191278#0,4244229#3,458577#0,1384473#0,6072455#3,409446#-0,1319287#0,5948583#3,586437#0,03571586#0,3736326#3,520338#0,0120996#0,3127349#3,484264#0,06966622#0,2367916#3,430109#-0,04524244#0,2338095#3,523481#0,03879269#-0,2536735#3,206893#-0,09241088#-0,296411#3,751851#0,06457389#-0,6046882#3,114236#0,02963211#-0,5221601#3,461927#0,01445376#-0,6736462#3,073388#0,03213694#-0,5653499#3,341573#1  
frame23 #-0,04598634#0,8898981#3,531431#0,01505625#0,6857155#3,525138# 0,248511#0,2289563#3,300072#-0,05599143#0,640644#3,444882#0,2141781#0,2577206#3,350182#-0,09394678#0,5881831#3,45481#0,2964424#0,4226288#3,431536#-0,2078128#0,4308004#3,497685#0,1299552#0,6052501#3,417198#-0,1257506#0,587934#3,608217#0,04066914#0,3653881#3,525489#0,0159636#0,3041818#3,490265#0,07119089#0,2336205#3,434563#-0,03790985#0,2252802#3,528511#0,03956272#-0,2550662#3,211819#-0,0914373#-0,3023381#3,757405#0,06431426#-0,6058813#3,115463#0,05411129#-0,5133237#3,466911#0,01406694#-0,6725712#3,072251#0,05024987#-0,5565504#3,347341#1  
frame24 #-0,07094237#0,8838007#3,584468#0,0125669#0,6877232#3,534919# 0,1595907#0,1999117#3,311952#-0,02309269#0,6121897#3,495758#0,2157346#0,2579862#3,353241#-0,07111187#0,5679177#3,498351#0,2927805#0,4256524#3,432706#-0,2151694#0,4351016#3,519223#0,1175822#0,608197#3,439296#-0,1254781#0,5908147#3,623425#0,04102581#0,3654971#3,541106#0,01702193#0,3038815#3,507039#0,07076915#0,2311265#3,444639#-0,03300058#0,2231525#3,556024#0,04450072#-0,2532161#3,22653#-0,0763039#-0,3150306#3,797949#0,06382916#-0,6068348#3,115404#0,07355063#-0,5273616#3,510395#0,01250548#-0,6707261#3,070194#0,05084334#-0,5729698#3,394467#1  
frame25 #-0,06997744#0,8844256#3,608164#0,01054857#0,6890393#3,55158# 0,145687#0,2315409#3,290469#-0,05818455#0,6424843#3,511012#0,1478948#0,2155964#3,355397#-0,09768511#0,5907329#3,51499#0,2884306#0,4298465#3,435073#-0,2161868#0,4354785#3,540024#0,1108901#0,6122885#3,457059#-0,1256314#0,5920657#3,640362#0,04352513#0,3627562#3,557257#0,01995407#0,3004785#3,523187#0,0729865#0,2300404#3,465598#-0,02935011#0,2208878#3,565776#0,04846974#-0,2564161#3,249612#-0,0762801#-0,3104396#3,807607#0,06372817#-0,6077704#3,116483#0,07541126#-0,5322182#3,528849#0,01267869#-0,6705226#3,070295#0,06220364#-0,5662848#3,408232#1  
frame26 #-0,0717284#0,8865876#3,615081#0,01324848#0,6957994#3,58682# 0,1273573#0,2321684#3,308705#-0,05763172#0,5882153#3,448241#0,1479326#0,2123632#3,369061#-0,1021632#0,5538933#3,48108#0,2830617#0,4303599#3,445873#-0,2357575#0,4509275#3,592702#0,1108874#0,6173232#3,486573#-0,1217682#0,5988065#3,675814#0,0467706#0,3617532#3,578791#0,02187502#0,300014#3,542489#0,07406427#0,2317832#3,482671#-0,02700898#0,2199395#3,582295#0,05453866#-0,2551197#3,284189#-0,07716846#-0,262444#3,841813#0,06754094#-0,600533#3,128545#0,07310269#-0,4880136#3,565299#0,01096113#-0,6673332#3,070825#0,06042039#-0,5289581#3,447375#1  
frame27 #-0,08007975#0,892723#3,648786#0,007960198#0,7044794#3,624113# 0,1056239#0,1578328#3,357806#-0,01705966#0,623163#3,526357#0,1510459#0,2286757#3,383757#-0,06818765#0,5845788#3,537934#0,2873119#0,4412045#3,474722#-0,2215716#0,4688263#3,585779#0,1008044#0,6197903#3,511775#-0,1268706#0,6074202#3,71284#0,04516835#0,3655891#3,611001#0,0190093#0,3029464#3,573652#0,070426#0,2368913#3,509265#-0,02828594#0,2212465#3,615113#0,05854847#-0,2522065#3,316531#-0,07879049#-0,2648514#3,847195#0,07039155#-0,5926757#3,147564#0,07174727#-0,4905938#3,570553#0,007910603#-0,6608399#3,080559#0,05972819#-0,530109#3,452584#1  
frame28 #-0,08412367#0,9003159#3,671383#0,005895854#0,7097027#3,635299# 0,1020824#0,1571654#3,375887#-0,05365679#0,5856228#3,541395#0,1479897#0,2286905#3,398275#-0,1047774#0,5568205#3,569273#0,2857119#0,4432659#3,478558#-0,2581393#0,4704135#3,666023#0,09597567#0,6248655#3,525675#-0,1289437#0,6126839#3,724145#0,04685998#0,3677423#3,618929#0,02084196#0,3047201#3,580728#0,07242368#0,2388507#3,515266#-0,02547454#0,2224694#3,622357#0,06138618#-0,2580594#3,344269#-0,07715628#-0,3146885#3,877685#0,07012463#-0,5922807#3,160914#0,07369766#-0,5402343#3,600954#-0,005985404#-0,6637822#3,106375#0,04007949#-0,5687895#3,484561#1  
frame29 #-0,09587315#0,9112472#3,709056#0,005751089#0,716524#3,655815# 0,1002725#0,1632202#3,403263#-0,04298277#0,5766032#3,555546#0,1433529#0,2366569#3,424705#-0,09602338#0,5515552#3,583306#0,272594#0,456967#3,502158#-0,2551452#0,476411#3,679713#0,08197725#0,6377062#3,547324#-0,1290807#0,6194983#3,744668#0,04884066#0,3701059#3,633522#0,02164703#0,3065026#3,594708#0,07127362#0,2432624#3,529849#-0,02254941#0,2250434#3,635474#0,06132604#-0,2601836#3,368543#-0,0767654#-0,3137704#3,880825#0,05890477#-0,5988934#3,193781#0,07425977#-0,5395722#3,603792#-0,007743546#-0,6712587#3,174279#0,03916192#-0,5738154#3,489797#1  
frame30 #-0,07352741#0,9207228#3,735169#0,001645042#0,7268734#3,676799# 0,1351434#0,2238551#3,389219#-0,04736076#0,5901613#3,545512#0,1512687#0,2604203#3,441581#-0,09929837#0,5622115#3,59089#0,2755034#0,4820055#3,523131#-0,2551112#0,4783623#3,740161#0,07579529#0,6519965#3,569762#-0,1331836#0,6298437#3,765651#0,04133084#0,3893392#3,673367#0,0129076#0,3259108#3,638155#0,06113824#0,2583174#3,566257#-0,02966245#0,2408947#3,684929#0,03763887#-0,2489544#3,411744#0,1160042#-0,216265#3,475647#0,08502437#-0,5908046#3,251619#0,2671532#-0,4422518#3,19839#0,02151135#-0,6545383#3,267893#0,1839136#-0,5325571#3,213223#1  
frame31 #-0,1123564#0,9483694#3,744693#-0,005501668#0,8079742#3,712061# 0,1370785#0,2398135#3,459172#0,03192754#0,6914731#3,557428#0,1653229#0,3165008#3,495068#-0,01676235#0,649704#3,596518#0,2741674#0,4849596#3,527877#-0,162832#0,5243966#3,726951#0,07632908#0,6555154#3,578941#-0,1403294#0,7109438#3,800915#0,03475696#0,4421183#3,707967#0,005529437#0,3724628#3,673102#0,05518949#0,2801295#3,591978#-0,03857498#0,2903027#3,728511#0,0227631#-0,2615178#3,425976#0,1102259#-0,1368589#3,515621#0,0879223#-0,6081163#3,285072#0,2616293#-0,3632262#3,237888#0,01899934#-0,6641113#3,306049#0,1784469#-0,4446836#3,278942#1  
frame32 #-0,1116429#0,9489652#3,756676#-0,00481729#0,8077899#3,71309# 0,1344372#0,2348413#3,470414#-0,1911246#0,6593028#3,606717#0,1597865#0,3144041#3,502318#-0,1770965#0,6260408#3,660056#0,275532#0,4849539#3,53922#-0,1350122#0,5262548#3,833255#0,08894897#0,6580925#3,5892#-0,139645#0,7107595#3,801943#0,03415563#0,441713#3,71223#0,006083815#0,3721476#3,675965#0,05808404#0,2813469#3,602857#-0,03936386#0,2914701#3,730476#-0,001119243#-0,2628378#3,453691#0,1110919#-0,124281#3,525103#0,1196766#-0,5877094#3,367267#0,2627417#-0,3510168#3,246923#0,05663938#-0,6522852#3,320392#0,1937165#-0,4503753#3,270248#1  
frame33 #-0,1035934#0,9487244#3,79757#-0,006021818#0,8068601#3,715556# 0,1406349#0,2996136#3,51887#-0,2422451#0,6546882#3,643975#0,1873896#0,3305383#3,530953#-0,2205625#0,6314961#3,704869#0,269513#0,5038716#3,559454#-0,1555147#0,56192#3,900732#0,08370251#0,6636809#3,612355#-0,1408495#0,7098298#3,804409#0,03257445#0,4540323#3,725784#0,007037972#0,3884177#3,692746#0,06044202#0,2896664#3,610702#-0,04047497#0,3158263#3,762892#-0,02935954#-0,2593693#3,499532#0,07887493#-0,205715#3,734107#0,1276433#-0,5923249#3,422466#0,2305607#-0,4325045#3,455871#0,06407379#-0,6363902#3,374933#0,1527435#-0,5204911#3,419956#1  
frame34 #-0,08338471#0,9167292#3,793596#-0,005823995#0,75028#3,750266# 0,145581#0,267484#3,549435#-0,2603332#0,5903206#3,759079#0,177424#0,3276885#3,551379#-0,2189405#0,6212614#3,777381#0,2729531#0,5083019#3,570357#-0,1647905#0,5766017#3,986591#0,09086016#0,6571413#3,613697#-0,1406517#0,6532497#3,839119#0,03678817#0,4495162#3,733728#0,008431716#0,3895918#3,699082#0,06339077#0,2903796#3,614039#-0,0404328#0,3155668#3,764569#-0,0489367#-0,2641674#3,545683#0,06721054#-0,2113514#3,755217#0,1294753#-0,5860035#3,496725#0,2188699#-0,4381013#3,477088#0,04763719#-0,6423459#3,464242#0,1413296#-0,5258057#3,441275#1  
frame35 #-0,08719903#0,917421#3,797371#-0,01199722#0,7461827#3,768472# 0,1411116#0,2649564#3,540055#-0,2592221#0,6490303#3,722805#0,1737275#0,327556#3,547075#-0,2217146#0,6340756#3,786121#0,2715753#0,5153546#3,581253#-0,1581067#0,6144902#4,018966#0,09775497#0,6570289#3,620881#-0,1468249#0,6491524#3,857325#0,03772824#0,442091#3,744569#0,009905804#0,3855884#3,705294#0,07430256#0,2938597#3,63283#-0,04116647#0,3141136#3,762342#-0,08376807#-0,235259#3,590103#0,06315093#-0,2143805#3,807039#0,1093197#-0,5508174#3,527067#0,2149027#-0,4412686#3,528817#0,05087405#-0,637411#3,496683#0,137486#-0,5287256#3,493149#1  
frame36 #-0,1004459#0,94068#3,795348#-0,007757143#0,7925091#3,785565# 0,1031354#0,2431082#3,545916#-0,2963919#0,6388445#3,798342#0,142271#0,3192753#3,555303#-0,2340473#0,6543447#3,815647#0,2596776#0,5477765#3,596571#-0,1113161#0,6144596#4,018829#0,09858459#0,6598265#3,631714#-0,1425848#0,6954788#3,874418#0,03912472#0,4159987#3,7651#0,01079833#0,3379653#3,731049#0,07124929#0,2885577#3,664155#-0,04350879#0,2567415#3,77044#-0,09088771#-0,229444#3,625472#0,06113525#-0,206044#3,817184#0,09850274#-0,5473735#3,581711#0,2131973#-0,433396#3,538467#0,06331433#-0,6225669#3,546491#0,134071#-0,5259964#3,545586#1  
frame37 #-0,1123994#0,9443392#3,825963#-0,01131984#0,7987244#3,800295# 0,1553049#0,2715099#3,509482#-0,2931571#0,6645294#3,828468#0,140238#0,3200687#3,549782#-0,2403731#0,6752391#3,84542#0,2583409#0,5453154#3,59788#-0,179036#0,6074833#4,024821#0,09069404#0,6622295#3,645507#-0,1461475#0,7016941#3,889148#0,02529784#0,4438567#3,777803#-0,007902909#0,3852037#3,739366#0,04467793#0,3107895#3,651338#-0,05109569#0,2769038#3,788421#-0,1060363#-0,2282709#3,679756#0,04996917#-0,2126319#3,818753#0,06468584#-0,559693#3,634377#0,166375#-0,4435914#3,523805#0,04787677#-0,648217#3,634526#0,1179471#-0,5481039#3,483887#1  
