frame1 #-0,02339716#0,922067#3,436304#-0,04152276#0,7246148#3,480232# 0,2224881#0,6554378#3,33348#0,1305358#0,4595971#3,369785#0,1986345#0,6027532#3,347415#0,05168563#0,4528117#3,355145#0,1270737#0,4446992#3,402935#-0,1848648#0,4324554#3,32494#0,1238782#0,6382532#3,541655#-0,1923519#0,6161725#3,420811#-0,06419306#0,3624004#3,490625#-0,06130755#0,2904002#3,476559#0,006527565#0,2225786#3,488829#-0,135776#0,2126422#3,458458#0,009981861#-0,2547787#3,255281#-0,1681769#-0,2634711#3,45164#0,02554691#-0,6105907#3,056489#0,01089697#-0,6085504#3,057152#0,06068692#-0,661127#2,969429#0,04603697#-0,6590867#2,970091#1  
frame12 #0,01754373#0,893467#3,451283#-0,03752173#0,7250479#3,484643# 0,04024566#0,6585995#3,341346#0,0147153#0,341643#3,251379#0,06854257#0,6112836#3,354667#-0,04860896#0,3693062#3,256008#0,1534333#0,469336#3,408355#-0,1933574#0,4470755#3,313919#0,129869#0,6216751#3,543173#-0,1915447#0,6151928#3,420697#-0,05996164#0,3606984#3,491199#-0,05570488#0,2886147#3,473967#0,01518046#0,2115917#3,481498#-0,1302916#0,2165992#3,456854#0,01605443#-0,2501851#3,240283#-0,1773572#-0,223068#3,447979#0,03106384#-0,5894174#3,069418#-0,06016333#-0,5600196#3,428026#0,05960587#-0,6299852#2,998724#-0,03162131#-0,6005874#3,357332#1  
frame13 #0,02598372#0,8920999#3,456981#-0,03579348#0,7253916#3,484552# 0,03588417#0,6573075#3,346847#-0,002102632#0,3427967#3,246384#0,06498867#0,6102895#3,358405#-0,05011773#0,369383#3,259765#0,1523022#0,4692355#3,406807#-0,194163#0,4491421#3,313639#0,1306223#0,6202189#3,544005#-0,1905871#0,6159178#3,420127#-0,05928375#0,3604419#3,491492#-0,05495055#0,2882918#3,473817#0,01559676#0,2104485#3,481583#-0,129417#0,2174396#3,456589#0,01606884#-0,2499953#3,240166#-0,1768034#-0,2233524#3,448276#0,03238502#-0,5879938#3,068477#-0,05174042#-0,6174355#3,517617#0,06077536#-0,6279289#2,999037#-0,1169842#-0,6472153#3,508965#1  
frame14 #0,02803683#0,8916272#3,457707#-0,0347994#0,7255543#3,484363# 0,004124764#0,5331826#3,352615#0,00955211#0,3437323#3,252856#0,05706765#0,5198026#3,366264#-0,04905052#0,3768634#3,256907#0,2158963#0,4796625#3,420936#-0,195142#0,450138#3,313089#0,1319363#0,6187567#3,545432#-0,1899888#0,6163082#3,42008#-0,05850786#0,3599504#3,491797#-0,05400128#0,2876689#3,473757#0,01700251#0,2084457#3,482465#-0,1290612#0,2175409#3,456292#0,01631108#-0,2499815#3,240186#-0,1768201#-0,2210084#3,448111#0,03238649#-0,5898524#3,066308#-0,06426553#-0,573392#3,48159#0,06110416#-0,6299094#2,996771#-0,03554785#-0,613449#3,412052#1  
frame15 #0,02871805#0,8908011#3,458602#-0,03374387#0,7259308#3,484797# 0,04019812#0,6026566#3,430905#0,01571148#0,3466955#3,257699#0,07689524#0,5624514#3,413218#-0,04588577#0,3751615#3,259182#0,1869866#0,4418359#3,373883#-0,1962216#0,4486819#3,311347#0,1318622#0,6164898#3,543745#-0,1885015#0,6166664#3,420178#-0,05815471#0,3597513#3,492251#-0,05364749#0,287432#3,473741#0,01698559#0,2082153#3,482656#-0,1284457#0,2179662#3,455902#0,01610214#-0,2496891#3,240566#-0,1767012#-0,2204999#3,448023#0,03245024#-0,5878176#3,066897#-0,06007855#-0,5815828#3,498179#0,0609412#-0,6278431#2,997316#-0,1054097#-0,6390095#3,522152#1  
frame16 #0,03119232#0,8907929#3,457775#-0,0331427#0,7266867#3,484977# 0,01465196#0,655452#3,375923#0,01181513#0,3500016#3,258336#0,04899721#0,6100373#3,378765#-0,05061285#0,3765754#3,259134#0,1520329#0,4737932#3,40102#-0,1999911#0,4494772#3,31315#0,130838#0,6152989#3,546024#-0,1857634#0,6162183#3,419276#-0,05805923#0,3594944#3,492511#-0,05310978#0,2869577#3,473665#0,01691583#0,2079349#3,482878#-0,1270254#0,2186026#3,455281#0,01555698#-0,2503146#3,242429#-0,1764713#-0,2201587#3,447902#0,03237972#-0,5891886#3,067115#-0,06457672#-0,5766404#3,494056#0,06168859#-0,6290631#2,998138#-0,1049685#-0,634123#3,510524#1  
frame17 #0,03385829#0,890983#3,460796#-0,03237671#0,7268313#3,485412# 0,02011675#0,6594561#3,379359#0,0140009#0,3540799#3,261293#0,05322246#0,613326#3,381928#-0,04703254#0,3812868#3,257614#0,1525396#0,4749356#3,403373#-0,2004065#0,4456519#3,308886#0,1304385#0,61568#3,552213#-0,1839501#0,6158372#3,41818#-0,05804207#0,3589808#3,492926#-0,05255878#0,2862804#3,473854#0,01681007#0,2074485#3,483189#-0,1262182#0,2186858#3,455364#0,01559444#-0,2512425#3,244528#-0,1759038#-0,2204724#3,447755#0,03252472#-0,5895873#3,067087#-0,04801941#-0,6197673#3,518108#0,06314202#-0,6291041#2,999361#-0,1143883#-0,642849#3,504622#1  
frame18 #0,02860013#0,9014739#3,459043#-0,03039388#0,7278211#3,486468# 0,1165734#0,6917988#3,382837#0,01090428#0,3481649#3,264504#0,122178#0,635506#3,386202#-0,04972537#0,3764609#3,261054#0,1389919#0,4666277#3,410038#-0,1996691#0,4499686#3,306703#0,1298954#0,6154958#3,552829#-0,1836972#0,616163#3,417991#-0,05764671#0,3594651#3,493367#-0,05212682#0,2867272#3,473781#0,01665743#0,2077244#3,483466#-0,1249451#0,2206799#3,454146#0,01569279#-0,2511758#3,244604#-0,1753504#-0,2192668#3,447828#0,03251289#-0,5894814#3,067079#-0,06607553#-0,5729858#3,478906#0,06340097#-0,6290345#2,999342#-0,1029834#-0,6391174#3,50954#1  
frame19 #0,03055514#0,9003947#3,461869#-0,0298772#0,7283254#3,48668# 0,1405963#0,6645365#3,333448#0,009088345#0,3485367#3,266549#0,1007754#0,6307355#3,375501#-0,05247658#0,3741636#3,2595#0,1442396#0,4682305#3,410092#-0,1994512#0,4513903#3,307394#0,1289533#0,6150237#3,552733#-0,1834048#0,6162125#3,417735#-0,05740549#0,3594171#3,493751#-0,05170597#0,286621#3,473722#0,01666074#0,207729#3,483517#-0,1241214#0,221015#3,453909#0,01740901#-0,2486903#3,242335#-0,1748129#-0,2190491#3,447381#0,03375893#-0,5899699#3,065666#-0,0651656#-0,5725315#3,480195#0,06498004#-0,6298781#2,99815#-0,1037912#-0,6393548#3,512468#1  
frame20 #0,03164156#0,8990529#3,466608#-0,02992113#0,7283397#3,486579# 0,1447075#0,6448442#3,337374#0,001650978#0,3403494#3,247411#0,08948582#0,6265563#3,370937#-0,05206309#0,380295#3,252841#0,1471773#0,4696898#3,410512#-0,1996189#0,4520597#3,307571#0,1304378#0,6150531#3,562716#-0,1832621#0,6163108#3,417519#-0,05728385#0,3600282#3,493915#-0,05059484#0,2874556#3,473839#0,01777421#0,2083101#3,484598#-0,1229967#0,2219116#3,453477#0,01792463#-0,2469567#3,243711#-0,1745733#-0,2169086#3,446771#0,03670891#-0,575026#3,076364#-0,06497613#-0,5720695#3,480413#0,06969233#-0,6148712#3,009711#-0,1044924#-0,6391169#3,513233#1  
frame21 #0,03346421#0,9014159#3,468229#-0,02981127#0,7289813#3,486543# 0,06517996#0,6500978#3,439234#0,002741847#0,3418451#3,249008#0,08799886#0,6008285#3,424015#-0,05199927#0,3807966#3,25177#0,1564555#0,4530205#3,392103#-0,19948#0,4523272#3,307362#0,1289823#0,6141256#3,560704#-0,1830273#0,616419#3,416882#-0,05730026#0,3600753#3,494152#-0,05051897#0,2874641#3,473726#0,01770733#0,2083382#3,484491#-0,1228132#0,2223047#3,453332#0,01938836#-0,2447942#3,241887#-0,1739787#-0,2162699#3,446478#0,03713514#-0,572626#3,077735#-0,06345656#-0,5718591#3,482079#0,06978808#-0,6121923#3,011501#-0,05761155#-0,6258405#3,528153#1  
frame22 #0,03279812#0,8998965#3,469094#-0,02989851#0,7289212#3,486468# 0,07289364#0,6493372#3,447674#-0,0008157417#0,3393648#3,250999#0,09360602#0,5998959#3,430103#-0,0549046#0,3793361#3,25373#0,1557432#0,4515721#3,391136#-0,2004842#0,4557066#3,307651#0,1271915#0,6146813#3,563926#-0,1832286#0,6165869#3,416521#-0,05761143#0,3601437#3,494308#-0,05044241#0,287552#3,473722#0,01767143#0,2084971#3,484658#-0,1226403#0,2225705#3,453222#0,01921849#-0,2447727#3,243335#-0,1729963#-0,2160226#3,446052#0,0378192#-0,5718138#3,078046#-0,06524577#-0,5684463#3,480484#0,07107279#-0,6111579#3,012541#-0,05960623#-0,6234224#3,524795#1  
frame23 #0,03002151#0,9002981#3,472611#-0,02995492#0,7286153#3,48682# 0,06915125#0,6465632#3,448503#-0,001279015#0,3367406#3,25279#0,09109014#0,5977542#3,430571#-0,05702955#0,3739726#3,259312#0,1569068#0,4513274#3,390522#-0,2006767#0,4565746#3,307828#0,1270455#0,6146345#3,563819#-0,1826963#0,6176504#3,417415#-0,05774112#0,3605891#3,494736#-0,05054552#0,288312#3,473819#0,016883#0,2098904#3,485551#-0,1226855#0,2236236#3,452752#0,01917447#-0,2427312#3,245603#-0,1733435#-0,2129127#3,44452#0,03816403#-0,5719023#3,078163#-0,06432631#-0,5689266#3,480845#0,07111292#-0,6110051#3,012982#-0,05877891#-0,6236414#3,524825#1  
frame24 #0,03122251#0,8971133#3,470739#-0,03016911#0,7286886#3,486873# 0,1229969#0,612295#3,308139#0,01036216#0,3573523#3,281303#0,07159742#0,5913899#3,346385#-0,05299085#0,3782246#3,271691#0,1583077#0,4610634#3,423435#-0,201053#0,4561901#3,308027#0,1264215#0,6119615#3,558858#-0,1828116#0,6175677#3,417524#-0,05728595#0,3605991#3,4949#-0,05004284#0,2883767#3,473396#0,01753996#0,2099537#3,484938#-0,1221873#0,2237592#3,452343#0,02189516#-0,2271692#3,248832#-0,1717978#-0,2134052#3,444356#0,03896913#-0,5691607#3,079161#-0,06224004#-0,5687244#3,48145#0,07089428#-0,6080163#3,013932#-0,0585031#-0,6238121#3,524493#1  
frame25 #0,02982534#0,8967083#3,470159#-0,03153685#0,7287994#3,487655# 0,07571164#0,5128226#3,251852#-0,002608031#0,3362626#3,280392#0,09625014#0,5058898#3,303553#-0,06756935#0,3542782#3,282606#0,1578656#0,4850914#3,472399#-0,2033479#0,4530727#3,305834#0,124585#0,6262251#3,58458#-0,1852945#0,6164569#3,420428#-0,05813007#0,3621343#3,494766#-0,04900428#0,2905205#3,473407#0,01875947#0,2119394#3,484879#-0,1210526#0,2252011#3,452188#0,02274215#-0,2222791#3,250225#-0,1704675#-0,2149406#3,445305#0,04218822#-0,5662948#3,079561#-0,05993235#-0,5671008#3,480813#0,07772042#-0,6047766#3,016604#-0,05906028#-0,6214403#3,524313#1  
frame26 #0,0243194#0,9061116#3,470682#-0,03450307#0,730406#3,490425# -0,0642475#0,4457995#3,31095#-0,03861734#0,3059697#3,24502#-0,01184253#0,4474493#3,331553#-0,07174779#0,3624719#3,260146#0,1453724#0,4523986#3,407102#-0,2172661#0,4241869#3,333695#0,1231159#0,6268246#3,580225#-0,1915148#0,6164238#3,425924#-0,05656435#0,3699558#3,49641#-0,04684091#0,3008028#3,473552#0,0213578#0,2212727#3,486934#-0,1183658#0,2316404#3,449254#0,02473544#-0,2277566#3,24871#-0,169252#-0,2159255#3,445431#0,04639295#-0,5634868#3,080347#-0,0590052#-0,5669278#3,480656#0,07977554#-0,6016178#3,016468#-0,02562261#-0,6050587#3,416778#1  
frame27 #0,01006079#0,9116361#3,466064#-0,0409861#0,7376628#3,499483# -0,02049074#0,3925107#3,273327#-0,01413943#0,3581596#3,295628#0,02130143#0,4092771#3,307875#-0,06816329#0,3719623#3,30622#0,1466779#0,4595762#3,425265#-0,2302349#0,4133706#3,351739#0,1131106#0,6607088#3,55942#-0,1981435#0,6167777#3,433179#-0,05578129#0,3770372#3,499919#-0,04683613#0,3083901#3,473918#0,02149087#0,2309456#3,487249#-0,1173856#0,2361681#3,447768#0,02549564#-0,2246433#3,250977#-0,168494#-0,2177641#3,446745#0,04889595#-0,562149#3,081708#-0,05948198#-0,5647937#3,483682#0,07690409#-0,5998272#3,015474#-0,03147384#-0,6024719#3,417448#1  
frame28 #-0,006528092#0,9126573#3,470255#-0,04606968#0,7380891#3,497425# 0,03026341#0,3746898#3,319976#-0,1221653#0,2676886#3,314566#0,06682297#0,4127279#3,458289#-0,1597549#0,3060856#3,332996#0,1544279#0,5096219#3,662027#-0,2725237#0,4212766#3,40203#0,1127365#0,6609946#3,557439#-0,215788#0,6160829#3,448864#-0,05675317#0,37923#3,500494#-0,04878753#0,3108788#3,472854#0,02098637#0,2335494#3,484197#-0,11984#0,2374049#3,448159#0,02659052#-0,2254951#3,253259#-0,1659708#-0,2200436#3,450017#0,05116541#-0,5676454#3,079129#-0,05963486#-0,5605156#3,485208#0,07453442#-0,6054465#3,011151#-0,03626586#-0,5983167#3,41723#1  
frame29 #-0,03727482#0,9347824#3,466487#-0,05439954#0,7442325#3,504148# 0,1151105#0,3565831#3,402701#-0,3214143#0,2436761#3,376674#0,06493239#0,3776836#3,442209#-0,2557696#0,2583271#3,376883#0,1580557#0,4855468#3,638342#-0,2785807#0,4224992#3,433006#0,1040222#0,6669179#3,539382#-0,2242339#0,6218977#3,468054#-0,05742097#0,3818085#3,503541#-0,051332#0,3135709#3,472774#0,01938005#0,2389961#3,479405#-0,123488#0,239729#3,450457#0,02693958#-0,2241051#3,256964#-0,1647347#-0,2202519#3,454482#0,05332291#-0,5671306#3,0807#-0,05117351#-0,5652911#3,460788#0,06887221#-0,6047509#3,010772#-0,03562421#-0,6029114#3,390861#1  
frame30 #-0,04397791#0,9303256#3,47035#-0,05680235#0,7439541#3,506067# 0,1699433#0,2392594#3,431554#-0,2412659#0,2637664#3,354506#0,166839#0,2784525#3,485727#-0,2572187#0,3066165#3,389242#0,1675255#0,4744102#3,61804#-0,3050773#0,435167#3,507165#0,09980384#0,6648591#3,528928#-0,2322969#0,6283042#3,492158#-0,05602467#0,3821581#3,505975#-0,05251699#0,3143079#3,472718#0,01927462#0,2410275#3,475772#-0,1265526#0,2401942#3,453357#0,02983746#-0,2324175#3,25146#-0,1634529#-0,2233696#3,459414#0,05516556#-0,5737607#3,076266#-0,05088637#-0,5640986#3,468539#0,06324683#-0,6116932#3,004751#-0,04280511#-0,6020311#3,397024#1  
frame31 #-0,06339314#0,9481081#3,47328#-0,06935073#0,7502768#3,515397# 0,202076#0,2178853#3,49059#-0,2469493#0,2377188#3,409939#0,2031456#0,2811821#3,528712#-0,2621256#0,285916#3,438131#0,1740666#0,4772547#3,613735#-0,3076544#0,4305076#3,536397#0,09688432#0,6647656#3,522121#-0,2523862#0,6384149#3,542721#-0,06142714#0,3895579#3,511253#-0,06268246#0,3225048#3,47465#0,01377555#0,2489299#3,46767#-0,1419028#0,2460436#3,465169#0,03024707#-0,2260683#3,252798#-0,1635471#-0,2228376#3,465626#0,05761874#-0,5745753#3,066161#-0,04688068#-0,5620455#3,477751#0,05315961#-0,6125522#2,99433#-0,05133981#-0,6000223#3,40592#1  
frame32 #-0,07306123#0,9595542#3,474796#-0,07987201#0,7550229#3,527637# 0,2378747#0,1528236#3,489371#-0,2891752#0,2004845#3,476897#0,2371112#0,2452177#3,521388#-0,2933664#0,2561139#3,494292#0,1867235#0,4726953#3,57944#-0,3059402#0,4230024#3,560141#0,08484479#0,6651617#3,512282#-0,2617445#0,6376851#3,563017#-0,06683609#0,3957603#3,519413#-0,07079616#0,3296257#3,48033#0,008122526#0,256636#3,46308#-0,1508283#0,2499988#3,480964#0,02905776#-0,2240679#3,247743#-0,1634389#-0,2207584#3,470873#0,05943976#-0,5741225#3,061045#-0,04707228#-0,5631611#3,496248#0,0483965#-0,6120008#2,990005#-0,06016503#-0,6233119#3,527576#1 
frame33 #-0,1123459#0,9688761#3,504107#-0,08220662#0,7592285#3,539205# 0,2895243#0,1229102#3,512212#-0,3476406#0,1714377#3,493936#0,2693591#0,2378315#3,528279#-0,3351252#0,249569#3,542199#0,1884407#0,4643524#3,542627#-0,2982128#0,4148358#3,614436#0,07230268#0,6621877#3,497072#-0,2620654#0,6403545#3,586085#-0,0704062#0,398759#3,528097#-0,07981526#0,333062#3,487723#-0,00267049#0,2610729#3,460655#-0,1600772#0,2528105#3,497662#0,02311167#-0,2231846#3,225155#-0,1626546#-0,2198917#3,477394#0,06598441#-0,5802633#3,051812#-0,04446818#-0,5685455#3,516421#0,04642586#-0,6183745#2,982039#-0,06477121#-0,6324493#3,535055#1  
frame34 #-0,1205962#0,9686947#3,4988#-0,084112#0,7626724#3,539032# 0,3530495#0,1382938#3,523137#-0,4610173#0,0809912#3,566856#0,3041823#0,2462033#3,520542#-0,4056356#0,1869781#3,575167#0,1908297#0,4632931#3,531073#-0,3087269#0,4068122#3,636413#0,06578003#0,6635138#3,492539#-0,262087#0,6388099#3,600001#-0,07516284#0,4042427#3,534624#-0,08846509#0,338577#3,495156#-0,01386874#0,2695248#3,462688#-0,1675286#0,2556393#3,511961#0,01568486#-0,2103895#3,193577#-0,1637079#-0,2179094#3,480794#0,0717866#-0,5813233#3,041355#-0,04507437#-0,5695163#3,519098#0,0479484#-0,6197567#2,972411#-0,0686821#-0,6327119#3,538098#1  
frame35 #-0,1376563#0,9625348#3,498588#-0,08603179#0,7651399#3,541749# 0,3947675#0,1852776#3,499393#-0,4969614#0,1562359#3,699352#0,336533#0,257495#3,50166#-0,4539989#0,206229#3,680388#0,1995296#0,4640526#3,517509#-0,3182196#0,4131111#3,679676#0,06221467#0,662948#3,489194#-0,2598182#0,6305081#3,612161#-0,07843098#0,4056277#3,539679#-0,09443487#0,3396463#3,499631#-0,02073557#0,271607#3,464228#-0,1726738#0,2559284#3,518009#0,004439326#-0,1997747#3,169805#-0,1653097#-0,216703#3,483199#0,07722344#-0,5757146#3,036633#-0,0442433#-0,5685891#3,521414#0,06501111#-0,6400272#2,993122#-0,05934723#-0,6372781#3,527818#1  
frame36 #-0,1483067#0,9610307#3,507061#-0,08903381#0,770045#3,547349# 0,4597959#0,202376#3,50389#-0,5518951#0,1539346#3,832409#0,3804914#0,2884043#3,493432#-0,4741223#0,2606081#3,782525#0,214427#0,4742099#3,495619#-0,334003#0,4499966#3,714069#0,05610818#0,6634535#3,48549#-0,257005#0,6276288#3,620493#-0,0806997#0,4090538#3,544963#-0,09876095#0,3430108#3,50421#-0,02603526#0,2751727#3,465443#-0,1762316#0,2610455#3,526154#-0,02116582#-0,170765#3,137196#-0,1698141#-0,2151748#3,48487#0,07853779#-0,5444508#3,023651#-0,0445799#-0,5680932#3,523939#0,06179599#-0,5972881#2,963088#-0,05858416#-0,6376587#3,527603#1  
frame37 #-0,1635244#0,9481753#3,520336#-0,08963889#0,7689034#3,550117# 0,5133267#0,2393785#3,469211#-0,5369101#0,2682637#3,906191#0,4175682#0,3206548#3,461226#-0,4981279#0,3144935#3,835454#0,229117#0,4858821#3,485191#-0,3507068#0,4815365#3,752163#0,05502438#0,6643698#3,48429#-0,2550781#0,6230536#3,637392#-0,08064909#0,411142#3,54823#-0,1016213#0,346285#3,507793#-0,02866563#0,2771119#3,465437#-0,1793998#0,264487#3,533023#-0,02894621#-0,1643845#3,12397#-0,1795719#-0,2443217#3,497927#0,05039366#-0,5156716#2,989295#-0,05275378#-0,5641903#3,527735#0,04681095#-0,571716#2,945037#-0,06733739#-0,6327679#3,54177#1  
