frame1 #0,08874635#0,8293604#3,283956#0,01679466#0,667968#3,302939# 0,05150445#0,526648#3,140204#0,1551045#0,3605315#3,170993#0,09364294#0,4814504#3,171478#0,06572323#0,3511158#3,133578#0,2200584#0,3458576#3,27874#-0,1408377#0,3592374#3,126142#0,1830183#0,5793844#3,430192#-0,1320319#0,5643048#3,235474#0,0004497748#0,3160831#3,315456#-0,002819203#0,2457061#3,321244#0,06458952#0,1742311#3,346224#-0,07718309#0,1674453#3,297989#0,05470494#-0,2453355#3,079988#-0,1221757#-0,2382318#3,29424#0,06037319#-0,5828032#2,93081#-0,03811923#-0,5819505#3,382474#0,1108935#-0,6342507#2,853361#-0,01483662#-0,6162195#3,268053#1  
frame12 #0,03868094#0,878633#3,296618#-0,004446147#0,6962768#3,318623# 0,221783#0,2465236#3,291247#-0,02708546#0,2243187#3,235886#0,2271581#0,2820086#3,351625#-0,1215743#0,2336966#3,239702#0,1939155#0,4277399#3,479305#-0,233728#0,3832553#3,274385#0,1607976#0,6073631#3,387735#-0,1789831#0,5926846#3,309789#-0,0101551#0,33756#3,3212#-0,01047997#0,2664039#3,320545#0,06393006#0,1891172#3,330562#-0,08749504#0,1935373#3,307317#0,04949852#-0,2517422#3,083301#-0,1242207#-0,2231788#3,306129#0,063347#-0,5816938#2,939398#-0,1277231#-0,4816681#3,297185#0,08236447#-0,6252977#2,86156#-0,07727259#-0,4190532#3,299938#1  
frame13 #0,006750295#0,903833#3,306034#-0,01211174#0,7054523#3,326966# 0,2610103#0,2072478#3,291603#-0,1553107#0,1391433#3,232452#0,206807#0,2089933#3,335885#-0,175365#0,1964623#3,250221#0,2039531#0,4046673#3,467458#-0,2355281#0,3684192#3,316886#0,1554371#0,6118795#3,377144#-0,1905677#0,5995026#3,327476#-0,01392387#0,3461972#3,325688#-0,01363272#0,2747853#3,322663#0,06361667#0,1962028#3,327774#-0,09243271#0,2002338#3,312857#0,05020285#-0,250595#3,085443#-0,1232586#-0,2513545#3,312939#0,06411871#-0,5758562#2,941693#-0,07375292#-0,5015216#3,30707#0,07632843#-0,6190106#2,862699#-0,03712453#-0,433596#3,309539#1  
frame14 #-0,04353161#0,9178352#3,327969#-0,03735008#0,7219815#3,349598# 0,2826346#0,1114226#3,349993#-0,2358036#0,07446357#3,278771#0,2764874#0,184961#3,36448#-0,231966#0,1473083#3,323869#0,2275283#0,403755#3,415037#-0,2450963#0,355012#3,413894#0,1214123#0,6167786#3,32796#-0,2167052#0,615951#3,416248#-0,03696926#0,3633568#3,349774#-0,03867403#0,291817#3,345315#0,04418056#0,2125833#3,328022#-0,1215702#0,2141097#3,362818#0,05025366#-0,2502701#3,085543#-0,1172728#-0,2652171#3,330518#0,06764811#-0,5746569#2,924707#-0,02825028#-0,5817449#3,429069#0,04740695#-0,6174479#2,84849#-0,04166635#-0,6530504#3,405584#1  
frame15 #-0,06273204#0,936682#3,34205#-0,0419046#0,7320133#3,357232# 0,331251#0,09056821#3,361888#-0,3189556#0,02338085#3,354208#0,3160601#0,166782#3,367233#-0,301992#0,114294#3,381004#0,2371746#0,3963685#3,398727#-0,2492748#0,3479767#3,434384#0,1176293#0,6185488#3,325723#-0,2148482#0,6146353#3,425985#-0,0383394#0,3656193#3,353656#-0,04047732#0,2934138#3,347059#0,03784747#0,2182255#3,326235#-0,1214401#0,2151556#3,364988#0,04817335#-0,2507785#3,07001#-0,1165053#-0,2660224#3,335391#0,07410149#-0,5815477#2,914729#-0,00668753#-0,5929996#3,382356#0,05055769#-0,6246082#2,838392#-0,04521464#-0,6589976#3,39286#1  
frame16 #-0,06863871#0,9445114#3,346424#-0,04812627#0,7512182#3,383621# 0,3706839#0,1157008#3,366027#-0,4189612#0,03526181#3,471629#0,3347344#0,1917829#3,358614#-0,3676564#0,1185205#3,468001#0,2500215#0,3979895#3,368451#-0,2652877#0,3515009#3,485567#0,1058451#0,6247761#3,322818#-0,2143344#0,6214845#3,468306#-0,04230824#0,3739474#3,366647#-0,04660271#0,3003724#3,354839#0,02803045#0,2283469#3,324202#-0,1241916#0,2208294#3,378452#0,03865335#-0,2255792#3,057096#-0,1181855#-0,2685413#3,3446#0,08073334#-0,5631511#2,90839#-0,007194812#-0,5946249#3,387896#0,04621676#-0,6059908#2,834872#-0,04400251#-0,6634444#3,386984#1  
frame17 #-0,09892657#0,9425689#3,361974#-0,05413473#0,7564139#3,38933# 0,4296878#0,1367362#3,339134#-0,4546355#0,1096923#3,562601#0,3869092#0,1935762#3,318371#-0,3889217#0,1821682#3,540656#0,2641132#0,4212215#3,353867#-0,2845039#0,3620887#3,539074#0,09296449#0,6370807#3,318909#-0,2174553#0,6193168#3,482872#-0,0467818#0,386917#3,37776#-0,05303242#0,3146506#3,363822#0,02010735#0,2471483#3,324175#-0,1266083#0,2283506#3,390763#0,03230575#-0,2246496#3,041018#-0,1200202#-0,2708533#3,353489#0,08123771#-0,5697641#2,902224#-0,007638914#-0,5944343#3,387085#0,04164264#-0,6130554#2,830417#-0,04655168#-0,6481332#3,42968#1  
frame18 #-0,1070779#0,9477731#3,372608#-0,05920751#0,7705982#3,405333# 0,4649207#0,1585594#3,273462#-0,5073441#0,1602855#3,673964#0,4207284#0,2157217#3,264634#-0,4614261#0,2106589#3,64842#0,2663386#0,4334026#3,3342#-0,2938641#0,4191195#3,567922#0,08338146#0,6452296#3,315732#-0,2216165#0,6109138#3,506031#-0,04938242#0,3983614#3,39085#-0,05834799#0,3257361#3,373786#0,01438349#0,2564918#3,32618#-0,1307778#0,2372812#3,408278#0,01759452#-0,2064478#3,019828#-0,1275249#-0,2720746#3,366133#0,07695584#-0,5579884#2,900216#-0,01624894#-0,575043#3,418702#0,03126043#-0,6014569#2,830947#-0,04609133#-0,6487613#3,414752#1  
frame19 #-0,1278684#0,9520613#3,379803#-0,06019599#0,7736272#3,408264# 0,4959669#0,1985972#3,201354#-0,5009968#0,2533812#3,702699#0,4449038#0,2490504#3,202312#-0,4549155#0,3061702#3,687088#0,2797811#0,454062#3,298555#-0,3100911#0,4609684#3,612786#0,08043662#0,6498699#3,316505#-0,2205522#0,610847#3,506948#-0,04891543#0,4053413#3,398139#-0,05937414#0,3337828#3,379541#0,01265776#0,26174#3,328153#-0,1303142#0,2497281#3,418558#0,003199166#-0,1919141#3,002746#-0,1332849#-0,267601#3,374008#0,05035549#-0,5487678#2,893495#-0,04119976#-0,5415967#3,415456#0,003820393#-0,5926518#2,824034#-0,07134219#-0,6122296#3,392125#1  
frame20 #-0,1399915#0,9690635#3,397605#-0,06616919#0,7918653#3,416525# 0,5216022#0,2525548#3,117957#-0,4922175#0,3547266#3,790317#0,4556142#0,3031923#3,161655#-0,4577174#0,3874747#3,733049#0,2827779#0,4650145#3,285778#-0,3139961#0,5014815#3,646332#0,07502372#0,6566064#3,316153#-0,2183598#0,6143082#3,524776#-0,04632746#0,4245044#3,408893#-0,05763856#0,3528302#3,38943#0,01538934#0,2832833#3,333084#-0,1272803#0,2657088#3,432186#-0,0283029#-0,1414623#2,9893#-0,1465447#-0,2450703#3,392838#-0,01158576#-0,5022492#2,879269#-0,04899745#-0,5249646#3,424419#-0,06215327#-0,5466703#2,812001#-0,0758733#-0,5975284#3,40087#1  
frame21 #-0,1425799#0,9685585#3,398248#-0,06759163#0,793646#3,417998# 0,522961#0,31998#3,066548#-0,4986595#0,4187452#3,84456#0,4663605#0,3500156#3,092158#-0,4697769#0,4601104#3,793016#0,2785257#0,5029149#3,246823#-0,3306385#0,5211208#3,665216#0,06846149#0,6617695#3,317971#-0,2248216#0,6245217#3,545997#-0,04550742#0,4287222#3,413312#-0,05833284#0,3574905#3,393698#0,01279428#0,2895369#3,340433#-0,1263756#0,2689496#3,434636#-0,05137175#-0,09088264#2,990718#-0,179947#-0,1505554#3,411846#-0,07222822#-0,453281#2,860683#-0,008021876#-0,4862956#3,40357#-0,1209286#-0,5275709#2,798681#-0,06080509#-0,5303548#3,33918#1  
frame22 #-0,1433498#0,967288#3,39961#-0,06811677#0,7935767#3,41884# 0,5126796#0,3781078#2,992943#-0,5285046#0,4880691#3,848954#0,4521725#0,4037865#3,034132#-0,4804224#0,5124466#3,806328#0,2758408#0,5223043#3,228111#-0,336176#0,5855792#3,691681#0,06574475#0,6646659#3,318099#-0,2252012#0,624101#3,548217#-0,04592587#0,4343283#3,419991#-0,05942751#0,3647793#3,401586#0,01057799#0,2963209#3,348691#-0,1259308#0,2750861#3,443077#-0,07118504#-0,04957987#3,000356#-0,1811026#-0,1434925#3,415892#-0,1233637#-0,4065515#2,846126#-0,01051244#-0,4860289#3,402928#-0,1704911#-0,4792534#2,788254#-0,06393621#-0,5305248#3,338747#1  
frame23 #-0,1604614#0,9477962#3,445858#-0,0698044#0,7931577#3,421082# 0,4874949#0,4460658#2,92644#-0,4827237#0,6589888#3,895005#0,4302824#0,4648865#2,976254#-0,4456265#0,6402341#3,840782#0,2697153#0,548359#3,199552#-0,3343348#0,5839698#3,691289#0,05634538#0,6724456#3,321259#-0,2187078#0,6646025#3,568352#-0,04515538#0,4654923#3,4363#-0,05736697#0,4056766#3,4242#0,01094049#0,3182922#3,357453#-0,1183792#0,3258901#3,481269#-0,06613124#0,007731646#3,03199#-0,1447224#-0,08509299#3,383269#-0,1616537#-0,3277695#2,848305#-0,02764215#-0,4489314#3,379948#-0,2184327#-0,3733177#2,787722#-0,08442122#-0,4944795#3,319365#1  
frame24 #-0,1630712#0,9509354#3,448316#-0,07543018#0,7979909#3,428638# 0,4409882#0,5207037#2,900755#-0,3908026#0,8526004#3,7661#0,3973044#0,5201223#2,935463#-0,376084#0,7892374#3,746599#0,248792#0,5623073#3,176924#-0,3319281#0,5991486#3,701214#0,05330854#0,6749909#3,32059#-0,2190594#0,6705583#3,573125#-0,04754733#0,470438#3,440484#-0,05885219#0,4078119#3,42705#0,00899723#0,3232605#3,362686#-0,1198301#0,3286845#3,484349#-0,06806511#0,0148212#3,047169#-0,1479039#-0,08085224#3,389761#-0,1513754#-0,2412191#2,876914#-0,02356388#-0,442275#3,379489#-0,219309#-0,2949591#2,81105#-0,08129543#-0,487724#3,319865#1  
frame25 #-0,1691368#0,954513#3,450945#-0,08048284#0,8015827#3,433435# 0,3986534#0,5927104#2,86492#-0,3870441#0,8602415#3,781467#0,337289#0,5775499#2,948259#-0,3736296#0,7974246#3,761094#0,2166054#0,6068772#3,181406#-0,3333859#0,608974#3,713064#0,0459653#0,6784679#3,320918#-0,2219193#0,6800609#3,585816#-0,04869448#0,4729857#3,442289#-0,05983499#0,4091535#3,428966#0,007893356#0,3239807#3,363302#-0,1194177#0,3304292#3,487948#-0,08596565#0,02832859#3,053209#-0,1459579#-0,07645124#3,390152#-0,2121255#-0,2133443#2,891457#-0,02175152#-0,4417751#3,379038#-0,2820634#-0,2569693#2,820091#-0,08152705#-0,487349#3,321257#1  
frame26 #-0,1739262#0,9557145#3,456068#-0,08692595#0,8046545#3,443996# 0,3410657#0,6521583#2,831659#-0,4240914#0,9089491#3,753335#0,2958021#0,6123797#2,905073#-0,4011135#0,8466824#3,745093#0,1999471#0,6339327#3,171212#-0,3321795#0,6598822#3,733451#0,04467268#0,6798105#3,320482#-0,2220896#0,7297849#3,606651#-0,0520579#0,4753806#3,449344#-0,06362443#0,4105406#3,436052#0,000833883#0,3252553#3,373876#-0,1201773#0,3313507#3,491096#-0,1253549#0,02038743#3,049951#-0,1411275#-0,07805938#3,41291#-0,2978313#-0,2171541#2,90175#-0,01565422#-0,4426603#3,395801#-0,3642683#-0,248238#2,821232#-0,04293528#-0,5409757#3,433919#1  
frame27 #-0,1798134#0,9512265#3,462209#-0,08918395#0,8030026#3,447088# 0,276338#0,7050839#2,826931#-0,4112152#0,9006839#3,799201#0,2602499#0,6463515#2,900959#-0,3914401#0,8401517#3,779399#0,2248245#0,6159577#3,108564#-0,3321147#0,6585552#3,733054#0,04099245#0,6830574#3,321203#-0,2223418#0,7282565#3,606649#-0,05280164#0,4773161#3,451661#-0,06433673#0,4128885#3,438496#0,0007148676#0,3255105#3,373874#-0,1199223#0,3366889#3,496995#-0,1856891#0,006499083#3,024747#-0,05179039#-0,2208178#3,438424#-0,3612881#-0,2057953#2,929862#0,03630153#-0,5715057#3,404457#-0,4258168#-0,2425886#2,84994#-0,04406195#-0,6425672#3,384527#1  
frame28 #-0,1831589#0,9479126#3,46942#-0,09159462#0,8026785#3,453593# 0,2138136#0,7438794#2,812195#-0,4720325#0,9346974#3,856902#0,2118955#0,6956334#2,891608#-0,4367426#0,8846061#3,830397#0,2171692#0,6092512#3,115901#-0,330873#0,7343323#3,763942#0,03223625#0,6856349#3,32427#-0,2228244#0,727363#3,60892#-0,04890334#0,4557045#3,455338#-0,05807085#0,3804586#3,441207#0,006300597#0,3113903#3,396686#-0,1129909#0,3220093#3,476537#-0,1870164#0,008459199#3,028048#-0,04942299#-0,2387413#3,437494#-0,3930654#-0,1847388#2,966216#0,03435919#-0,5704042#3,408515#-0,469687#-0,2310141#2,901366#-0,02660256#-0,6311169#3,397029#1  
frame29 #-0,1847871#0,9458869#3,473226#-0,09400822#0,8021337#3,457253# 0,1552856#0,7973682#2,810386#-0,5145811#0,9926045#3,881685#0,1618701#0,7409148#2,888634#-0,4721578#0,9486336#3,848438#0,183467#0,6307537#3,080252#-0,3448879#0,8167207#3,76175#0,03172044#0,6858081#3,324142#-0,2154971#0,7310719#3,613682#-0,04636911#0,4511585#3,454837#-0,05567864#0,3770873#3,440525#0,009576265#0,3090092#3,399508#-0,1093752#0,3209499#3,471042#-0,1886538#0,01093198#3,046685#-0,04402581#-0,241334#3,441175#-0,4070603#-0,1735433#3,020571#0,03480307#-0,5698677#3,409267#-0,4866771#-0,2260866#2,963125#-0,02554316#-0,6319779#3,395846#1  
frame30 #-0,1894235#0,9371946#3,482239#-0,09906078#0,7892526#3,470362# 0,09488526#0,8411043#2,816003#-0,5319484#1,060334#3,879193#0,1115582#0,7598616#2,904407#-0,4847848#1,000239#3,846223#0,1662728#0,636879#3,07608#-0,3432937#0,8199531#3,760333#0,02382036#0,6966547#3,314448#-0,2119963#0,7237133#3,622985#-0,04261928#0,4519036#3,45407#-0,0499301#0,3809241#3,439423#0,01962181#0,3143519#3,397818#-0,1005417#0,3334681#3,467278#-0,1827395#0,0580222#3,11613#-0,04178751#-0,2308337#3,442713#-0,4107802#-0,1843272#3,059116#0,0571632#-0,559006#3,41816#-0,4796422#-0,2314063#3,009464#-0,02476639#-0,6312947#3,395251#1  
frame31 #-0,1872746#0,932494#3,485476#-0,09512147#0,7850869#3,473139# 0,03448744#0,863386#2,831775#-0,5254209#1,126835#3,821929#0,05080922#0,7946327#2,907849#-0,4988161#1,06905#3,794233#0,1394574#0,6504977#3,053348#-0,3578853#0,8692899#3,769513#0,0222685#0,6975402#3,313285#-0,2039672#0,7186704#3,627172#-0,03866766#0,4628477#3,456123#-0,04682223#0,4016501#3,441865#0,01827202#0,3221697#3,390217#-0,09352195#0,3639429#3,485165#-0,2156548#0,04975488#3,116676#-0,04299269#-0,2024502#3,44728#-0,4159665#-0,20549#3,124381#0,05198764#-0,5633613#3,416765#-0,5131358#-0,2583639#3,108194#-0,01164726#-0,6319311#3,385821#1  
frame32 #-0,193776#0,9745274#3,493181#-0,07712409#0,8551918#3,485366# -0,03058742#0,8912723#2,888405#-0,4885467#1,110916#3,725767#-0,008586263#0,814656#2,942875#-0,4586776#1,048912#3,723665#0,1323405#0,6513388#3,051568#-0,3355702#0,8061629#3,744661#0,01010888#0,6842188#3,312329#-0,1834537#0,7902092#3,639303#-0,03672197#0,5206246#3,472111#-0,05087769#0,4535241#3,459528#-0,0007409891#0,3552896#3,392178#-0,08905371#0,4021191#3,511818#-0,2387688#0,03176688#3,165568#-0,04482071#-0,1652898#3,454415#-0,4520983#-0,2328345#3,185281#0,04749956#-0,5641133#3,4154#-0,5272045#-0,2789736#3,143926#0,000542406#-0,6273623#3,390026#1  
frame33 #-0,1968917#0,9712584#3,49264#-0,08515884#0,8446753#3,479851# -0,0934466#0,9028049#2,934024#-0,4788846#1,141597#3,670989#-0,06916966#0,8548691#2,957831#-0,4590251#1,075484#3,671008#0,09301676#0,6648943#3,038895#-0,365869#0,8702781#3,71294#0,003178158#0,6590621#3,321807#-0,1914884#0,7796926#3,633788#-0,03783034#0,4814138#3,470366#-0,04914267#0,4045055#3,458864#0,002881174#0,3369127#3,403526#-0,09013943#0,3516311#3,499683#-0,2481059#0,01552236#3,196453#-0,040884#-0,2171233#3,452045#-0,4567309#-0,2723215#3,265582#0,04166641#-0,566153#3,414876#-0,5317517#-0,3198362#3,222631#-0,03623946#-0,6387286#3,424373#1  
frame34 #-0,2136607#0,962111#3,49491#-0,1051995#0,8309572#3,47993# -0,1208669#0,9111827#2,966144#-0,4544652#1,100669#3,58335#-0,1029823#0,8566557#2,987556#-0,4432452#1,021893#3,632035#0,0796224#0,6625724#3,050703#-0,3527684#0,821066#3,740522#-0,006589102#0,6558884#3,334183#-0,2115291#0,7659746#3,633868#-0,0329864#0,469349#3,454528#-0,03853045#0,3927513#3,435735#0,01822289#0,3236198#3,379944#-0,06939622#0,3285619#3,464015#-0,2410473#0,005125246#3,224539#-0,03873553#-0,2411317#3,454263#-0,4513209#-0,2914582#3,31628#0,0391274#-0,5683656#3,409902#-0,5244805#-0,3400846#3,270782#-0,03306771#-0,6364119#3,393165#1  
frame35 #-0,2566234#0,935392#3,525859#-0,146343#0,8040768#3,509486# -0,1638097#0,9051962#3,030377#-0,4331835#1,064051#3,513115#-0,1362689#0,8422518#3,031184#-0,4306976#0,9986021#3,562813#0,008521476#0,6856805#3,055802#-0,3663047#0,8544155#3,755374#-0,01106375#0,6401605#3,337161#-0,2526726#0,7390941#3,663423#-0,0393251#0,4619352#3,456783#-0,04143485#0,3884727#3,436168#0,0204036#0,3161833#3,377003#-0,0775905#0,3188528#3,468326#-0,2557518#-0,01897107#3,276965#-0,04026567#-0,2338427#3,460613#-0,4372918#-0,3207835#3,409398#0,03514457#-0,5712786#3,408784#-0,5079643#-0,3704085#3,361949#0,02103571#-0,6506487#3,431496#1  
frame36 #-0,225662#0,8963958#3,517629#-0,1148233#0,7644159#3,501364# -0,2104921#0,9023125#3,068821#-0,417452#0,9783538#3,455235#-0,1957689#0,8350891#3,065812#-0,4135492#0,9310324#3,505137#-0,01339168#0,6624374#3,073534#-0,3510882#0,8224486#3,717838#-0,006269521#0,5863732#3,347917#-0,2211529#0,6994332#3,655302#-0,04234882#0,4337047#3,46506#-0,04796172#0,3649767#3,446012#0,0111209#0,2876569#3,383769#-0,08474541#0,2953368#3,486067#-0,2300937#-0,05368105#3,305679#-0,03943533#-0,2384709#3,475316#-0,4053604#-0,356142#3,450129#0,0296604#-0,5829668#3,404077#-0,4774235#-0,4039395#3,403871#-0,04240268#-0,6307644#3,357818#1  
frame37 #-0,2232042#0,8957067#3,514586#-0,1117954#0,7630479#3,498426# -0,2310954#0,8518111#3,126249#-0,3958268#0,890882#3,392403#-0,2058737#0,7864113#3,122984#-0,3938754#0,8175902#3,500965#-0,03476389#0,6264625#3,108857#-0,3729062#0,7907194#3,709413#-0,02086218#0,7237185#3,306742#-0,218125#0,6980652#3,652363#-0,02507088#0,42323#3,436343#-0,02928396#0,3530526#3,412269#0,02211245#0,2972316#3,358826#-0,058551#0,2905456#3,439476#-0,2535579#-0,06278119#3,336024#-0,0365687#-0,2335839#3,482305#-0,3939142#-0,3683893#3,511303#0,02496482#-0,5808003#3,390821#-0,4688989#-0,4161735#3,470916#0,08400554#-0,6362835#3,372754#1  
