frame1 #0,02523457#0,9118304#3,204385#-0,01074276#0,7092271#3,263327# -0,005334325#0,348924#3,089776#-0,001786441#0,305915#3,046432#0,04237203#0,3701408#3,108898#-0,05087979#0,3484655#3,043268#0,1854911#0,4337914#3,180413#-0,1851593#0,4388478#3,097733#0,141335#0,6245062#3,319874#-0,1664238#0,5917911#3,190195#-0,03776792#0,3322417#3,274293#-0,03247643#0,2576397#3,254359#0,03334153#0,1937774#3,266481#-0,10515#0,1790555#3,234944#0,009620562#-0,2697318#3,0722#-0,1411674#-0,29176#3,213202#0,01151831#-0,602937#2,861741#-0,04457014#-0,5518434#2,925757#0,04563473#-0,647781#2,784446#-0,01045372#-0,5966874#2,848462#1  
frame17 #-0,0745582#0,9257613#3,265614#-0,0393751#0,7461291#3,308443# 0,1888001#0,2196521#3,206537#-0,1934039#0,2076332#3,179349#0,2083503#0,2836823#3,270611#-0,208857#0,2573929#3,200326#0,2234974#0,4569134#3,382643#-0,2552164#0,4066719#3,277389#0,1244837#0,6296318#3,299301#-0,2247986#0,6111127#3,318496#-0,0433441#0,3540295#3,301873#-0,04649871#0,2807475#3,266086#0,02907558#0,2062656#3,255274#-0,1285496#0,201587#3,265257#0,02615189#-0,2514868#3,037569#-0,1411641#-0,2734392#3,256252#0,02980765#-0,6010038#2,84101#-0,04069246#-0,618625#3,280165#0,02548672#-0,6405061#2,765735#-0,08367875#-0,6753843#3,267307#1  
frame18 #-0,0945828#0,9205914#3,285249#-0,0450377#0,7503769#3,316675# 0,2076434#0,1940882#3,223694#-0,2106658#0,2211437#3,18064#0,2203653#0,2481034#3,26292#-0,2137504#0,2487064#3,197541#0,2268109#0,4616026#3,366851#-0,2460523#0,38889#3,304585#0,1152928#0,6352251#3,289123#-0,2361218#0,6195402#3,35213#-0,04483135#0,3607921#3,309682#-0,05216907#0,2882456#3,271538#0,02595308#0,2147493#3,252733#-0,1350682#0,2058556#3,274979#0,02322371#-0,2432551#2,992178#-0,1349471#-0,2879499#3,269779#0,03163137#-0,6036633#2,835788#-0,03980349#-0,6181378#3,278079#0,0178638#-0,6428539#2,762155#-0,08340439#-0,6747965#3,270819#1  
frame19 #-0,1202803#0,9330085#3,31091#-0,04883672#0,7545424#3,320522# 0,2605418#0,1412757#3,240777#-0,2438527#0,1370884#3,174458#0,2571971#0,2328559#3,257505#-0,2401275#0,1968135#3,243917#0,2306412#0,4590913#3,331977#-0,2371662#0,3785301#3,351835#0,1052935#0,6427968#3,281596#-0,2387572#0,6140828#3,386535#-0,05007901#0,3743063#3,322496#-0,06346698#0,3036369#3,2859#0,01671362#0,2307146#3,255887#-0,1496837#0,2195465#3,30401#0,01719472#-0,2307564#2,988572#-0,1371272#-0,2825099#3,27365#0,03350244#-0,5991576#2,838494#-0,04028071#-0,6184399#3,275786#0,01023351#-0,6388773#2,766461#-0,08646373#-0,6742674#3,270284#1  
frame20 #-0,1335155#0,9345019#3,333391#-0,05317127#0,7610594#3,327119# 0,3093149#0,1056807#3,245486#-0,3405323#0,08299531#3,249584#0,2929997#0,2168481#3,246725#-0,3005044#0,1634409#3,278271#0,2239692#0,4467838#3,293012#-0,2435961#0,3834131#3,376253#0,09891683#0,6498407#3,278006#-0,2316856#0,6249976#3,416886#-0,05061072#0,3833106#3,330611#-0,06754558#0,3126166#3,294026#0,009752392#0,2423011#3,258594#-0,1504072#0,2266696#3,315752#0,01139051#-0,2351306#2,96936#-0,1378043#-0,2840279#3,27606#0,03638682#-0,59158#2,839471#-0,04366941#-0,6134191#3,294841#0,005392151#-0,6316363#2,769533#-0,08220352#-0,6717788#3,272558#1  
frame21 #-0,1386621#0,9384662#3,33996#-0,05619942#0,7658513#3,329539# 0,3666022#0,1171253#3,242378#-0,4428313#0,08226776#3,351469#0,3299656#0,2228136#3,241258#-0,3660921#0,161122#3,358052#0,2255485#0,4465168#3,279915#-0,2494972#0,3792381#3,391684#0,08912049#0,6507674#3,272343#-0,2320579#0,6267258#3,417988#-0,05318772#0,3875893#3,334232#-0,07164304#0,3168416#3,297405#0,00391384#0,2472047#3,258869#-0,1535578#0,2317209#3,322609#0,001360937#-0,2333982#2,944105#-0,140446#-0,2824572#3,280491#0,03260266#-0,5902257#2,837649#-0,05692036#-0,5834106#3,324651#0,0241164#-0,6491052#2,793564#-0,1170311#-0,5838461#3,28142#1  
frame22 #-0,140346#0,9399703#3,345299#-0,05542569#0,7737564#3,335938# 0,4001915#0,1865058#3,227562#-0,4918102#0,1183257#3,453213#0,3677131#0,2429313#3,205292#-0,4209507#0,1833448#3,424445#0,2331211#0,4533721#3,261103#-0,2694709#0,3863376#3,436217#0,08080079#0,6543493#3,264652#-0,2294958#0,6333464#3,424191#-0,05513724#0,4020851#3,342757#-0,07668707#0,333121#3,306865#-0,001470001#0,2571524#3,258353#-0,1597998#0,2582778#3,347281#-0,02657459#-0,1873107#2,929846#-0,1524682#-0,2638479#3,296522#-0,007652899#-0,556894#2,834999#-0,06437548#-0,5639195#3,328143#-0,01331047#-0,6148608#2,788315#-0,05280641#-0,5742586#3,228355#1  
frame23 #-0,145753#0,9447263#3,353069#-0,05687225#0,7788641#3,341034# 0,4705608#0,1881552#3,172625#-0,4904805#0,1700198#3,551137#0,4023413#0,273087#3,170705#-0,4223838#0,2326101#3,538672#0,2447674#0,4653895#3,247628#-0,2649646#0,4044474#3,502378#0,0747778#0,6569158#3,260271#-0,230009#0,6379031#3,42921#-0,05454106#0,4103595#3,348615#-0,07692544#0,3417397#3,313044#-0,002552627#0,2643315#3,259507#-0,1585359#0,2627386#3,353691#-0,05211442#-0,1503452#2,915639#-0,1744058#-0,1974192#3,310037#-0,05837089#-0,5331394#2,821176#0,03625669#-0,5754311#3,305873#-0,08019398#-0,5895473#2,776321#0,01683336#-0,5771485#3,20588#1  
frame24 #-0,1488381#0,9460468#3,357274#-0,05871319#0,7838444#3,345667# 0,5084817#0,2380124#3,112255#-0,4814928#0,2402516#3,620117#0,4380479#0,311239#3,137894#-0,4304822#0,2802669#3,587629#0,2627296#0,4891505#3,21977#-0,2627792#0,4455747#3,543896#0,06936299#0,6610479#3,256124#-0,2312906#0,642644#3,433911#-0,05019223#0,412864#3,349722#-0,07248934#0,3442425#3,313704#0,006366181#0,2739315#3,26023#-0,152824#0,262767#3,353056#-0,06962921#-0,1230619#2,911346#-0,1674479#-0,1962962#3,305051#-0,1120695#-0,5061774#2,792884#0,02708618#-0,5858117#3,301288#-0,1578334#-0,5706221#2,729437#-0,003456969#-0,5818732#3,203299#1  
frame25 #-0,1524715#0,9483349#3,359985#-0,06084896#0,7902052#3,349292# 0,5488982#0,2898372#3,056467#-0,4488285#0,3216004#3,689475#0,4608214#0,3556291#3,092704#-0,3843383#0,3652981#3,6361#0,2751306#0,5166692#3,190796#-0,2631305#0,4926432#3,572508#0,06489949#0,6652686#3,253134#-0,2330728#0,6488701#3,437626#-0,04728176#0,4139576#3,351646#-0,07000087#0,344612#3,315226#0,007667629#0,2765429#3,261892#-0,145267#0,2573807#3,354654#-0,08343647#-0,08622001#2,916386#-0,1649165#-0,2619355#3,297006#-0,1576203#-0,4710577#2,78933#0,03860233#-0,6059577#3,300316#-0,2180596#-0,5059038#2,725966#0,001520682#-0,5928312#3,20467#1  
frame26 #-0,155873#0,9475933#3,362022#-0,06231607#0,7907124#3,349137# 0,5729052#0,3450262#2,993514#-0,4188258#0,4216197#3,76503#0,4707257#0,4075724#3,039532#-0,3773481#0,447602#3,715326#0,2785384#0,5369641#3,172364#-0,260223#0,5244116#3,596886#0,06391419#0,669462#3,251554#-0,2343796#0,6493436#3,437505#-0,04820633#0,4170023#3,354671#-0,07115175#0,3477217#3,318582#0,009810128#0,2813631#3,27469#-0,1528914#0,2673285#3,354519#-0,09247991#-0,07317665#2,916944#-0,16253#-0,1826756#3,313368#-0,2133911#-0,4152695#2,773139#0,01998048#-0,5814239#3,298696#-0,2678975#-0,4611391#2,697339#-0,0213135#-0,564628#3,20471#1  
frame27 #-0,16023#0,9495908#3,362615#-0,06528045#0,7919326#3,349714# 0,5650447#0,4245385#2,942681#-0,4061472#0,4810644#3,807779#0,4703377#0,4643443#2,996241#-0,3618903#0,5076049#3,72849#0,2826054#0,5602888#3,163092#-0,2530934#0,5597103#3,591936#0,06251964#0,6746036#3,251276#-0,2372011#0,650538#3,438117#-0,05423576#0,4508866#3,371035#-0,07598835#0,3903362#3,341879#0,005707042#0,2966431#3,27679#-0,1555661#0,3046747#3,39563#-0,1128266#0,02306286#2,947187#-0,1626043#-0,1691593#3,32701#-0,251647#-0,350168#2,775046#0,01216975#-0,5747967#3,297698#-0,3087039#-0,3992277#2,702358#-0,03501077#-0,5514768#3,207276#1  
frame28 #-0,1643466#0,9486039#3,362681#-0,06778489#0,7915031#3,349796# 0,5660009#0,5014226#2,901655#-0,3941247#0,6060548#3,815258#0,4654364#0,526956#2,961235#-0,3349401#0,6206878#3,741526#0,2818135#0,5861255#3,15005#-0,2531557#0,5597443#3,591688#0,0598636#0,6774614#3,251525#-0,2396237#0,6501184#3,438233#-0,05542222#0,451897#3,370039#-0,07605198#0,3904732#3,341793#0,003559415#0,3015378#3,277232#-0,155133#0,3037672#3,39646#-0,1154816#0,02541965#2,950277#-0,1624043#-0,1743526#3,330206#-0,3168496#-0,3008511#2,762449#0,01365617#-0,581871#3,297084#-0,3609598#-0,3437952#2,695013#-0,02824851#-0,659681#3,263596#1  
frame29 #-0,1697295#0,9462138#3,364838#-0,0728626#0,7914883#3,354789# 0,5079252#0,5987275#2,901881#-0,3285423#0,7395431#3,748649#0,4502345#0,5930718#2,942191#-0,3100683#0,694725#3,706661#0,2731675#0,6254388#3,14375#-0,2546463#0,5602705#3,594223#0,05830514#0,6810809#3,249375#-0,2446625#0,6501059#3,443285#-0,05667292#0,4539493#3,370977#-0,0765298#0,391483#3,342657#0,002311938#0,3052959#3,278603#-0,1551857#0,3038859#3,396595#-0,1371256#0,03396557#2,954901#-0,1624143#-0,1752453#3,330669#-0,338243#-0,2431183#2,793562#0,01365986#-0,5841931#3,297379#-0,3833741#-0,2861085#2,726499#-0,04895538#-0,6669355#3,296309#1  
frame30 #-0,1724615#0,9461613#3,366266#-0,07661876#0,7943736#3,358933# 0,5120851#0,6730787#2,845412#-0,3124722#0,7418101#3,781156#0,4195534#0,6423284#2,932736#-0,2657169#0,7153633#3,70199#0,2728956#0,6331386#3,133383#-0,2568858#0,5634772#3,598002#0,05638331#0,6857049#3,247913#-0,2483934#0,6529945#3,44746#-0,05622437#0,4535868#3,370999#-0,07538796#0,3900061#3,343249#0,006196075#0,3065479#3,28325#-0,154183#0,303141#3,394712#-0,1778944#0,02062657#2,948717#-0,1618186#-0,1754539#3,331322#-0,381188#-0,2155779#2,815632#0,01258032#-0,5854619#3,296873#-0,4273005#-0,2587862#2,748702#-0,04054146#-0,6648856#3,289579#1  
frame31 #-0,1771598#0,9471356#3,370009#-0,07925832#0,7955564#3,363353# 0,470352#0,7535648#2,82398#-0,3083748#0,757337#3,778616#0,4148375#0,7128899#2,885356#-0,2674996#0,7217491#3,699917#0,2749426#0,6549873#3,091385#-0,2587297#0,5650278#3,602359#0,05521922#0,6881441#3,246942#-0,2510185#0,6541787#3,451901#-0,05174369#0,4511926#3,370322#-0,06766091#0,384608#3,340379#0,01617583#0,3087774#3,284987#-0,1400964#0,2939977#3,376429#-0,195219#0,0291828#2,950768#-0,05270024#-0,2551341#3,338834#-0,3960522#-0,2174708#2,844796#0,02415987#-0,6127245#3,29458#-0,4719319#-0,2444522#2,775705#-0,0452516#-0,6647669#3,292094#1  
frame32 #-0,1834223#0,9466705#3,376803#-0,08298337#0,7984027#3,369749# 0,4170855#0,8234183#2,820324#-0,3707624#0,8489424#3,851947#0,3762996#0,768688#2,871829#-0,3295121#0,8107342#3,810462#0,2708701#0,6517035#3,093656#-0,2413501#0,7185854#3,678912#0,04805077#0,6986811#3,247977#-0,2547296#0,6570253#3,45831#-0,04302482#0,4509652#3,370289#-0,05688327#0,3835205#3,337972#0,02763327#0,3132752#3,285504#-0,1240088#0,2952384#3,369021#-0,2036036#0,04413939#2,969363#-0,05299386#-0,2545618#3,338136#-0,4086134#-0,2027229#2,882062#0,01786489#-0,615768#3,292687#-0,4947681#-0,2311629#2,826558#-0,07058202#-0,6625417#3,328763#1  
frame33 #-0,1845979#0,9449265#3,379889#-0,08385141#0,7979052#3,370938# 0,3462466#0,8670729#2,805968#-0,3858567#0,9433149#3,890604#0,3027713#0,7858281#2,881361#-0,3445397#0,9050449#3,849051#0,2488844#0,6632929#3,064842#-0,2306962#0,7853153#3,659589#0,04304186#0,7010763#3,24808#-0,2555934#0,6565276#3,459501#-0,04190955#0,4493539#3,372702#-0,05695616#0,3815416#3,340123#0,02718277#0,312204#3,294795#-0,1251076#0,2957087#3,369498#-0,2036641#0,05477227#2,991187#-0,05300058#-0,2547235#3,338447#-0,4155223#-0,1913233#2,941648#0,01031317#-0,6144516#3,292639#-0,5047159#-0,2224073#2,89026#-0,03910068#-0,6582416#3,22643#1  
frame34 #-0,1899175#0,9447008#3,386311#-0,08778903#0,7979764#3,375714# 0,2816431#0,9141583#2,812721#-0,3932688#1,019097#3,857955#0,2724671#0,8431858#2,862331#-0,3521006#0,9809649#3,816552#0,2390697#0,6728709#3,055294#-0,283554#0,7953867#3,658608#0,03958857#0,7010279#3,248546#-0,2595238#0,6565983#3,464282#-0,03728756#0,4487234#3,37383#-0,05192424#0,3806112#3,339725#0,03189368#0,3138918#3,295767#-0,1170521#0,2962782#3,365466#-0,2134436#0,05506547#3,006603#-0,05227447#-0,2547815#3,341241#-0,4133286#-0,2006928#2,979143#0,01016925#-0,6150523#3,292872#-0,5083718#-0,2310638#2,93842#-0,005411132#-0,6888763#3,267335#1  
frame35 #-0,1947507#0,9423385#3,394742#-0,09542134#0,7974271#3,386065# 0,2123414#0,9670432#2,806385#-0,3956716#1,068349#3,876066#0,2142635#0,8738497#2,854222#-0,3545332#1,030245#3,834694#0,2035702#0,7057864#3,037865#-0,287846#0,8837693#3,738871#0,02230421#0,7038304#3,254764#-0,1708661#0,7382464#3,579688#-0,02417699#0,4490434#3,365965#-0,04839487#0,3777303#3,34277#0,02515202#0,3156955#3,294749#-0,08293165#0,3088755#3,386627#-0,2171763#0,04485804#3,038085#-0,05107527#-0,2541682#3,347511#-0,4223303#-0,2055825#3,019035#0,01017235#-0,6156319#3,292066#-0,518631#-0,246752#2,992759#-0,07391256#-0,6589732#3,271999#1  
frame36 #-0,1962732#0,9406418#3,408102#-0,09477559#0,7939129#3,393892# 0,144015#0,9966329#2,824261#-0,3689939#1,014148#3,839135#0,1495451#0,9310417#2,839555#-0,3281793#0,9763435#3,798088#0,176575#0,7248446#3,014616#-0,2652486#0,8245372#3,70695#0,02241543#0,7025882#3,253247#-0,1682061#0,7358944#3,582246#-0,0194213#0,4414751#3,370317#-0,04357088#0,369244#3,346342#0,02135873#0,3206886#3,301869#-0,08182374#0,3043796#3,382617#-0,2414025#-0,02082507#3,092821#-0,04117317#-0,251276#3,3719#-0,4564644#-0,2610453#3,076061#0,008675438#-0,6171928#3,296321#-0,5566377#-0,2981281#3,05951#-0,04807021#-0,6734022#3,298177#1  
frame37 #-0,2011608#0,9101194#3,419357#-0,09799478#0,7586051#3,404863# 0,07842783#1,000961#2,828726#-0,376366#1,128374#3,741025#0,09956386#0,8970516#2,866773#-0,3355189#1,090539#3,699946#0,1702807#0,7253205#3,006122#-0,2664525#0,8362507#3,699762#0,02249117#0,700846#3,249434#-0,1668253#0,7006214#3,588966#-0,01582781#0,4365177#3,372157#-0,04026119#0,3665889#3,347689#0,02171176#0,322946#3,303619#-0,07859502#0,3011674#3,380395#-0,2522781#-0,07232358#3,13885#-0,03506573#-0,25339#3,386053#-0,4258283#-0,3271368#3,20365#0,004122305#-0,6168498#3,299026#-0,525957#-0,3586839#3,176709#-0,09057484#-0,6678842#3,306645#1  
