frame1 #0,2973264#1,029191#3,755317#0,3727775#0,8305663#3,777706# 0,380816#0,1726858#3,528738#0,3184658#0,6934365#3,506988#0,3919494#0,2361754#3,557699#0,2535512#0,7076464#3,568478#0,5346155#0,4611501#3,623409#0,05880775#0,7502762#3,765702#0,4805547#0,6648738#3,65161#0,2423202#0,68574#3,840342#0,3689201#0,4854025#3,773114#0,3340026#0,4261243#3,731132#0,3817732#0,3605978#3,691896#0,2745677#0,3699875#3,752521#0,417209#-0,2024903#3,696235#0,1389712#-0,1615205#3,827599#0,4791602#-0,5451934#3,71869#0,03232064#-0,501164#3,764179#0,4178533#-0,6272057#3,698033#-0,0268181#-0,5483508#3,691336#1  
frame12 #0,1211286#0,9968672#3,777848#0,1867747#0,8100418#3,750322# -0,2164734#0,755914#3,392721#-0,1897592#0,743682#3,429287#-0,162339#0,7193969#3,484406#-0,1563106#0,6860928#3,457887#-0,09231957#0,5423771#3,520711#-0,01137318#0,6750458#3,685882#0,1306473#0,6420927#3,564838#0,08854214#0,8357207#3,889084#0,1874193#0,4035353#3,737638#0,1316679#0,3301808#3,726935#0,1405259#0,2979381#3,72767#0,1031983#0,2793214#3,720458#0,1347355#-0,2719163#3,649743#0,02686417#-0,2055469#3,660307#0,3416466#-0,553774#3,650084#0,007456268#-0,5228592#3,740212#0,3494619#-0,6290308#3,677517#-0,007552943#-0,6018241#3,716142#1  
frame13 #0,09169279#0,9889615#3,777092#0,1684685#0,8068123#3,753897# -0,1901439#0,7772765#3,525141#-0,2397574#0,829793#3,397705#-0,1791011#0,7150177#3,491835#-0,1878913#0,7765317#3,470782#-0,05818373#0,5723699#3,541764#-0,04947706#0,6944409#3,68525#0,1800331#0,6395065#3,639676#0,07017201#0,8324744#3,892691#0,1836732#0,4084062#3,75209#0,1348089#0,3356907#3,730075#0,1714855#0,2864258#3,769213#0,1032352#0,2769898#3,706677#0,08281188#-0,293395#3,657435#-0,04516873#-0,2227699#3,649335#0,2940239#-0,533232#3,636998#-0,006347088#-0,5160263#3,748044#0,2616731#-0,6105216#3,60586#-0,01990307#-0,59193#3,725496#1  
frame14 #0,06068519#0,9664156#3,749314#0,1598187#0,8041767#3,751712# -0,2473485#0,7107675#3,503887#-0,2364297#0,8772848#3,420664#-0,2391146#0,6432675#3,486094#-0,2137068#0,8214746#3,468096#-0,06286608#0,6122392#3,559105#-0,1921496#0,5921481#3,535389#0,1391575#0,7398382#3,674554#0,03902703#0,6462547#3,591597#0,09897427#0,4034593#3,761079#0,1213953#0,3243817#3,722442#0,1325986#0,2863535#3,745948#0,09447132#0,2669094#3,692173#0,01896243#-0,273451#3,642687#-0,05622141#-0,2354656#3,653644#0,2182321#-0,5386827#3,596828#-0,01251511#-0,53315#3,741086#0,1644173#-0,5978539#3,592493#-7,693842E-05#-0,6022958#3,710367#1  
frame15 #0,05327079#0,9717704#3,752829#0,1374996#0,803331#3,750805# -0,3389704#0,6412474#3,526405#-0,2405349#0,9316001#3,463291#-0,2781265#0,6466827#3,538211#-0,2275274#0,8588079#3,504427#-0,09559464#0,6629887#3,586202#-0,1380828#0,6370212#3,570233#0,1368424#0,729906#3,683441#0,1135703#0,6500681#3,611346#0,04532159#0,3959608#3,72816#0,08154123#0,3089153#3,71427#0,07887033#0,2825235#3,738826#0,08378363#0,2691244#3,68693#0,01045071#-0,2730197#3,646665#-0,08000259#-0,1442607#3,69189#0,1247517#-0,537882#3,576835#-0,01495543#-0,5288786#3,729604#0,09968849#-0,6046023#3,557143#-0,04926995#-0,5939422#3,737139#1  
frame16 #0,02024998#0,9720442#3,756343#0,04636715#0,788906#3,752414# -0,2689383#0,8088754#3,63945#-0,2090837#0,9738702#3,546873#-0,26083#0,7424046#3,621928#-0,2242114#0,8901988#3,586118#-0,09284559#0,6655262#3,639751#-0,2349861#0,6404592#3,59228#0,1486404#0,6975818#3,720533#0,01372386#0,6331376#3,641447#0,0592355#0,3832374#3,759596#0,07994869#0,3082611#3,713845#0,09565533#0,2746651#3,737895#0,05156844#0,2596681#3,685752#-0,01800079#-0,2696387#3,661567#-0,01241458#-0,2470661#3,837619#-0,02003727#-0,5522049#3,577418#-0,04336878#-0,5170213#3,624403#-0,1036146#-0,6035035#3,558535#-0,005990148#-0,5561871#3,556506#1  
frame17 #0,01186192#0,9659797#3,752852#0,04556737#0,7843251#3,754608# -0,2804344#0,835043#3,701323#-0,1932888#0,9577718#3,595093#-0,2724098#0,7692591#3,683981#-0,2155692#0,9113318#3,640254#-0,1001283#0,7081662#3,668581#-0,2541346#0,6642021#3,647319#0,1478406#0,6930009#3,722727#-0,07137282#0,6189921#3,657667#0,05897874#0,3785564#3,763775#0,07301997#0,3048894#3,714158#0,1066389#0,2583783#3,728714#0,02419723#0,2464011#3,689616#-0,02564381#-0,2714084#3,660908#-0,03309809#-0,2442031#3,847659#0,007097706#-0,5576379#3,651572#-0,1109523#-0,5592377#3,617143#-0,07768743#-0,5756981#3,601119#-0,1679631#-0,5875477#3,54793#1  
frame18 #-0,07570016#0,9223119#3,797004#0,03677438#0,7696601#3,766579# -0,2691706#0,8373302#3,710049#-0,1736782#1,021155#3,668909#-0,2611617#0,7716739#3,692742#-0,2072207#0,9359895#3,68225#-0,0747894#0,6796825#3,689382#-0,2791303#0,729019#3,699554#0,1719367#0,6463909#3,741321#-0,07123151#0,6197879#3,659379#0,02876118#0,368172#3,767452#0,04310662#0,2954827#3,717167#0,09909547#0,2413749#3,728665#-0,02017607#0,2426123#3,690871#-0,03384982#-0,2766564#3,661261#-0,04250374#-0,2348907#3,849085#-0,006664861#-0,5633337#3,666216#-0,2174839#-0,5061738#3,602594#-0,09883809#-0,5791751#3,628768#-0,1921609#-0,5459004#3,528737#1  
frame19 #-0,07270089#0,9217967#3,799064#0,03148384#0,762388#3,766108# -0,3088259#0,8520468#3,743188#-0,1552547#1,011292#3,711909#-0,3008416#0,7865934#3,725934#-0,1995377#0,924669#3,73218#-0,08087614#0,6753134#3,702924#-0,2728025#0,6887745#3,70284#0,1664566#0,6373511#3,740406#-0,0797359#0,6138643#3,669889#0,02461311#0,3661748#3,7672#0,03728301#0,2943756#3,71647#0,09548229#0,2385203#3,730571#-0,02646965#0,2376406#3,685578#-0,03398171#-0,2761111#3,65842#-0,04309075#-0,2340542#3,853159#-0,003918128#-0,5876694#3,714305#-0,2647799#-0,496329#3,633715#-0,05608161#-0,6407797#3,720953#-0,2428401#-0,5362607#3,558512#1  
frame20 #-0,0698697#0,9105457#3,809511#0,03861298#0,7515008#3,762468# -0,2474139#0,9088099#3,840488#-0,1524643#1,003954#3,733086#-0,2393726#0,8428887#3,82311#-0,2152818#0,882449#3,840894#-0,1160311#0,6702847#3,697919#-0,2733234#0,6816227#3,711046#0,132386#0,6231742#3,730754#-0,08498591#0,6118759#3,673709#0,01529611#0,3640767#3,764055#0,02114141#0,293021#3,71244#0,07735078#0,2433632#3,727485#-0,04438862#0,2344633#3,681478#-0,02323067#-0,2790956#3,652396#-0,05237528#-0,2547482#3,865292#-0,003749931#-0,5876289#3,714394#-0,3031282#-0,5029662#3,658674#-0,03689104#-0,6523967#3,694299#-0,282302#-0,5434152#3,582416#1  
frame21 #-0,1011056#0,9452052#3,829922#-0,05778176#0,7556575#3,786308# -0,2590649#0,8534824#3,869707#-0,1780235#0,9374469#3,742665#-0,250989#0,7872767#3,852255#-0,2373834#0,8361776#3,851968#-0,1330448#0,6609976#3,701642#-0,3460098#0,7182118#3,752684#0,117392#0,6012062#3,731334#-0,1969216#0,6227176#3,707493#-0,03425138#0,383713#3,766497#-0,02460659#0,3207891#3,710844#0,07180206#0,2523344#3,713849#-0,1066376#0,2460865#3,689698#-0,01440386#-0,273949#3,638795#-0,05224306#-0,2548302#3,86469#-0,01826995#-0,5746964#3,736475#-0,3375257#-0,4932799#3,689295#-0,02335943#-0,6477429#3,715833#-0,3294957#-0,5339438#3,609968#1  
frame22 #-0,1021712#0,9340444#3,82698#-0,05846955#0,7428442#3,783314# -0,2034987#0,8057597#3,847364#-0,1849519#0,8978049#3,776649#-0,1953903#0,7392887#3,829842#-0,2443118#0,7965356#3,885952#-0,1469831#0,6297194#3,690917#-0,3080661#0,638124#3,740782#0,1075528#0,5736488#3,73427#-0,1321506#0,5951608#3,698317#-0,03856645#0,3503915#3,767265#-0,0254714#0,2808765#3,713255#0,05263004#0,2353855#3,713555#-0,09398229#0,2262469#3,69338#-0,02286038#-0,2798156#3,628115#-0,06105248#-0,2342532#3,8528#-0,01352574#-0,5782573#3,731068#-0,3640549#-0,4662449#3,689105#-0,01361474#-0,6434447#3,69073#-0,3496895#-0,5070782#3,609984#1  
frame23 #-0,1269123#0,8887086#3,878799#-0,0730769#0,7085817#3,783983# 0,1235784#0,7598966#3,985534#-0,2376637#0,8713369#3,989176#0,1316567#0,693672#3,968077#-0,250039#0,8150635#3,933696#-0,04445748#0,640341#3,823298#-0,2871651#0,6462435#3,779813#0,1006177#0,5568203#3,737949#-0,1375503#0,5881448#3,698596#-0,04437469#0,3279967#3,765942#-0,02857263#0,2629895#3,71179#0,04677478#0,2139645#3,713551#-0,09417352#0,1996163#3,68902#-0,1253779#-0,33696#3,595416#-0,04044133#-0,2532771#3,883838#-0,0138099#-0,5814915#3,734372#-0,3590725#-0,458369#3,714657#-0,01544721#-0,6491907#3,69806#-0,3425855#-0,4992701#3,635743#1  
frame24 #-0,1384918#0,8808671#3,891114#-0,07326761#0,7068589#3,785872# 0,2547286#0,5281947#3,948738#-0,2564132#0,8629697#4,044288#0,1784824#0,550857#3,914594#-0,2682731#0,8064962#3,988443#-0,05025611#0,6188439#3,824782#-0,303853#0,6370758#3,833528#0,09482847#0,5475166#3,735377#-0,157581#0,5455559#3,702135#-0,04420375#0,2969311#3,757553#-0,03175116#0,2217208#3,697713#0,04002957#0,1855845#3,700944#-0,09264091#0,1489437#3,671139#-0,127746#-0,3405258#3,594079#-0,06080223#-0,2959641#3,889331#-0,01414554#-0,5716939#3,738039#-0,3934153#-0,4850671#3,717672#-0,006854355#-0,6384538#3,699813#-0,3819336#-0,526347#3,637491#1  
frame25 #-0,1558409#0,867528#3,763271#-0,07951212#0,6993537#3,799282# 0,2372281#0,451897#3,924724#-0,2611274#0,8748559#4,048701#0,1627664#0,4871829#3,898633#-0,2729874#0,8183824#3,992857#-0,06061853#0,5930406#3,833039#-0,3085673#0,6489619#3,838003#0,08974712#0,5381078#3,740738#-0,1624384#0,5564229#3,706637#-0,04925483#0,2942055#3,758574#-0,03565633#0,2223521#3,698876#0,03523099#0,1842436#3,700491#-0,09688619#0,1504905#3,672291#-0,1358781#-0,3432872#3,592392#-0,06055262#-0,2883492#3,887195#-0,01278951#-0,5544099#3,751667#-0,3992131#-0,4825399#3,724448#-0,008510668#-0,6196836#3,709848#-0,3857017#-0,5242139#3,6443#1  
frame26 #-0,1560608#0,8668524#3,821543#-0,08079317#0,6831848#3,798258# 0,2264471#0,4218212#3,922413#-0,2525879#0,8315578#4,004619#0,1525782#0,458833#3,89796#-0,2644479#0,7750843#3,948774#-0,06902827#0,5698684#3,837364#-0,3000278#0,6056639#3,794001#0,07941258#0,5245515#3,743932#-0,132665#0,5644454#3,700434#-0,06107272#0,2748137#3,753374#-0,04309618#0,2075893#3,694993#0,01366421#0,1725734#3,695366#-0,09631059#0,1453573#3,671174#-0,01424014#-0,3965312#3,662853#-0,06342759#-0,2731302#3,892208#-0,01658834#-0,5479268#3,745739#-0,3985254#-0,4761021#3,727258#-0,007982013#-0,6173476#3,711771#-0,3768641#-0,5177161#3,648716#1  
frame27 #-0,1499773#0,8649889#3,838751#-0,09806547#0,6718279#3,796521# 0,1834402#0,4550742#3,959257#-0,2502267#0,7958148#3,991791#0,1426415#0,4448239#3,904088#-0,2658896#0,7411249#3,93941#-0,08091762#0,5456955#3,840011#-0,3128781#0,5770552#3,795085#0,07794043#0,5203547#3,744804#-0,1801728#0,5148155#3,699382#-0,0644087#0,2695861#3,755548#-0,0489886#0,202836#3,696635#0,01225634#0,1624031#3,697416#-0,1061422#0,1352064#3,671344#-0,160127#-0,4099366#3,620879#-0,1091592#-0,2842462#3,873857#0,02115154#-0,5815614#3,778945#-0,4557712#-0,4889216#3,732548#-0,01078678#-0,6110168#3,709864#-0,4407645#-0,5309073#3,652142#1  
frame28 #-0,2478721#0,8048496#3,829312#-0,1067177#0,6620473#3,794323# 0,1687062#0,4456528#3,950331#-0,2487808#0,780307#3,979698#0,1204876#0,4173074#3,909121#-0,2668589#0,7262924#3,929085#-0,1041655#0,5028015#3,835036#-0,3210932#0,5642486#3,790116#0,0529332#0,4873216#3,737058#-0,182721#0,509532#3,698953#-0,07533304#0,2594907#3,756462#-0,05920291#0,1925046#3,698207#0,002299971#0,1461849#3,702816#-0,112552#0,1289287#3,670047#-0,08692975#-0,4560492#3,689745#-0,1065887#-0,2736872#3,862627#0,07035481#-0,6209724#3,874018#-0,4400793#-0,4934319#3,711141#0,02461504#-0,6156358#3,778395#-0,4237994#-0,5354608#3,630606#1  
frame29 #-0,2786327#0,7671791#3,802561#-0,1146784#0,6537524#3,794047# 0,1340411#0,4997132#3,920284#-0,2214696#0,7063558#3,937035#0,08497547#0,4767832#3,876589#-0,2491689#0,6464728#3,891586#-0,1363042#0,5651058#3,800565#-0,3322667#0,4668236#3,768152#0,05842708#0,4812192#3,742131#-0,1776033#0,5001163#3,69199#-0,08359665#0,2537971#3,757125#-0,0650488#0,1873843#3,699465#-0,003111146#0,1370507#3,705932#-0,117364#0,1260538#3,669332#-0,09153633#-0,4731166#3,690152#-0,1094606#-0,2840367#3,868701#-0,02830929#-0,5769314#3,741461#-0,4440127#-0,4983647#3,710817#0,003702302#-0,6294237#3,692265#-0,4238207#-0,5404718#3,630809#1  
frame30 #-0,269447#0,7784631#3,806797#-0,1269762#0,635736#3,784403# 0,1316381#0,5061359#3,936366#-0,285245#0,6930793#4,03964#0,08249578#0,4831702#3,892602#-0,2971049#0,6366058#3,983795#-0,1392531#0,5716799#3,816416#-0,3326848#0,4671853#3,829201#0,05734739#0,4682233#3,738435#-0,1848453#0,4564255#3,672604#-0,08905046#0,2496603#3,756471#-0,06828637#0,1845094#3,699795#-0,005342123#0,1337289#3,707919#-0,1205674#0,1217717#3,667724#-0,04697351#-0,2862566#3,846582#-0,1103881#-0,2856784#3,869351#-0,02483006#-0,5693123#3,741514#-0,4457911#-0,4991322#3,704667#-0,002686778#-0,6110001#3,662555#-0,4236478#-0,5408199#3,625708#1  
frame31 #-0,2693226#0,7807919#3,807234#-0,1351968#0,6291192#3,776091# 0,1268396#0,4877599#3,937806#-0,2967634#0,6697818#4,01177#0,07775714#0,4648219#3,894095#-0,3086234#0,6133083#3,955925#-0,1441099#0,5533789#3,817885#-0,3442033#0,4438879#3,801353#0,05215938#0,466707#3,75599#-0,188383#0,4545939#3,668596#-0,0990795#0,2430661#3,755753#-0,07402583#0,1776702#3,701818#-0,009013346#0,1289864#3,709808#-0,1262683#0,1124558#3,671964#-0,04362419#-0,2882901#3,852599#-0,09290616#-0,3220776#3,900946#-0,02780863#-0,570652#3,741492#-0,4361516#-0,5070549#3,717448#0,0007278044#-0,6266602#3,694699#-0,4071151#-0,5485029#3,640387#1  
frame32 #-0,3002065#0,7474917#3,787344#-0,13923#0,6257921#3,770744# 0,1188026#0,4904225#3,943078#-0,3004483#0,6652886#4,010552#0,06974205#0,4674949#3,899387#-0,3123083#0,6088151#3,954707#-0,1523103#0,5561259#3,823118#-0,3478881#0,4393947#3,800152#0,04839636#0,471721#3,759344#-0,1919258#0,4523911#3,663476#-0,1060621#0,2381597#3,754717#-0,08004481#0,1720043#3,702301#-0,01448285#0,1235155#3,708803#-0,1322737#0,1082411#3,675745#-0,04879909#-0,292263#3,850899#-0,08600757#-0,3184233#3,899711#-0,02741201#-0,5788232#3,72768#-0,4297277#-0,5043589#3,71938#0,009597048#-0,6361833#3,688807#-0,398562#-0,5457772#3,642866#1  
frame33 #-0,2992014#0,7536628#3,784158#-0,1430027#0,6250454#3,770902# 0,03855385#0,3730739#3,804794#-0,3103739#0,6542029#3,966881#-0,01067671#0,3500668#3,760952#-0,3310099#0,598955#3,917832#-0,2057714#0,4842519#3,674586#-0,3929178#0,4332111#3,783679#0,04234334#0,4765983#3,765825#-0,2437556#0,4123811#3,693685#-0,1006031#0,2432816#3,758272#-0,08124506#0,1792078#3,70434#-0,01125665#0,1331963#3,709122#-0,1333146#0,1080029#3,677028#-0,0533825#-0,2827851#3,844231#-0,04076594#-0,2855077#3,92445#-0,02874279#-0,5857608#3,725078#-0,3812075#-0,4756755#3,740975#0,01423897#-0,6392106#3,686026#-0,3632242#-0,517656#3,660128#1  
frame34 #-0,3062745#0,7621121#3,774865#-0,1553414#0,627269#3,768127# 0,04189896#0,3784172#3,803457#-0,3009644#0,6520764#3,937422#-0,007521868#0,3553213#3,759446#-0,3283341#0,5974166#3,89103#-0,2095852#0,4804027#3,672974#-0,4104434#0,4334373#3,76487#0,03828693#0,460174#3,765774#-0,2486479#0,4145171#3,691806#-0,1062605#0,2476263#3,757578#-0,08484167#0,1834896#3,704067#-0,01224161#0,1384539#3,704166#-0,1386503#0,1078794#3,681251#-0,02326566#-0,2616457#3,880054#-0,04101254#-0,2845808#3,926723#-0,027975#-0,5864988#3,721476#-0,3815191#-0,4754001#3,742786#0,02029693#-0,6340574#3,680262#-0,3619209#-0,5175527#3,66188#1  
frame35 #-0,3039579#0,7723879#3,774585#-0,1624197#0,6262648#3,76225# -0,03407659#0,4151252#3,762595#-0,3123466#0,6487218#3,934115#-0,08344936#0,3920517#3,718626#-0,3385363#0,5933945#3,886914#-0,3016955#0,4899226#3,635767#-0,4171054#0,4274129#3,758343#-0,04950661#0,4627835#3,706846#-0,2543892#0,4143968#3,685784#-0,1062558#0,2340413#3,756555#-0,09208064#0,1626807#3,702605#-0,02282307#0,1311163#3,695807#-0,1425677#0,09122037#3,69436#-0,02325555#-0,2628382#3,882816#-0,04257757#-0,2927408#3,928661#-0,02598402#-0,5837614#3,722137#-0,3838131#-0,479506#3,742577#0,0175709#-0,6383669#3,684264#-0,3777816#-0,5220268#3,65955#1  
frame36 #-0,2999502#0,7734742#3,760006#-0,1623886#0,6256344#3,759464# -0,07914363#0,4289735#3,745391#-0,3416888#0,6526142#3,891188#-0,128522#0,4058973#3,701417#-0,3663615#0,5973455#3,837612#-0,352192#0,495174#3,62457#-0,4403796#0,4315397#3,689934#-0,1039167#0,4680873#3,646915#-0,254086#0,4140213#3,682562#-0,08798329#0,2221318#3,752801#-0,08817814#0,1449215#3,700477#-0,03030005#0,1226171#3,688012#-0,1318572#0,08427504#3,701508#-0,102395#-0,291879#3,807227#-0,1472#-0,3819662#3,876872#-0,02188069#-0,5917062#3,720021#-0,4995026#-0,5486798#3,6877#-0,04443563#-0,634962#3,640025#-0,5220575#-0,5919356#3,607704#1  
frame37 #-0,3016526#0,7724151#3,761143#-0,1623421#0,6255931#3,759475# -0,07465563#0,4329856#3,740975#-0,3662463#0,6524735#3,837927#-0,1240049#0,409923#3,697026#-0,3846859#0,5965171#3,780879#-0,347296#0,4990485#3,620358#-0,4400048#0,428648#3,622811#-0,1039274#0,4672584#3,646147#-0,2539764#0,4140279#3,682508#-0,08806446#0,2169059#3,754587#-0,08852562#0,1389038#3,702554#-0,03383152#0,1197758#3,688647#-0,1296867#0,07955278#3,705822#-0,04994584#-0,2689274#3,882105#-0,0671316#-0,3182659#3,931837#-0,02254802#-0,585988#3,723289#-0,4010359#-0,5039021#3,726203#0,02281848#-0,642597#3,690076#-0,4238013#-0,5473133#3,646153#1  
