frame1 #-0,157231#0,8643745#3,136915#-0,1087326#0,6911801#3,181077# -0,3489504#0,284565#2,827312#-0,655193#0,5007238#3,084317#-0,2576149#0,304646#2,829106#-0,6399143#0,4818832#3,095546#-0,1034147#0,3944634#2,89706#-0,4710442#0,470452#3,187712#0,01609435#0,5767472#3,05151#-0,3014235#0,546081#3,231415#-0,07736848#0,3222231#3,191347#-0,09918053#0,2530592#3,148054#-0,02602132#0,1811744#3,105974#-0,1689043#0,1673746#3,173208#0,1578223#-0,2532182#3,116342#-0,3419663#-0,2487486#3,192742#0,2722144#-0,5483344#3,129601#-0,3768264#-0,5920709#3,175515#0,3552391#-0,6199514#3,08901#-0,4231423#-0,6389558#3,098101#0  
frame23 #-0,4137119#0,9052338#3,199371#-0,4561168#0,725504#3,191365# -0,2921198#0,7234871#3,464521#-0,2892499#0,6725236#2,963686#-0,289247#0,6635862#3,447019#-0,3454885#0,6263067#2,936457#-0,2806289#0,4838835#3,408233#-0,5142046#0,4876558#2,868495#-0,3039409#0,6558763#3,326885#-0,50581#0,6103245#3,036875#-0,4291883#0,3223959#3,187562#-0,4167127#0,2356938#3,183472#-0,3604476#0,1862948#3,21908#-0,4601796#0,1805631#3,142409#-0,5044115#-0,2972449#3,320727#-0,2202252#-0,2437181#3,087423#-0,2681882#-0,6004992#3,13357#-0,5406438#-0,513685#3,186129#-0,1943786#-0,6438876#3,084562#-0,4668342#-0,5570735#3,13712#0  
frame24 #-0,4086816#0,9234073#3,205421#-0,4269961#0,7212407#3,174359# -0,2625626#0,719789#3,44313#-0,2402201#0,7709882#2,916919#-0,2598189#0,6597672#3,426706#-0,2731279#0,7233713#2,893907#-0,2515876#0,4797017#3,391147#-0,3718514#0,5805206#2,83858#-0,2748384#0,6516462#3,30988#-0,4702544#0,5563231#3,056924#-0,421026#0,2844944#3,169104#-0,4148527#0,1980129#3,167386#-0,3686379#0,116414#3,190014#-0,4622698#0,1797071#3,148397#-0,4915158#-0,2914792#3,324891#-0,1490466#-0,2320965#3,09454#-0,1803122#-0,5479982#3,132385#-0,4870363#-0,4817234#3,183894#-0,1104658#-0,5924375#3,08034#-0,4171899#-0,5261627#3,131849#0  
frame25 #-0,4044579#0,9027874#3,196209#-0,4218726#0,7134304#3,16663# -0,2576911#0,7121121#3,435479#-0,1200095#0,7333868#2,726671#-0,2548847#0,6520559#3,41903#-0,1654823#0,7026779#2,75624#-0,2464655#0,4718875#3,383402#-0,3019006#0,6105512#2,858667#-0,2697144#0,6438334#3,302149#-0,4695289#0,5535994#3,060547#-0,4178521#0,2807081#3,164364#-0,411896#0,1944947#3,162749#-0,3635071#0,113538#3,17224#-0,458115#0,1742092#3,147002#-0,481106#-0,2848963#3,324866#-0,1362175#-0,2304595#3,097472#-0,161754#-0,5345567#3,138969#-0,477512#-0,4765083#3,18264#-0,094116#-0,578997#3,085141#-0,4098741#-0,5209485#3,128812#0  
frame26 #-0,3646032#0,9190156#3,164464#-0,3487585#0,7675339#3,199728# -0,1847519#0,7675771#3,468806#-0,01687622#0,7819601#2,775757#-0,1819028#0,7071803#3,452291#-0,06422158#0,754723#2,806501#-0,1733552#0,5259899#3,416476#-0,2062576#0,6730118#2,912461#-0,1966011#0,697936#3,335248#-0,4051434#0,5806093#3,068355#-0,3409647#0,3536935#3,171133#-0,3341601#0,2715105#3,164414#-0,2813691#0,2081935#3,156597#-0,386196#0,2236668#3,162631#-0,4557399#-0,2571716#3,310783#-0,1141995#-0,2235325#3,114314#-0,1173331#-0,482348#3,128391#-0,4680644#-0,4568513#3,185993#-0,04822534#-0,5258319#3,074565#-0,3989567#-0,5003353#3,132167#0  
frame27 #-0,3642636#0,9192598#3,16521#-0,3474136#0,7674224#3,201127# -0,1834534#0,7684484#3,470551#-0,01573446#0,7825212#2,795171#-0,1805926#0,7078059#3,453969#-0,06354588#0,7560764#2,826402#-0,1720103#0,5258785#3,417927#-0,2069801#0,676742#2,933799#-0,1952562#0,6978245#3,336647#-0,4074218#0,5885096#3,092173#-0,3364404#0,377971#3,154725#-0,3292207#0,3076279#3,138622#-0,2607159#0,2546446#3,099908#-0,3905665#0,2385777#3,157156#-0,4307886#-0,2011238#3,283528#-0,1255199#-0,214036#3,121608#-0,0925816#-0,4265008#3,101658#-0,4821181#-0,4465941#3,18387#-0,02656889#-0,4696266#3,042462#-0,4161054#-0,4897199#3,124673#0  
frame28 #-0,3519121#0,9154586#3,167679#-0,3210613#0,7666107#3,204913# -0,1571465#0,7685969#3,474728#-0,004322477#0,799567#2,822683#-0,1542744#0,7077144#3,45808#-0,05258545#0,7730781#2,853685#-0,145658#0,5250669#3,421797#-0,1973744#0,6936111#2,960349#-0,168904#0,6970129#3,340432#-0,4003907#0,6046751#3,11616#-0,3144899#0,3911198#3,155596#-0,3066394#0,3188551#3,138628#-0,2255571#0,2709284#3,093703#-0,3805531#0,2443662#3,159325#-0,4119647#-0,1817704#3,269785#-0,07630548#-0,181077#3,099652#-0,07419649#-0,4072437#3,088466#-0,4499666#-0,3812836#3,16819#-0,01341671#-0,4505867#3,023961#-0,3891868#-0,4246266#3,103685#0  
frame29 #-0,2371589#0,8892976#3,122779#-0,2682608#0,7610438#3,192456# -0,0351679#0,8609939#3,069785#-0,01413874#0,7960784#2,861755#-0,07803631#0,713624#3,22596#-0,06272593#0,769515#2,893144#-0,09285762#0,5194999#3,409413#-0,2084875#0,6898248#3,000933#-0,1161034#0,6914459#3,327976#-0,41271#0,6013181#3,158845#-0,2692874#0,3931994#3,150162#-0,2590476#0,3238947#3,125583#-0,178204#0,2604809#3,085813#-0,3328656#0,2442376#3,13625#-0,3916448#-0,1898483#3,25199#-0,031984#-0,1896774#3,07939#-0,05392867#-0,4155509#3,071115#-0,4135588#-0,3733303#3,14972#-0,01122515#-0,460402#2,992099#-0,3708552#-0,4181814#3,070704#0  
frame30 #-0,1902618#0,9058991#3,138709#-0,2360366#0,7672751#3,190538# -0,01859461#0,8829378#3,112609#-0,009505853#0,7884293#2,867404#-0,05452396#0,737083#3,243762#-0,05827302#0,7617297#2,898866#-0,06063327#0,5257311#3,407474#-0,2045745#0,6816311#3,006887#-0,08387921#0,6976771#3,326058#-0,4097088#0,592842#3,165054#-0,2329045#0,381721#3,14531#-0,2220098#0,3088697#3,116436#-0,1315286#0,2345757#3,084684#-0,3058472#0,2265162#3,119238#-0,383426#-0,2014835#3,247401#-0,0006660223#-0,2088276#3,060441#-0,04545516#-0,427367#3,066382#-0,3859826#-0,3834597#3,134064#-0,008099124#-0,4727337#2,983981#-0,3486266#-0,4288265#3,051664#0  
frame31 #-0,1892455#0,8452505#3,118804#-0,228058#0,7047442#3,172425# 0,03275189#0,6948397#3,205645#0,002722353#0,7517067#2,868925#-0,02106418#0,6913934#3,254814#-0,04618904#0,7248473#2,90047#-0,05265465#0,4632003#3,389357#-0,1929232#0,6442689#3,008739#-0,07590055#0,6351463#3,307945#-0,3987238#0,5549203#3,167231#-0,2049335#0,3429211#3,129239#-0,1911387#0,2776123#3,098028#-0,1136607#0,2136405#3,073623#-0,2594452#0,198786#3,094329#-0,3704429#-0,2278035#3,226136#0,06077811#-0,2287938#3,025482#-0,03229478#-0,4538158#3,045049#-0,3268521#-0,3933177#3,107872#0,001498826#-0,4997025#2,960525#-0,2930585#-0,4392044#3,023348#0  
frame32 #-0,07586924#0,8178173#3,103956#-0,1069682#0,6581988#3,128368# 0,1871206#0,6725427#3,275067#0,04298003#0,7076628#2,847292#0,13313#0,6690851#3,324395#-0,003876343#0,6760195#2,877762#0,06843511#0,4166549#3,345279#-0,1444454#0,5810897#2,982817#0,04518921#0,5886009#3,263888#-0,3132516#0,4932691#3,145589#-0,08187035#0,310796#3,07449#-0,06859069#0,2506933#3,034464#0,02019721#0,1798461#3,009648#-0,1422314#0,1607028#3,016831#-0,291967#-0,2415945#3,129792#0,1656382#-0,2830432#2,967627#0,04052961#-0,4610814#2,926711#-0,2409532#-0,4059659#3,037694#0,1458145#-0,5135447#2,932367#-0,2171417#-0,4530227#2,949911#0  
frame33 #-0,05830055#0,8624237#3,098709#-0,07768314#0,6926#3,099038# 0,116652#0,7586862#3,380938#0,1569482#0,7021815#2,748718#0,1533583#0,7001275#3,356662#0,1097363#0,6725993#2,780799#0,09772015#0,4510561#3,315918#-0,03189956#0,5838525#2,890706#0,07447425#0,6230021#3,234558#-0,2249144#0,5093146#3,076525#-0,06481256#0,3056357#3,060243#-0,0447696#0,2371669#3,02#0,02820063#0,177428#3,004741#-0,1091411#0,1534697#3,006157#-0,2846464#-0,2455701#3,126695#0,239878#-0,2560089#3,068027#0,04779464#-0,4607347#2,918143#-0,1641952#-0,4162732#3,07088#0,152017#-0,5147573#2,929325#-0,1255307#-0,4622371#2,987771#0  
frame34 #-0,05395572#0,8647732#3,105078#-0,07459908#0,6929723#3,098052# 0,2249482#0,824388#3,457758#0,2454496#0,7255207#2,736934#0,2391172#0,6505624#3,328647#0,1973164#0,6958444#2,767858#0,2380496#0,4492428#3,175305#0,05291697#0,6068157#2,874321#0,07755832#0,6233744#3,233572#-0,1626055#0,5359833#3,031432#-0,05396879#0,2905921#3,045986#-0,02576935#0,2180505#3,006369#0,03742043#0,1686971#2,996694#-0,08254711#0,1491913#2,993228#-0,2676672#-0,2607969#3,121168#-0,2913507#-0,2556143#3,062304#0,04088253#-0,5011327#2,902794#-0,4783558#-0,5794615#3,060164#0,1495663#-0,5443134#2,918332#-0,4216001#-0,6247486#2,987693#0  
frame35 #-0,01438736#0,8081577#3,103661#-0,02012738#0,6329211#3,06325# 0,2875261#0,7131445#3,481022#-0,05828286#0,7367904#2,929077#0,305041#0,583911#3,341196#-0,04185222#0,6776955#2,908504#0,311792#0,4498765#3,129192#0,007439688#0,500411#2,860478#0,1112536#0,5485112#3,018212#-0,1458576#0,5212126#3,004564#0,0002439385#0,2471331#3,022316#0,007023531#0,1799516#2,974279#0,07172529#0,1257761#2,964792#-0,05145811#0,1194934#2,95746#0,2693296#-0,2527466#3,061364#-0,2569996#-0,2527605#3,049253#0,4119178#-0,5730917#2,972117#-0,3515056#-0,5733112#2,982944#0,4149578#-0,6194957#2,881651#-0,3484656#-0,6197152#2,892478#0  
frame36 #-0,01114748#0,8073372#3,105614#-0,01505706#0,6301025#3,065134# 0,2911287#0,6766844#3,445768#-0,02551769#0,6731476#2,941522#0,3085201#0,5503649#3,309901#-0,0160723#0,6190108#2,907739#0,3152573#0,4177615#3,097937#0,01226386#0,4566005#2,82009#0,1148598#0,5455409#3,014983#-0,0969146#0,5337651#2,986905#0,005107924#0,2382974#3,018868#0,01513485#0,1706605#2,968329#0,0739862#0,123161#2,961483#-0,03903858#0,1152904#2,951939#0,276995#-0,2551083#3,059124#-0,2497864#-0,2561788#3,044332#0,4125518#-0,5729616#2,972295#-0,3427311#-0,5782384#2,97178#0,4240618#-0,6194329#2,882607#-0,3680117#-0,6716323#2,906145#0  
frame37 #0,01923519#0,8104225#3,111828#0,003799471#0,630797#3,058369# 0,349396#0,1195341#3,108736#-0,269702#0,04013143#3,101828#0,3405298#0,1768816#3,080989#-0,2402863#0,1009572#3,128606#0,313931#0,348924#3,011459#-0,1984322#0,2872457#2,964267#0,1351182#0,5350506#2,99913#-0,08671753#0,5225478#2,973572#0,01668853#0,2339005#3,015893#0,02493279#0,1660111#2,963531#0,08762415#0,1182944#2,952902#-0,03082546#0,1093222#2,949826#0,3116072#-0,254948#3,05068#-0,2368523#-0,2595962#3,037666#0,4192764#-0,5634902#2,970856#-0,3386504#-0,5798507#2,955901#0,4291689#-0,6097475#2,881192#-0,3287579#-0,626108#2,866237#0  
