frame1 #-0,1746036#0,930283#3,194835#-0,1795865#0,7240674#3,208007# -0,1464165#0,6430288#2,919606#-0,2207809#0,3839691#3,109968#-0,08284264#0,6057087#2,929954#-0,2120623#0,4465384#3,149345#0,04582449#0,5125297#3,021475#-0,3968923#0,3962363#3,306535#-0,001555011#0,6404436#3,18534#-0,3469012#0,5929781#3,241331#-0,1718002#0,3653053#3,219019#-0,1732957#0,2941673#3,206272#-0,09444207#0,2262043#3,196943#-0,2498478#0,2048448#3,209939#0,06834836#-0,2389684#3,285174#-0,425186#-0,2721697#3,268813#0,2009571#-0,5749817#3,27129#-0,6010483#-0,6241539#3,208492#0,2944319#-0,6595897#3,224797#-0,6545585#-0,6837997#3,149805#1  
frame12 #-0,1922958#0,8565789#3,187572#-0,1834005#0,6570628#3,223195# -0,2460439#0,3932937#2,846939#0,003316914#0,5142528#2,951954#-0,1515039#0,418486#2,848436#-0,1054263#0,4501059#2,997923#0,02039347#0,476772#2,961998#-0,2670497#0,3845694#3,19642#-0,05520647#0,5820091#3,159075#-0,3653285#0,5430725#3,245742#-0,178142#0,3113872#3,236078#-0,1838835#0,2431606#3,218258#-0,1123669#0,1753602#3,211918#-0,2558949#0,1701375#3,217664#0,1249614#-0,2484835#3,236681#-0,4956957#-0,2726606#3,215644#0,2619368#-0,587157#3,235427#-0,6030868#-0,6402364#3,202632#0,2378895#-0,6329629#3,152488#-0,6476618#-0,69677#3,150084#1  
frame13 #-0,1958065#0,8451854#3,187365#-0,1863177#0,6426544#3,223551# -0,2634586#0,3882309#2,839495#-0,02178594#0,4633805#2,899341#-0,1666044#0,414716#2,840495#-0,1331697#0,424633#2,988093#-0,004283174#0,4554607#2,941281#-0,2940618#0,3620282#3,189774#-0,05691913#0,5735679#3,154308#-0,3683828#0,5318191#3,25194#-0,1820311#0,3020816#3,237027#-0,1884907#0,2347272#3,219919#-0,1180068#0,1661133#3,213749#-0,2605371#0,1613443#3,220037#0,1245512#-0,2487448#3,236179#-0,5034418#-0,2732698#3,210554#0,2613705#-0,5866283#3,234399#-0,6058928#-0,6436282#3,200488#0,2349384#-0,6319638#3,153172#-0,6438412#-0,6966624#3,149397#1  
frame14 #-0,1973446#0,8377439#3,186148#-0,1873204#0,6323543#3,219481# -0,2526022#0,3887003#2,846667#-0,0244762#0,4625016#2,898515#-0,1566608#0,4170844#2,845713#-0,1340372#0,4208078#2,984717#0,005273667#0,4543801#2,956255#-0,2936732#0,3565653#3,187394#-0,05702275#0,5700013#3,154509#-0,3705794#0,5248026#3,252729#-0,1827907#0,2977971#3,236055#-0,1889448#0,2311314#3,220074#-0,118117#0,161936#3,21419#-0,2611604#0,1568953#3,22099#0,1247243#-0,2490072#3,235275#-0,5065044#-0,2666967#3,20872#0,2579362#-0,583806#3,230799#-0,6085253#-0,6191427#3,20064#0,2317889#-0,6291317#3,150105#-0,6564401#-0,6798463#3,157722#1  
frame15 #-0,2034217#0,8193944#3,185056#-0,1892452#0,6229583#3,217052# -0,2545195#0,3872176#2,844127#-0,05096557#0,4375346#2,872485#-0,1576786#0,4155221#2,844558#-0,1534448#0,4035153#2,985246#0,005842262#0,4542946#2,956151#-0,3075159#0,3364885#3,193114#-0,06570127#0,5387371#3,171446#-0,3734329#0,5111066#3,254591#-0,1881475#0,2752305#3,234507#-0,1938449#0,2057422#3,219964#-0,1249565#0,1367709#3,213194#-0,2639136#0,1352999#3,223275#0,1254741#-0,2495281#3,232733#-0,5094264#-0,2662132#3,207618#0,2565386#-0,5834535#3,228981#-0,6087235#-0,6191413#3,200738#0,2338448#-0,6290489#3,14706#-0,6791894#-0,6805722#3,178732#1  
frame16 #-0,2063861#0,8125013#3,180738#-0,1925674#0,6133014#3,215875# -0,3157302#0,3673987#2,83559#-0,04955301#0,4377623#2,874837#-0,2201672#0,3945985#2,835284#-0,149612#0,4029956#2,982509#-0,04649488#0,4380994#2,916409#-0,3051066#0,3331674#3,190918#-0,06367105#0,5344183#3,170552#-0,3736667#0,5077915#3,255278#-0,1904145#0,2715556#3,233641#-0,1956053#0,2030507#3,220083#-0,1260921#0,1336621#3,213349#-0,2670129#0,1313497#3,223728#0,1260992#-0,2502877#3,231154#-0,5111055#-0,2654044#3,206727#0,2644419#-0,5835932#3,224646#-0,6108936#-0,6200905#3,198275#0,2415623#-0,629258#3,142872#-0,6723453#-0,6808395#3,171197#1  
frame17 #-0,2078501#0,8091106#3,179703#-0,194994#0,607552#3,215307# -0,3210507#0,3659269#2,834357#-0,04357427#0,4412265#2,891205#-0,2270334#0,3933234#2,839385#-0,1411041#0,4046273#2,985055#-0,03957205#0,4382581#2,926687#-0,3003805#0,3330011#3,191535#-0,06356288#0,5320835#3,170348#-0,3734008#0,5070797#3,255108#-0,1928834#0,2675067#3,232563#-0,1977162#0,199589#3,219906#-0,1280809#0,1303182#3,21352#-0,2688075#0,1286592#3,223314#0,128001#-0,250778#3,227727#-0,5128645#-0,2648463#3,206132#0,2606373#-0,5845993#3,222961#-0,6117284#-0,6204087#3,198407#0,2378438#-0,6301227#3,141503#-0,6695786#-0,6787685#3,16942#1  
frame18 #-0,2086769#0,8080885#3,179762#-0,1948482#0,6053639#3,214346# -0,323313#0,366127#2,832679#-0,04016048#0,4439224#2,900582#-0,2301007#0,3933026#2,838517#-0,1349823#0,4051405#2,986762#-0,05013756#0,4307187#2,927323#-0,2964103#0,330116#3,191658#-0,05785815#0,5223525#3,165542#-0,3726808#0,5037522#3,255065#-0,1928568#0,2663308#3,231387#-0,1976266#0,1986168#3,21969#-0,1272643#0,1286822#3,213269#-0,2692915#0,1268875#3,223352#0,1286895#-0,2501713#3,226558#-0,514661#-0,2655171#3,205639#0,2593512#-0,5839211#3,222599#-0,612103#-0,6302196#3,198339#0,2358747#-0,6292847#3,141745#-0,6722381#-0,6804627#3,175853#1  
frame19 #-0,2094714#0,8072065#3,180177#-0,1953187#0,6045896#3,215487# -0,3398003#0,362429#2,832013#-0,04858299#0,4405891#2,89338#-0,2348252#0,3928414#2,837912#-0,1389558#0,4036335#2,983018#-0,02535326#0,447418#2,963701#-0,2987781#0,3295037#3,189246#-0,05708281#0,5213497#3,165502#-0,3728844#0,5032458#3,255445#-0,1930035#0,2655991#3,23082#-0,1975392#0,1979327#3,219626#-0,1266177#0,1272252#3,212967#-0,2693759#0,1259248#3,223192#0,1287071#-0,2504239#3,225434#-0,5155541#-0,2651843#3,20527#0,2638723#-0,587272#3,226316#-0,614067#-0,6302209#3,196203#0,2404541#-0,6323589#3,145826#-0,6802405#-0,685751#3,175885#1  
frame20 #-0,2106833#0,8068691#3,181199#-0,1952481#0,604461#3,215183# -0,3258837#0,3672749#2,833377#-0,04620013#0,4429883#2,897366#-0,2343093#0,3930116#2,837783#-0,1385933#0,4039136#2,985353#-0,02616372#0,4459134#2,963146#-0,2982205#0,3294406#3,19132#-0,05670796#0,5196609#3,16502#-0,3729052#0,5032503#3,255348#-0,1936052#0,265137#3,229839#-0,1981813#0,1973957#3,219171#-0,1275839#0,1260373#3,210818#-0,2708509#0,1248769#3,223932#0,1288681#-0,2504696#3,224005#-0,5179092#-0,267557#3,204314#0,2588228#-0,5838541#3,22145#-0,6155872#-0,631153#3,19496#0,2353831#-0,6288432#3,141108#-0,6817523#-0,6871636#3,175431#1  
frame21 #-0,2123951#0,8009471#3,183593#-0,1959942#0,6043863#3,215242# -0,328804#0,3703904#2,837754#-0,0964729#0,4253353#3,020602#-0,2359753#0,3935971#2,837943#-0,1465399#0,4008155#2,977082#-0,03259424#0,4485674#2,959482#-0,2975636#0,3289205#3,190717#-0,05543232#0,5187814#3,164617#-0,3724777#0,5024039#3,255525#-0,1937315#0,2647404#3,228898#-0,1980452#0,1968858#3,218454#-0,1271045#0,1255201#3,209914#-0,2704491#0,1239614#3,222822#0,1288157#-0,2504847#3,221809#-0,5181258#-0,2677482#3,204157#0,2621392#-0,5867144#3,225628#-0,616599#-0,632413#3,194466#0,2387442#-0,631415#3,145758#-0,670723#-0,6849484#3,165074#1  
frame22 #-0,2121062#0,8034443#3,184706#-0,1940588#0,6071596#3,216247# -0,358868#0,3666325#2,841571#-0,03661014#0,472637#2,927867#-0,27187#0,394975#2,851367#-0,1306769#0,4126448#2,99299#-0,03347564#0,4493167#2,956068#-0,2862365#0,3301548#3,199013#-0,05650949#0,5187479#3,164237#-0,3703082#0,5015085#3,253322#-0,1930637#0,2642296#3,227772#-0,1971952#0,195899#3,216847#-0,1269311#0,1255417#3,209029#-0,2685263#0,1235095#3,219508#0,1287987#-0,2497748#3,220737#-0,5180697#-0,2647282#3,203485#0,239707#-0,5637751#3,209882#-0,6117325#-0,5793515#3,197359#0,2162014#-0,6088369#3,130274#-0,6352382#-0,6244133#3,117752#1  
frame23 #-0,2117259#0,8061159#3,184734#-0,1933261#0,608238#3,215283# -0,3245901#0,3798718#2,841597#-0,05713363#0,4445551#2,877588#-0,2330806#0,4061721#2,839316#-0,147573#0,4026122#2,97663#-0,03135317#0,444632#2,94052#-0,3002327#0,3253865#3,187661#-0,05520882#0,5383141#3,15719#-0,3696381#0,5014568#3,252889#-0,1919619#0,2651413#3,226565#-0,1963731#0,1968022#3,215909#-0,1261145#0,1272974#3,206426#-0,2675661#0,1240078#3,219553#0,1288383#-0,2493057#3,22015#-0,5167722#-0,2633318#3,203889#0,2392631#-0,5602809#3,207268#-0,611573#-0,5793271#3,196851#0,2140319#-0,605356#3,128125#-0,6368042#-0,6244022#3,117708#1  
frame24 #-0,210985#0,8077595#3,18592#-0,1923711#0,6091076#3,215223# -0,3619207#0,3740065#2,847108#-0,05452169#0,4492117#2,882636#-0,2874214#0,3891577#2,857262#-0,1433747#0,4054145#2,973922#-0,06318488#0,4347615#2,901121#-0,2966018#0,3265474#3,185546#-0,05315838#0,5344868#3,15759#-0,3686297#0,5021654#3,252677#-0,1918424#0,2652328#3,226134#-0,1962704#0,1968582#3,215528#-0,1260097#0,1272244#3,206284#-0,267711#0,1244448#3,218567#0,1288803#-0,2493438#3,219919#-0,5162644#-0,2615939#3,203312#0,2424118#-0,5679599#3,216092#-0,6111034#-0,5793669#3,197101#0,2174772#-0,6129131#3,137026#-0,636038#-0,6243201#3,118035#1  
frame25 #-0,2105281#0,8163117#3,191514#-0,1906843#0,6113263#3,213508# -0,3349408#0,3858707#2,848386#-0,04860499#0,4653585#2,903098#-0,2434057#0,4118769#2,840333#-0,13503#0,4116112#2,977595#-0,03928373#0,4376143#2,918892#-0,2890843#0,3290243#3,188096#-0,05441751#0,5333879#3,158509#-0,3677259#0,5032621#3,25155#-0,191422#0,2654765#3,22509#-0,1959149#0,1968887#3,214777#-0,1259294#0,1275741#3,205416#-0,2673281#0,1246291#3,218225#0,1291102#-0,2499677#3,219327#-0,5161681#-0,2614515#3,203011#0,2432425#-0,5698709#3,215786#-0,6110868#-0,5791867#3,19705#0,218616#-0,614978#3,136425#-0,6357133#-0,6242937#3,117689#1  
frame26 #-0,2101369#0,8163334#3,191058#-0,1903263#0,6115179#3,213071# -0,3383642#0,388356#2,850926#-0,04322367#0,4680408#2,90614#-0,2464085#0,411433#2,840519#-0,1260278#0,4179136#2,976591#-0,05683111#0,4305249#2,905918#-0,2841402#0,3323268#3,18367#-0,05431488#0,5335953#3,158189#-0,3665247#0,5046119#3,251081#-0,1910617#0,2666001#3,22369#-0,195649#0,1983008#3,213239#-0,12609#0,1290587#3,204443#-0,2667247#0,1266768#3,215891#0,1289961#-0,2499494#3,218809#-0,516203#-0,261376#3,202655#0,2420422#-0,5597914#3,209502#-0,607427#-0,5935872#3,203313#0,2173439#-0,6048452#3,13011#-0,6499468#-0,6570087#3,178192#1  
frame27 #-0,2089478#0,8161017#3,192685#-0,1897139#0,6127326#3,213511# -0,3388087#0,3885397#2,85147#-0,2055278#0,3831536#3,04415#-0,2457898#0,412722#2,845047#-0,258062#0,3573708#3,110275#-0,04328277#0,4427805#2,91333#-0,4156645#0,2800223#3,321911#-0,05306537#0,5291776#3,159034#-0,3662621#0,506328#3,250573#-0,1907233#0,266645#3,223259#-0,1952401#0,1982179#3,212498#-0,1256465#0,1288321#3,20402#-0,2663635#0,1266623#3,214325#0,1294156#-0,2501421#3,217198#-0,5162277#-0,2609822#3,201574#0,2420286#-0,560079#3,20827#-0,60656#-0,5894015#3,1978#0,2178023#-0,6049896#3,128868#-0,6307863#-0,6343121#3,118397#1  
frame28 #-0,2074227#0,8150933#3,193633#-0,1896153#0,6127425#3,213478# -0,3397055#0,3917353#2,851524#-0,199402#0,3842263#3,146369#-0,2465447#0,412908#2,84516#-0,2549062#0,3581512#3,111044#-0,05753639#0,4409305#2,903636#-0,4133499#0,2796552#3,322559#-0,049722#0,5291865#3,159872#-0,3655055#0,5088221#3,250922#-0,1900281#0,2672284#3,222315#-0,1944642#0,1990199#3,211022#-0,1247106#0,1292419#3,202386#-0,2657384#0,1269696#3,212918#0,1293719#-0,2504426#3,216044#-0,5160001#-0,2609136#3,20094#0,2409537#-0,5630978#3,208438#-0,606324#-0,586687#3,19606#0,2170754#-0,6078514#3,129079#-0,6302023#-0,6314407#3,116701#1  
frame29 #-0,204013#0,8141912#3,195641#-0,1894713#0,6127862#3,213478# -0,3586521#0,3903928#2,846386#-0,1762245#0,3774644#3,131066#-0,2661852#0,4109844#2,841687#-0,2450581#0,3664131#3,123678#-0,07260609#0,4313873#2,886173#-0,412663#0,2807823#3,325923#-0,05085965#0,5256498#3,160763#-0,3621099#0,509037#3,247422#-0,1894336#0,2660598#3,22177#-0,1937317#0,1973504#3,209874#-0,1247778#0,1283258#3,201584#-0,2641076#0,1261347#3,211667#0,1293895#-0,2504294#3,215483#-0,5155386#-0,2606267#3,200482#0,2408229#-0,563244#3,208044#-0,6062765#-0,588204#3,196042#0,2177323#-0,6079379#3,128474#-0,6293671#-0,6328978#3,116472#1  
frame30 #-0,2038345#0,8140596#3,195993#-0,1891512#0,61321#3,214392# -0,3567352#0,3899566#2,843168#-0,1933201#0,3416932#3,085878#-0,2650872#0,4112129#2,840775#-0,2529888#0,3606464#3,116194#-0,07074204#0,4295781#2,886193#-0,412309#0,2824604#3,329826#-0,05139478#0,5250104#3,160742#-0,3610296#0,5085276#3,246949#-0,1888541#0,2655313#3,221097#-0,1932261#0,1966138#3,207847#-0,1244167#0,1280576#3,198707#-0,263288#0,1258986#3,208977#0,1293693#-0,2504436#3,215148#-0,5143918#-0,260015#3,19982#0,2407994#-0,5629779#3,207742#-0,6064277#-0,5892085#3,195529#0,2177047#-0,6074358#3,128278#-0,6295224#-0,6336664#3,116066#1  
frame31 #-0,2029994#0,8163774#3,190973#-0,1873964#0,6146683#3,215668# -0,3600891#0,3889956#2,8393#-0,2037853#0,3837409#3,151912#-0,2684051#0,4102485#2,839629#-0,2555873#0,3584645#3,112967#-0,073102#0,4301007#2,882895#-0,4122912#0,2823934#3,330782#-0,04941735#0,5230818#3,15987#-0,360769#0,509033#3,247006#-0,1864305#0,2679873#3,219972#-0,1909677#0,1997561#3,20517#-0,1220282#0,1311707#3,195354#-0,2611411#0,128413#3,205711#0,1297032#-0,2508489#3,214086#-0,5142624#-0,2600477#3,199613#0,2393483#-0,5560889#3,200093#-0,6068231#-0,5874857#3,193347#0,2160923#-0,600386#3,120523#-0,6300792#-0,6317828#3,113778#1  
frame32 #-0,2018692#0,8159429#3,190897#-0,1868328#0,6146511#3,214594# -0,3607088#0,3887071#2,838825#-0,2059962#0,3828253#3,153741#-0,2689101#0,409576#2,83846#-0,2566922#0,3569749#3,113698#-0,07270771#0,4236529#2,883996#-0,4108597#0,2825144#3,335327#-0,04923459#0,5223693#3,159879#-0,3604496#0,5089179#3,246747#-0,1855062#0,2679128#3,219141#-0,1903677#0,1997414#3,203719#-0,1216119#0,131157#3,19416#-0,2604005#0,1284977#3,204267#0,1298978#-0,2508327#3,213564#-0,5138672#-0,2601937#3,199548#0,2658517#-0,5986866#3,237992#-0,6064274#-0,5900973#3,19507#0,2426031#-0,6430664#3,158218#-0,629676#-0,6344771#3,115296#1  
frame33 #-0,2007394#0,814581#3,188897#-0,1866246#0,6148565#3,214543# -0,3587355#0,3887279#2,838176#-0,1875097#0,3518268#3,116904#-0,2673545#0,4090142#2,837018#-0,2565005#0,3568529#3,115305#-0,07017065#0,421515#2,881854#-0,4100767#0,2833835#3,339027#-0,04366949#0,5213481#3,158084#-0,3587621#0,5083052#3,244148#-0,1844443#0,2678222#3,219165#-0,1893063#0,1996279#3,202778#-0,119477#0,1305894#3,19326#-0,2596116#0,127905#3,202731#0,1303954#-0,2507192#3,212581#-0,5135557#-0,2599739#3,198931#0,2425449#-0,5566946#3,19922#-0,6050172#-0,5837728#3,192685#0,2197243#-0,6011132#3,119186#-0,6278379#-0,6281914#3,112651#1  
frame34 #-0,1991644#0,8157794#3,186591#-0,186131#0,6152129#3,21449# -0,3430536#0,3859762#2,838363#-0,2006222#0,376646#3,149609#-0,2525544#0,4090452#2,83791#-0,2568253#0,3562326#3,115117#-0,05829608#0,4277681#2,89736#-0,4099988#0,2834479#3,340172#-0,04237462#0,521727#3,156889#-0,3579166#0,5065278#3,243371#-0,1839773#0,267822#3,219465#-0,1891454#0,199649#3,202275#-0,1191743#0,1303914#3,192578#-0,2596793#0,1278454#3,202256#0,1306956#-0,2506364#3,211942#-0,5129241#-0,2600517#3,198227#0,2418935#-0,5576401#3,199386#-0,6053102#-0,5880404#3,194164#0,2905637#-0,6418548#3,247649#-0,6282655#-0,6324739#3,114077#1  
frame35 #-0,1965803#0,8132998#3,185754#-0,1854436#0,6151179#3,213502# -0,3422102#0,3840025#2,84034#-0,1946427#0,3637777#3,141434#-0,2522894#0,4079549#2,837085#-0,2582747#0,3562089#3,116329#-0,0579084#0,427915#2,897501#-0,4106756#0,2851162#3,343309#-0,0398973#0,5200689#3,155651#-0,3576636#0,5076299#3,243103#-0,1826902#0,2678223#3,218962#-0,188073#0,1997289#3,201158#-0,1172279#0,129969#3,190822#-0,2592098#0,1275849#3,201726#0,1312237#-0,2505148#3,211043#-0,5126989#-0,2602219#3,198026#0,2403235#-0,5579165#3,199418#-0,6044438#-0,5961824#3,194874#0,2902426#-0,6415089#3,247389#-0,644318#-0,6613183#3,17031#1  
frame36 #-0,190492#0,8172301#3,180269#-0,1840254#0,6155794#3,212853# -0,330095#0,383851#2,842019#-0,1941904#0,3620202#3,144185#-0,2406778#0,4089761#2,840005#-0,257778#0,3570775#3,118743#-0,04353943#0,4311221#2,909336#-0,4088216#0,2874378#3,347668#-0,03537259#0,5209421#3,155639#-0,3565634#0,508693#3,241362#-0,1796154#0,2694098#3,218734#-0,1847025#0,2016444#3,200266#-0,1107351#0,1319594#3,189939#-0,2580326#0,1280117#3,201176#0,13159#-0,2503429#3,210505#-0,5123401#-0,2604805#3,197529#0,2395542#-0,5548582#3,198288#-0,6052322#-0,5958357#3,19408#0,289919#-0,6386204#3,245701#-0,6470572#-0,660102#3,17026#1  
frame37 #-0,1893941#0,8149723#3,177056#-0,1837237#0,6155114#3,212485# -0,3293374#0,3841404#2,842763#-0,1934758#0,3613475#3,144588#-0,2400572#0,4087529#2,840062#-0,2573367#0,3569233#3,120261#-0,04312436#0,4309987#2,909491#-0,4086197#0,2877882#3,349663#-0,03531303#0,5209375#3,155668#-0,3566435#0,5092003#3,241369#-0,1786913#0,2701691#3,218797#-0,1838246#0,2027252#3,199699#-0,1099157#0,133128#3,189405#-0,2573029#0,1284903#3,200727#0,1321813#-0,2501959#3,209651#-0,5121339#-0,2602628#3,197277#0,2374646#-0,5529855#3,196745#-0,6065164#-0,5949777#3,193203#0,2898916#-0,6358584#3,243794#-0,6476915#-0,6599936#3,169954#1  
