frame1 #-0,2288164#0,9877325#3,637737#-0,2434092#0,7626855#3,612787# 0,02260455#0,3776884#3,461206#-0,7578849#0,3322632#3,455375#0,01567189#0,427816#3,415238#-0,7264353#0,3149037#3,490913#-0,2364205#0,3808151#3,318951#-0,5415598#0,3937851#3,558452#-0,1370921#0,6101817#3,479515#-0,4533656#0,5811266#3,600466#-0,2538277#0,325734#3,465599#-0,2828483#0,2724762#3,378099#-0,2174111#0,2078623#3,305169#-0,3597342#0,1947875#3,377942#-0,1850509#-0,2630053#3,66627#-0,3059559#-0,2476969#3,113016#-0,264951#-0,5421716#3,655099#-0,3909661#-0,5789324#2,91763#-0,288206#-0,5871964#3,601377#-0,3361037#-0,6305384#2,878387#1  
frame12 #-0,2497864#0,9970101#3,115765#-0,301676#0,7965475#3,124533# -0,4466233#0,4416715#3,483278#0,06305544#0,7074461#2,930806#-0,4424191#0,4702893#3,401305#0,01600157#0,6872331#2,898141#-0,4298065#0,5561426#3,169767#-0,1678179#0,654638#2,861724#-0,300487#0,6592176#2,995093#-0,3654343#0,609895#3,025274#-0,2657733#0,3858759#3,185536#-0,2814142#0,3019287#3,149116#-0,2629821#0,2376671#3,193493#-0,2971964#0,269105#3,104412#-0,2083686#-0,2926346#3,502404#-0,2940566#-0,2460742#2,855653#-0,2231439#-0,5839265#3,667441#-0,3501228#-0,582507#2,788736#-0,2539663#-0,6297014#3,596693#-0,3118196#-0,6410802#2,739871#1  
frame13 #-0,2643007#1,016384#3,126725#-0,3210962#0,808527#3,080545# -0,1933062#0,5348912#3,19339#0,03250153#0,7372628#2,899174#-0,2187977#0,5516282#3,240096#-0,02695201#0,7155958#2,839948#-0,4505816#0,5670421#3,127958#-0,2076498#0,6599815#2,804539#-0,3199072#0,671197#2,951104#-0,3957947#0,5927042#3,006028#-0,2681593#0,428842#3,146608#-0,2847349#0,3484012#3,119401#-0,2625543#0,3108014#3,173194#-0,2978172#0,2731225#3,082522#-0,2164587#-0,2395952#3,428864#-0,2999554#-0,2418544#2,838135#-0,2291287#-0,5350866#3,623801#-0,3509947#-0,5821387#2,782966#-0,2703368#-0,5829611#3,558188#-0,3135728#-0,6412436#2,732564#1  
frame14 #-0,2854613#0,9593211#3,081774#-0,3174202#0,7489711#3,087992# -0,1269143#0,4869399#3,294279#-0,04027525#0,7367057#2,84449#-0,2080357#0,4911809#3,252821#-0,1042223#0,7165833#2,785144#-0,4513998#0,503904#3,142685#-0,3669215#0,6425121#2,780426#-0,3162312#0,6116411#2,958552#-0,3892684#0,5644563#2,993586#-0,2722962#0,3998133#3,138414#-0,2822313#0,3267864#3,110571#-0,261678#0,2951#3,157345#-0,2954634#0,2637553#3,073238#-0,2046109#-0,2041877#3,386405#-0,2990065#-0,2581782#2,813277#-0,2270594#-0,503338#3,586881#-0,3481719#-0,5881994#2,77293#-0,1604877#-0,571471#3,62973#-0,3158842#-0,6487039#2,709489#1  
frame15 #-0,290276#0,945538#3,069446#-0,3196629#0,7440038#3,08341# -0,1239608#0,2166546#3,213373#-0,06349278#0,7424325#2,727648#-0,1590688#0,2603163#3,248925#-0,1139863#0,7141627#2,695181#-0,2512059#0,4625115#3,147498#-0,374594#0,6409411#2,677043#-0,3184739#0,6066738#2,95397#-0,3834653#0,5714867#2,968387#-0,28236#0,3937559#3,129458#-0,2834904#0,3220145#3,101264#-0,2689098#0,2892164#3,136649#-0,2928781#0,2607139#3,065069#-0,2104283#-0,200545#3,346023#-0,3005576#-0,2625524#2,807428#-0,2269988#-0,4911156#3,567676#-0,3461587#-0,5874407#2,767767#-0,1679043#-0,5594183#3,619987#-0,3142551#-0,6511588#2,701941#1  
frame16 #-0,2915056#0,9305785#3,04947#-0,3203815#0,7326049#3,057383# -0,0919278#0,1434187#3,219519#-0,1151738#0,7375399#2,592864#-0,1186501#0,2052751#3,228141#-0,17134#0,7118796#2,583772#-0,1988169#0,3908444#3,26815#-0,4212014#0,6257457#2,676477#-0,1979367#0,6485645#3,197926#-0,3803949#0,5807949#2,953043#-0,3191606#0,4109248#3,092322#-0,2859888#0,3534704#3,074112#-0,2519372#0,2959704#3,118287#-0,3130663#0,2830175#3,037748#-0,2083222#-0,1950956#3,327802#-0,304073#-0,2669871#2,786787#-0,2207539#-0,4942062#3,546596#-0,3433121#-0,5868403#2,761304#-0,1582236#-0,563938#3,591946#-0,314379#-0,6517635#2,699874#1  
frame17 #-0,291971#0,9077646#3,035452#-0,3157572#0,7125779#3,041986# -0,06451899#0,1453073#3,226079#-0,2134138#0,7043253#2,546714#-0,09577217#0,2059525#3,22929#-0,2734873#0,6847215#2,543774#-0,1895317#0,3878882#3,25305#-0,4907525#0,6057799#2,710919#-0,1996688#0,6495647#3,189831#-0,3945656#0,5848718#2,931275#-0,3179111#0,4096455#3,08746#-0,285032#0,351859#3,071509#-0,2478481#0,2924991#3,112632#-0,3119821#0,2763327#3,034472#-0,2040617#-0,2141718#3,330209#-0,3056324#-0,26802#2,779338#-0,2171039#-0,5165412#3,548638#-0,3441622#-0,5857013#2,75958#-0,149357#-0,5769922#3,592949#-0,3145536#-0,6528645#2,696273#1  
frame18 #-0,2807165#0,8961962#2,999921#-0,3147834#0,6901331#3,030345# -0,01923773#0,1712174#3,150638#-0,2168267#0,7254843#2,428381#-0,05881286#0,2213858#3,175566#-0,3286306#0,684865#2,48913#-0,1775382#0,3718907#3,264412#-0,5130286#0,6009738#2,69414#-0,1832164#0,6218479#3,169578#-0,4024225#0,5741932#2,918079#-0,3161699#0,3882959#3,068182#-0,285015#0,3308408#3,05108#-0,2345704#0,2668276#3,083779#-0,3226753#0,2541523#3,015997#-0,2029306#-0,2306666#3,325587#-0,3077456#-0,2646582#2,77244#-0,2145337#-0,5301555#3,550431#-0,3448202#-0,5883591#2,751871#-0,1479964#-0,5777131#3,588405#-0,3140252#-0,6527628#2,693801#1  
frame19 #-0,2652742#0,8758621#2,996932#-0,3132354#0,6884557#3,027213# -0,01944997#0,1972061#3,102226#-0,322438#0,722899#2,426438#-0,05824988#0,2398911#3,139744#-0,3879685#0,6827018#2,463507#-0,1746496#0,3679462#3,266241#-0,5248828#0,5994178#2,68961#-0,1784135#0,6080229#3,150944#-0,4121507#0,5589179#2,910897#-0,3145281#0,3881859#3,06489#-0,2849434#0,3307085#3,046012#-0,2334227#0,2662369#3,081684#-0,3262029#0,2536232#3,007137#-0,1946946#-0,2223047#3,286986#-0,3068225#-0,2604524#2,76633#-0,21495#-0,5116664#3,526965#-0,3456027#-0,5877037#2,750605#-0,1518349#-0,5735611#3,5807#-0,3141369#-0,6528563#2,692857#1  
frame20 #-0,2736622#0,8547136#2,96778#-0,318#0,6839665#3,014639# -0,03467816#0,2105157#3,024523#-0,3251312#0,7277043#2,422752#-0,0654518#0,2521999#3,075049#-0,3683092#0,7044138#2,445468#-0,1577727#0,3772523#3,240382#-0,5346665#0,6048009#2,661568#-0,1741842#0,5924867#3,109643#-0,4255947#0,5514863#2,902819#-0,3123156#0,3892498#3,05196#-0,2873893#0,3322429#3,033223#-0,2268607#0,2661276#3,071701#-0,3397833#0,2577656#2,990382#-0,1944302#-0,2361888#3,284205#-0,3071129#-0,2613409#2,762084#-0,2153729#-0,5209641#3,532224#-0,3463568#-0,5866948#2,748876#-0,150807#-0,5761108#3,573625#-0,3137439#-0,6531392#2,690581#1  
frame21 #-0,2922075#0,8546643#2,963476#-0,3208334#0,6819093#3,009124# -0,05130478#0,2368786#3,013041#-0,3263067#0,7398239#2,419153#-0,07670349#0,2735563#3,066189#-0,3829575#0,71069#2,444611#-0,1528996#0,3835891#3,239294#-0,5429381#0,6111107#2,650813#-0,1827046#0,6006658#3,102255#-0,4342906#0,5463328#2,898415#-0,3153353#0,3844614#3,04308#-0,2931417#0,3263463#3,026472#-0,2328095#0,2617097#3,06014#-0,3440139#0,2533073#2,990023#-0,194096#-0,2423159#3,264261#-0,3071891#-0,2620236#2,759925#-0,2151246#-0,5167078#3,525584#-0,3463524#-0,5861112#2,747077#-0,1510554#-0,5761099#3,573554#-0,3137909#-0,6531203#2,690161#1  
frame22 #-0,3024215#0,8545792#2,95837#-0,3160523#0,6775271#2,996967# -0,05404597#0,2446206#3,040174#-0,3344303#0,7506244#2,422245#-0,09293514#0,2945191#3,041125#-0,4124261#0,7194261#2,464308#-0,1459142#0,3907135#3,232409#-0,564562#0,6038332#2,674106#-0,1906267#0,6119356#3,09373#-0,4383549#0,5441694#2,896944#-0,3143396#0,384428#3,036182#-0,2945645#0,3258272#3,022522#-0,2347313#0,2609206#3,056101#-0,3454556#0,2532116#2,988704#-0,1930085#-0,2452353#3,256464#-0,3070276#-0,260102#2,758872#-0,2159634#-0,5165414#3,523353#-0,3466907#-0,5859319#2,746258#-0,1512545#-0,5768215#3,574627#-0,3140071#-0,653173#2,689791#1  
frame23 #-0,3170649#0,8556279#2,947624#-0,3159665#0,6753163#2,991701# -0,08731455#0,2887485#2,956324#-0,3561295#0,7688892#2,433844#-0,09140294#0,3165233#3,013165#-0,4151266#0,7247653#2,467632#-0,1360832#0,4242381#3,218313#-0,5682415#0,6082828#2,671687#-0,2069835#0,6273079#3,059655#-0,4428512#0,542915#2,897474#-0,3104747#0,3807733#3,031745#-0,2934914#0,3217695#3,019799#-0,2335812#0,2587889#3,051903#-0,3447412#0,2507961#2,989455#-0,1930781#-0,2465888#3,249177#-0,3070915#-0,2588581#2,758898#-0,2160168#-0,515608#3,520773#-0,3470506#-0,5850175#2,746073#-0,1540436#-0,56933#3,583492#-0,3141376#-0,6530824#2,688949#1  
frame24 #-0,3581902#0,8646801#2,913893#-0,3134319#0,6736266#2,98722# -0,1005188#0,2868828#2,986889#-0,3864253#0,7838235#2,462877#-0,08938006#0,3473112#2,970275#-0,4402177#0,7363173#2,499031#-0,1290513#0,4264619#3,211082#-0,5891588#0,6179288#2,668366#-0,1856602#0,6134691#3,06186#-0,4539163#0,5466076#2,903618#-0,3077355#0,3807838#3,027605#-0,293569#0,3217192#3,017179#-0,2314401#0,2571087#3,044437#-0,3465883#0,250132#2,989486#-0,1936842#-0,2467389#3,243047#-0,3092458#-0,2513755#2,760796#-0,2238396#-0,5195389#3,512958#-0,3469356#-0,5847093#2,745131#-0,1625513#-0,5683066#3,581306#-0,3140156#-0,65289#2,688104#1  
frame25 #-0,3177724#0,8379674#2,946431#-0,3062798#0,6663564#2,989722# -0,08411062#0,3505999#2,694057#-0,4178835#0,7668853#2,51121#-0,08986472#0,3557359#2,763513#-0,46928#0,7261133#2,536055#-0,107127#0,3711439#2,985258#-0,6352648#0,5932912#2,696633#-0,1528845#0,571088#3,054891#-0,4639855#0,5494318#2,908907#-0,3026542#0,3757397#3,025668#-0,2918939#0,3170132#3,015829#-0,2217179#0,2381876#3,034164#-0,3503875#0,2430513#2,994265#-0,1939967#-0,2460518#3,2411#-0,3121471#-0,2500778#2,768637#-0,223995#-0,5194654#3,51268#-0,3466671#-0,583689#2,743946#-0,1648968#-0,5669159#3,585137#-0,3142761#-0,6530851#2,687708#1  
frame26 #-0,3326576#0,8519434#2,943095#-0,305832#0,6661688#2,989261# -0,1396195#0,4609982#2,816916#-0,4423693#0,7520665#2,553984#-0,1163301#0,4478428#2,886858#-0,4972652#0,7070624#2,582695#-0,04646183#0,4083768#3,110013#-0,6475759#0,5688512#2,722263#-0,1510104#0,5728947#3,04108#-0,4716535#0,5504206#2,927038#-0,3007432#0,374553#3,023618#-0,2927018#0,3154164#3,014648#-0,2226862#0,2360664#3,0299#-0,3558175#0,2405735#2,998534#-0,1951934#-0,2461423#3,240916#-0,315183#-0,2423796#2,78932#-0,2233065#-0,5193647#3,515146#-0,3474814#-0,5827446#2,743369#-0,1586165#-0,5731917#3,578215#-0,3146333#-0,653424#2,687307#1  
frame27 #-0,3330222#0,8520217#2,942308#-0,3056776#0,6656196#2,98993# -0,187164#0,5359568#2,788183#-0,4834657#0,7192371#2,608991#-0,1433525#0,5047123#2,850073#-0,5094084#0,6789739#2,629911#-0,01191817#0,410979#3,049043#-0,6147016#0,555047#2,771979#-0,1471079#0,5710768#3,026038#-0,4785927#0,5524833#2,954588#-0,2990119#0,3719263#3,022998#-0,2937611#0,3121894#3,014993#-0,2228779#0,2318195#3,027149#-0,3606895#0,2361547#3,005712#-0,1963587#-0,2455577#3,24207#-0,3194628#-0,2453862#2,781565#-0,2227081#-0,5168824#3,520406#-0,3478191#-0,5809835#2,743701#-0,1613565#-0,5710119#3,587087#-0,3152144#-0,6533879#2,687491#1  
frame28 #-0,3353678#0,8487235#2,942023#-0,3074553#0,6642557#2,994337# -0,1547075#0,5283058#2,822675#-0,510699#0,6622494#2,666233#-0,1083982#0,4941098#2,782102#-0,5325136#0,6182438#2,696997#0,009759809#0,3947233#2,965856#-0,6464982#0,4690672#2,875031#-0,1397973#0,5579986#2,988859#-0,4803552#0,558167#2,983228#-0,2976252#0,3672724#3,023637#-0,2954075#0,3068725#3,016392#-0,2225343#0,2255222#3,024445#-0,3645251#0,2311159#3,011433#-0,1986166#-0,2405018#3,241355#-0,3212325#-0,2427354#2,780527#-0,2179769#-0,506935#3,527071#-0,3476437#-0,580134#2,743642#-0,1624539#-0,5760552#3,58105#-0,3153908#-0,6535249#2,687291#1  
frame29 #-0,3377813#0,8483315#2,942562#-0,3070691#0,6647253#2,995217# -0,2292759#0,6115817#2,830103#-0,5257689#0,5985536#2,724647#-0,1829667#0,5773857#2,78953#-0,5607515#0,5373971#2,78363#0,007083647#0,422645#2,887136#-0,6562746#0,3983549#2,92554#-0,1406254#0,5494952#2,978981#-0,4836484#0,5571226#2,997391#-0,2973239#0,3640857#3,02363#-0,2963786#0,3023859#3,017971#-0,2223238#0,2203806#3,021701#-0,3682483#0,2256034#3,020174#-0,1979372#-0,2373402#3,243759#-0,3223849#-0,2404974#2,779697#-0,2181602#-0,5079427#3,528166#-0,3477178#-0,5787921#2,744121#-0,221037#-0,5542564#3,448951#-0,3155583#-0,6534389#2,687093#1  
frame30 #-0,3408152#0,8527054#2,94116#-0,3060154#0,672962#2,995792# -0,2113108#0,6010106#2,702198#-0,5413252#0,5220499#2,763482#-0,1495936#0,5498902#2,742356#-0,5573431#0,4721691#2,816496#0,005666082#0,4433144#2,832979#-0,5904047#0,3726655#3,005361#-0,1414063#0,5431352#2,968136#-0,4793801#0,5538546#3,007871#-0,296661#0,3627443#3,023068#-0,2964037#0,2993054#3,019239#-0,2219179#0,2179233#3,020208#-0,3685908#0,2241266#3,025184#-0,200929#-0,2362552#3,244108#-0,3245919#-0,2451288#2,77856#-0,2189204#-0,5095215#3,528275#-0,3464904#-0,5788993#2,743658#-0,2270917#-0,5561087#3,449355#-0,3156716#-0,6534848#2,686966#1  
frame31 #-0,3428081#0,8527343#2,941167#-0,3063986#0,673022#2,995311# -0,2242299#0,6211523#2,6553#-0,5780393#0,404938#2,775634#-0,2206224#0,6103976#2,671712#-0,5429886#0,418456#2,830341#-0,02532082#0,4735028#2,7658#-0,5427299#0,365886#3,046932#-0,1524886#0,5402868#2,967756#-0,4715331#0,5517538#3,035822#-0,2964767#0,3582801#3,022933#-0,2969368#0,2934525#3,020839#-0,2228955#0,2158877#3,018601#-0,367527#0,2220448#3,030559#-0,2026674#-0,2354635#3,246307#-0,3263638#-0,2476527#2,77865#-0,2193329#-0,5112245#3,529984#-0,3467956#-0,577571#2,745953#-0,2351626#-0,5580862#3,45246#-0,3161347#-0,6532645#2,687405#1  
frame32 #-0,3441251#0,8564716#2,942676#-0,3043506#0,6752322#2,997126# -0,3069073#0,637432#2,5826#-0,4879637#0,3237467#2,865879#-0,2445655#0,6226197#2,608305#-0,5455819#0,3383121#2,895504#-0,07797945#0,5192074#2,718606#-0,49279#0,3680905#3,103219#-0,1727716#0,5075756#2,96669#-0,4653048#0,5542964#3,038087#-0,2981776#0,3545862#3,022798#-0,3001306#0,2880417#3,02144#-0,2316897#0,2103722#3,013483#-0,368698#0,2220742#3,032459#-0,2019995#-0,2347872#3,260635#-0,3270173#-0,2484581#2,77914#-0,2197976#-0,5182937#3,538574#-0,3469417#-0,5773565#2,746417#-0,2382986#-0,5650358#3,461524#-0,3161626#-0,6532335#2,68729#1  
frame33 #-0,344157#0,8560511#2,944173#-0,3044037#0,6755158#2,997298# -0,3310806#0,65162#2,517991#-0,5446115#0,2792827#2,806581#-0,279881#0,6397941#2,536962#-0,5270142#0,2892088#2,871438#-0,1387264#0,5639513#2,674584#-0,4742222#0,3189872#3,079135#-0,180968#0,5131744#2,966826#-0,4586176#0,5555584#3,035512#-0,3002136#0,3500193#3,022102#-0,3023012#0,2825952#3,021265#-0,2374248#0,2091618#3,010885#-0,3682495#0,2216201#3,033211#-0,2027527#-0,2377812#3,264205#-0,3271599#-0,2487731#2,779444#-0,2199813#-0,5220525#3,542646#-0,3472297#-0,577823#2,746295#-0,2387018#-0,5687478#3,465579#-0,3163411#-0,6533964#2,687274#1  
frame34 #-0,3467773#0,8558735#2,944238#-0,3053055#0,6789978#2,999017# -0,3435989#0,6553264#2,450959#-0,5067667#0,08226651#2,939449#-0,2712261#0,6388302#2,518392#-0,4985671#0,1415978#2,971202#-0,1288591#0,5749431#2,684697#-0,4739684#0,3195918#3,079571#-0,1869653#0,5193219#2,966696#-0,4548775#0,5575293#3,035358#-0,3015084#0,348691#3,02164#-0,3035963#0,2807948#3,021399#-0,2406853#0,2093359#3,010167#-0,3681266#0,2217627#3,033571#-0,2025699#-0,2360964#3,261867#-0,3272451#-0,2489348#2,779502#-0,219862#-0,5206649#3,541184#-0,3469388#-0,5788851#2,745068#-0,2392025#-0,5672582#3,464194#-0,3163471#-0,6534293#2,687212#1  
frame35 #-0,3533262#0,8587455#2,945059#-0,309382#0,6799654#3,000231# -0,342586#0,6537265#2,420373#-0,456237#0,03387339#2,926802#-0,2819455#0,6416858#2,496509#-0,4604146#0,1080632#2,964117#-0,1608577#0,5925776#2,700611#-0,4729477#0,3306324#3,08916#-0,1898736#0,5238352#2,966029#-0,4498554#0,5689336#3,043023#-0,3052815#0,3479513#3,02191#-0,3069829#0,2802471#3,022228#-0,2476414#0,211336#3,009444#-0,3692556#0,2227921#3,035853#-0,2017598#-0,2352068#3,260042#-0,3274444#-0,2492678#2,779698#-0,2186964#-0,5182725#3,541939#-0,3466972#-0,5789393#2,744916#-0,2410735#-0,5648984#3,465748#-0,3164142#-0,6534463#2,687129#1  
frame36 #-0,3547482#0,8618622#2,950499#-0,3097276#0,6801558#3,000628# -0,3421215#0,651388#2,402236#-0,4560291#0,0322209#2,926679#-0,2906867#0,647498#2,480009#-0,4600381#0,1070554#2,964963#-0,1732641#0,6033853#2,706427#-0,4720648#0,3315591#3,092899#-0,1866123#0,5327562#2,961906#-0,4480395#0,569938#3,04624#-0,306503#0,3481671#3,021758#-0,3083198#0,2806824#3,022711#-0,2493548#0,2127518#3,009202#-0,3703275#0,2236073#3,03767#-0,2014908#-0,2349961#3,259777#-0,3274038#-0,2475841#2,780337#-0,2205176#-0,5190602#3,541893#-0,3469172#-0,5779442#2,744981#-0,2447218#-0,5656142#3,466391#-0,316752#-0,6536079#2,687097#1  
