frame1 #-0,3458518#1,056803#3,617463#-0,3592898#0,8657422#3,637824# 0,08853719#0,4463697#3,802836#-0,3883625#0,715171#3,059107#0,03421009#0,4695586#3,774227#-0,3804562#0,6474642#3,087349#-0,1287712#0,5391253#3,701717#-0,4598742#0,5672707#3,341967#-0,2025002#0,7711335#3,728352#-0,5001484#0,7113529#3,529202#-0,3210627#0,5177404#3,646227#-0,3086705#0,448844#3,643857#-0,2328781#0,389641#3,668893#-0,3668198#0,3627397#3,616282#-0,2236279#-0,1694989#3,693389#-0,3460822#-0,1604026#3,421851#-0,3087281#-0,5441854#3,718458#-0,3238763#-0,5395862#3,329108#-0,3106437#-0,5607865#3,594797#-0,2674508#-0,5887973#3,250568#1  
frame12 #-0,2323795#1,033102#3,636327#-0,2822492#0,8664783#3,626844# -0,1651932#0,2842849#3,643525#-0,1914355#0,1531953#3,417074#-0,1870764#0,2686948#3,712325#-0,2337927#0,2349084#3,378157#-0,1981009#0,494769#3,786115#-0,2950889#0,4387624#3,348511#-0,1775117#0,7653274#3,767226#-0,2943655#0,7076856#3,471003#-0,3176803#0,3704245#3,535906#-0,3166133#0,2715599#3,517579#-0,2921105#0,2419173#3,511422#-0,345325#0,2439229#3,512103#-0,2397448#-0,2614081#3,684297#-0,3271659#-0,2370844#3,30736#-0,3620231#-0,521958#3,289753#-0,419659#-0,5581814#3,194594#-0,2817109#-0,563031#3,262058#-0,3897961#-0,6017186#3,132884#1  
frame13 #-0,2184918#1,016128#3,628331#-0,2692932#0,8560026#3,612621# -0,1655209#0,2477335#3,632#-0,1887664#0,2317979#3,444089#-0,1816121#0,2605747#3,7024#-0,2079145#0,2256509#3,409381#-0,1850412#0,4827886#3,770773#-0,2561755#0,4308496#3,363046#-0,1644869#0,7546794#3,753246#-0,291632#0,7023976#3,467403#-0,3040113#0,3374974#3,56024#-0,3012595#0,2319893#3,552333#-0,2627546#0,1981661#3,538727#-0,3439441#0,1990499#3,558723#-0,2459778#-0,2678039#3,688117#-0,3416429#-0,2365657#3,287582#-0,3551447#-0,5811007#3,726314#-0,4243368#-0,5692104#3,146566#-0,3619692#-0,5931315#3,61825#-0,4013991#-0,628633#3,068657#1  
frame14 #-0,2117108#1,009941#3,629474#-0,2629786#0,849429#3,606086# -0,2176247#0,2321479#3,63273#-0,1639118#0,2234769#3,513934#-0,264898#0,2479213#3,71819#-0,1911812#0,2523703#3,465116#-0,1791425#0,476258#3,764084#-0,2398665#0,4401183#3,37587#-0,1581459#0,7480543#3,746762#-0,2772337#0,6864195#3,460654#-0,3173058#0,4088492#3,564726#-0,3195265#0,3215409#3,557399#-0,3015247#0,2567944#3,602076#-0,3521676#0,2657644#3,500053#-0,2468443#-0,261896#3,689373#-0,3513963#-0,2308897#3,273661#-0,3607843#-0,567127#3,725654#-0,4214378#-0,5622907#3,124084#-0,3065031#-0,5376482#3,675678#-0,399869#-0,6283222#3,050399#1  
frame15 #-0,2108473#1,004743#3,625823#-0,2613386#0,8467373#3,604019# -0,2890114#0,2869232#3,630139#-0,125607#0,2509219#3,551384#-0,3785142#0,3036219#3,668132#-0,1531723#0,2857451#3,501028#-0,3381177#0,5143721#3,723156#-0,2275723#0,4423837#3,382241#-0,1564997#0,7453488#3,744714#-0,272751#0,6851922#3,457462#-0,3194262#0,4130022#3,562184#-0,3224482#0,3275872#3,553698#-0,304284#0,2571962#3,602207#-0,3563843#0,2704489#3,487369#-0,2519625#-0,2612858#3,689922#-0,3793477#-0,243387#3,250194#-0,3671994#-0,5601948#3,723255#-0,4267931#-0,5643348#3,095001#-0,3011029#-0,5415848#3,686203#-0,4010959#-0,6202431#3,032199#1  
frame16 #-0,1995938#0,9995313#3,606111#-0,2500355#0,8400387#3,587466# -0,641917#0,2927975#3,737835#-0,1179559#0,2574486#3,620343#-0,5816284#0,3700447#3,737242#-0,1437116#0,2861664#3,585705#-0,4007627#0,6017864#3,749462#-0,1845085#0,3926659#3,414758#-0,1451912#0,7386307#3,728196#-0,2612892#0,6764202#3,445068#-0,3276243#0,3439563#3,520985#-0,3343685#0,2446672#3,508958#-0,3131976#0,207227#3,504757#-0,3644203#0,224067#3,504956#-0,2645034#-0,2323961#3,675032#-0,3907643#-0,2348098#3,234194#-0,3708394#-0,5275123#3,720856#-0,4298746#-0,559912#3,069327#-0,3059075#-0,5573889#3,692634#-0,401799#-0,6200058#3,014425#1  
frame17 #-0,1921357#0,9900979#3,577416#-0,2468568#0,8321122#3,569383# -0,6478579#0,3018935#3,726499#-0,1035949#0,2636279#3,619023#-0,5859417#0,3772115#3,724964#-0,1288634#0,2915049#3,58841#-0,4001931#0,6031653#3,734291#-0,1674935#0,389037#3,413271#-0,1420059#0,7306945#3,710118#-0,2569332#0,6635441#3,433693#-0,3282608#0,3422379#3,520239#-0,3351153#0,2427262#3,508917#-0,3142774#0,2056223#3,505113#-0,3650447#0,220874#3,505#-0,2700646#-0,230892#3,67134#-0,4047053#-0,2321658#3,216914#-0,3786725#-0,5239155#3,706534#-0,4280758#-0,565672#3,044322#-0,3106865#-0,5580964#3,698196#-0,405238#-0,6250185#2,975723#1  
frame18 #-0,1961575#0,9796808#3,536561#-0,2547955#0,8196444#3,516371# -0,6541401#0,3056614#3,71109#-0,1006038#0,2749348#3,604736#-0,5920822#0,3799042#3,706072#-0,1261176#0,3034313#3,572922#-0,4059085#0,6026323#3,704864#-0,1645024#0,4003438#3,398896#-0,1499407#0,7182211#3,657109#-0,2567494#0,6566124#3,407908#-0,3284976#0,3335944#3,503726#-0,3343043#0,2355671#3,498211#-0,3146676#0,2017829#3,50211#-0,3611557#0,2100105#3,48486#-0,2789397#-0,2116763#3,648748#-0,4150263#-0,2381503#3,19269#-0,3736464#-0,5013799#3,704874#-0,4305957#-0,5640372#3,025959#-0,3205498#-0,5560068#3,696597#-0,4046316#-0,6301051#2,952436#1  
frame19 #-0,1961845#0,9789122#3,532114#-0,2568846#0,8172922#3,50652# -0,6570286#0,3026045#3,681036#-0,07114707#0,3131036#3,589705#-0,5952931#0,3768762#3,678055#-0,09676711#0,3418683#3,557371#-0,4100866#0,5996913#3,682914#-0,1350457#0,4385126#3,383823#-0,1520298#0,7158689#3,647259#-0,2575377#0,6477335#3,354789#-0,3322418#0,3257424#3,476506#-0,3371775#0,2265601#3,470618#-0,3192983#0,1934673#3,479531#-0,3620925#0,2031387#3,459361#-0,285495#-0,2201639#3,640205#-0,4190431#-0,2368752#3,180768#-0,3763479#-0,5051963#3,705581#-0,4310787#-0,5580591#3,016272#-0,3184717#-0,5550135#3,696289#-0,4051632#-0,6271671#2,942892#1  
frame20 #-0,2008044#0,9768748#3,4893#-0,2581712#0,8141345#3,475721# -0,6542474#0,2986016#3,653303#-0,06202547#0,3234253#3,573357#-0,5930114#0,3728352#3,650067#-0,08777998#0,3525295#3,540365#-0,4093032#0,5955359#3,654112#-0,1259241#0,4488344#3,367424#-0,1533164#0,7127112#3,616459#-0,2654759#0,6429975#3,342105#-0,3325053#0,3253448#3,463293#-0,3374245#0,2263437#3,459508#-0,3186243#0,1904393#3,472568#-0,3652171#0,2002358#3,439749#-0,2936963#-0,2322959#3,631545#-0,4234692#-0,2359215#3,168594#-0,3765191#-0,5123977#3,710815#-0,4334573#-0,5689026#2,994933#-0,3109074#-0,5494877#3,695748#-0,403276#-0,6326232#2,935184#1  
frame21 #-0,2007663#0,9815687#3,477012#-0,2621511#0,8181354#3,458829# -0,6452643#0,2817506#3,583977#-0,05805939#0,3524964#3,519438#-0,5871082#0,3581813#3,586038#-0,08390233#0,3818238#3,486013#-0,41264#0,5874735#3,606141#-0,121958#0,4779054#3,313674#-0,1572963#0,7167121#3,599568#-0,301961#0,6487726#3,314297#-0,3336684#0,3291661#3,440933#-0,33821#0,2302861#3,436232#-0,3149111#0,1886638#3,455472#-0,3723264#0,1984653#3,411685#-0,2882488#-0,2175788#3,619638#-0,4265231#-0,235959#3,15089#-0,3711503#-0,4947774#3,701427#-0,4320776#-0,5703942#2,981432#-0,3172464#-0,54939#3,702777#-0,3991237#-0,6353421#2,918472#1  
frame22 #-0,2198965#0,982214#3,425289#-0,2769824#0,8169693#3,413776# -0,648631#0,2746199#3,573318#0,1142353#0,6252809#3,349508#-0,591657#0,3516883#3,5725#0,05522876#0,5912769#3,330001#-0,4207351#0,5828933#3,584113#-0,1217908#0,4892653#3,285548#-0,1721276#0,7155461#3,554514#-0,3155145#0,6407588#3,279568#-0,3358733#0,3269147#3,41996#-0,338887#0,228047#3,418602#-0,31333#0,1823861#3,448752#-0,3766204#0,1858794#3,375902#-0,2886088#-0,2166509#3,613729#-0,4246639#-0,2343687#3,131299#-0,3542111#-0,5045572#3,671677#-0,4297087#-0,5680397#2,970415#-0,3071758#-0,5616735#3,694977#-0,3988984#-0,6347065#2,913416#1  
frame23 #-0,2249848#0,9840231#3,40838#-0,2899251#0,8185821#3,38527# -0,6637444#0,2760473#3,526121#0,08069799#0,5983982#3,173945#-0,6065198#0,3527486#3,526745#0,01752564#0,5702824#3,188844#-0,4348459#0,5828522#3,542818#-0,1719914#0,4859349#3,247742#-0,1850703#0,7171589#3,526008#-0,3342308#0,6459581#3,235147#-0,335421#0,3331755#3,402762#-0,3359459#0,2350346#3,403972#-0,3079232#0,1890844#3,431656#-0,373944#0,1902199#3,372505#-0,2858824#-0,2151395#3,60174#-0,420142#-0,2331802#3,112698#-0,3582028#-0,4952657#3,673143#-0,4297586#-0,5670961#2,969133#-0,3382012#-0,5607183#3,707058#-0,3995351#-0,6353741#2,909642#1  
frame24 #-0,2432444#0,9818138#3,363557#-0,3034639#0,8170252#3,361108# -0,6776562#0,2671532#3,511328#0,03434951#0,5573381#3,36151#-0,6205431#0,3451542#3,511337#-0,01309891#0,5475442#3,277129#-0,4492036#0,5791569#3,525689#-0,1627211#0,5408437#3,138085#-0,1986092#0,7156019#3,501846#-0,3444344#0,6416997#3,218749#-0,3382239#0,3410366#3,375508#-0,3357437#0,2453424#3,376611#-0,3073399#0,1873498#3,428959#-0,3715091#0,1917002#3,316905#-0,2877013#-0,2309505#3,594727#-0,4178865#-0,2197818#3,091178#-0,3624712#-0,5035998#3,679266#-0,4295436#-0,5616511#2,963447#-0,3291479#-0,5631647#3,7133#-0,3997268#-0,6347786#2,899571#1  
frame25 #-0,2591992#0,981652#3,344098#-0,3096364#0,8131041#3,345758# -0,6887411#0,2578277#3,492707#0,05541945#0,5924135#3,26143#-0,6311722#0,3367883#3,493084#0,005730897#0,5784323#3,178702#-0,4584655#0,57367#3,508615#-0,1788862#0,5635684#3,080647#-0,2047816#0,7116809#3,486496#-0,3752547#0,6397123#3,174754#-0,3358475#0,3506413#3,356133#-0,3311666#0,2589273#3,355329#-0,2925439#0,2125402#3,381615#-0,3706155#0,1991034#3,315195#-0,28576#-0,2023563#3,552808#-0,4103763#-0,2295538#3,052993#-0,3675295#-0,4885558#3,683593#-0,429757#-0,5585959#2,958839#-0,3317471#-0,5501631#3,711064#-0,3997011#-0,6336865#2,894728#1  
frame26 #-0,2432687#0,9606954#3,322297#-0,3293864#0,8026399#3,310917# -0,7122758#0,2417793#3,458798#-0,03514515#0,6373006#3,13622#-0,654415#0,3218065#3,459251#-0,0270205#0,6274095#3,112098#-0,4808324#0,5618881#3,475026#-0,2114633#0,5965664#3,012581#-0,2245316#0,7012166#3,451655#-0,3926409#0,6395339#3,156113#-0,3385938#0,3644048#3,325384#-0,331349#0,2770244#3,325099#-0,2908463#0,2201257#3,370707#-0,3731664#0,2191695#3,282047#-0,2906549#-0,222986#3,551169#-0,4072883#-0,234326#3,046193#-0,3674121#-0,4886449#3,684174#-0,4282642#-0,5566484#2,956554#-0,345742#-0,5513682#3,72158#-0,4001338#-0,6329229#2,893207#1  
frame27 #-0,2768527#0,9724882#3,292073#-0,3343714#0,7981368#3,25657# -0,7164835#0,2386798#3,404139#0,001993883#0,6669742#3,095744#-0,6586709#0,3184392#3,40458#-0,04554614#0,6529856#3,043338#-0,485233#0,5577174#3,420296#-0,2316342#0,6176358#2,948944#-0,2295166#0,6967136#3,397308#-0,4231964#0,6379539#3,12996#-0,3372334#0,3808137#3,29892#-0,3293855#0,2961294#3,303022#-0,2830586#0,2354327#3,353649#-0,375461#0,2312007#3,261837#-0,2957511#-0,2290775#3,537757#-0,4033953#-0,2272772#3,033469#-0,3649674#-0,4957433#3,696149#-0,4265365#-0,5553376#2,954073#-0,3333514#-0,5567091#3,728587#-0,4001437#-0,6330494#2,89224#1  
frame28 #-0,3086766#0,9496319#3,232494#-0,3392164#0,7693508#3,256454# -0,1852104#0,2447171#3,411624#-0,03691595#0,7302356#2,935153#-0,3145836#0,2915196#3,397542#-0,08323984#0,7275237#2,880639#-0,4899001#0,5290282#3,420201#-0,320994#0,6664344#2,874074#-0,2343616#0,6679276#3,397192#-0,4211061#0,5758743#3,136509#-0,3342512#0,3778199#3,287685#-0,3244711#0,2970932#3,288738#-0,276775#0,2388937#3,334739#-0,3667157#0,2291587#3,2422#-0,2899968#-0,1794838#3,442683#-0,3890131#-0,2257497#2,986606#-0,3555276#-0,4702424#3,695815#-0,4217216#-0,5584267#2,942031#-0,2883263#-0,5111296#3,652262#-0,3986106#-0,6346765#2,886409#1  
frame29 #-0,3365425#0,9404962#3,120073#-0,3497762#0,750916#3,179829# -0,1365673#0,2408753#3,276805#-0,2506546#0,8130974#2,562571#-0,1585316#0,3091493#3,341947#-0,3418604#0,7951063#2,589867#-0,1979487#0,4724978#3,497921#-0,4812361#0,7208138#2,757019#-0,2415709#0,6706367#3,308719#-0,4648142#0,6473769#3,072816#-0,3502107#0,3963386#3,218796#-0,3424487#0,3250628#3,222702#-0,2950349#0,2497676#3,275638#-0,3873627#0,255077#3,1795#-0,2888897#-0,1946445#3,441701#-0,3896104#-0,2148409#2,957632#-0,3543934#-0,4812776#3,661331#-0,4192041#-0,5628217#2,933172#-0,2941429#-0,5240772#3,609491#-0,3975286#-0,6354734#2,88423#1  
frame30 #-0,3374432#0,8627301#3,135227#-0,3569914#0,680711#3,161744# -0,06539511#0,2367159#3,216062#-0,5746312#0,8206784#2,521102#-0,08037963#0,29704#3,29028#-0,6035487#0,7817363#2,59392#-0,1517867#0,4681367#3,42281#-0,6256689#0,686281#2,83145#-0,2081733#0,6022495#3,253598#-0,4816631#0,5829256#3,074982#-0,3635695#0,3404573#3,190633#-0,3595622#0,2720593#3,191775#-0,2959727#0,1961396#3,233268#-0,4240614#0,2033881#3,155874#-0,2910022#-0,2024017#3,432029#-0,3859961#-0,2246517#2,941653#-0,3474535#-0,4782668#3,651626#-0,4188983#-0,564277#2,931886#-0,3204587#-0,5372473#3,733941#-0,3966618#-0,6357043#2,882262#1  
frame31 #-0,3878512#0,8579894#3,08442#-0,3606222#0,6774671#3,15428# -0,07732505#0,3236581#3,100806#-0,6591332#0,8203356#2,582317#-0,09220088#0,3162376#3,185394#-0,6884639#0,7718161#2,650521#-0,09552624#0,4843727#3,340263#-0,6942212#0,6526634#2,863182#-0,2144505#0,5775963#3,209055#-0,5200358#0,5697941#3,082782#-0,3668786#0,3358742#3,185078#-0,3648537#0,2671026#3,186563#-0,298609#0,1887253#3,219108#-0,435878#0,1960291#3,157461#-0,2913616#-0,2111333#3,421442#-0,3872216#-0,2269469#2,940294#-0,3584804#-0,5002198#3,675451#-0,4179271#-0,5650204#2,927757#-0,3301897#-0,5524175#3,736277#-0,3968213#-0,6357585#2,881722#1  
frame32 #-0,400609#0,8581766#3,084068#-0,3704207#0,6686531#3,14134# -0,1784742#0,4628149#2,885706#-0,6648638#0,7417096#2,730553#-0,1552666#0,4720765#2,952748#-0,7064974#0,6841676#2,796322#-0,05948772#0,4196444#3,155252#-0,7581601#0,5598115#2,981558#-0,2218746#0,5679678#3,155037#-0,5609853#0,5613536#3,115055#-0,374231#0,3303344#3,179669#-0,3741959#0,2619263#3,182568#-0,3029256#0,1824968#3,207113#-0,4572985#0,1850537#3,168443#-0,2885982#-0,2144807#3,420589#-0,3930656#-0,2263361#2,945252#-0,3520717#-0,4692514#3,619019#-0,4196647#-0,5643309#2,927806#-0,3408163#-0,5161371#3,541399#-0,3974222#-0,6356205#2,880902#1  
frame33 #-0,4072475#0,848547#3,082534#-0,3821491#0,6597775#3,136106# -0,1894052#0,5266428#2,927162#-0,6624187#0,7028027#2,778225#-0,1711476#0,5175098#2,936015#-0,7072913#0,6543025#2,824255#-0,0568569#0,4191526#3,121479#-0,7717993#0,5189942#3,049119#-0,2248394#0,5573457#3,147219#-0,5636405#0,5593306#3,118637#-0,3816282#0,322637#3,17608#-0,3810328#0,2546516#3,18018#-0,3049351#0,1739215#3,19985#-0,4625653#0,1802954#3,170911#-0,2939883#-0,2177797#3,414488#-0,3992386#-0,2308773#2,946005#-0,348738#-0,4996955#3,681571#-0,422303#-0,5630757#2,927398#-0,3199815#-0,5639129#3,712604#-0,3979804#-0,635375#2,880602#1  
frame34 #-0,4233935#0,8513542#3,075153#-0,3874482#0,661248#3,131614# -0,2937126#0,6059363#2,824629#-0,666947#0,5542998#2,877526#-0,2315729#0,5815729#2,84981#-0,6954383#0,512888#2,928145#-0,06381768#0,4541291#2,976463#-0,7623475#0,4314338#3,128277#-0,2384339#0,5313539#3,115191#-0,5850627#0,5508072#3,166742#-0,3839275#0,3214946#3,173601#-0,384435#0,2531006#3,178746#-0,3067353#0,1706239#3,192934#-0,4676271#0,1792551#3,175631#-0,2940841#-0,2188325#3,414343#-0,4009598#-0,2304942#2,945785#-0,3526229#-0,5010894#3,681467#-0,4243221#-0,5612887#2,927453#-0,3632659#-0,5481893#3,605512#-0,398086#-0,6341394#2,878111#1  
frame35 #-0,4480699#0,846307#3,081778#-0,3938038#0,6679386#3,127746# -0,4074393#0,6318929#2,579338#-0,6461137#0,5610065#2,91936#-0,3056159#0,6140468#2,672179#-0,6748845#0,5191884#2,970476#-0,1527108#0,5415711#2,901525#-0,739371#0,4395723#3,16962#-0,2609985#0,5315543#3,110343#-0,5639529#0,5576888#3,207851#-0,3897536#0,3231145#3,170851#-0,3910038#0,2539255#3,177093#-0,3264616#0,1841285#3,171911#-0,4702618#0,1844416#3,184497#-0,293352#-0,2172628#3,411023#-0,4049537#-0,222479#2,947781#-0,3657292#-0,4697386#3,612046#-0,4251351#-0,5604428#2,927432#-0,3896066#-0,5175724#3,538377#-0,3989428#-0,6346264#2,878673#1 
frame36 #-0,4539471#0,8417464#3,090028#-0,4033187#0,6657161#3,133606# -0,4313388#0,6511141#2,475786#-0,6340027#0,5583478#2,920753#-0,3657132#0,6218081#2,652156#-0,6626941#0,5166451#2,971728#-0,3045067#0,5997978#2,876265#-0,7253127#0,438451#3,170084#-0,2796556#0,5310972#3,114147#-0,5513405#0,555594#3,208132#-0,3965054#0,3052066#3,175368#-0,3970315#0,230322#3,182345#-0,3301916#0,1711383#3,172344#-0,4656289#0,1753067#3,195148#-0,2908404#-0,2031691#3,400012#-0,4073663#-0,2267522#2,947208#-0,3332019#-0,4812082#3,654481#-0,4259035#-0,5601155#2,927114#-0,3587607#-0,5289523#3,581336#-0,3994102#-0,6345244#2,878406#1  
