frame1 #-0,1405447#0,865649#3,179348#-0,1685477#0,6591575#3,227653# -0,2894343#0,5223807#2,948904#-0,4771087#0,2012401#3,157176#-0,2589638#0,5191872#2,939121#-0,4801262#0,259212#3,155168#-0,03367506#0,5408918#2,925204#-0,5341837#0,4294295#3,310441#0,003037468#0,4918424#3,24759#-0,3491738#0,5216033#3,226521#-0,1695929#0,3061053#3,240618#-0,1676732#0,2376091#3,213924#-0,08826108#0,1515417#3,209873#-0,2467561#0,1649341#3,207703#0,1294521#-0,2535734#3,215279#-0,4996746#-0,275826#3,196019#0,2396521#-0,5660821#3,190253#-0,6256335#-0,6073848#3,190371#0,1179233#-0,5795774#3,187225#-0,6987551#-0,6728155#3,175305#1  
frame12 #0,1153879#0,7678088#3,249026#0,03314944#0,5984277#3,234782# 0,659277#0,4172429#3,152929#0,1530597#0,130434#3,039364#0,5946491#0,3869176#3,156718#0,09430268#0,1659654#3,03028#0,3630081#0,349273#3,225038#-0,08196829#0,2725596#3,01687#0,2014879#0,4562874#3,309399#-0,08428656#0,4728358#3,093671#-0,007313644#0,2376763#3,23567#0,009168248#0,1671006#3,207339#0,06319324#0,08001862#3,239712#-0,05334345#0,1023892#3,160811#0,2413533#-0,2464151#3,211447#-0,2929067#-0,2429277#3,169764#0,2713869#-0,5848244#3,204485#-0,6045214#-0,552792#3,179634#0,326997#-0,6676752#3,199263#-0,5563585#-0,5929247#3,119417#1  
frame13 #0,1288717#0,7537934#3,247216#0,0376571#0,593075#3,234097# 0,6650643#0,4040422#3,154085#0,2089021#0,1421843#3,040465#0,595827#0,3809157#3,159162#0,1363045#0,1746235#3,031013#0,3644363#0,3467061#3,2278#-0,08148827#0,2719413#3,016553#0,2056021#0,4485822#3,308834#-0,07954714#0,469833#3,09157#-0,003334815#0,232066#3,237102#0,01349455#0,1613871#3,208683#0,06596354#0,07505278#3,241446#-0,04687445#0,09474121#3,162306#0,2502645#-0,243945#3,210584#-0,2964115#-0,2502209#3,171453#0,2729636#-0,5860478#3,205929#-0,6087995#-0,5600611#3,193572#0,3271949#-0,6676887#3,199299#-0,5598688#-0,600706#3,132988#1  
frame14 #0,1254278#0,7727427#3,249691#0,04511736#0,5939935#3,232429# 0,6709622#0,394655#3,163482#0,1372252#0,1362493#3,033612#0,6015165#0,3715841#3,166819#0,08511606#0,1708576#3,022611#0,3688162#0,3427239#3,23021#-0,07121138#0,2746826#3,003532#0,2095477#0,4459742#3,307839#-0,07467213#0,4686094#3,091512#0,0003779624#0,230812#3,237707#0,01692116#0,1594145#3,209293#0,06958744#0,07348222#3,242244#-0,0448886#0,09329686#3,163192#0,2506316#-0,2445994#3,210655#-0,2964483#-0,2522694#3,171874#0,2732173#-0,5862005#3,20517#-0,6099024#-0,5631105#3,19403#0,3272924#-0,6675602#3,195421#-0,5606645#-0,6043819#3,132903#1  
frame15 #0,1368744#0,7486622#3,244341#0,04991882#0,5895241#3,232487# 0,671683#0,3890003#3,158459#0,1365353#0,1395256#3,029996#0,6039975#0,3651539#3,169214#0,08669244#0,1725078#3,016372#0,3727056#0,341217#3,237277#-0,06283608#0,2714541#2,989461#0,2142702#0,4415768#3,308946#-0,07079542#0,4689789#3,09133#0,00543051#0,2259712#3,238853#0,02225407#0,1543532#3,210359#0,07608283#0,06937913#3,243004#-0,04131112#0,08964023#3,164963#0,2508311#-0,2448039#3,209968#-0,2361331#-0,2226762#3,173514#0,2733477#-0,587065#3,205038#-0,5671914#-0,5246474#3,188684#0,3281495#-0,6678017#3,197151#-0,5171307#-0,566553#3,126753#1  
frame16 #0,1373324#0,7484894#3,242728#0,05076925#0,5884471#3,231233# 0,6843002#0,3874205#3,157243#0,1364399#0,1394509#3,028666#0,6161182#0,3645105#3,166144#0,08686163#0,1723642#3,014619#0,4136255#0,3224713#3,218971#-0,06187334#0,2711041#2,986475#0,2142745#0,4415205#3,309188#-0,06930894#0,4687399#3,090889#0,004756065#0,2255621#3,238001#0,0213957#0,1538699#3,209468#0,07326454#0,06807956#3,241822#-0,04166184#0,08939739#3,164113#0,2516365#-0,242124#3,210078#-0,2361907#-0,2185842#3,173054#0,2744197#-0,5882021#3,205315#-0,567131#-0,5241525#3,190776#0,328119#-0,6676505#3,196675#-0,5165049#-0,5664306#3,128626#1  
frame17 #0,1381026#0,7469282#3,238551#0,05143309#0,5879443#3,231119# 0,684872#0,3865151#3,156445#0,2243951#0,1356673#3,027476#0,6161371#0,3629631#3,166423#0,1526364#0,1692038#3,014045#0,4156764#0,3210225#3,218712#-0,06263975#0,2698134#2,987759#0,2156611#0,4416395#3,310294#-0,06842491#0,4684026#3,090532#0,00549867#0,2255447#3,238356#0,02225826#0,1539245#3,210004#0,07513978#0,06823073#3,243114#-0,04111089#0,0890616#3,164527#0,2516556#-0,2421699#3,21018#-0,2362661#-0,2174287#3,172751#0,2756969#-0,5893591#3,206624#-0,5691661#-0,5264031#3,180548#0,3296098#-0,6688403#3,200452#-0,5184304#-0,5686827#3,118552#1  
frame18 #0,1346148#0,7508711#3,237172#0,05271993#0,5867195#3,230517# 0,6840429#0,3826756#3,156789#0,2138651#0,1349385#3,032007#0,5946097#0,346077#3,178938#0,1452586#0,169058#3,016839#0,4172484#0,319445#3,217395#-0,06056096#0,2714165#2,98537#0,2153549#0,4415202#3,310572#-0,06747751#0,4680679#3,090475#0,005304525#0,2250067#3,237791#0,02183973#0,1533696#3,209373#0,07369082#0,06723767#3,242487#-0,041347#0,08859594#3,163664#0,2504323#-0,2415665#3,210099#-0,2930205#-0,2429602#3,171206#0,274651#-0,5900996#3,205187#-0,61112#-0,5708829#3,190935#0,3220366#-0,6652766#3,201224#-0,5601431#-0,6133004#3,128983#1  
frame19 #0,1291537#0,7594318#3,233754#0,05353071#0,5874132#3,231371# 0,680818#0,3831124#3,156795#0,2151186#0,1357336#3,032771#0,598892#0,3491254#3,176794#0,1460289#0,1695358#3,017629#0,4172536#0,3187634#3,216918#-0,06124029#0,2709421#2,986235#0,2148379#0,4416202#3,311482#-0,06745899#0,467852#3,090488#0,005723968#0,2252149#3,238246#0,02231344#0,1535245#3,209811#0,07477567#0,06757174#3,243721#-0,04120576#0,08855227#3,163701#0,2497124#-0,2429742#3,20961#-0,2978439#-0,252147#3,173294#0,2744567#-0,5896334#3,203665#-0,6218914#-0,5762281#3,186581#0,3237997#-0,6661533#3,202166#-0,5706977#-0,6186668#3,124737#1  
frame20 #0,1289003#0,7589875#3,233059#0,05354679#0,5868648#3,23179# 0,6774346#0,3818367#3,15384#0,1412895#0,1371018#3,032432#0,6053403#0,3507986#3,169595#0,09024473#0,1701188#3,017838#0,4178361#0,3182298#3,216518#-0,06288964#0,2691697#2,988093#0,2142947#0,4411821#3,311675#-0,06800516#0,4667501#3,090458#0,00567773#0,2248397#3,238444#0,02231798#0,15321#3,209927#0,07492518#0,06712388#3,244018#-0,04136183#0,08789947#3,163539#0,254014#-0,2441218#3,206355#-0,2990091#-0,2541159#3,173493#0,2769414#-0,5891873#3,203105#-0,6231883#-0,5788898#3,188146#0,3293352#-0,668541#3,204497#-0,5718735#-0,6213845#3,12622#1  
frame21 #0,1253492#0,7554645#3,232603#0,04822173#0,5873753#3,229914# 0,673499#0,3815338#3,151044#0,1416118#0,1372834#3,030088#0,608369#0,3529539#3,169004#0,07932842#0,176904#3,019783#0,4171158#0,3181002#3,216449#-0,1075218#0,2957657#3,002898#0,2129579#0,4427252#3,313456#-0,07068883#0,4657683#3,090724#0,005089223#0,2253255#3,238601#0,02189257#0,1538321#3,21068#0,07617142#0,06766601#3,246008#-0,04216294#0,08794416#3,164128#0,252387#-0,2437518#3,206557#-0,3211782#-0,2816201#3,181017#0,2757849#-0,588548#3,200838#-0,6534539#-0,5964295#3,182813#0,3257318#-0,6676308#3,205252#-0,6016567#-0,6391946#3,12044#1  
frame22 #0,126036#0,7552865#3,232969#0,04653084#0,5885174#3,230711# 0,6750473#0,3823045#3,150544#0,1267533#0,1360056#3,018629#0,6101146#0,3541582#3,168796#0,07593786#0,1697424#3,010266#0,4174227#0,3175252#3,216033#-0,07650841#0,2709529#2,999207#0,2128112#0,4426768#3,313668#-0,07112111#0,4658417#3,09136#0,004772738#0,2254436#3,239038#0,02164377#0,1539435#3,211182#0,07623406#0,06755632#3,246825#-0,04237216#0,08790037#3,164344#0,2503597#-0,2433132#3,207023#-0,3046393#-0,2546515#3,177421#0,2754211#-0,5886989#3,200704#-0,6338524#-0,577225#3,181931#0,3275428#-0,6675617#3,202186#-0,5821435#-0,6198956#3,119514#1  
frame23 #0,1270118#0,7561289#3,230727#0,04450521#0,5892521#3,23034# 0,674674#0,382437#3,150747#0,1262624#0,1342372#3,016619#0,6101114#0,3541617#3,168786#0,07555737#0,1686117#3,008771#0,4175295#0,3169498#3,215626#-0,0765577#0,2717355#2,999254#0,2126974#0,4430323#3,31375#-0,07257347#0,4665719#3,092682#0,004534053#0,2259117#3,23924#0,02137647#0,1544403#3,211524#0,07642985#0,06783136#3,247084#-0,0428165#0,08826867#3,164843#0,2520536#-0,243507#3,206322#-0,3048197#-0,2550666#3,177652#0,2759367#-0,5885308#3,200667#-0,6312792#-0,580209#3,189595#0,3282629#-0,6679276#3,202529#-0,5797993#-0,6229095#3,126827#1  
frame24 #0,1227869#0,7621569#3,23573#0,04468073#0,5899343#3,230547# 0,6749157#0,3826459#3,150338#0,1222916#0,1340372#3,015191#0,6105925#0,3544201#3,169061#0,07236332#0,1699092#3,007972#0,4177043#0,3168584#3,215703#-0,07742157#0,277525#3,000339#0,2124954#0,4432479#3,314221#-0,0732503#0,4668593#3,093271#0,004844023#0,2265446#3,239367#0,02162668#0,1550712#3,211812#0,07734504#0,06845629#3,247895#-0,04283118#0,08832478#3,164805#0,2527739#-0,2442317#3,205902#-0,3059339#-0,2565189#3,17808#0,2763711#-0,5869779#3,199829#-0,6322974#-0,5825189#3,188304#0,3311064#-0,6696651#3,20415#-0,5808228#-0,6252737#3,125404#1  
frame25 #0,1237638#0,7605641#3,23574#0,04428525#0,589259#3,231297# 0,6758865#0,383063#3,150413#0,1291305#0,1414306#3,026861#0,6112303#0,3548941#3,168725#0,07697779#0,1739038#3,018049#0,4174818#0,3165752#3,21657#-0,07948044#0,2713233#3,005638#0,2116649#0,4435819#3,314585#-0,07380872#0,4670909#3,0943#0,004825506#0,2263447#3,240032#0,02157989#0,1549443#3,212669#0,07759775#0,0680197#3,249651#-0,04290424#0,08807147#3,165108#0,2517071#-0,2445976#3,206208#-0,2380722#-0,2024019#3,172944#0,2781731#-0,5867968#3,200101#-0,5704762#-0,5243116#3,186611#0,3310856#-0,6698764#3,201447#-0,5189843#-0,567122#3,123564#1  
frame26 #0,1231399#0,7629903#3,23539#0,04435221#0,5887901#3,235138# 0,6762148#0,3835666#3,150442#0,1376891#0,1359476#3,031827#0,6113029#0,3549869#3,168634#0,08037088#0,1751756#3,022064#0,417508#0,3165995#3,216158#-0,09158382#0,2928596#3,006797#0,2112748#0,4437717#3,314927#-0,07553278#0,4679177#3,097103#0,004260538#0,2271405#3,24252#0,02066852#0,1560446#3,215063#0,07699594#0,06851322#3,252529#-0,044078#0,08816483#3,166076#0,2502101#-0,2432733#3,207032#-0,2373998#-0,1995695#3,175794#0,2788353#-0,5863239#3,200344#-0,5710816#-0,5227987#3,184562#0,3306745#-0,6695682#3,201131#-0,5199527#-0,5656684#3,120976#1  
frame27 #0,1205908#0,7719425#3,231317#0,04331149#0,5920555#3,234573# 0,676535#0,383785#3,149623#0,1421188#0,1331642#3,036748#0,6112639#0,3549592#3,168468#0,0826418#0,1735981#3,027113#0,4165149#0,3174839#3,21655#-0,09578933#0,2948997#3,012227#0,2109235#0,4450063#3,316471#-0,07670106#0,4704754#3,100146#0,004267765#0,2286173#3,243032#0,02064176#0,1572803#3,215698#0,07761487#0,06965464#3,253534#-0,04442416#0,08890396#3,166546#0,2501805#-0,2424196#3,208121#-0,3216256#-0,2808524#3,196767#0,2785351#-0,5864835#3,201047#-0,647645#-0,5965153#3,192538#0,3303044#-0,6696257#3,19929#-0,5967976#-0,6394355#3,128685#1  
frame28 #0,1125879#0,7820295#3,231752#0,04229751#0,5934342#3,235389# 0,7220948#0,3836056#3,17382#0,1415315#0,1325326#3,037352#0,6543185#0,3802008#3,14602#0,08235958#0,1734162#3,027575#0,4163217#0,3176031#3,216732#-0,09515618#0,296067#3,012264#0,2108094#0,4450788#3,31698#-0,08029629#0,4717286#3,101129#0,002772668#0,2301512#3,243939#0,01885461#0,1587446#3,216538#0,07684313#0,06999385#3,253878#-0,04762853#0,09043463#3,167642#0,2491381#-0,2440237#3,209172#-0,3223853#-0,2815085#3,196593#0,2768788#-0,5865098#3,200709#-0,6426888#-0,5939615#3,203825#0,3304479#-0,669679#3,199269#-0,7038087#-0,658655#3,158587#1  
frame29 #0,1128042#0,7801829#3,231525#0,04026854#0,5943216#3,23713# 0,6815559#0,3857001#3,147951#0,1427778#0,1333334#3,037887#0,6158147#0,3560269#3,161819#0,08424648#0,1718464#3,031654#0,4121693#0,3186764#3,214491#-0,09134747#0,2873853#3,026972#0,2106613#0,4503027#3,320767#-0,08299381#0,4734381#3,103879#0,001240335#0,2320087#3,245723#0,01732463#0,1608917#3,21857#0,0761717#0,07133628#3,255701#-0,04967587#0,09197029#3,169716#0,2469118#-0,2450055#3,212137#-0,3232577#-0,2815742#3,196686#0,2753701#-0,5872307#3,200274#-0,6479897#-0,597942#3,203493#0,3334535#-0,6717756#3,202008#-0,7052812#-0,6599105#3,158785#1  
frame30 #0,1128289#0,7804932#3,23011#0,03756296#0,5969705#3,240791# 0,6659549#0,3823863#3,151083#0,1138866#0,1405112#3,031969#0,5998427#0,3531958#3,164759#0,06266282#0,1775501#3,026823#0,3597938#0,3304259#3,251385#-0,09100845#0,2886668#3,025404#0,2101953#0,4518939#3,32256#-0,08384427#0,4752629#3,110781#-0,00126482#0,2334305#3,248525#0,01452828#0,1621402#3,22091#0,07352474#0,0725948#3,257682#-0,05294491#0,0932375#3,172172#0,2466153#-0,2464533#3,211561#-0,3242153#-0,2825891#3,197674#0,2733366#-0,5895469#3,201364#-0,6529592#-0,6082449#3,201739#0,3314507#-0,6710547#3,19657#-0,6032209#-0,6513491#3,136502#1  
frame31 #0,1125026#0,7800986#3,229774#0,03589695#0,5985438#3,24677# 0,6683136#0,3818592#3,149444#0,1919369#0,1285459#3,055548#0,6012928#0,3510001#3,161496#0,1196256#0,1691273#3,045284#0,3623698#0,3293837#3,248176#-0,0973084#0,2908715#3,028516#0,2098792#0,4518747#3,325063#-0,08495788#0,475018#3,114491#-0,003075352#0,2342488#3,251064#0,01299147#0,1631555#3,222379#0,07178874#0,07298214#3,25943#-0,0542816#0,09356604#3,172379#0,2467334#-0,2468224#3,211377#-0,3248667#-0,2830428#3,198606#0,2722369#-0,5909688#3,202271#-0,6560219#-0,6066089#3,202111#0,331043#-0,6708516#3,194249#-0,6999038#-0,6651404#3,171364#1  
frame32 #0,09702419#0,7796607#3,235138#0,03449377#0,5981407#3,249171# 0,6684941#0,3813677#3,149268#0,1431391#0,1303525#3,053734#0,6013994#0,3509448#3,162804#0,08277737#0,1708573#3,0439#0,3625991#0,3292464#3,248009#-0,09830778#0,2923717#3,028425#0,2092252#0,4530705#3,325822#-0,08690021#0,4764853#3,117726#-0,004055463#0,2346208#3,252623#0,01222715#0,1638362#3,223073#0,07142349#0,07332058#3,259805#-0,05520758#0,09412625#3,172649#0,2463792#-0,246819#3,211211#-0,3253264#-0,2830647#3,199043#0,2738502#-0,5903115#3,201566#-0,6464682#-0,6024612#3,208677#0,3312086#-0,6708174#3,193044#-0,7000347#-0,6650837#3,17085#1  
frame33 #0,09764029#0,7878376#3,235667#0,03451623#0,5986765#3,250194# 0,6595626#0,3806674#3,150153#0,08914582#0,1435623#3,032151#0,5933228#0,3501459#3,165482#0,04126279#0,181847#3,027892#0,3555577#0,3322358#3,252748#-0,1023863#0,296701#3,029144#0,2084044#0,4528707#3,326504#-0,08862355#0,4765455#3,119267#-0,005340675#0,2349362#3,254032#0,01087981#0,1640925#3,223894#0,06975991#0,07344127#3,260442#-0,05703141#0,09440558#3,173428#0,2466918#-0,2469666#3,211115#-0,326189#-0,2836319#3,199378#0,2727999#-0,5917468#3,202857#-0,6499496#-0,6032208#3,203021#0,3309214#-0,6707409#3,192305#-0,7006716#-0,6631268#3,166843#1  
frame34 #0,09837377#0,7822289#3,241338#0,03364766#0,5980442#3,256319# 0,6598589#0,3797995#3,146803#0,09545188#0,1406622#3,031259#0,5940165#0,3493842#3,163992#0,04516647#0,1792103#3,028142#0,3578684#0,3318468#3,252672#-0,1056897#0,2948547#3,032828#0,2072263#0,4539824#3,331119#-0,09025717#0,4740443#3,122847#-0,006967817#0,2344055#3,257798#0,01025503#0,1639767#3,225813#0,06944805#0,07328118#3,262089#-0,05782871#0,09399699#3,174419#0,247415#-0,2472655#3,210185#-0,3132161#-0,2653705#3,195815#0,2768398#-0,5889596#3,202959#-0,6390083#-0,5936931#3,209196#0,3301228#-0,670787#3,189427#-0,7075364#-0,6620315#3,165427#1  
frame35 #0,09546296#0,7868006#3,242592#0,03320286#0,5974804#3,257172# 0,6595813#0,3805627#3,147524#0,1770761#0,1307785#3,053497#0,5928885#0,3497868#3,162868#0,105791#0,1717182#3,045537#0,3576595#0,3318753#3,252636#-0,1080642#0,2945372#3,035694#0,2063766#0,4544733#3,331376#-0,09093814#0,4738702#3,123495#-0,007844889#0,2340083#3,25938#0,009826344#0,163684#3,226676#0,06931215#0,07319213#3,262556#-0,05853097#0,09369057#3,17542#0,2474286#-0,2472516#3,210174#-0,3225669#-0,2759036#3,19854#0,2773465#-0,5885223#3,202835#-0,6380907#-0,5921435#3,208655#0,3302286#-0,6707124#3,190086#-0,7071126#-0,6613299#3,165221#1  
