frame1 #0,03093647#0,9099268#3,54676#-0,02016742#0,7761341#3,638451# 0,08571914#0,1939813#3,543936#-0,2622756#0,264974#3,497639#0,128421#0,2645667#3,585323#-0,292409#0,3303169#3,55544#0,134911#0,5007878#3,527313#-0,2989031#0,5120286#3,583853#0,1310375#0,6782623#3,652511#-0,1737765#0,693196#3,558922#-0,04371465#0,4218254#3,631393#-0,03082522#0,3604927#3,577444#0,03595094#0,2866626#3,585168#-0,1012153#0,2933828#3,544512#0,0224259#-0,259039#3,650442#-0,1190223#-0,2526858#3,447953#-0,05740579#-0,5659948#3,623678#-0,1547685#-0,5596099#3,268888#-0,01741347#-0,6428388#3,576639#-0,1240126#-0,6078352#3,178227#1  
frame12 #-0,001973635#0,9673625#3,489082#-0,03532887#0,783816#3,59358# -0,05506456#0,5538554#3,338761#-0,2523308#0,1937263#3,407259#-0,007518589#0,5405199#3,374724#-0,2682751#0,2697736#3,43806#0,1351193#0,5005134#3,495806#-0,2964408#0,4858481#3,569558#0,1247982#0,6773022#3,614885#-0,1868616#0,6972101#3,540676#-0,05511864#0,4390785#3,610552#-0,04525053#0,3762237#3,560119#0,02246868#0,2992214#3,563694#-0,1164101#0,3097286#3,539014#0,02256995#-0,2619109#3,634555#-0,1198695#-0,2305225#3,339386#-0,07287164#-0,5671518#3,503057#-0,1453219#-0,5781419#3,228126#-0,03023629#-0,6296612#3,557063#-0,1255656#-0,6180379#3,153197#1  
frame13 #-0,01191705#0,965592#3,491264#-0,04115314#0,7862862#3,591053# -0,06477331#0,5590065#3,333008#-0,2701424#0,1838955#3,414268#-0,01548959#0,5434884#3,366423#-0,2714185#0,2685147#3,441927#0,1323616#0,4969342#3,479876#-0,2963419#0,4801193#3,568458#0,1242911#0,6823018#3,604951#-0,1915321#0,6996275#3,537771#-0,0573557#0,439389#3,606526#-0,04827428#0,376568#3,555602#0,02018777#0,2976297#3,557842#-0,1195552#0,3108464#3,534934#0,0226102#-0,2609271#3,634035#-0,1421152#-0,2509603#3,303107#-0,06240039#-0,5678631#3,576546#-0,141771#-0,5941199#3,214985#-0,02724016#-0,6314653#3,593137#-0,1238133#-0,6342201#3,139087#1  
frame14 #-0,02224785#0,9585847#3,488286#-0,04184934#0,7854716#3,587898# -0,07781185#0,5961621#3,340459#-0,2794662#0,1813917#3,421884#-0,02845906#0,5689736#3,36579#-0,2778238#0,2675007#3,447052#0,1195993#0,487408#3,455011#-0,2961513#0,4752101#3,569971#0,1209419#0,6689494#3,56724#-0,1958469#0,6963221#3,533303#-0,0559637#0,4349812#3,598674#-0,05219913#0,3722695#3,545868#0,01650844#0,2905598#3,544327#-0,1247551#0,3079342#3,526708#0,01761801#-0,2542575#3,61903#-0,1422741#-0,2478701#3,300514#-0,074825#-0,5697315#3,505163#-0,1421034#-0,5926461#3,213705#-0,02016123#-0,6391224#3,554071#-0,1318977#-0,6327609#3,136274#1  
frame15 #-0,03926514#0,9722339#3,479931#-0,04391904#0,7874677#3,580761# -0,09287821#0,5953614#3,37805#-0,2924949#0,1788788#3,430421#-0,03703499#0,5720771#3,391916#-0,2877234#0,2391839#3,454286#0,1304947#0,5022241#3,446774#-0,2886863#0,4681054#3,572745#0,1184104#0,6765733#3,563879#-0,2004013#0,6937509#3,529763#-0,05713501#0,4349056#3,593189#-0,05336498#0,3716236#3,540784#0,01557991#0,2906505#3,539447#-0,1257283#0,306872#3,522867#0,01732767#-0,2558654#3,607502#-0,1421752#-0,2492209#3,296369#-0,1250665#-0,6018388#3,420737#-0,1414081#-0,5933633#3,214209#-0,115121#-0,6425107#3,342325#-0,1314626#-0,6340352#3,135798#1  
frame16 #-0,04068325#0,9712867#3,478642#-0,04956368#0,7866908#3,572176# 0,04402297#0,5012878#3,35972#-0,3092619#0,1246038#3,481066#-0,04028165#0,5717725#3,321923#-0,2963365#0,2256679#3,468416#0,1155916#0,4975561#3,409076#-0,2852667#0,4621124#3,573976#0,117032#0,6809533#3,551234#-0,2049401#0,6923112#3,528651#-0,05870835#0,433868#3,586976#-0,05634154#0,370321#3,534883#0,01343796#0,288936#3,530698#-0,128616#0,3052619#3,519775#0,01784497#-0,255733#3,605434#-0,1325894#-0,2522392#3,337011#-0,06554531#-0,5711033#3,571095#-0,1416445#-0,597612#3,209049#-0,04895866#-0,6349541#3,527005#-0,1349806#-0,6379259#3,13124#1  
frame17 #-0,0610704#0,9646724#3,460713#-0,05387444#0,7868019#3,558276# -0,07051726#0,5454973#3,240946#-0,3093518#0,125623#3,480299#-0,0310059#0,554754#3,288506#-0,301312#0,2232224#3,478908#0,107972#0,4887205#3,412426#-0,2835017#0,4611404#3,586073#0,1155067#0,6841318#3,542992#-0,2121874#0,6887456#3,518178#-0,06180101#0,4341207#3,576559#-0,05899987#0,369964#3,525476#0,01145327#0,290133#3,518615#-0,1312261#0,302982#3,514267#0,01582742#-0,2594#3,596299#-0,1533969#-0,2382154#3,280452#-0,0613929#-0,5621791#3,569163#-0,1413504#-0,5991564#3,204586#-0,02559138#-0,6233584#3,54441#-0,1344371#-0,639796#3,126463#1  
frame18 #-0,06937694#0,9652495#3,458961#-0,05347432#0,7857658#3,556279# -0,1432838#0,5626948#3,32644#-0,3226958#0,1223194#3,500825#-0,08307907#0,5443449#3,336209#-0,3115351#0,2139042#3,503337#0,09753521#0,489295#3,37886#-0,2812177#0,4592522#3,592288#0,1070959#0,6882276#3,506994#-0,2138917#0,6870136#3,516386#-0,05902724#0,4312733#3,569364#-0,06228489#0,3677422#3,516699#0,006433524#0,2891986#3,506007#-0,1347188#0,3004191#3,507177#0,01535489#-0,2636566#3,580688#-0,1538381#-0,2415099#3,277099#-0,05987322#-0,5681753#3,563447#-0,140818#-0,5991161#3,202485#-0,02896579#-0,6144285#3,512521#-0,1426204#-0,6398472#3,123679#1  
frame19 #-0,09399559#0,9616787#3,451608#-0,05601491#0,7847731#3,545416# -0,1372194#0,5510319#3,279348#-0,3238#0,1198459#3,522341#-0,07875958#0,5352558#3,300435#-0,3102619#0,2197469#3,523949#0,09661993#0,4879277#3,377056#-0,2719423#0,4647546#3,616235#0,1042536#0,68521#3,490506#-0,2158912#0,6866807#3,518628#-0,06056348#0,4299022#3,558364#-0,0666496#0,3663455#3,506284#0,0009289756#0,2888596#3,486213#-0,1380462#0,2985375#3,503783#0,01632694#-0,2639366#3,572559#-0,1375794#-0,248121#3,319349#-0,05501683#-0,5661374#3,563411#-0,139355#-0,5953085#3,195814#-0,02285561#-0,6078365#3,510239#-0,1458118#-0,6357607#3,117882#1  
frame20 #-0,1068834#0,9583625#3,452432#-0,06163641#0,7836127#3,52979# -0,1228654#0,5460181#3,216807#-0,3238275#0,1390715#3,555729#-0,07244339#0,5258648#3,251594#-0,3106903#0,219434#3,545384#0,07882274#0,4654047#3,369336#-0,2683598#0,4718065#3,613776#0,08764184#0,6763737#3,439163#-0,2216045#0,7044103#3,529503#-0,05568592#0,4299974#3,546503#-0,07028483#0,3657242#3,497249#-0,004344125#0,2894728#3,474886#-0,1393919#0,2978962#3,500882#0,01830614#-0,2640437#3,554066#-0,1133272#-0,2684829#3,36117#-0,03319447#-0,5486152#3,590833#-0,1380342#-0,589499#3,18952#0,003115758#-0,533227#3,527894#-0,1593317#-0,6298201#3,114982#1  
frame21 #-0,1384816#0,9610316#3,436535#-0,06792492#0,7897881#3,499862# -0,1180708#0,5319417#3,199363#-0,32136#0,1280057#3,608565#-0,068858#0,5151455#3,238222#-0,3045501#0,2017244#3,57588#0,07878055#0,4647572#3,368206#-0,2569203#0,4606989#3,598513#0,08381286#0,6800558#3,433782#-0,2226453#0,7105468#3,548528#-0,05904472#0,4353293#3,527195#-0,076432#0,3687003#3,482935#-0,01550137#0,29558#3,455524#-0,1414453#0,2991139#3,495961#0,02112263#-0,2631664#3,54277#-0,1376074#-0,2458845#3,302644#-0,04049588#-0,561343#3,584025#-0,1368067#-0,5833114#3,183012#-0,00210603#-0,6443589#3,626648#-0,1639977#-0,6242827#3,11034#1  
frame22 #-0,1514864#0,9556636#3,428862#-0,06995385#0,7894502#3,493681# -0,2078565#0,4546287#3,242508#-0,3167307#0,1419726#3,619522#-0,1297533#0,4679711#3,250888#-0,2993191#0,2005014#3,612517#0,1045561#0,5079981#3,289471#-0,2574787#0,4594112#3,595862#0,06883964#0,6775475#3,405581#-0,223087#0,7106488#3,548848#-0,06118525#0,4327466#3,513016#-0,08312525#0,3663583#3,470644#-0,0258034#0,2930569#3,436615#-0,1456349#0,2966377#3,489954#0,01103463#-0,2548626#3,502532#-0,1377458#-0,2460213#3,303309#-0,04823945#-0,5851604#3,583578#-0,1257708#-0,584367#3,175924#0,004331654#-0,6608463#3,561964#-0,1600185#-0,6248447#3,106398#1  
frame23 #-0,1709194#0,9502577#3,412772#-0,07448201#0,7901495#3,470656# -0,2057588#0,4230152#3,198899#-0,3068621#0,142542#3,635031#-0,1286479#0,4435645#3,216555#-0,2989475#0,2027154#3,621983#0,102685#0,5052124#3,282999#-0,2604828#0,4578858#3,578105#0,06227729#0,6787562#3,389624#-0,2263024#0,7117968#3,53943#-0,0650292#0,4290923#3,48722#-0,08743553#0,361859#3,445951#-0,02974539#0,291297#3,416941#-0,1491393#0,2916238#3,463814#0,01559653#-0,2578166#3,501072#-0,08944074#-0,2273274#3,409703#-0,05209122#-0,5984306#3,57107#-0,1155301#-0,5687926#3,172756#0,006777117#-0,6582868#3,560867#-0,1511306#-0,6089064#3,104545#1  
frame24 #-0,1794375#0,9425157#3,404554#-0,08390136#0,7243676#3,442669# -0,173939#0,4019256#3,174332#-0,3292233#0,1086561#3,676952#-0,09311417#0,4304363#3,194514#-0,3009292#0,1555978#3,646626#0,1493602#0,5159681#3,268537#-0,2697123#0,3930379#3,548646#0,04259945#0,6703666#3,348684#-0,2375751#0,6470932#3,510312#-0,062604#0,3896765#3,451732#-0,08553559#0,3288025#3,411283#-0,02785682#0,2718316#3,386003#-0,1439899#0,2540177#3,424934#0,02288018#-0,2750734#3,488971#-0,1172169#-0,2563536#3,330676#-0,04917317#-0,5946808#3,560835#-0,1143908#-0,5889397#3,151956#0,01651548#-0,6433629#3,550063#-0,1541733#-0,628744#3,086281#1  
frame25 #-0,2105156#0,9079271#3,404262#-0,08934362#0,7166544#3,43766# -0,1225339#0,3859598#3,136631#-0,3319217#0,1032276#3,683548#-0,2161533#0,3367184#3,114161#-0,2991541#0,1497768#3,656562#-0,06038577#0,4399376#3,189525#-0,2754178#0,3832439#3,544146#0,03026074#0,657663#3,333102#-0,2430174#0,63938#3,505303#-0,06442683#0,3731077#3,437576#-0,08846343#0,3098519#3,394334#-0,02966707#0,248998#3,361267#-0,146202#0,23809#3,408571#0,02183061#-0,2778081#3,482952#-0,11368#-0,2435321#3,358532#-0,05289774#-0,6187509#3,553848#-0,106995#-0,5952052#3,139197#0,01580379#-0,648276#3,550554#-0,1492542#-0,6345389#3,075381#1  
frame26 #-0,2195941#0,9034216#3,393768#-0,1053772#0,6864609#3,410264# -0,2890221#0,2740141#3,035918#-0,3393711#0,0838272#3,680303#-0,2365835#0,2907664#3,067522#-0,3042153#0,1288892#3,652685#-0,0489786#0,4461865#3,185938#-0,2916644#0,3513661#3,517168#0,01422506#0,6503671#3,314363#-0,2590509#0,6091865#3,477906#-0,06952885#0,3538733#3,415282#-0,09136538#0,2923059#3,373125#-0,03197452#0,2374402#3,345956#-0,1467143#0,2207844#3,384383#0,02285187#-0,2801374#3,479191#-0,06819204#-0,2744589#3,427752#-0,05185669#-0,6223512#3,552474#-0,09810004#-0,5773739#3,13368#-0,06670594#-0,6311258#3,454304#-0,1393273#-0,617362#3,068769#1  
frame27 #-0,2267922#0,8969294#3,384521#-0,1088087#0,6870196#3,404628# -0,2735424#0,2439322#3,029459#-0,345768#0,07885595#3,672181#-0,1972693#0,2806389#3,062366#-0,3095538#0,1235315#3,645391#-0,06667358#0,4112367#3,151835#-0,2953544#0,3498819#3,512041#-0,002821513#0,6423352#3,281805#-0,2624825#0,6097452#3,472271#-0,07436621#0,3399074#3,395832#-0,1012061#0,2749768#3,352054#-0,04248665#0,2189202#3,320501#-0,1568753#0,2055601#3,3647#0,02756299#-0,2930371#3,472214#-0,06748275#-0,2717705#3,416487#-0,04671646#-0,6381733#3,548156#-0,09417979#-0,5819414#3,127869#-0,06231556#-0,6437768#3,449345#-0,1419622#-0,6216121#3,066767#1  
frame28 #-0,2489457#0,8713983#3,353891#-0,1233188#0,6601706#3,362753# -0,2691965#0,1966056#2,984569#-0,3611877#0,04849453#3,629832#-0,1732186#0,2597772#3,043984#-0,3241042#0,09273989#3,602785#-0,0684088#0,4066397#3,145665#-0,3100476#0,3215845#3,47052#-0,02270568#0,62684#3,255601#-0,2769926#0,5828962#3,430396#-0,07903862#0,3333578#3,37237#-0,1025906#0,2700455#3,332478#-0,04797928#0,2069661#3,280254#-0,1547897#0,2022292#3,357841#0,03021601#-0,2953392#3,453592#-0,06781916#-0,26654#3,408659#-0,04435411#-0,6407675#3,532427#-0,08896417#-0,5826249#3,124352#-0,06046063#-0,6461477#3,433151#-0,1344561#-0,6234345#3,061619#1  
frame29 #-0,2558728#0,8714544#3,349462#-0,1311157#0,6675776#3,355509# -0,2324101#0,1945778#3,004053#-0,3693175#0,0530486#3,624361#-0,1706986#0,2421824#3,04189#-0,3320684#0,09749144#3,597193#-0,06825918#0,3944613#3,139816#-0,3180407#0,3274411#3,463662#-0,02647821#0,6223873#3,237725#-0,2847895#0,5903032#3,423152#-0,08255568#0,3147143#3,339181#-0,1050245#0,2461143#3,289987#-0,04453124#0,1960736#3,265177#-0,1578832#0,1766109#3,301966#0,03357279#-0,2970261#3,43098#-0,06476847#-0,2701217#3,353619#-0,04085779#-0,642844#3,509286#-0,08607941#-0,5981423#3,110176#-0,05889983#-0,6484433#3,409831#-0,1336572#-0,6382802#3,047931#1  
frame30 #-0,2743146#0,8462414#3,336293#-0,1450178#0,6207868#3,328827# -0,2652251#0,1233794#2,957963#-0,38313#0,00343547#3,599442#-0,2073654#0,1622179#3,008314#-0,3461668#0,04753719#3,572483#-0,08058399#0,3746032#3,092423#-0,332177#0,2787982#3,437431#-0,04233256#0,61651#3,21662#-0,2986916#0,5435124#3,39647#-0,07723452#0,2677495#3,301325#-0,09685577#0,2028141#3,254141#-0,03558179#0,1602179#3,227185#-0,1446401#0,1283408#3,256389#0,03290348#-0,2854882#3,379281#-0,06400867#-0,3100476#3,351252#0,001218143#-0,5805475#3,56788#-0,08556521#-0,5949583#3,106572#-0,0225901#-0,5975381#3,470411#-0,1334018#-0,6354758#3,044119#1  
frame31 #-0,2786098#0,8264581#3,327245#-0,1553418#0,5931903#3,311481# -0,2459713#0,1123265#2,956587#-0,3935665#-0,02690478#3,583805#-0,1941465#0,1591983#3,006434#-0,356663#0,0171258#3,556889#-0,08371309#0,3686333#3,083892#-0,3427102#0,249549#3,420476#-0,0600541#0,6111126#3,197843#-0,3090156#0,5159159#3,379124#-0,08662091#0,2673895#3,287361#-0,1086137#0,2064551#3,239623#-0,06035417#0,1661505#3,183303#-0,1490791#0,1253192#3,252856#0,03180639#-0,3681905#3,385286#-0,05396365#-0,3186184#3,294427#0,004945857#-0,5883662#3,56366#-0,09057835#-0,5847679#3,09694#-0,01986194#-0,6041089#3,46582#-0,08289848#-0,6629759#3,086122#1  
frame32 #-0,3074949#0,8555551#3,324622#-0,1847174#0,6636463#3,319855# -0,2305036#0,08777871#2,953646#-0,3857575#0,1705238#3,740741#-0,1864833#0,1465043#3,000153#-0,3526#0,216156#3,674652#-0,08647403#0,3573816#3,071214#-0,3723281#0,3180892#3,429309#-0,07053785#0,617457#3,181471#-0,3383912#0,5863719#3,387498#-0,1007876#0,2808914#3,265538#-0,1204724#0,2139672#3,213739#-0,05948006#0,1668343#3,182633#-0,1774286#0,1468319#3,200212#0,02079065#-0,3885327#3,334697#-0,06115551#-0,3279009#3,225004#0,00200008#-0,6274356#3,525502#-0,09342846#-0,6048564#3,085157#-0,02466002#-0,6366527#3,426489#-0,1439867#-0,6455278#3,023478#1  
frame33 #-0,3094408#0,8091217#3,304347#-0,177229#0,579189#3,285882# -0,2141999#0,07628396#2,945482#-0,4092055#0,2122946#3,68425#-0,1801132#0,139766#2,992073#-0,3471475#0,2519848#3,635608#-0,0850304#0,3592343#3,065055#-0,3650155#0,2322418#3,395661#-0,0871212#0,6084163#3,165135#-0,3309028#0,5019146#3,353525#-0,102835#0,2354712#3,229293#-0,1248171#0,1748733#3,178199#-0,06653251#0,140349#3,147776#-0,1678858#0,09695845#3,176551#-0,03393438#-0,3124841#3,145425#-0,2020063#-0,3513218#3,098737#0,01366797#-0,6004964#3,403908#-0,09094137#-0,597186#3,08643#-0,02479946#-0,6203397#3,309792#-0,0951093#-0,673304#3,079264#1  
frame34 #-0,3219358#0,8121905#3,302525#-0,1887281#0,5825766#3,280565# -0,1957422#0,08355779#2,953577#-0,428567#0,2384185#3,651273#-0,1791341#0,139625#2,988824#-0,3549036#0,2525958#3,602764#-0,08389585#0,3606698#3,051195#-0,3766871#0,2342658#3,390665#-0,1071385#0,611478#3,156003#-0,3424019#0,5053023#3,348207#-0,1078232#0,2371004#3,222209#-0,1300531#0,1754739#3,171214#-0,07160591#0,1413503#3,1399#-0,1727916#0,09698901#3,168604#-0,005970277#-0,3022847#3,081795#-0,2058169#-0,3489602#3,098977#0,02430866#-0,5492619#3,333465#-0,09111499#-0,5987742#3,086278#-0,02314238#-0,5884143#3,249511#-0,1062035#-0,6733563#3,074965#1  
frame35 #-0,3421273#0,8128482#3,302364#-0,2070719#0,5849845#3,274515# -0,1945848#0,08823428#2,955118#-0,4770935#0,2526489#3,60962#-0,1692499#0,1602389#2,979533#-0,3924423#0,2571546#3,579337#-0,08235405#0,3689881#3,039947#-0,3951794#0,2354998#3,384885#-0,1163296#0,6098965#3,151407#-0,3607457#0,5077102#3,342157#-0,1271218#0,2531961#3,215878#-0,1489168#0,1960879#3,163856#-0,09449421#0,165373#3,116189#-0,1810884#0,1021027#3,168461#-0,02443448#-0,2677648#3,017196#-0,2091448#-0,3398803#3,094259#0,04735895#-0,4987364#3,218294#-0,1162284#-0,5925229#3,073005#-0,01091256#-0,5639343#3,161228#-0,1704437#-0,6334195#3,012737#1  
frame36 #-0,3531463#0,8121122#3,301961#-0,2221434#0,5925496#3,270837# -0,1844828#0,1209153#2,953739#-0,559803#0,244539#3,580988#-0,1447216#0,2013225#2,967412#-0,4948032#0,2394144#3,565282#-0,06915277#0,3911487#3,028121#-0,3148396#0,3095343#3,497293#-0,1253364#0,6128567#3,146213#-0,3758171#0,5152752#3,33848#-0,1466427#0,2811061#3,213567#-0,1685597#0,229355#3,161883#-0,1092695#0,1859163#3,094766#-0,1940153#0,1114188#3,175715#-0,0462484#-0,2373764#2,966007#-0,209164#-0,3256532#3,090371#-0,04326995#-0,5863177#3,095435#-0,1202272#-0,588391#3,070791#-0,1090642#-0,6674807#3,089623#-0,1742643#-0,6292675#3,010055#1  
frame37 #-0,3690449#0,8162384#3,306536#-0,2398169#0,6071778#3,274359# -0,1848407#0,1352181#2,947342#-0,6135105#0,2534859#3,559516#-0,1421929#0,2148641#2,964128#-0,5255048#0,2473679#3,534893#-0,06623568#0,4063889#3,017745#-0,3164251#0,3136838#3,482411#-0,1308222#0,6043695#3,138779#-0,3934907#0,5299034#3,342002#-0,1504724#0,2857968#3,215092#-0,1704552#0,2313111#3,162324#-0,1094855#0,1862826#3,094232#-0,2007961#0,1152446#3,178176#-0,06811558#-0,2204672#2,918313#-0,2077324#-0,3179812#3,088637#-0,07475818#-0,6027118#3,037397#-0,1034359#-0,5975007#3,075498#-0,127475#-0,6435654#2,97622#-0,1142898#-0,6732333#3,067463#1  
