frame1 #0,05437703#0,9859587#3,541343#-0,008813371#0,8111289#3,577589# 0,001463138#0,6343861#3,30379#0,07535928#0,5346607#3,417273#0,04484278#0,5972574#3,339657#-0,01072431#0,5248849#3,44585#0,1749817#0,4858713#3,461557#-0,268975#0,4955574#3,54588#0,1643538#0,6784033#3,611875#-0,1399542#0,696725#3,508976#-0,01214313#0,4266647#3,584765#0,007828711#0,3586311#3,530241#0,07894392#0,2825665#3,544392#-0,05799468#0,2908112#3,496487#0,04681654#-0,2480531#3,602251#-0,1108758#-0,243249#3,239587#-0,03730755#-0,5774589#3,559047#-0,1287937#-0,6088777#3,172778#0,01460079#-0,644545#3,52049#-0,09609428#-0,6563596#3,085364#1  
frame12 #0,01815123#0,9890684#3,50899#-0,01212161#0,807202#3,552593# -0,06043682#0,5596855#3,31824#-0,2232067#0,204535#3,389836#-0,001756236#0,5467971#3,337518#-0,2325237#0,2871152#3,425242#0,1742855#0,5081319#3,409737#-0,2599861#0,4832957#3,558709#0,1624076#0,6791461#3,55065#-0,1517045#0,6928961#3,496287#-0,01071018#0,4237064#3,561071#0,0004707606#0,3560368#3,503938#0,07096964#0,2760726#3,506224#-0,06634434#0,2903164#3,478713#0,04888951#-0,2417277#3,576784#-0,1249868#-0,211928#3,243914#-0,03193927#-0,570328#3,551476#-0,1197386#-0,6079974#3,184366#0,01841981#-0,6376354#3,529046#-0,106706#-0,6426048#3,118366#1  
frame13 #0,007487938#0,9920685#3,497976#-0,01165006#0,8048841#3,551131# -0,09063075#0,5659361#3,313191#-0,230885#0,1978134#3,382431#-0,03070261#0,5487179#3,325181#-0,2390437#0,2706872#3,413425#0,1490818#0,497063#3,37553#-0,2566207#0,4787651#3,561496#0,1582908#0,6795409#3,535342#-0,1571468#0,6919034#3,492119#-0,01247761#0,4228131#3,554068#-0,004525228#0,3568008#3,494865#0,06569763#0,2774553#3,492548#-0,07383445#0,2914352#3,470838#0,05103225#-0,2345308#3,567077#-0,1356477#-0,1357719#3,262274#-0,02133343#-0,5662737#3,562603#-0,1203601#-0,5718854#3,186331#0,02124351#-0,6355044#3,531985#-0,1097526#-0,6064074#3,120003#1  
frame14 #0,0003354535#0,9926611#3,49896#-0,01434492#0,797857#3,542251# -0,09750585#0,5603113#3,284364#-0,2373355#0,1914119#3,382611#-0,03786439#0,5460089#3,302072#-0,2427902#0,2627077#3,420304#0,14106#0,5031021#3,36956#-0,2457401#0,4666752#3,568626#0,1531607#0,6771258#3,512371#-0,1641602#0,6839762#3,481669#-0,01573749#0,418247#3,545102#-0,009972056#0,3526367#3,486364#0,06013969#0,2738479#3,475207#-0,07924025#0,2878522#3,469262#0,05143186#-0,2365874#3,562046#-0,135961#-0,1389517#3,260119#-0,01882675#-0,5660121#3,560209#-0,1189166#-0,5770105#3,185973#0,02219318#-0,635093#3,527931#-0,111293#-0,611491#3,119478#1  
frame15 #-0,0249437#0,9949105#3,485125#-0,01256123#0,7953917#3,522767# -0,111508#0,5475049#3,286899#-0,2503081#0,1835508#3,395761#-0,05010374#0,5359848#3,300592#-0,248725#0,2648489#3,4341#0,1341091#0,5014243#3,356024#-0,2408411#0,4621117#3,581935#0,1455917#0,6692544#3,480053#-0,1731284#0,6819621#3,489805#-0,01499408#0,4189566#3,535276#-0,0169955#0,3522811#3,477343#0,05271233#0,2740884#3,462936#-0,08833368#0,2859856#3,46674#0,05237297#-0,2406943#3,543594#-0,1364799#-0,1440355#3,261335#-0,02466321#-0,580767#3,551172#-0,1103194#-0,5717517#3,175114#0,02679367#-0,6447091#3,521783#-0,1114685#-0,6067299#3,107868#1  
frame16 #-0,04724079#0,9949659#3,476111#-0,0135977#0,8022233#3,494931# -0,12892#0,5269243#3,293697#-0,262977#0,1843904#3,41739#-0,06547537#0,5209352#3,29847#-0,2617725#0,2669358#3,459105#0,1248584#0,5029681#3,327145#-0,2409859#0,4502648#3,589188#0,1400169#0,6643233#3,457744#-0,1887706#0,6724855#3,50016#-0,01682836#0,4203278#3,520693#-0,02486159#0,3505071#3,466404#0,04578862#0,2717942#3,452641#-0,09862579#0,2819917#3,4613#0,04916849#-0,2535362#3,528511#-0,1394335#-0,1463701#3,261395#-0,02281693#-0,5998756#3,544574#-0,1090486#-0,5731089#3,173708#0,03664169#-0,650817#3,50431#-0,1173363#-0,6088345#3,106505#1  
frame17 #-0,06400506#0,9920139#3,479363#-0,01872832#0,798532#3,487382# 0,04201328#0,4807243#3,257575#-0,2805082#0,1315216#3,444898#-0,06216964#0,4994683#3,278956#-0,2708699#0,2199616#3,479089#0,1294753#0,5058553#3,312041#-0,2267974#0,4650263#3,570558#0,1336096#0,6682311#3,443846#-0,1831276#0,7076478#3,514057#-0,01887721#0,4208548#3,509888#-0,03108126#0,3519096#3,457468#0,03490634#0,2753615#3,438761#-0,1015023#0,2835889#3,458081#0,04959837#-0,2568868#3,519722#-0,1432463#-0,1552867#3,266174#-0,0195808#-0,5744204#3,523566#-0,1047729#-0,5818137#3,138084#0,03412769#-0,6438815#3,508451#-0,1190237#-0,6177523#3,070946#1  
frame18 #-0,08297031#0,9889323#3,479186#-0,02436125#0,7927104#3,477375# -0,1172183#0,4633989#3,211894#-0,2963945#0,1205614#3,465827#-0,05641462#0,469862#3,232267#-0,2765361#0,2083334#3,483688#0,1259963#0,489251#3,307771#-0,2249469#0,4413807#3,569489#0,1274881#0,663766#3,419238#-0,190812#0,6876304#3,51631#-0,01969845#0,414018#3,493836#-0,03585497#0,3453963#3,441999#0,03073831#0,2714629#3,421564#-0,1060142#0,2741608#3,445282#0,05001763#-0,2663993#3,511734#-0,1389318#-0,2592868#3,2407#-0,004693361#-0,5904864#3,532724#-0,104691#-0,5895457#3,124284#0,04285922#-0,6566986#3,505964#-0,1247073#-0,6253899#3,05841#1  
frame19 #-0,09930541#0,9854429#3,480112#-0,03092065#0,7920163#3,468597# -0,1369753#0,4236768#3,226925#-0,3137387#0,1177218#3,499967#-0,07460567#0,4407364#3,23387#-0,2802956#0,1978262#3,490004#0,1125033#0,4919152#3,269116#-0,228457#0,4062606#3,558306#0,1177718#0,6676913#3,403214#-0,2022066#0,658846#3,516801#-0,02134055#0,4140446#3,480901#-0,03992314#0,3459279#3,429119#0,02428355#0,2748598#3,396391#-0,1077898#0,2720026#3,439469#0,001051045#-0,2639831#3,427651#-0,1190879#-0,2667846#3,276053#-0,0002538885#-0,587972#3,5385#-0,1027035#-0,5842779#3,123368#0,05374197#-0,6560362#3,555545#-0,1267792#-0,6203032#3,058208#1  
frame20 #-0,1103875#0,9816502#3,475646#-0,03640388#0,7906561#3,462984# -0,1969118#0,3779216#3,171424#-0,3244819#0,1053963#3,511785#-0,1204764#0,4049703#3,190584#-0,2901965#0,189008#3,502275#0,1088299#0,4861163#3,262517#-0,2279797#0,4058977#3,560735#0,1055452#0,6640013#3,371761#-0,2021544#0,6592453#3,517962#-0,02091655#0,4090686#3,464065#-0,04397134#0,3411119#3,411752#0,01913323#0,2719629#3,378329#-0,1089132#0,2661373#3,423585#0,06742191#-0,2827139#3,491186#-0,115295#-0,2649082#3,278746#1,718025E-05#-0,5907955#3,540772#-0,09534068#-0,583136#3,109362#0,05573586#-0,6603713#3,557508#-0,1264758#-0,6191671#3,046497#1  
frame21 #-0,1321032#0,9699836#3,472799#-0,04637416#0,7827133#3,457606# -0,191061#0,3523381#3,157413#-0,3269501#0,1035001#3,512974#-0,1210963#0,3837158#3,171904#-0,3081727#0,1840262#3,52415#0,08879788#0,477849#3,229897#-0,2301365#0,4015906#3,562379#0,08354415#0,6521319#3,348303#-0,205344#0,6559857#3,519373#-0,02058776#0,3899646#3,439534#-0,04576201#0,3204659#3,384937#0,01545006#0,2584991#3,356588#-0,1041615#0,2467171#3,388555#0,06669487#-0,2827275#3,48931#-0,120194#-0,2673413#3,260237#0,003498547#-0,6437805#3,55618#-0,09404216#-0,6026905#3,07301#-0,03376879#-0,6799634#3,495582#-0,1313095#-0,6388733#3,012411#1  
frame22 #-0,148525#0,9343269#3,454242#-0,06215919#0,7130015#3,420769# -0,1670643#0,3038686#3,134425#-0,3386004#0,1118155#3,515117#-0,1100403#0,3414077#3,145894#-0,3289693#0,1526744#3,52748#0,06103161#0,4540249#3,194819#-0,2440217#0,33041#3,533942#0,06652828#0,6448154#3,327291#-0,2194643#0,5859716#3,490075#-0,02724801#0,3453701#3,405128#-0,05220632#0,2811811#3,352808#0,009408096#0,2221714#3,319135#-0,1104956#0,2095424#3,362359#0,06890848#-0,2844737#3,481506#-0,1260565#-0,3399748#3,191617#0,007202959#-0,6436402#3,551495#-0,08290403#-0,6374904#3,05396#-0,03092284#-0,6799924#3,491132#-0,128813#-0,671625#3,017017#1  
frame23 #-0,1546387#0,9161598#3,448266#-0,06298868#0,7065493#3,418752# -0,1440994#0,2633447#3,09894#-0,3640854#0,125496#3,520029#-0,09433613#0,3093771#3,115569#-0,3538067#0,1587428#3,537006#0,05495365#0,4474744#3,179986#-0,2449496#0,322934#3,532189#0,05556095#0,6340015#3,302586#-0,2202938#0,5795195#3,488058#-0,02459627#0,3410201#3,398487#-0,05271807#0,2770294#3,347323#0,007858379#0,2185298#3,311532#-0,1100928#0,2040193#3,35613#0,07552162#-0,2922555#3,466528#-0,07561681#-0,3051792#3,277056#-0,005210504#-0,5956022#3,488847#-0,08240497#-0,5911592#3,069171#-0,04799214#-0,6319993#3,431153#-0,1251866#-0,6275563#3,011477#1  
frame24 #-0,1703811#0,8966629#3,43047#-0,07573166#0,6884724#3,397205# -0,1663972#0,2125366#3,072209#-0,4307268#0,1092673#3,504048#-0,1202909#0,2668015#3,087675#-0,3969519#0,1638712#3,524433#0,01802831#0,4295964#3,148611#-0,2578286#0,3034419#3,511024#0,03685139#0,6337185#3,289443#-0,2330368#0,5614425#3,466511#-0,02897226#0,3205541#3,369261#-0,0552779#0,2563298#3,316225#0,004994457#0,2004078#3,277091#-0,1090883#0,1828383#3,327081#0,07626313#-0,2943662#3,449559#-0,06752821#-0,2527501#3,281814#0,01539606#-0,6337637#3,50831#-0,08287897#-0,5871366#3,064898#-0,02725188#-0,6700904#3,450626#-0,1255269#-0,6234633#3,007214#1  
frame25 #-0,1785938#0,8832873#3,423874#-0,08378044#0,6669043#3,381069# -0,1978851#0,1374489#3,053329#-0,4287518#0,1583681#3,508214#-0,1449831#0,2084833#3,07036#-0,430353#0,1854198#3,543238#0,01372307#0,4215863#3,136009#-0,2659959#0,2806396#3,495211#0,01714697#0,6252939#3,25685#-0,2410855#0,5398746#3,450375#-0,03372222#0,3070993#3,339163#-0,0632477#0,2456505#3,285649#-0,007993503#0,1879817#3,23294#-0,1137852#0,1717818#3,298653#0,08186816#-0,2928872#3,408767#-0,0609098#-0,2610139#3,283897#0,04609692#-0,5961939#3,552348#-0,08496208#-0,5901334#3,06043#0,05169649#-0,6659868#3,515325#-0,132121#-0,6262873#3,005942#1  
frame26 #-0,1969615#0,8612363#3,399318#-0,09485023#0,6436743#3,354681# -0,1937753#0,1554462#3,013773#-0,5370004#0,1557729#3,466646#-0,1374248#0,2070679#3,064568#-0,4720475#0,1808621#3,463634#0,005209144#0,4090725#3,110608#-0,2771887#0,2561297#3,469163#-0,001536389#0,6197531#3,231015#-0,2521554#0,5166444#3,423987#-0,03553327#0,292136#3,31071#-0,06435224#0,2315807#3,258119#-0,009197498#0,1798217#3,211871#-0,1103462#0,155134#3,270668#0,07511419#-0,2950171#3,373245#-0,127189#-0,2679061#3,161876#0,04576498#-0,6057116#3,548487#-0,0887152#-0,5953368#3,055974#0,05322666#-0,6663655#3,509275#-0,1244106#-0,6726108#3,019006#1  
frame27 #-0,2047562#0,8493748#3,391397#-0,1089706#0,6255291#3,328183# -0,2031196#0,1196954#2,991798#-0,5603267#0,2532969#3,422253#-0,140122#0,1641167#3,031217#-0,4931074#0,249104#3,423809#-0,007163185#0,3990763#3,089181#-0,2914493#0,2365251#3,443054#-0,01787424#0,6212665#3,216542#-0,2662758#0,4984991#3,397489#-0,04129252#0,288487#3,291405#-0,06798352#0,2290237#3,238501#-0,01528765#0,1762486#3,171739#-0,1098559#0,1465382#3,25808#0,06365643#-0,2850764#3,298507#-0,1456603#-0,2645159#3,114498#0,04001035#-0,6331624#3,52276#-0,09238247#-0,5981878#3,052235#0,02796384#-0,6657336#3,463716#-0,1254704#-0,6728373#3,015118#1  
frame28 #-0,2247758#0,8414669#3,376764#-0,1190698#0,6204952#3,316351# -0,1668179#0,08776391#2,964916#-0,5343603#0,2405062#3,400161#-0,1403502#0,1570489#3,017302#-0,4968862#0,2781346#3,387264#-0,01520495#0,3977066#3,076844#-0,3016881#0,2300389#3,431601#-0,03804041#0,6229633#3,202075#-0,2763749#0,4934653#3,385657#-0,06010029#0,2468387#3,234481#-0,08901215#0,1859794#3,177905#-0,03053641#0,1468987#3,152619#-0,1351732#0,1131749#3,167095#0,03494202#-0,2744101#3,171757#-0,1492246#-0,3116159#3,104734#0,05932657#-0,5851824#3,442254#-0,0942757#-0,5964845#3,049649#0,05063047#-0,6662239#3,46805#-0,1256239#-0,6723601#3,014001#1  
frame29 #-0,2503431#0,8553722#3,384109#-0,1548863#0,6491908#3,324841# -0,1577269#0,09314039#2,955263#-0,5624269#0,3016435#3,351894#-0,1360592#0,1481244#2,987314#-0,5060831#0,3155731#3,36858#-0,03189557#0,3939489#3,068867#-0,3062057#0,2954279#3,415324#-0,0694657#0,634106#3,196099#-0,3121914#0,5221609#3,394146#-0,08562957#0,2918734#3,236636#-0,1144305#0,2335786#3,17748#-0,05901941#0,1872318#3,10765#-0,1538286#0,1392287#3,190886#0,0340724#-0,2475933#3,069501#-0,1660904#-0,2731018#3,073077#0,0567381#-0,5477228#3,353379#-0,09271913#-0,5987071#3,044533#0,01336839#-0,5779419#3,276655#-0,126228#-0,6722258#3,019502#1  
frame30 #-0,2628158#0,8548843#3,387769#-0,1615739#0,6472172#3,324059# -0,1518056#0,09517741#2,951519#-0,541169#0,3519495#3,292412#-0,1355673#0,1497606#2,985884#-0,4904537#0,3381763#3,310817#-0,03496886#0,3977027#3,064922#-0,3037998#0,305233#3,399302#-0,07203904#0,6335973#3,193179#-0,3188789#0,5201873#3,393365#-0,09106407#0,2913677#3,229814#-0,1199757#0,2342964#3,168975#-0,06333061#0,1894038#3,097368#-0,1621111#0,1385245#3,179677#0,016427#-0,2386094#2,982809#-0,1685093#-0,2727077#3,069403#0,04583003#-0,5205705#3,259547#-0,09288899#-0,5984457#3,042234#-0,003942594#-0,5645623#3,193193#-0,1503997#-0,670648#3,025063#1  
frame31 #-0,2806948#0,8567393#3,39305#-0,1745126#0,6471083#3,327127# 0,02839076#0,07958622#2,901331#-0,5860505#0,4145274#3,244718#0,01202158#0,1626297#2,936509#-0,4791985#0,3629341#3,275692#-0,03708594#0,4117602#3,056689#-0,3048774#0,317755#3,39513#-0,1032086#0,6393164#3,187372#-0,3318177#0,5200784#3,396432#-0,0964023#0,2907245#3,214067#-0,1272071#0,233497#3,150573#-0,07069697#0,1960332#3,086995#-0,1679114#0,1401456#3,147989#-0,003362991#-0,1516611#2,847872#-0,170555#-0,2736894#3,065892#0,03571739#-0,4406096#3,144745#-0,09687462#-0,5989569#3,040182#-0,01473502#-0,511982#3,108668#-0,145884#-0,6777275#3,021898#1  
frame32 #-0,3120043#0,8480088#3,399482#-0,2120597#0,6438124#3,331869# 0,02892474#0,146353#2,90218#-0,5441851#0,4492207#3,19342#0,01381182#0,2296404#2,935637#-0,4813555#0,3953303#3,230381#-0,03152695#0,4795028#3,050668#-0,3146538#0,3260848#3,335316#-0,1160407#0,6292796#3,185081#-0,3693648#0,5167825#3,401175#-0,1149869#0,2721153#3,193084#-0,1408389#0,2116708#3,123427#-0,07477114#0,1863247#3,080327#-0,1870676#0,128322#3,107706#-0,02074191#-0,08448681#2,753586#-0,1689597#-0,2866686#3,059789#0,01853618#-0,4042073#3,025967#-0,09490993#-0,6001534#3,039445#-0,02679273#-0,4881055#3,024964#-0,1456768#-0,6764183#3,012968#1  
frame33 #-0,3343792#0,8384848#3,403577#-0,2333567#0,6398255#3,33197# -0,01766952#0,1795388#2,809673#-0,5685495#0,5681235#3,10629#-0,02248841#0,2523578#2,863291#-0,5128574#0,5129087#3,152257#-0,03694507#0,4708151#3,038823#-0,3920427#0,3407142#3,256544#-0,1235599#0,6137997#3,178875#-0,3906618#0,5127956#3,401276#-0,1417554#0,2611486#3,188447#-0,1654017#0,2017336#3,118865#-0,09998147#0,162453#3,076005#-0,217361#0,1218091#3,099527#-0,04099916#0,1006054#2,65586#-0,1337785#-0,2768667#3,008825#-0,001394521#-0,2217732#2,930717#-0,09078414#-0,6024469#3,040976#-0,0269961#-0,3127228#2,948949#-0,1439381#-0,6787263#3,016161#1  
frame34 #-0,3634925#0,8235932#3,418514#-0,2509508#0,630488#3,331774# 0,02100234#0,2219618#2,757535#-0,4968393#0,599153#3,11581#-0,0005430551#0,2786703#2,821693#-0,4684824#0,540131#3,113828#-0,06517923#0,4487959#3,028856#-0,4068782#0,3688698#3,213106#-0,1692932#0,63064#3,20088#-0,4082559#0,5034581#3,40108#-0,1510962#0,2781342#3,182714#-0,1771607#0,2290024#3,11284#-0,1219282#0,1992294#3,038084#-0,2148842#0,1302982#3,101413#-0,1007735#0,1936063#2,611316#-0,1534545#-0,2709445#3,012431#-0,06123379#-0,128244#2,885652#-0,08928239#-0,604419#3,039847#-0,07309584#-0,2214451#2,908615#-0,1499381#-0,6796147#3,035269#1  
frame35 #-0,3414265#0,7952869#3,352575#-0,2186819#0,6030554#3,209696# 0,05090597#0,2318087#2,772936#-0,4887583#0,674549#3,098447#0,02936058#0,2885172#2,837094#-0,4485657#0,6214535#3,111244#-0,03527559#0,4586428#3,044227#-0,4326981#0,3525813#3,103789#-0,1741046#0,6204072#3,190894#-0,375987#0,4760255#3,279002#-0,09340014#0,3377444#3,178163#-0,09802517#0,2920363#3,119482#-0,02665776#0,2677381#3,059191#-0,1279901#0,2096106#3,143785#-0,1341018#-0,03116291#2,58547#-0,1400711#-0,2737246#3,01725#-0,09460917#-0,3526301#2,859505#-0,08513016#-0,6054877#3,03247#-0,1308563#-0,3914172#2,793675#-0,1414279#-0,6765008#2,997171#1  
frame36 #-0,354836#0,8147844#3,351338#-0,2146634#0,6544576#3,19802# -0,214637#0,1989264#2,797201#-0,4338495#0,6678812#3,127857#-0,1778761#0,254581#2,808937#-0,3937086#0,614854#3,140638#-0,1753358#0,4712253#2,984453#-0,3916607#0,345037#3,160317#-0,1996874#0,6683864#3,195801#-0,3719686#0,5274277#3,267326#-0,06434107#0,4262944#3,154996#-0,06409201#0,3887259#3,094039#0,05104037#0,2440482#2,883531#0,005324298#0,2077082#3,159191#-0,2104178#-0,1770546#2,780925#-0,1284174#-0,2736741#3,011781#-0,1710214#-0,4977382#3,054309#-0,08235777#-0,6119794#3,001735#-0,1569652#-0,5901675#3,026472#-0,0905581#-0,678775#2,975857#1  
frame37 #-0,3847461#0,7352315#3,408027#-0,23782#0,5656525#3,259577# -0,2433158#0,2476504#2,743175#-0,3887296#0,5938219#3,134778#-0,1883269#0,2615092#2,780305#-0,348554#0,5407488#3,14757#-0,1922341#0,4221434#3,011685#-0,2758017#0,291891#3,236898#-0,222844#0,5795813#3,257358#-0,3951252#0,4386226#3,328883#-0,1351781#0,3651095#3,208916#-0,1486552#0,3401512#3,150306#-0,07241473#0,154935#2,891025#-0,06918745#0,1315753#3,193241#-0,3172491#-0,3232436#2,812001#-0,1080229#-0,2718827#2,992759#-0,2779073#-0,6434827#3,084961#-0,08199793#-0,6135339#2,956253#-0,2004797#-0,6613332#3,027612#-0,1249912#-0,6521989#2,893664#1  
