frame1 #0,1158008#1,008511#3,607574#0,08958396#0,8293385#3,622163# 0,1010686#0,6646855#3,486281#-0,1201589#0,3067557#3,503024#0,1493243#0,6317806#3,493074#-0,129058#0,3602372#3,525784#0,2940913#0,5330658#3,52745#-0,1557553#0,5206817#3,60806#0,2557484#0,6699913#3,659317#-0,03530023#0,7172915#3,573934#0,08322877#0,4535875#3,634875#0,09327001#0,3812031#3,60381#0,159322#0,3017429#3,617795#0,02835012#0,3230281#3,579891#0,1386301#-0,1997337#3,662392#0,003491242#-0,2359173#3,345569#0,06605229#-0,5743284#3,626122#-0,04092471#-0,5482667#3,292915#0,03588747#-0,5865285#3,516207#-0,02686593#-0,6232095#3,241954#1  
frame12 #0,1132256#1,000678#3,601881#0,08724003#0,8233354#3,61843# 0,1014869#0,6089604#3,421676#-0,1373941#0,3142376#3,525787#0,1519753#0,5905242#3,440428#-0,1411925#0,3674104#3,545759#0,3034405#0,5352155#3,510382#-0,1525876#0,5269287#3,61937#0,2539534#0,6629937#3,639196#-0,03516412#0,7134857#3,577013#0,08565363#0,4565324#3,632024#0,09415391#0,3861937#3,600227#0,1605485#0,3083181#3,614407#0,02999303#0,3265111#3,574927#0,1531389#-0,2569607#3,68943#0,009376204#-0,2254689#3,361515#0,0831297#-0,5742561#3,534604#-0,01380289#-0,5695782#3,32026#0,1105512#-0,6232091#3,5707#-0,01859956#-0,6346535#3,263418#1  
frame13 #0,1128431#1,000832#3,60198#0,08666644#0,8234253#3,617827# 0,1062199#0,6273605#3,432073#-0,1379585#0,3182713#3,523991#0,1555074#0,6031188#3,446882#-0,1421631#0,3710623#3,544767#0,3033699#0,5303937#3,505029#-0,154777#0,5294354#3,620816#0,2519404#0,6602086#3,630088#-0,03554323#0,7138231#3,576344#0,08400314#0,4557744#3,629595#0,09115803#0,3853481#3,596788#0,1547072#0,3102195#3,60338#0,02790214#0,3255503#3,574736#0,153306#-0,2572183#3,688698#0,007749299#-0,220392#3,363051#0,08322753#-0,5784439#3,535445#-0,01251405#-0,5696224#3,319324#0,110619#-0,6237395#3,571142#-0,008848572#-0,6369119#3,271384#1  
frame14 #0,1086892#0,9972671#3,59904#0,08603737#0,8223519#3,617392# 0,1085635#0,6194568#3,389241#-0,1327863#0,3128482#3,496242#0,1562582#0,6028097#3,416176#-0,1385521#0,3665646#3,524195#0,2993425#0,5528684#3,510714#-0,1558494#0,5277136#3,621785#0,2395842#0,6987608#3,635999#-0,03649833#0,7130189#3,575191#0,08242457#0,4551691#3,628513#0,09027985#0,3849547#3,595409#0,15342#0,311674#3,601477#0,02756565#0,3252617#3,574462#0,1351125#-0,2021877#3,608666#0,002816072#-0,2116926#3,358191#0,08392885#-0,5857888#3,529675#-0,005655822#-0,5710296#3,313861#0,1234733#-0,6351774#3,579633#0,0100296#-0,605869#3,248976#1  
frame15 #0,1031582#1,001867#3,594077#0,08586787#0,8221869#3,611917# 0,09769589#0,6021628#3,36937#-0,1540515#0,3118579#3,530857#0,1472663#0,590459#3,396515#-0,1538764#0,365375#3,552466#0,2959776#0,5553478#3,491688#-0,1533512#0,5259261#3,63103#0,2419105#0,7038175#3,635803#-0,04142777#0,7133381#3,572998#0,08215063#0,4616989#3,624353#0,09002046#0,3936885#3,591214#0,1533878#0,3218437#3,59845#0,02751574#0,3293383#3,572334#0,1687144#-0,1842592#3,661075#-0,004761372#-0,213161#3,356976#0,08498094#-0,578074#3,529579#0,0009182382#-0,5716839#3,30825#0,1224989#-0,6386715#3,552357#0,01654022#-0,6064294#3,243579#1  
frame16 #0,0972836#0,9983903#3,587806#0,08315121#0,8177117#3,604941# 0,06845824#0,6077254#3,360023#-0,1562906#0,3190636#3,528116#0,1207575#0,5937721#3,381994#-0,1555549#0,3700857#3,556556#0,2776554#0,5519118#3,461644#-0,1533478#0,5231519#3,655614#0,2423151#0,7068334#3,627557#-0,06130294#0,7150883#3,578145#0,080045#0,4649574#3,618153#0,0856076#0,3984281#3,584347#0,1497657#0,3260772#3,585879#0,02245159#0,3322352#3,569571#0,1479858#-0,2562527#3,6411#0,02251689#-0,2321007#3,428664#0,08172031#-0,5912597#3,516168#0,03515569#-0,5899761#3,365454#0,1230121#-0,6367358#3,555503#0,006419033#-0,6315465#3,294482#1  
frame17 #0,08719169#1,000657#3,59067#0,07907584#0,8164824#3,601249# 0,05151639#0,6071208#3,363577#-0,148375#0,1936407#3,46808#0,1067759#0,5957851#3,380291#-0,1486972#0,2995084#3,535517#0,2725543#0,5617779#3,44419#-0,1488289#0,5113595#3,65947#0,2333489#0,7021157#3,599415#-0,07703772#0,7133373#3,581226#0,07996029#0,4647644#3,614532#0,08250279#0,3982467#3,58048#0,1473651#0,3243729#3,578673#0,01880192#0,3317297#3,568076#0,1482983#-0,2552224#3,641026#-0,01957167#-0,2234715#3,350048#0,09168843#-0,5923648#3,540902#0,01374992#-0,5901019#3,305019#0,1283081#-0,6437973#3,557786#0,01862071#-0,6258584#3,237124#1  
frame18 #0,07576437#1,002313#3,585342#0,0763099#0,8110313#3,596426# 0,0387007#0,5941083#3,340809#-0,1545002#0,2526234#3,497205#0,09499255#0,5868262#3,357987#-0,1466436#0,2967662#3,540939#0,2638681#0,56498#3,423287#-0,1327213#0,5055552#3,673661#0,2284909#0,6992354#3,567532#-0,08525385#0,7087126#3,580631#0,07942978#0,4630671#3,609201#0,07834083#0,397154#3,574728#0,1432777#0,3225276#3,566541#0,01343336#0,3293282#3,566095#0,1491649#-0,2551728#3,640413#-0,02105356#-0,2322475#3,351059#0,09265919#-0,5915413#3,542042#0,02373246#-0,5909129#3,327274#0,1300974#-0,6441064#3,557067#0,01171736#-0,6463715#3,293062#1  
frame19 #0,05242778#1,001488#3,57723#0,07009651#0,8062621#3,585183# 0,02939282#0,5846427#3,328069#-0,1551232#0,2345742#3,524529#0,08656694#0,5807946#3,344758#-0,1564478#0,2767534#3,57088#0,2580893#0,5692505#3,408596#-0,1358145#0,499617#3,677334#0,2263858#0,701099#3,552918#-0,09968638#0,7136711#3,596847#0,07754879#0,4632597#3,60147#0,07374017#0,3975056#3,568333#0,1394217#0,3214382#3,553921#0,008793334#0,3278732#3,565441#0,1545591#-0,2551657#3,64134#-0,01459326#-0,1547469#3,442679#0,0939654#-0,5896892#3,543187#0,02139895#-0,5619367#3,334809#0,117829#-0,650793#3,528841#0,01816219#-0,6338731#3,279419#1  
frame20 #0,02808185#1,00858#3,576432#0,06364881#0,8089867#3,57604# 0,005792338#0,557471#3,313337#-0,1633282#0,2137856#3,566391#0,06459895#0,5625359#3,324783#-0,1541939#0,2753645#3,568353#0,2410188#0,5777307#3,372914#-0,1309973#0,5023061#3,668812#0,2156942#0,7017191#3,53156#-0,09338498#0,7198682#3,591943#0,07339869#0,4620085#3,592467#0,06787328#0,3953105#3,560247#0,1290608#0,3223255#3,539515#0,007289554#0,3272185#3,56476#0,1577147#-0,2514678#3,632589#-0,03862163#-0,1994615#3,375498#0,09427617#-0,5873413#3,539223#0,01629814#-0,5638182#3,309778#0,1479871#-0,6484438#3,580406#0,003124933#-0,6010264#3,241011#1  
frame21 #0,004078109#1,007496#3,559831#0,0604867#0,8134481#3,572015# 0,02689549#0,5436154#3,281925#-0,1648103#0,2207241#3,565356#0,07569157#0,5506714#3,318047#-0,1571995#0,2802653#3,57687#0,2653533#0,5780944#3,376599#-0,1260792#0,5095837#3,670602#0,2066127#0,703458#3,520245#-0,0910569#0,7262658#3,589242#0,06592336#0,4617141#3,584723#0,05771463#0,3942282#3,551595#0,114673#0,3231924#3,52603#-0,000517976#0,3267281#3,561901#0,1556017#-0,2554061#3,61309#-0,04766351#-0,2148524#3,370727#0,09661824#-0,588629#3,537394#-0,001874045#-0,5551613#3,294337#0,0809714#-0,6259168#3,468511#0,0172624#-0,6278616#3,241554#1  
frame22 #-0,002707833#1,006205#3,556882#0,05378933#0,8141332#3,560592# -0,03799053#0,5213832#3,256142#-0,1793147#0,2218866#3,575578#0,04150969#0,5087819#3,237096#-0,1595159#0,2748356#3,598864#0,1904441#0,567644#3,338828#-0,1188473#0,5116159#3,670715#0,1761516#0,707892#3,482175#-0,09262854#0,7279166#3,58122#0,06267782#0,4597945#3,573575#0,05090618#0,3917337#3,542506#0,1048456#0,3218517#3,51268#-0,003806621#0,3256828#3,559299#0,155999#-0,2555722#3,606822#-0,04793869#-0,2192026#3,370013#0,1589924#-0,5532749#3,646367#-0,0009867955#-0,5589216#3,295753#0,1442025#-0,6234163#3,58627#0,01716541#-0,6292608#3,240077#1  
frame23 #-0,01070608#1,003802#3,555614#0,05061525#0,8128821#3,557413# -0,07756778#0,5249177#3,285494#-0,1979324#0,1422477#3,620079#0,004991464#0,5189386#3,295206#-0,1595446#0,2661395#3,622947#0,1922438#0,5623669#3,330499#-0,1197494#0,5099375#3,670399#0,171064#0,7031479#3,474728#-0,09431769#0,7272887#3,578232#0,0555203#0,4535447#3,566657#0,04202264#0,3847882#3,534539#0,09217799#0,3123039#3,49584#-0,01235375#0,3174986#3,557124#0,1563468#-0,2558783#3,60298#0,001553046#-0,241407#3,448806#0,1236394#-0,5570061#3,564792#0,002311734#-0,5687997#3,295122#0,09721628#-0,595171#3,497088#-0,02411142#-0,6069646#3,227418#1  
frame24 #-0,02586594#0,9962524#3,543543#0,04737812#0,8111569#3,547085# -0,1889049#0,4923919#3,243797#-0,1980424#0,1410738#3,624775#-0,1084069#0,4753259#3,260537#-0,1632166#0,2592322#3,644376#0,1302335#0,5389088#3,277736#-0,1207072#0,5079508#3,664585#0,1661553#0,6922359#3,454386#-0,09639014#0,7260658#3,567262#0,05084942#0,4501604#3,552631#0,03576337#0,3818631#3,519549#0,08452239#0,3082011#3,474005#-0,01737562#0,3124581#3,548643#0,1582955#-0,2557847#3,58394#-0,000305526#-0,2397397#3,444965#0,1075915#-0,591238#3,562709#-0,0006916758#-0,5652056#3,290819#0,1472691#-0,6454093#3,583648#-0,02947885#-0,6034881#3,223342#1  
frame25 #-0,03481055#0,9936418#3,540284#0,0369942#0,8062563#3,530337# -0,1248262#0,4390796#3,22214#-0,2056283#0,1381315#3,648812#-0,04314238#0,4527114#3,238611#-0,1665697#0,2488568#3,643404#0,1255503#0,5343097#3,275335#-0,1292651#0,5014073#3,650259#0,1589797#0,6886346#3,438509#-0,1057784#0,7216058#3,550478#0,04229241#0,4416784#3,535922#0,02749241#0,3728172#3,501822#0,07859008#0,3002544#3,458529#-0,02678561#0,300362#3,530636#0,1588598#-0,2596471#3,575689#-0,005057932#-0,2393588#3,432492#0,1143238#-0,5738114#3,595626#-0,01475494#-0,5755438#3,249427#0,1359683#-0,6368378#3,571527#-0,04336422#-0,6141249#3,181284#1  
frame26 #-0,05451062#0,9791285#3,539781#0,02135446#0,7932874#3,520916# -0,1789651#0,4019715#3,18551#-0,2150823#0,1222141#3,677551#-0,09435879#0,4006806#3,201788#-0,183082#0,2329686#3,657538#0,1206271#0,5314111#3,271994#-0,1452417#0,4861472#3,641008#0,1369439#0,6863905#3,419939#-0,1211053#0,7088002#3,540844#0,03724216#0,4302345#3,521863#0,02203968#0,3617686#3,485655#0,07359879#0,2934097#3,444232#-0,02915774#0,2891539#3,511357#0,1563119#-0,2639617#3,553043#-0,009692404#-0,2369286#3,421124#0,1197591#-0,5867496#3,614071#-0,01488088#-0,5756692#3,249271#0,1127241#-0,6469331#3,575968#-0,0467364#-0,6145449#3,181706#1  
frame27 #-0,08089722#0,9432767#3,526084#-0,006481146#0,7342638#3,501934# -0,1885492#0,3603894#3,168884#-0,2371548#0,1217185#3,689206#-0,101245#0,3649854#3,171104#-0,2017855#0,1971498#3,670377#0,1012533#0,5117433#3,258014#-0,1728618#0,4248948#3,623433#0,1264693#0,6850367#3,409281#-0,1488984#0,649764#3,521686#0,02891468#0,3888243#3,49302#0,0183783#0,3255582#3,453514#0,078399#0,2626479#3,411486#-0,03367962#0,2517204#3,475185#0,1568684#-0,2682269#3,542145#-0,01440412#-0,2401652#3,408133#0,1194513#-0,5848222#3,613627#-0,02144908#-0,5711803#3,249265#0,0893712#-0,6238468#3,544593#-0,05152914#-0,6102049#3,180231#1  
frame28 #-0,08524223#0,9266926#3,52031#-0,01419489#0,7134333#3,494219# -0,1539293#0,2932789#3,144607#-0,2794172#0,1327627#3,679594#-0,07608278#0,3231708#3,171821#-0,2397813#0,2031827#3,692846#0,09001641#0,4935318#3,238271#-0,1808019#0,4019393#3,616922#0,09575141#0,6679028#3,385431#-0,1566122#0,6289334#3,513971#0,02772018#0,3728158#3,482494#0,01400485#0,3096355#3,442024#0,07233772#0,250607#3,401779#-0,03482907#0,2386556#3,462343#0,1519989#-0,2707155#3,514707#-0,02358427#-0,2454594#3,39428#0,1236251#-0,5936371#3,627346#-0,02389305#-0,5698642#3,249173#0,08731755#-0,6328519#3,560812#-0,06020062#-0,6090789#3,18264#1  
frame29 #-0,0964763#0,8948917#3,511854#-0,02028941#0,6808575#3,475018# -0,1458134#0,2482269#3,123334#-0,33714#0,1203938#3,677474#-0,08276039#0,2939035#3,166215#-0,3222226#0,1809316#3,698185#0,07103314#0,4672858#3,231705#-0,1868758#0,369557#3,597595#0,08579618#0,6663364#3,37638#-0,1627066#0,5963576#3,49477#0,02202367#0,3564795#3,459968#0,008099619#0,2971632#3,417171#0,06187337#0,2421388#3,379948#-0,03635033#0,2264653#3,42783#0,146646#-0,2711511#3,48567#-0,0541795#-0,2285835#3,353391#0,1305864#-0,5940183#3,633875#-0,02391101#-0,5800559#3,235304#0,09462657#-0,6332127#3,566657#-0,05987082#-0,6192502#3,168086#1  
frame30 #-0,1044744#0,8820472#3,51107#-0,03250052#0,6644435#3,467738# -0,1417476#0,1967001#3,116442#-0,3209659#0,1933693#3,746746#-0,08080544#0,2475425#3,160778#-0,2905531#0,2327789#3,704424#0,0675323#0,4622353#3,222106#-0,1993145#0,3510078#3,591516#0,06444529#0,6583856#3,363572#-0,1749178#0,5799437#3,487489#0,01260004#0,3416925#3,437083#-0,003346081#0,2853114#3,390775#0,04435169#0,2317696#3,342262#-0,04267791#0,2134385#3,404976#0,1461071#-0,2665494#3,417269#-0,06076483#-0,2297929#3,345118#0,1376133#-0,5846204#3,628414#-0,02604882#-0,5786603#3,23336#0,1411928#-0,6576281#3,623785#-0,06570549#-0,6177514#3,167603#1  
frame31 #-0,1199238#0,8817269#3,506284#-0,0437362#0,6638387#3,46166# -0,1142052#0,1739145#3,122337#-0,363651#0,2683269#3,625005#-0,06638251#0,2424526#3,158089#-0,3326844#0,2599927#3,658907#0,05185306#0,4399179#3,206333#-0,1778982#0,3714857#3,621621#0,04066674#0,6577272#3,353826#-0,1861534#0,5793388#3,481411#0,008624339#0,3367672#3,423416#-0,007932045#0,2797219#3,37561#0,04188892#0,2316627#3,334825#-0,04589202#0,2066004#3,384611#0,1340521#-0,2549363#3,331886#-0,09256826#-0,2342779#3,326168#0,1629931#-0,5760958#3,55166#-0,03113518#-0,5840986#3,226186#0,1507071#-0,6483472#3,557873#-0,07349461#-0,6232796#3,161702#1  
frame32 #-0,1400542#0,8369445#3,494172#-0,06563831#0,6166929#3,444636# -0,0962653#0,1653197#3,133231#-0,432862#0,3095039#3,623616#-0,05367251#0,2433785#3,15266#-0,3856807#0,3082569#3,60869#0,04789051#0,4336026#3,19624#-0,1907681#0,3452785#3,628794#0,03011945#0,6553665#3,344778#-0,2080556#0,5321931#3,464388#-0,006396906#0,3262721#3,413484#-0,0214106#0,2739756#3,365865#0,01692914#0,2192411#3,302722#-0,05559912#0,1916657#3,380688#0,1174318#-0,2428346#3,244809#-0,09573957#-0,2376704#3,324297#0,1560845#-0,5570546#3,481273#-0,03177447#-0,5809939#3,224754#0,1150144#-0,5964992#3,415527#-0,0728446#-0,6204385#3,159008#1  
frame33 #-0,1463948#0,8360677#3,494663#-0,06590793#0,6161852#3,445854# -0,1264809#0,1063633#3,117896#-0,4570247#0,3664852#3,57163#-0,07442079#0,1918723#3,140282#-0,3682583#0,3461537#3,564308#0,04513447#0,4310085#3,191578#-0,1359745#0,3742273#3,644914#0,01808847#0,6485245#3,337881#-0,2083252#0,5316854#3,465605#-0,009489335#0,3223413#3,408152#-0,02873616#0,2712526#3,358907#0,01086839#0,2183722#3,29261#-0,06090534#0,1826471#3,375899#0,09490043#-0,2028292#3,162777#-0,09951602#-0,2424929#3,320202#0,1008233#-0,562465#3,32395#-0,03149392#-0,580195#3,225535#0,05581186#-0,6019815#3,26018#-0,07650539#-0,6197115#3,161766#1  
frame34 #-0,1637104#0,8379646#3,497417#-0,07306976#0,6206813#3,448444# -0,08161152#0,1705073#3,146844#-0,5223054#0,4410179#3,562491#-0,03861964#0,2486182#3,167147#-0,4537065#0,4134395#3,536323#0,04074736#0,4317598#3,185626#-0,2364497#0,3562634#3,568811#0,003491739#0,6537983#3,337152#-0,215487#0,5361814#3,468196#-0,01855511#0,3242953#3,40183#-0,0398664#0,2748018#3,351742#0,001190119#0,2221861#3,284443#-0,06838618#0,1826107#3,370085#0,07283287#-0,1801311#3,121043#-0,1023146#-0,2485048#3,315738#0,09259116#-0,5384346#3,30131#-0,03190239#-0,5807152#3,225327#0,1512976#-0,4950038#3,314256#-0,05931203#-0,6496242#3,22459#1  
frame35 #-0,1974634#0,8689396#3,511338#-0,1091356#0,6517527#3,461305# -0,08261061#0,1792703#3,14406#-0,4995967#0,501332#3,510375#-0,03796512#0,2569745#3,161506#-0,4490711#0,4594643#3,494625#0,03139626#0,4444233#3,17578#-0,2437096#0,362433#3,563318#-0,00160673#0,6564016#3,337172#-0,2515528#0,5672529#3,481057#-0,03580845#0,3196256#3,399584#-0,05487095#0,2659751#3,34588#-0,004238056#0,2196313#3,28814#-0,09558561#0,1757559#3,349404#0,0377691#-0,1469191#3,090482#-0,0769871#-0,263043#3,299045#0,04993434#-0,5104526#3,263806#-0,03597389#-0,5784831#3,224498#0,0041508#-0,5969093#3,239424#-0,06098415#-0,6483423#3,217595#1  
frame36 #-0,2250765#0,9106719#3,539374#-0,1311538#0,7191655#3,487397# -0,08811973#0,1941685#3,144727#-0,5007505#0,5844554#3,467328#-0,04144175#0,2709232#3,162079#-0,4526577#0,5202876#3,46048#0,02527491#0,4601898#3,183337#-0,2623359#0,3843997#3,546412#-0,04385797#0,6827555#3,350698#-0,273571#0,6346657#3,507149#-0,03609545#0,38831#3,351382#-0,04949714#0,3392628#3,285305#0,005184396#0,3073947#3,226603#-0,08017492#0,2594548#3,280447#0,07216475#-0,2163333#3,16505#-0,04672559#-0,2454965#3,257027#0,08435995#-0,580762#3,338841#-0,03384966#-0,5847056#3,224912#0,01060285#-0,6138456#3,277702#-0,06359469#-0,6529462#3,216514#1  
frame37 #-0,211078#0,8373852#3,49938#-0,108179#0,6267186#3,417049# -0,07794122#0,193177#3,158058#-0,4500175#0,6166325#3,401871#-0,03125846#0,2700879#3,175215#-0,4341478#0,5651865#3,405705#0,02221148#0,4633945#3,180961#-0,2641391#0,3937155#3,543428#-0,04723956#0,6837119#3,351545#-0,2505963#0,5422188#3,436801#0,004306488#0,3591365#3,281074#-0,004849319#0,3254128#3,214685#0,05221331#0,3285193#3,163708#-0,03170731#0,2342306#3,202374#0,07626564#-0,215075#3,170712#-0,04931264#-0,2301993#3,235218#0,08849826#-0,5806217#3,345095#-0,02448259#-0,5909127#3,226784#0,0139048#-0,611789#3,283268#-0,06983007#-0,6502275#3,217612#1  
