frame1 #0,07099064#1,016027#3,717865#0,08558809#0,8111131#3,71882# -0,00943891#0,6336491#3,515002#-0,1740248#0,2029171#3,658092#0,05694063#0,6016511#3,510093#-0,1570875#0,2545171#3,663595#0,2519316#0,5392913#3,541327#-0,1488606#0,4887277#3,82686#0,2341067#0,7042757#3,689494#-0,07596505#0,7221221#3,721637#0,08420233#0,4426646#3,733761#0,0792706#0,3733443#3,692786#0,1480295#0,2995309#3,681001#0,008497216#0,3075618#3,691882#0,1511107#-0,2526256#3,754906#0,01212259#-0,2423699#3,539829#0,06339528#-0,5852659#3,720594#-0,02784322#-0,5761407#3,369948#0,1147554#-0,6421194#3,69056#-0,03479047#-0,6136891#3,298692#1  
frame19 #-0,1901753#0,9561926#3,694126#-0,07898756#0,8140804#3,63929# -0,07884872#0,162314#3,229291#-0,4977305#0,5692807#3,707579#-0,03667318#0,2551387#3,254678#-0,4137813#0,5064934#3,714648#0,05887553#0,463248#3,289953#-0,2424609#0,3569673#3,694337#0,01891288#0,6688455#3,440972#-0,2155619#0,6618534#3,683039#-0,01243217#0,3225881#3,500802#-0,04150954#0,2290193#3,431912#0,01313444#0,1976954#3,413727#-0,08859356#0,1737595#3,409675#0,1019882#-0,1911#3,230061#-0,08062268#-0,2595201#3,401225#0,1226792#-0,5244048#3,447446#-0,0248465#-0,5818813#3,334182#0,05407713#-0,5863605#3,390112#-0,08783104#-0,6236862#3,277331#1  
frame20 #-0,1984459#0,9563805#3,694683#-0,08997734#0,8143826#3,633049# -0,08992204#0,1666386#3,225608#-0,4432777#0,5725139#3,670098#-0,05196331#0,2631767#3,241757#-0,4323383#0,5368556#3,657672#0,05409686#0,4643144#3,285528#-0,2503497#0,3973241#3,672076#0,009564165#0,6704931#3,435891#-0,2265519#0,6621558#3,676798#-0,01743656#0,3212722#3,494864#-0,04357107#0,229388#3,429353#0,01124425#0,193242#3,413842#-0,09208032#0,1752896#3,402864#0,0755615#-0,1262468#3,12165#-0,08123495#-0,2550369#3,399005#0,1173706#-0,451134#3,356328#-0,02617751#-0,5823884#3,334424#0,05913177#-0,5422978#3,337986#-0,0893525#-0,6245662#3,276691#1  
frame21 #-0,2236963#0,9037466#3,692433#-0,1098934#0,7022302#3,607675# -0,0524073#0,2144103#3,23332#-0,4352968#0,6257399#3,603549#-0,01582025#0,3103329#3,250526#-0,4268357#0,58684#3,596226#0,04039203#0,5272923#3,291779#-0,2721143#0,3262769#3,640307#-0,03139122#0,6994563#3,446384#-0,2464681#0,5500037#3,651423#-0,02083817#0,3259752#3,488919#-0,05336631#0,2631168#3,42605#-0,001302262#0,2279331#3,349007#-0,09187797#0,1741104#3,430285#0,04316011#-0,03280474#3,004152#-0,06592365#-0,2582325#3,386142#0,08493521#-0,368582#3,222657#-0,02934363#-0,5823907#3,33355#0,05327829#-0,4681811#3,256003#-0,0959387#-0,6243449#3,279657#1  
frame22 #-0,2361024#0,8958554#3,68303#-0,119749#0,6927075#3,601987# -0,05565869#0,2031412#3,225751#-0,3945724#0,6460089#3,526427#-0,0195876#0,2983104#3,243507#-0,3800298#0,5795402#3,539556#0,03713766#0,5122159#3,280729#-0,2852598#0,3215587#3,591037#-0,0309791#0,695803#3,444016#-0,2563237#0,540481#3,645736#-0,03095087#0,3054997#3,46424#-0,0550802#0,2415663#3,402817#0,003662115#0,2114332#3,345725#-0,09792916#0,1547531#3,397261#0,014332#0,07314022#2,936608#-0,06949754#-0,2630926#3,376267#0,05440838#-0,2625909#3,153581#-0,02884318#-0,57536#3,333768#-0,01101386#-0,3046153#3,09832#-0,09426542#-0,6173844#3,278508#1  
frame23 #-0,2439363#0,899358#3,690086#-0,1297019#0,7051061#3,607871# -0,05871929#0,2314101#3,211787#-0,3480942#0,7320005#3,51259#-0,02296112#0,3258876#3,229881#-0,3533745#0,5846612#3,518219#0,03520529#0,5360829#3,271525#-0,3408353#0,3652303#3,537335#-0,04013889#0,6967474#3,447957#-0,2662766#0,5528797#3,65162#-0,016305#0,3595825#3,459912#-0,03335185#0,2999973#3,395188#0,02886168#0,2710209#3,306999#-0,06066035#0,1893716#3,405594#-0,03925065#0,2009357#2,888732#-0,06544712#-0,2595512#3,362538#0,0007241294#-0,1339442#3,105005#-0,005951827#-0,6105758#3,306527#-0,06417605#-0,1760138#3,049127#-0,07085201#-0,6526454#3,250648#1  
frame24 #-0,2389707#0,7993059#3,644018#-0,126384#0,5875181#3,542833# -0,07640022#0,2545442#3,242273#-0,3143658#0,7060939#3,43002#-0,04068593#0,349438#3,260427#-0,2517685#0,7759663#3,410266#0,0428343#0,5528491#3,273184#-0,3787503#0,6083252#3,488447#-0,04460859#0,6924815#3,446209#-0,2629587#0,4352916#3,586581#-0,0151731#0,3208866#3,404448#-0,03346595#0,2814996#3,342669#0,01912692#0,2390204#3,25561#-0,04393711#0,1852543#3,332663#-0,04969449#0,3771395#2,854519#-0,0204008#-0,257358#3,331326#-0,009218927#0,03806442#3,073774#-0,01259833#-0,5803757#3,324443#-0,07438755#-0,004562754#3,017359#-0,07776695#-0,6230028#3,268028#1  
frame25 #-0,2481238#0,824463#3,647989#-0,1232085#0,6214679#3,534491# -0,101465#0,1741013#3,028894#-0,291663#0,8363261#3,37093#-0,03833474#0,2150261#3,042068#-0,2881595#0,7818119#3,424313#-0,06241859#0,4835898#3,183086#-0,3849545#0,5508733#3,388896#-0,06270237#0,6769692#3,43737#-0,2597831#0,4692413#3,57824#-0,0008400977#0,4485063#3,409805#-0,01778592#0,4270501#3,352141#0,1368173#0,2627589#3,34629#0,001346219#0,2582301#3,035258#-0,02980219#0,419111#2,936489#-0,01706853#-0,2275921#3,309813#0,01116961#0,07587874#3,15869#-0,01047309#-0,5939579#3,300984#0,003751788#-0,03316478#3,181384#-0,07763731#-0,6369798#3,245666#1  
frame26 #-0,2500889#0,8278042#3,64879#-0,1239627#0,6234166#3,537188# -0,07098819#0,03855728#2,784743#-0,2877566#0,7991581#3,380462#-0,03268585#0,2558522#2,955116#-0,2842621#0,7447827#3,433709#-0,06233514#0,5051216#3,128508#-0,3738728#0,5543388#3,384467#-0,05938209#0,6868646#3,391348#-0,2605374#0,4711901#3,580936#0,08716118#0,3150668#3,381415#0,08937248#0,254813#3,312185#0,1977193#0,2271693#3,259209#0,04469294#0,1719#3,292367#-0,01029059#0,4455024#2,95869#-0,01335997#-0,2396709#3,294385#0,03066169#0,1024335#3,180716#-0,02175324#-0,6011814#3,279092#0,01897321#-0,008023009#3,194896#-0,08720562#-0,6518351#3,278851#1  
frame27 #-0,2645785#0,8442523#3,596145#-0,1523359#0,6754571#3,504927# -0,09408284#0,3385094#2,805636#-0,3065475#0,7090518#3,368004#-0,04700495#0,3471544#2,864348#-0,3030728#0,6549869#3,420948#-0,06365097#0,5557821#3,087479#-0,3785285#0,4588422#3,332457#-0,08548155#0,7335446#3,350414#-0,2889106#0,5232306#3,548676#0,02545456#0,3221283#3,346387#0,01901371#0,2560731#3,279887#0,0889258#0,2189455#3,266554#-0,006843265#0,1853742#3,231774#-0,2821737#0,4011761#3,244803#0,002067866#-0,2341784#3,238734#-0,241334#0,05905089#3,46628#-0,05778655#-0,6106981#3,239731#-0,2139112#-0,04462893#3,434275#-0,1199244#-0,6625232#3,256937#1  
frame28 #-0,3566914#0,809381#3,649518#-0,2444488#0,6405858#3,558508# -0,07037829#0,3918107#2,785035#-0,3278715#0,6997754#3,454948#-0,07914612#0,4354638#2,845779#-0,3244168#0,6460214#3,507587#-0,1195521#0,5727087#3,117011#-0,3077362#0,4905446#3,370097#-0,1775944#0,6986733#3,403995#-0,3810234#0,4883593#3,602257#-0,02327456#0,2872313#3,378954#-0,02020941#0,2193668#3,307171#0,05575674#0,2207634#3,212124#-0,0324401#0,09824724#3,326836#-0,3314814#0,3524169#3,232962#0,01227666#-0,2968649#3,211081#-0,2907614#0,01129466#3,453847#-0,05932632#-0,60399#3,216033#-0,2584572#-0,09081638#3,421715#-0,1240402#-0,6544527#3,225832#1  
frame29 #-0,316089#0,7592324#3,647445#-0,2038464#0,5904372#3,55661# -0,02441956#0,4486032#2,449907#-0,2906448#0,7323086#3,420371#-0,07796506#0,4825118#2,812059#-0,2872062#0,6788045#3,472765#-0,07918823#0,5230777#3,116296#-0,3218731#0,5015472#3,366778#-0,1369921#0,6485247#3,402097#-0,3404211#0,4382107#3,600359#0,01413847#0,2570401#3,339149#0,01524112#0,1961201#3,261543#0,09727277#0,1852213#3,23194#-0,01295231#0,11012#3,215239#-0,273699#0,3513115#3,196089#0,02513211#-0,2951435#3,199893#-0,2330727#0,01097322#3,416519#-0,05733448#-0,6006126#3,209843#-0,2091557#-0,09479423#3,389313#-0,1073039#-0,6487967#3,284415#1  
frame30 #-0,1502251#0,6522525#3,057223#-0,0379825#0,4834573#2,96662# -0,1698731#0,6690669#2,348034#-0,2183783#0,5622271#3,156797#-0,1166413#0,6337208#2,381056#-0,1890164#0,5494399#3,064905#0,04305389#0,5276825#2,493866#-0,1009308#0,5110782#2,802975#0,02887183#0,5415448#2,812107#-0,1745572#0,3312308#3,010369#0,02370341#0,3007205#3,169439#0,03049729#0,2321553#3,17371#0,09681036#0,2384009#3,272173#-0,003683878#0,1076715#3,166728#-0,2895488#0,3262101#3,169858#-0,01275947#-0,1160365#3,123625#-0,2490312#-0,01321712#3,389779#-0,0560597#-0,6013594#3,205381#-0,2220609#-0,1191214#3,366648#-0,1097497#-0,6526864#3,288815#1  
frame31 #-0,1494084#0,7191084#2,846285#-0,03716572#0,5503132#2,755667# -0,2886573#0,8302038#2,38629#-0,1779896#0,6035099#3,018109#-0,2231844#0,8009237#2,384984#-0,1624285#0,5998164#2,922384#-0,02676555#0,7130833#2,394815#-0,1157453#0,5887361#2,648959#0,02968861#0,6084007#2,601153#-0,1737404#0,3980867#2,799415#0,06673365#0,3139214#3,095918#0,09229236#0,2292593#3,132576#0,1659196#0,2314724#3,161468#0,05455356#0,1380437#3,204359#-0,2224527#0,3326847#3,174315#0,02106555#-0,2608395#3,151175#-0,1820011#-0,006189764#3,393825#-0,0587307#-0,6687681#3,190973#-0,1658064#-0,1139468#3,368972#-0,05112128#-0,7503469#3,138701#1  
frame32 #-0,1943474#0,8407928#2,623504#-0,0969758#0,6853876#2,63478# -0,3494405#0,8986896#2,42879#-0,2103498#0,7141107#2,900987#-0,2814439#0,8848056#2,41075#-0,2016512#0,7165356#2,804395#-0,07745424#0,8431538#2,370279#-0,1755554#0,7238104#2,528266#-0,03868277#0,6861992#2,601294#-0,2335505#0,533161#2,678529#-0,01405822#0,4828481#2,983653#0,01853832#0,4057379#3,02464#0,07102817#0,4058255#3,070952#-0,007158037#0,3407855#3,06559#-0,2935753#0,5600274#3,117329#0,04312336#-0,1636297#3,159265#-0,253326#0,2228475#3,335801#-0,04846257#-0,5672387#3,197103#-0,2327024#0,114199#3,323406#-0,09815057#-0,6343762#3,270636#1  
frame33 #-0,2016788#0,8508825#2,620662#-0,1130942#0,6998526#2,635925# -0,3455353#0,8647231#2,331628#-0,2205398#0,7123833#2,899798#-0,2836283#0,8489994#2,363272#-0,2133233#0,7188564#2,803847#-0,09790745#0,8018285#2,471774#-0,1916738#0,7382755#2,529566#-0,01096127#0,6893684#2,658171#-0,2496689#0,5476261#2,679673#-0,04200239#0,4783015#2,971915#-0,01300451#0,3984023#3,0068#0,05219562#0,3648584#3,039715#-0,0575049#0,335725#3,075023#-0,3240968#0,49691#3,0516#0,02968105#-0,1899702#3,152733#-0,2840019#0,1610238#3,269285#-0,05581446#-0,6001743#3,195819#-0,2578824#0,05327789#3,264412#-0,1011296#-0,6563284#3,234822#1 
frame34 #-0,2477452#0,9135513#2,589979#-0,1563876#0,7573096#2,582781# -0,3735219#0,873232#2,425547#-0,2323551#0,690658#2,832838#-0,3045699#0,857173#2,419666#-0,2330081#0,7169266#2,740385#-0,09771374#0,8089958#2,415536#-0,2349672#0,7957325#2,476537#-0,03057496#0,7369426#2,631064#-0,2929623#0,6050831#2,626529#-0,06190364#0,4867468#2,948072#-0,02414812#0,4008074#2,991761#0,04444631#0,3739816#3,033111#-0,06748862#0,3348156#3,038088#-0,33261#0,5043077#3,030921#0,02996931#-0,1821835#3,146133#-0,2926224#0,1693201#3,248068#-0,05448709#-0,5956269#3,191621#-0,2656634#0,06183649#3,245703#-0,09716921#-0,6548039#3,228874#1  
frame35 #-0,2156068#0,8346071#2,567482#-0,1402662#0,679183#2,589888# -0,3807929#0,8104017#2,344921#-0,2230324#0,6399797#2,845422#-0,3136492#0,7947254#2,364921#-0,2219857#0,6593863#2,751651#-0,112218#0,7476965#2,438362#-0,2188458#0,7176059#2,48378#-0,06999915#0,654936#2,65104#-0,2768408#0,5269565#2,633636#-0,03680784#0,4370672#2,959044#0,006236927#0,3570944#3,0025#0,06366643#0,3552825#3,035138#-0,02737733#0,2980041#3,052861#-0,3060671#0,5024043#3,012725#0,0388168#-0,2235978#3,1558#-0,2662157#0,1685577#3,229177#-0,05402126#-0,5953671#3,189651#-0,242602#0,06052613#3,229364#-0,09606299#-0,6499537#3,233621#1  
frame36 #-0,2798003#0,8156334#2,534715#-0,1732913#0,6714723#2,53738# -0,252835#0,7790828#2,309924#-0,207822#0,5472103#2,943905#-0,2621498#0,6843339#2,395842#-0,1376451#0,5380826#2,960669#-0,1485847#0,4657971#2,554258#-0,0636358#0,5422395#2,698061#-0,05092011#0,621663#2,684466#-0,309866#0,5192457#2,581129#-0,09122358#0,4112768#2,950786#-0,04970205#0,3271495#3,005632#0,01919807#0,3222854#3,067629#-0,09040478#0,2534549#3,047409#-0,3509713#0,4604514#3,008561#0,04112995#-0,2523638#3,162147#-0,3111598#0,1269391#3,224832#-0,05497618#-0,5953808#3,188241#-0,2803779#0,02062257#3,224951#-0,01587619#-0,6700505#3,141776#1  
frame37 #-0,2315471#0,6942966#2,573402#-0,1398173#0,5512245#2,613311# -0,173725#0,6266022#2,432177#-0,2159333#0,5399237#2,94037#-0,1200687#0,5788393#2,49388#-0,1461049#0,5308411#2,957051#0,04090027#0,4355506#2,692302#-0,05770291#0,5356839#2,70042#-0,1044247#0,5697722#2,648029#-0,276392#0,398998#2,65706#-0,04460107#0,3427027#2,980093#0,002437496#0,2711733#3,025803#0,0568645#0,2633286#3,068992#-0,02130425#0,2186092#3,068718#-0,3241931#0,3168123#3,145903#0,04103436#-0,2568973#3,161879#-0,2846034#-0,01484206#3,361016#-0,05571225#-0,5954939#3,187015#-0,2524333#-0,1177633#3,338848#-0,08182499#-0,6598055#3,144554#1  
