frame1 #0,05362552#1,004908#3,648991#-0,004386277#0,8254374#3,669218# 0,09529204#0,6877391#3,561903#-0,1310211#0,2686463#3,413181#0,1630699#0,6510572#3,561907#-0,128394#0,3349259#3,452418#0,1683248#0,4595384#3,680503#-0,2334441#0,5021226#3,559418#0,1432425#0,6134855#3,667924#-0,1458637#0,7018756#3,586265#-0,01380378#0,4385135#3,674077#0,003998781#0,3700644#3,618533#0,07035245#0,2793172#3,630736#-0,05974533#0,3190927#3,58609#0,05061483#-0,251777#3,673751#-0,09294736#-0,2622752#3,413489#-0,07937327#-0,5714856#3,322844#-0,1004427#-0,6008482#3,299961#-0,04562847#-0,6231995#3,226412#-0,08847184#-0,6622576#3,225401#1  
frame19 #0,02207354#1,006794#3,613366#-0,001228919#0,8123496#3,614604# 0,04845972#0,6240292#3,376661#-0,1574473#0,1969973#3,422499#0,08208513#0,6015569#3,431522#-0,1832981#0,2695748#3,45848#0,1869628#0,4498081#3,59567#-0,2608502#0,4873075#3,580869#0,1619309#0,684348#3,671858#-0,1505885#0,7018609#3,5811#-0,009437968#0,4325955#3,640984#0,004531223#0,361419#3,595945#0,07900832#0,2839267#3,594306#-0,06784433#0,2937334#3,576242#0,04626681#-0,2452691#3,655698#-0,09010364#-0,1999719#3,401813#0,03832268#-0,5189392#3,752649#-0,09858231#-0,568853#3,330032#0,003296424#-0,5516767#3,643644#-0,09169476#-0,6394867#3,277862#1  
frame20 #0,01490899#1,00715#3,606738#-0,001783615#0,8132333#3,612856# -0,002710037#0,6341226#3,375766#-0,2063608#0,2153503#3,430509#0,04685986#0,6103505#3,416315#-0,1955231#0,2748477#3,462275#0,1991005#0,4601583#3,579489#-0,2621334#0,4932997#3,604771#0,1681931#0,6820383#3,660339#-0,1538073#0,7029957#3,580224#-0,01204412#0,4341113#3,634669#-0,001006831#0,3631346#3,589177#0,07542059#0,2850139#3,583432#-0,07811646#0,2935474#3,575462#0,04994149#-0,241957#3,649322#-0,08817299#-0,2022112#3,403079#0,04141552#-0,5134205#3,747223#-0,09396788#-0,5716438#3,32422#0,006563589#-0,547203#3,638463#-0,08801769#-0,643698#3,274#1  
frame21 #0,01169392#1,0072#3,600917#-0,002275256#0,8119588#3,604983# -0,01544724#0,6425189#3,360284#-0,2637533#0,267118#3,458867#0,03341722#0,618625#3,401583#-0,1996706#0,27446#3,481313#0,2083859#0,474266#3,546718#-0,2634194#0,4963879#3,619123#0,1685893#0,6769132#3,625212#-0,1553504#0,7025796#3,580165#-0,009383719#0,4349858#3,628911#-0,003285047#0,3638884#3,5841#0,07322212#0,2851708#3,578698#-0,0798334#0,294163#3,57369#0,05235275#-0,2458744#3,644907#-0,09451821#-0,25721#3,367019#0,04533342#-0,5157381#3,740727#-0,09221307#-0,582599#3,319876#0,009815492#-0,5492113#3,632293#-0,08527508#-0,6622975#3,248018#1  
frame22 #0,0005288296#1,007586#3,599156#-0,005060119#0,8149196#3,592862# 0,01986606#0,531223#3,348016#-0,2144804#0,2159833#3,461018#0,06763291#0,5066257#3,389949#-0,2293223#0,2913096#3,512089#0,208434#0,4774291#3,534257#-0,2606262#0,4817612#3,628884#0,1677552#0,6806812#3,613964#-0,1577809#0,7025923#3,58088#-0,01069576#0,4397333#3,620806#-0,006434191#0,3679975#3,578297#0,06948222#0,2902521#3,571099#-0,08209501#0,2962206#3,572237#0,04465374#-0,2518955#3,606999#-0,08814771#-0,2491987#3,38219#0,03862038#-0,5189569#3,704153#-0,09232964#-0,5735022#3,314425#0,002287015#-0,5524399#3,596174#-0,08566188#-0,6562285#3,249358#1  
frame23 #-0,01379687#1,004816#3,591552#-0,002625396#0,8117239#3,585346# 0,01477447#0,5502946#3,334985#-0,2236178#0,2138438#3,469766#0,06256023#0,5256876#3,376935#-0,2339381#0,2923829#3,517037#0,2095198#0,4762155#3,508427#-0,2531399#0,4796796#3,657625#0,1641352#0,6850581#3,576463#-0,1631713#0,7028706#3,582307#-0,006606861#0,4410897#3,61482#-0,008052034#0,3696892#3,574064#0,06773774#0,2914702#3,566105#-0,08465712#0,2974718#3,570266#0,0493944#-0,243696#3,603645#-0,08961007#-0,1974308#3,389423#-0,03462415#-0,5892292#3,623213#-0,0958786#-0,578576#3,292073#-0,05641438#-0,606356#3,507757#-0,09672598#-0,6270945#3,200939#1  
frame24 #-0,02553802#1,015965#3,586428#-0,008042275#0,8176358#3,581465# -0,07131859#0,6228272#3,34605#-0,2434605#0,2042888#3,501683#-0,02397171#0,5984462#3,387614#-0,240564#0,2827321#3,527187#0,2001544#0,4839852#3,456518#-0,2420712#0,4841767#3,679681#0,1611559#0,6914644#3,568884#-0,1672745#0,7054346#3,583787#-0,008839544#0,4456007#3,606732#-0,01099571#0,37423#3,566981#0,06328946#0,2972729#3,554413#-0,08605697#0,3006197#3,56692#0,04758229#-0,2518889#3,592125#-0,08762094#-0,2477376#3,366046#-0,02362063#-0,5561271#3,688643#-0,09740511#-0,5860695#3,276471#-0,04079661#-0,5799524#3,573589#-0,08499148#-0,6585854#3,210003#1  
frame25 #-0,04873705#1,018312#3,558771#-0,01205766#0,8217931#3,575061# -0,07834773#0,6236244#3,343734#-0,243238#0,2051552#3,503097#-0,03143502#0,599467#3,384918#-0,2418382#0,2753319#3,534641#0,1943089#0,4853045#3,441554#-0,236605#0,4830292#3,68609#0,158441#0,6916649#3,553171#-0,1705775#0,7059419#3,585752#-0,009923733#0,4483375#3,59924#-0,01390483#0,3765473#3,561071#0,06018506#0,299565#3,546136#-0,08816419#0,3019257#3,564345#0,04723595#-0,2566137#3,586257#-0,09406073#-0,2449885#3,345695#-0,02374819#-0,5650826#3,674365#-0,09920449#-0,5931342#3,226664#-0,01704019#-0,6238893#3,57049#-0,1077984#-0,6419051#3,135257#1  
frame26 #-0,05086032#1,008364#3,556618#-0,01121219#0,8196499#3,572307# -0,1123913#0,6585991#3,364785#-0,2503565#0,1963623#3,526033#-0,04467335#0,6026367#3,384627#-0,2466071#0,2776059#3,566756#0,1885546#0,4808217#3,41819#-0,2265893#0,4789643#3,686631#0,156306#0,6895806#3,534664#-0,1718846#0,7047533#3,583064#-0,009868127#0,444298#3,59029#-0,01641667#0,3728419#3,551265#0,05577257#0,2944726#3,53142#-0,0907196#0,2995554#3,55721#0,04744519#-0,2548893#3,582544#-0,1047913#-0,2487932#3,308538#-0,02049564#-0,5571248#3,667015#-0,09511126#-0,591277#3,22408#-0,01876885#-0,5757785#3,548629#-0,1081992#-0,6398486#3,132798#1  
frame27 #-0,06310581#1,006223#3,541264#-0,01391531#0,8189716#3,56622# -0,1069619#0,5984334#3,329261#-0,2502252#0,1886862#3,542085#-0,05937461#0,5705385#3,367632#-0,2460338#0,2740049#3,571044#0,1850114#0,4899148#3,403331#-0,2198309#0,4753261#3,68826#0,1407476#0,6885427#3,502259#-0,1763928#0,7021403#3,5805#-0,01168743#0,4438395#3,579032#-0,02225268#0,3731188#3,539992#0,04687695#0,2970058#3,517777#-0,09462097#0,2997734#3,547897#0,05132648#-0,2467755#3,577282#-0,1142112#-0,2394536#3,280966#-0,02401998#-0,6170521#3,684828#-0,08682302#-0,5979716#3,226123#-0,04189094#-0,6327164#3,567123#-0,108958#-0,6463805#3,136292#1  
frame28 #-0,07337441#1,001274#3,538423#-0,01693482#0,815769#3,55359# -0,1030449#0,5558826#3,296574#-0,2753875#0,1481486#3,579103#-0,02810977#0,506152#3,31066#-0,2527473#0,223336#3,608404#0,1619539#0,4833327#3,378641#-0,2125158#0,4829403#3,680507#0,1330425#0,6848103#3,484219#-0,1765741#0,7129201#3,573698#-0,01598089#0,4426101#3,565005#-0,02842347#0,3726057#3,525827#0,03535391#0,2972135#3,496362#-0,09750354#0,3010016#3,539718#0,05193815#-0,2471721#3,573878#-0,1097232#-0,2422495#3,301816#-0,02317155#-0,554817#3,675725#-0,08199452#-0,5950418#3,212803#-0,0417069#-0,5848547#3,561065#-0,1073596#-0,643292#3,123857#1  
frame29 #-0,08302186#0,9894785#3,528597#-0,02195908#0,8086442#3,542485# -0,1418519#0,5560641#3,274287#-0,2752498#0,1355136#3,629916#-0,0757753#0,4958739#3,298838#-0,2527332#0,212451#3,627507#0,1590358#0,4829377#3,356945#-0,2029982#0,4761985#3,672444#0,1202117#0,6761879#3,450094#-0,1796797#0,7140436#3,574525#-0,01598708#0,4380491#3,551036#-0,03242342#0,3687916#3,512297#0,03168231#0,2935289#3,479698#-0,1006542#0,2968316#3,529058#0,05483246#-0,2480275#3,570215#-0,1070705#-0,2433388#3,302827#-0,01238536#-0,5503727#3,671926#-0,0838505#-0,5953882#3,189082#-0,0343109#-0,5782892#3,55707#-0,1191951#-0,6435653#3,103307#1  
frame30 #-0,0949188#0,9894755#3,517766#-0,0289269#0,8071133#3,528018# -0,1473051#0,5162957#3,246651#-0,2778778#0,1242684#3,654068#-0,07678887#0,4717415#3,290743#-0,2602058#0,1917272#3,654434#0,155017#0,4906684#3,315742#-0,2040113#0,4574869#3,66511#0,1160227#0,6768999#3,442235#-0,1873915#0,7006034#3,573099#-0,01866522#0,4339372#3,538038#-0,03528231#0,3638245#3,499504#0,0290737#0,291581#3,468413#-0,1019721#0,2898554#3,516599#0,05951238#-0,250326#3,564308#-0,1388394#-0,2358402#3,250279#-0,006951965#-0,5496274#3,666283#-0,08104706#-0,5938652#3,183186#-0,03032308#-0,5774733#3,551701#-0,09607665#-0,6674581#3,135722#1  
frame31 #-0,1028621#0,9858632#3,512224#-0,03469416#0,8013972#3,515696# -0,1193224#0,4544395#3,206025#-0,2816967#0,1217036#3,659891#-0,03678486#0,4280584#3,243822#-0,2627184#0,1932249#3,657192#0,1494016#0,4873942#3,308235#-0,2072969#0,4461704#3,659966#0,105466#0,6725956#3,423562#-0,1934222#0,6900474#3,566356#-0,02018994#0,4281841#3,523844#-0,03789173#0,3581049#3,485283#0,02399255#0,2871448#3,449426#-0,1015305#0,2830908#3,505211#0,06409636#-0,2478819#3,557992#-0,1351987#-0,1832263#3,271796#-0,006113857#-0,5531559#3,667044#-0,08173983#-0,5774084#3,183306#-0,02987325#-0,5796382#3,552102#-0,09184529#-0,6525658#3,136847#1  
frame32 #-0,1156312#0,9828988#3,504057#-0,03913745#0,7998781#3,506036# -0,1949336#0,4280662#3,148261#-0,3105915#0,1530529#3,696532#-0,03791891#0,4042863#3,211972#-0,2736648#0,2116799#3,673652#0,1386457#0,4802949#3,29067#-0,2107343#0,4414607#3,653266#0,09057331#0,673939#3,4135#-0,1976921#0,6867012#3,559416#-0,02459087#0,414396#3,505458#-0,04393113#0,3420094#3,46379#0,01635219#0,2777086#3,433054#-0,1038703#0,2683962#3,481104#0,07271706#-0,2638373#3,550017#-0,1352128#-0,1824674#3,272537#-0,005918599#-0,5561314#3,662683#-0,07693881#-0,5736238#3,166033#-0,02870819#-0,5809772#3,547138#-0,1196641#-0,6215497#3,083375#1  
frame33 #-0,1319737#0,9381689#3,480949#-0,05102205#0,7255253#3,471476# -0,08417334#0,3270202#3,168796#-0,3317796#0,1792433#3,70979#-0,04237445#0,3774235#3,191752#-0,2966561#0,2104591#3,717725#0,1278358#0,4715807#3,265623#-0,2222217#0,363147#3,620192#0,06934492#0,6486676#3,375053#-0,2103246#0,6095278#3,526368#-0,02457392#0,3617724#3,469877#-0,04419231#0,2945659#3,428469#0,01644592#0,2337395#3,403213#-0,1027846#0,226293#3,436535#0,08412977#-0,2597033#3,53924#-0,1419095#-0,2065244#3,258694#0,002404124#-0,5755911#3,605076#-0,06698957#-0,5965825#3,156155#-0,02037638#-0,5990851#3,489459#-0,1134614#-0,6444446#3,075737#1  
frame34 #-0,1341191#0,929387#3,47612#-0,05397806#0,7098356#3,459111# -0,1220811#0,2870235#3,140211#-0,3515304#0,2124847#3,696121#-0,06468857#0,3211575#3,158332#-0,3255131#0,2174604#3,716721#0,08794079#0,4447358#3,229072#-0,2252303#0,346369#3,608347#0,07024951#0,6393611#3,355129#-0,2132806#0,5938381#3,514003#-0,0254242#0,351874#3,454615#-0,04605205#0,2861736#3,411813#0,01493513#0,2253742#3,384212#-0,1048745#0,2144098#3,417553#0,08320068#-0,2663714#3,528534#-0,1530938#-0,2154944#3,241523#0,0001761392#-0,5436944#3,574673#-0,06926773#-0,606127#3,150854#-0,01922162#-0,5759153#3,460918#-0,1171283#-0,6536992#3,071479#1  
frame35 #-0,140423#0,9206353#3,475269#-0,05791929#0,7004017#3,452996# -0,1536255#0,2356304#3,093979#-0,4795375#0,1896476#3,744304#-0,09512913#0,2878528#3,120437#-0,4169568#0,226246#3,705292#0,08036001#0,44452#3,214207#-0,2292147#0,3360413#3,602652#0,05760412#0,6337994#3,330809#-0,2172218#0,5844042#3,507888#-0,02650595#0,3340176#3,426189#-0,04986576#0,2690253#3,378489#0,01023436#0,2134593#3,348346#-0,1067548#0,1955134#3,38118#0,08587031#-0,2929435#3,513972#-0,1580981#-0,2391751#3,227418#0,0005070195#-0,5662978#3,572405#-0,055481#-0,6277546#3,150724#-0,01576936#-0,5941101#3,457105#-0,04899312#-0,6998897#3,099886#1  
frame36 #-0,1522702#0,9046323#3,469757#-0,07278675#0,680335#3,437289# -0,09214166#0,2154049#3,105729#-0,4931386#0,276262#3,729237#-0,05231773#0,2727506#3,123187#-0,4077224#0,29929#3,696853#0,06715403#0,4447877#3,189966#-0,2441266#0,3150551#3,587382#0,03708906#0,635743#3,319489#-0,2320893#0,5643375#3,492181#-0,03366811#0,3301996#3,409396#-0,05680405#0,2678527#3,362283#-0,004418931#0,2103725#3,299449#-0,1088292#0,1924088#3,377849#0,07516133#-0,3678794#3,493807#-0,06601717#-0,2612448#3,315398#-0,0001322925#-0,6250516#3,59704#-0,03960839#-0,608832#3,162733#-0,01562329#-0,6366892#3,478935#-0,09395313#-0,6557393#3,087384#1  
frame37 #-0,1657156#0,9018763#3,463379#-0,07853058#0,679234#3,430293# -0,1197501#0,2032336#3,066117#-0,4568635#0,3319169#3,648963#-0,05795411#0,2587649#3,11038#-0,4430425#0,3405209#3,634578#0,06516805#0,4469525#3,183865#-0,2499186#0,3129551#3,580866#0,01385633#0,6433658#3,307342#-0,2378331#0,5632365#3,485185#-0,02626903#0,3299506#3,383616#-0,04781996#0,2696155#3,332028#0,005054739#0,2178765#3,285069#-0,09117851#0,1893938#3,341545#-0,01253264#-0,2745106#3,291778#-0,1093142#-0,2565172#3,235642#0,01900432#-0,5696386#3,539652#-0,04042899#-0,6073955#3,16157#-0,003307674#-0,5985341#3,425802#-0,06604318#-0,6862055#3,130872#1  
