frame1 #0,01015014#0,9490258#3,354161#-0,00324358#0,7757543#3,457644# -0,03779841#0,5152422#3,171166#-0,2436889#0,1130977#3,341006#0,01552166#0,5065663#3,21101#-0,2370721#0,1994694#3,382158#0,1754819#0,4805387#3,344265#-0,2300741#0,4436167#3,516599#0,171575#0,6598747#3,462723#-0,1640796#0,6856566#3,437276#-0,007989557#0,4129052#3,473063#-0,004688547#0,3453882#3,42856#0,07058063#0,2642059#3,419893#-0,08046392#0,2758078#3,42223#0,06989718#-0,2564878#3,514182#-0,09541876#-0,2598784#3,229805#0,007047806#-0,5902203#3,491258#-0,09636378#-0,5966367#3,116755#-0,02271122#-0,610953#3,376998#-0,08778188#-0,6447281#3,024668#1  
frame12 #-0,1692917#0,8978078#3,318883#-0,05790331#0,7567741#3,34778# -0,2678657#0,3327292#2,974998#-0,2857428#0,119634#3,533046#-0,1995777#0,361688#2,999808#-0,2552551#0,1865211#3,524173#0,005286502#0,4485645#3,088628#-0,2425163#0,4540828#3,54506#0,05299547#0,6384698#3,219049#-0,2230991#0,6885521#3,44508#-0,02920154#0,3563679#3,331782#-0,05845051#0,2831197#3,287772#-0,003957475#0,2174869#3,248385#-0,1126501#0,2122715#3,306955#0,07568866#-0,2749515#3,392006#-0,1309945#-0,2587777#3,143651#0,02969636#-0,5908293#3,507208#-0,09219445#-0,5936889#3,016073#-0,008113209#-0,6088431#3,394371#-0,1228555#-0,665089#2,955178#1  
frame13 #-0,1828588#0,8833346#3,309699#-0,06991306#0,7447016#3,332597# -0,3022099#0,3018621#2,930763#-0,2976748#0,1042218#3,518556#-0,2290101#0,303801#2,942344#-0,2670355#0,1711352#3,509616#-0,02734991#0,4370579#3,046786#-0,2546311#0,4405521#3,530529#0,03673948#0,6295811#3,196336#-0,2350809#0,6766266#3,429919#-0,03711376#0,3332881#3,309152#-0,06695966#0,2578223#3,263664#-0,009757372#0,1880981#3,216057#-0,1232372#0,183003#3,284424#0,07674754#-0,280623#3,380811#-0,1132189#-0,3556674#3,108232#0,03044863#-0,5902324#3,505814#-0,09951407#-0,6250975#2,965745#-0,00807292#-0,6085482#3,392712#-0,135749#-0,6986574#2,930272#1  
frame14 #-0,195257#0,8694842#3,289596#-0,0791916#0,7409805#3,31635# -0,3161728#0,2591418#2,882313#-0,3068579#0,09815536#3,501826#-0,2342968#0,2671033#2,915211#-0,2765478#0,1642084#3,493034#-0,05946965#0,4033083#3,022262#-0,2640648#0,435333#3,514786#0,01040493#0,6060581#3,161391#-0,2443894#0,6729182#3,413621#-0,04101518#0,3236574#3,291781#-0,07328536#0,2465599#3,248219#-0,01835548#0,1739995#3,195638#-0,1266737#0,1737286#3,275383#0,07447791#-0,2878447#3,365707#-0,123754#-0,3354075#3,099962#0,03751402#-0,6010092#3,506735#-0,09885877#-0,6078523#2,969997#-0,001550265#-0,6174853#3,39348#-0,1650485#-0,6553125#2,903481#1  
frame15 #-0,2161276#0,8572206#3,283362#-0,09656043#0,7324601#3,297836# -0,3063539#0,2014872#2,854568#-0,3246228#0,08724469#3,483129#-0,1969505#0,268631#2,922329#-0,2940182#0,1539111#3,474238#-0,05782634#0,4028716#3,023655#-0,2814951#0,4259859#3,496508#0,0007095262#0,5981648#3,144898#-0,2617501#0,6644124#3,39512#-0,05573925#0,3060376#3,266037#-0,08703301#0,2276652#3,219537#-0,03092635#0,1548563#3,164862#-0,1403836#0,1489894#3,245129#0,06885403#-0,2929988#3,346471#-0,1421626#-0,3264962#3,084602#0,03824923#-0,6009119#3,50675#-0,1011332#-0,6001238#2,966001#-0,0005691499#-0,6174499#3,393019#-0,1661721#-0,6476363#2,89789#1  
frame16 #-0,228177#0,855363#3,275612#-0,1078567#0,7323047#3,289886# -0,3014433#0,1829242#2,847986#-0,3361265#0,08696359#3,474833#-0,1915587#0,25488#2,902977#-0,3052916#0,1541144#3,46588#-0,06023024#0,39445#3,018207#-0,292783#0,4259998#3,488185#-0,0274528#0,5828143#3,110285#-0,2730519#0,6642576#3,387165#-0,06250456#0,2887773#3,233898#-0,0954892#0,206337#3,183707#-0,03866072#0,1370394#3,135063#-0,1461865#0,1342536#3,202689#0,0578463#-0,3009141#3,308195#-0,1709921#-0,3386284#3,039937#0,05183546#-0,5910864#3,491124#-0,09614231#-0,6135172#2,957281#0,0101286#-0,6100658#3,378446#-0,1270679#-0,691111#2,924023#1  
frame17 #-0,2555377#0,8533404#3,264033#-0,1320398#0,7268935#3,268243# -0,2784772#0,1250296#2,823855#-0,3599543#0,0801473#3,452736#-0,2279957#0,1681009#2,854924#-0,3295994#0,1462509#3,443921#-0,09698815#0,3653893#2,966309#-0,3170609#0,419437#3,466935#-0,0380073#0,5784317#3,093143#-0,2972344#0,6588471#3,365523#-0,07851905#0,2742922#3,203615#-0,108256#0,1922605#3,153567#-0,05144801#0,1245619#3,101607#-0,1589554#0,1192535#3,170182#0,06208398#-0,3649935#3,295755#-0,2215624#-0,2900972#3,022519#0,05955974#-0,5750744#3,465719#-0,1083364#-0,5948474#2,95233#0,01481682#-0,5981266#3,35464#-0,1378884#-0,6799812#2,950426#1  
frame18 #-0,2676233#0,8538297#3,261386#-0,1396177#0,7295429#3,265764# -0,2675229#0,1036549#2,797243#-0,367373#0,07975054#3,450316#-0,2283342#0,1622817#2,852445#-0,3373603#0,1451077#3,4416#-0,1161164#0,3409989#2,935784#-0,3247866#0,4203036#3,465506#-0,05972321#0,5821635#3,071765#-0,3048125#0,6614964#3,363043#-0,08233874#0,2658427#3,183452#-0,1142841#0,1797188#3,128139#-0,05696113#0,1189634#3,086506#-0,1629341#0,1114345#3,135068#0,05865104#-0,3683607#3,241404#-0,1281121#-0,3184606#3,097674#0,07263955#-0,570767#3,416966#-0,1113993#-0,5965731#2,950202#0,0214994#-0,5967262#3,308883#-0,184109#-0,6438104#2,88854#1  
frame19 #-0,2945799#0,845416#3,247521#-0,1664698#0,7145678#3,239655# -0,2571493#0,08935955#2,78709#-0,394108#0,06311727#3,423784#-0,219444#0,1543451#2,848913#-0,364314#0,1279973#3,415133#-0,1153942#0,3393301#2,927639#-0,3516976#0,4046185#3,439554#-0,06444272#0,5725349#3,053364#-0,3316648#0,6465213#3,336934#-0,09914704#0,2456849#3,14564#-0,1259946#0,1621684#3,091397#-0,06433497#0,108235#3,049834#-0,1785427#0,08412953#3,09307#-0,000161089#-0,316234#3,08809#-0,1998964#-0,3442461#3,021575#0,0624909#-0,5822959#3,341373#-0,1142306#-0,5997291#2,945017#0,005917735#-0,6095377#3,235579#-0,1836904#-0,6473638#2,879059#1  
frame20 #-0,303447#0,8449281#3,243792#-0,1737743#0,7138026#3,237677# -0,2442845#0,07418735#2,784434#-0,4013639#0,06147822#3,421825#-0,2123583#0,1456746#2,841663#-0,3716682#0,1261449#3,413202#-0,1199716#0,3425208#2,90395#-0,359002#0,4038534#3,437632#-0,07833343#0,5645952#3,034189#-0,3389691#0,6457561#3,334956#-0,1087407#0,2312946#3,132312#-0,1393334#0,1418177#3,073295#-0,07599887#0,1003827#3,037768#-0,1923785#0,05177558#3,068032#0,03938625#-0,3678425#3,116295#-0,2089817#-0,4410953#2,995244#0,07869701#-0,6048898#3,317415#-0,1116578#-0,6080229#2,942117#0,01473341#-0,6274923#3,214218#-0,1553259#-0,6948541#2,965079#1  
frame21 #-0,300315#0,7431462#3,21287#-0,1938292#0,5726085#3,188093# -0,2366513#0,06757092#2,784415#-0,3700775#-0,01900224#3,210683#-0,2091314#0,1422975#2,839011#-0,3405127#0,04537936#3,202098#-0,1206222#0,3438624#2,891982#-0,3790569#0,2626593#3,388012#-0,08958931#0,5647588#3,02375#-0,359024#0,5045621#3,285372#-0,1140313#0,175849#3,095358#-0,139835#0,1064792#3,040161#-0,07629971#0,07530176#3,00181#-0,1898596#0,02242876#3,041313#0,01167575#-0,3664055#3,015414#-0,2111475#-0,4428415#2,994586#0,09122751#-0,578998#3,209124#-0,06292291#-0,6889299#2,930793#0,01382958#-0,6138496#3,120033#-0,1531916#-0,6795365#2,936776#1  
frame22 #-0,3026445#0,7441124#3,210836#-0,1968767#0,5752583#3,184672# -0,2338961#0,06264198#2,781478#-0,3749967#-0,02477732#3,217034#-0,2083482#0,1396347#2,833067#-0,3455591#0,03932725#3,208485#-0,1217703#0,3491709#2,880547#-0,3821044#0,2653091#3,384551#-0,09944324#0,5654622#3,017642#-0,3620715#0,5072119#3,281951#-0,1184729#0,1787185#3,090086#-0,145359#0,1092364#3,034991#-0,08586547#0,07852931#2,992453#-0,1932383#0,02284828#3,036606#-0,05399329#-0,3183222#2,836638#-0,2423383#-0,3949912#2,985424#0,0758518#-0,6079063#3,038622#-0,08564986#-0,6047751#2,9478#-0,02956429#-0,6446487#2,987015#-0,1389983#-0,6802625#2,931697#1  
frame23 #-0,3136617#0,7488698#3,208658#-0,2073193#0,5797259#3,178032# -0,2344398#0,06335635#2,781695#-0,5039359#0,3465939#3,598991#-0,2089906#0,1414104#2,830072#-0,4574386#0,3406129#3,546426#-0,1226505#0,354441#2,872902#-0,3925469#0,2697767#3,377877#-0,1050951#0,56709#3,010259#-0,3725141#0,5116795#3,275311#-0,1289705#0,1894276#3,081059#-0,1554454#0,1218567#3,024961#-0,09081188#0,08091073#2,987377#-0,2067133#0,0461782#3,016928#-0,06539442#-0,2982334#2,80139#-0,2404691#-0,3686628#2,983022#0,007324703#-0,5855374#2,965328#-0,09159391#-0,6088489#2,942779#-0,09321483#-0,651053#2,940555#-0,1479595#-0,6840819#2,926646#1  
frame24 #-0,3257086#0,7561609#3,211895#-0,2222979#0,592454#3,177182# -0,236901#0,07282452#2,784395#-0,4738081#0,4527638#3,569628#-0,21242#0,1483688#2,826965#-0,4572375#0,410199#3,517683#-0,1255692#0,3694061#2,865859#-0,4075256#0,2825048#3,377002#-0,1123818#0,5658994#3,006751#-0,3874927#0,5244076#3,274461#-0,1388365#0,1929408#3,07801#-0,1640473#0,1237335#3,020921#-0,09816781#0,08300167#2,98348#-0,2156451#0,04509465#3,013003#-0,08227161#-0,2566085#2,735841#-0,2407725#-0,3656879#2,98162#-0,01666598#-0,5981212#2,894028#-0,0930078#-0,6109036#2,939228#-0,1173475#-0,6664093#2,918896#-0,150611#-0,6844331#2,924682#1  
frame25 #-0,3473614#0,7690085#3,218644#-0,2407427#0,6105684#3,178288# -0,2392668#0,07730111#2,782065#-0,5144816#0,525741#3,450349#-0,2164677#0,1534184#2,820527#-0,4553591#0,4928945#3,43561#-0,1280913#0,3792174#2,86419#-0,4259704#0,3006192#3,378095#-0,1221351#0,57119#3,003938#-0,4059376#0,542522#3,275568#-0,1492839#0,2002767#3,079648#-0,1722063#0,128238#3,021841#-0,1022076#0,08537747#2,982533#-0,2257096#0,04701111#3,016407#-0,1205732#-0,1970512#2,67284#-0,2392821#-0,3606618#2,979553#0,0543287#-0,4668008#2,856956#-0,1056037#-0,6213343#2,930494#-0,02394175#-0,5565728#2,891135#-0,1585491#-0,6957588#2,92374#1  
frame26 #-0,3411029#0,7533421#3,20088#-0,2210604#0,5694416#3,133413# -0,2558631#0,04553157#2,774349#-0,5300446#0,4369068#3,383992#-0,234935#0,1173173#2,808592#-0,4795097#0,3996552#3,356583#-0,1419117#0,3525338#2,859225#-0,3178253#0,2844614#3,310681#-0,1263986#0,5688412#2,99691#-0,3862552#0,5013952#3,230692#-0,08043629#0,2310984#2,974607#-0,09275982#0,1758355#2,905174#-0,02469975#0,1586177#2,844646#-0,1228812#0,07666327#2,893724#-0,150759#-0,184299#2,654785#-0,2386552#-0,3130023#2,978974#0,04923959#-0,4098604#2,834333#-0,1038846#-0,6199163#2,9317#-0,0164696#-0,5075604#2,871864#-0,1656719#-0,6946445#2,964669#1  
frame27 #-0,3472451#0,7548286#3,196769#-0,2393595#0,5844399#3,1353# -0,2394162#0,117893#2,77008#-0,5781014#0,4893521#3,322066#-0,2173208#0,1918474#2,804574#-0,505924#0,4332871#3,303167#-0,1255317#0,3955198#2,835041#-0,3437587#0,3076977#3,291817#-0,1319005#0,5628769#2,985978#-0,4045544#0,5163935#3,232579#-0,1143713#0,2673302#2,938619#-0,1270169#0,221929#2,862971#-0,05219069#0,2068196#2,790228#-0,1640498#0,1213019#2,845303#-0,1928129#-0,1507141#2,654793#-0,2450103#-0,2958978#2,96076#0,03086361#-0,3235355#2,845251#-0,1002401#-0,6152048#2,932886#-0,01966155#-0,4330978#2,86947#-0,1984642#-0,6870437#2,951173#1  
frame28 #-0,358959#0,7283827#3,186857#-0,2428637#0,5182046#3,108734# -0,2572337#0,1340404#2,771673#-0,5404313#0,4899122#3,292698#-0,2381312#0,2017024#2,806435#-0,4790393#0,4197645#3,279436#-0,1500531#0,3868814#2,81354#-0,3092234#0,305131#3,282903#-0,1328287#0,5448456#2,972854#-0,4080585#0,4501582#3,206013#-0,1393845#0,2461026#2,998663#-0,1585768#0,2054629#2,938829#-0,08529242#0,1299997#2,794463#-0,1711276#0,05557721#2,949954#-0,135323#-0,3008013#2,736583#-0,3078489#-0,3191559#2,969189#0,04667483#-0,5795912#2,891523#-0,1475836#-0,6853019#2,934739#-0,05973186#-0,6380611#2,908938#-0,2248698#-0,7134219#3,025737#1  
frame29 #-0,3565754#0,6873873#3,146214#-0,2313058#0,4809155#3,028849# -0,2596517#0,1363729#2,772296#-0,5097724#0,5271518#3,229519#-0,2428764#0,1994025#2,807559#-0,4875894#0,4634657#3,21439#-0,153256#0,3834372#2,809603#-0,2912241#0,2697392#3,199144#-0,1355909#0,5415517#2,968499#-0,3965006#0,4128691#3,126128#-0,1487405#0,2676557#2,947343#-0,1681761#0,2439139#2,890643#-0,05140244#0,07156296#2,940112#-0,1965102#0,08424485#2,626542#-0,1263815#-0,2397653#2,637927#-0,1344555#-0,2885439#2,935096#0,05561641#-0,5185552#2,792876#-0,08380523#-0,6023784#2,911991#-0,03151555#-0,5889083#2,84265#-0,1813857#-0,6728556#2,935011#1  
frame30 #-0,3730982#0,7136565#3,147455#-0,2204362#0,5347041#3,012231# -0,2502157#0,1176985#2,756143#-0,5148333#0,5661341#3,177239#-0,2281203#0,1916529#2,790636#-0,4922311#0,5022328#3,164662#-0,1373664#0,4225268#2,840721#-0,2806629#0,3239471#3,182265#-0,1400835#0,6204993#2,988393#-0,385631#0,4666578#3,10951#-0,09535738#0,2577902#2,988589#-0,09924211#0,2067439#2,93444#0,00547296#0,09235111#2,993135#-0,1040438#0,0507637#2,799261#-0,1236642#-0,241285#2,633794#-0,1398698#-0,3142019#2,943941#0,05833365#-0,5200748#2,788783#-0,08729614#-0,597647#2,901144#-0,0318567#-0,5902957#2,832155#-0,181276#-0,6677403#2,935801#1  
frame31 #-0,3889329#0,7376158#3,138134#-0,2339311#0,5532715#3,011934# -0,251332#0,1195899#2,743319#-0,5175711#0,6267188#3,145368#-0,2292367#0,1935443#2,777813#-0,4950106#0,562935#3,132814#-0,138476#0,4244955#2,827935#-0,4606253#0,3092704#3,163489#-0,120298#0,6327233#3,038136#-0,3991259#0,4852251#3,109212#-0,1197376#0,2800144#2,933074#-0,1190757#0,2422431#2,867632#-0,0009301897#0,1356262#2,908259#-0,1473035#0,1117062#2,708985#-0,1050984#-0,1932644#2,596471#-0,1410581#-0,2721656#2,908971#0,07689945#-0,4720542#2,751518#-0,1271104#-0,6190707#2,848406#-0,01047725#-0,5485594#2,789479#-0,1661398#-0,6690942#2,763185#1  
frame32 #-0,3316628#0,74715#3,077059#-0,1761674#0,5629078#2,948951# -0,2505423#0,1591063#2,630765#-0,5077182#0,6186205#3,113853#-0,1896378#0,1895645#2,634126#-0,485365#0,5554227#3,101414#-0,1170379#0,4223996#2,778635#-0,4223816#0,2964564#3,115106#-0,05611208#0,6335234#2,975225#-0,3413622#0,4948614#3,046231#-0,06030368#0,2391675#2,907928#-0,05701564#0,1860146#2,846131#0,0362257#0,1418341#2,847721#-0,1052055#0,08769123#2,800023#-0,09449795#-0,1886341#2,596339#-0,1332795#-0,2963226#2,889462#0,08749992#-0,4674239#2,751452#-0,1422659#-0,6265712#2,83203#-0,004802004#-0,5411603#2,782057#-0,217987#-0,6831734#2,880667#1  
frame33 #-0,3718029#0,7771936#3,133615#-0,2159192#0,5924913#3,005275# -0,2318799#0,2471032#2,568691#-0,4672283#0,5583743#3,072025#-0,1829864#0,2718044#2,609344#-0,4448629#0,495142#3,059579#-0,1236073#0,4680614#2,808987#-0,4178978#0,2948561#3,102202#-0,09586383#0,6631069#3,031549#-0,381114#0,5244449#3,102554#-0,09078793#0,212674#2,928769#-0,08882803#0,1493995#2,861753#-0,00245448#0,09937726#2,845723#-0,1371177#0,06989007#2,830538#-0,09051841#-0,2318881#2,601951#-0,1282713#-0,3248481#2,854632#0,09147946#-0,5106779#2,757049#-0,1537458#-0,6295562#2,822349#-0,01032316#-0,5713187#2,785668#-0,2227125#-0,6838408#2,877243#1  
frame34 #-0,2913581#0,5426379#2,582796#-0,153023#0,4297318#2,612162# -0,257542#0,1997422#2,204689#-0,4403301#0,4716259#3,061009#-0,2652521#0,1353511#2,263806#-0,4179762#0,4084263#3,04857#-0,1038149#0,2410281#2,44787#-0,3389302#0,264106#2,936909#-0,008009706#0,3625753#2,704814#-0,3182178#0,3616854#2,709441#-0,08082652#0,1441908#2,804714#-0,06707613#0,06349943#2,796135#0,03326334#0,0004140467#2,830601#-0,1381999#0,002092522#2,819151#-0,1127196#-0,2669151#2,564605#-0,1105777#-0,3895011#2,845889#0,0866912#-0,5138178#2,749768#-0,1549441#-0,6301481#2,817817#-0,01393246#-0,5736552#2,782392#-0,204464#-0,7017748#2,839872#1  
frame35 #-0,2939554#0,5414212#2,57931#-0,1499306#0,4639109#2,629154# -0,2321859#0,2663547#2,152791#-0,4430754#0,5450217#3,044573#-0,2098015#0,2706062#2,163831#-0,4207789#0,4819844#3,032166#-0,07227376#0,2890131#2,415555#-0,3677103#0,3075529#2,951961#-0,008137473#0,3537123#2,703623#-0,3151254#0,3958645#2,726433#-0,1217878#0,169421#2,802856#-0,1222984#0,09048587#2,794529#-0,02128902#0,0009459704#2,744174#-0,2121222#0,02446947#2,905807#-0,150993#-0,2983468#2,50905#-0,0768261#-0,3250082#2,770586#0,06339695#-0,5023916#2,719405#-0,1543395#-0,6290686#2,812537#-0,02765647#-0,5669993#2,7662#-0,1647504#-0,6968651#2,732686#1  
frame36 #-0,3453608#0,4562881#2,569417#-0,1944718#0,3865941#2,629506# -0,2041626#0,439149#2,045085#-0,3928068#0,5109338#3,12211#-0,1691455#0,4211449#2,127448#-0,3706672#0,44834#3,10979#-0,06409416#0,3671328#2,389199#-0,392752#0,3195353#2,969864#-0,02858349#0,3490774#2,688941#-0,3596666#0,3185477#2,726785#-0,1226997#0,1530617#2,79081#-0,1160602#0,08190171#2,787274#0,02278877#0,01147897#2,769217#-0,2055492#-0,00104582#2,851742#-0,1394003#-0,2627612#2,524897#-0,04391381#-0,3500304#2,757461#0,06433788#-0,504791#2,711295#-0,1545164#-0,629683#2,811021#-0,0269489#-0,5671742#2,759595#-0,2125148#-0,6824999#2,853444#1  
frame37 #-0,3650554#0,5343007#2,471275#-0,2141663#0,4646068#2,531573# -0,271463#0,5135211#2,061543#-0,4790252#0,5861816#3,274594#-0,2164637#0,547814#2,044328#-0,4203901#0,4602899#3,1041#-0,09113447#0,4712033#2,289433#-0,3630531#0,3606997#2,870688#-0,05663431#0,4251958#2,585296#-0,3793611#0,3965604#2,628852#-0,1105813#0,2408568#2,723091#-0,09243021#0,1735211#2,731102#0,01297293#0,1397039#2,79614#-0,1452557#0,0816188#2,745937#-0,1265277#-0,1301413#2,518251#-0,06487085#-0,2997428#2,775358#0,05547018#-0,4089311#2,674004#-0,1465287#-0,6273553#2,802653#-0,01711981#-0,4900137#2,72538#-0,204555#-0,6781199#2,847018#1  
