frame1 #0,04797318#0,9895168#3,517076#-0,00815396#0,8079355#3,565327# 0,03762011#0,4760563#3,27061#-0,2176751#0,2668344#3,458651#0,03220759#0,5199093#3,320993#-0,2309242#0,3254276#3,476716#0,1825954#0,5139036#3,447882#-0,2706714#0,5012071#3,544826#0,1641827#0,6731151#3,589005#-0,1418076#0,6993605#3,503159#-0,008055218#0,4356314#3,575233#0,009184649#0,3695587#3,521801#0,08089305#0,2913288#3,53586#-0,05680262#0,3031393#3,488787#0,0512359#-0,220549#3,584054#-0,1198941#-0,2427648#3,234087#-0,03478785#-0,566195#3,552817#-0,1217842#-0,608567#3,181313#-0,06941114#-0,5960722#3,449121#-0,09539497#-0,653509#3,097671#1  
frame12 #-0,06400547#0,9920146#3,479012#-0,0187234#0,7985302#3,48716# 0,04201328#0,4807243#3,257488#-0,2805082#0,1315216#3,44481#-0,06398471#0,4934199#3,272156#-0,2719067#0,2141966#3,477191#0,1294212#0,5037401#3,31056#-0,2273684#0,461864#3,571531#0,1336101#0,6682316#3,443627#-0,1831292#0,7076449#3,513836#-0,01827031#0,4206493#3,509451#-0,03014322#0,3514562#3,457717#0,03602158#0,2756416#3,439183#-0,1004141#0,2817421#3,457543#0,05036409#-0,2556917#3,518348#-0,125855#-0,2548378#3,263512#-0,02602418#-0,6013393#3,536956#-0,1063492#-0,5736507#3,146823#0,04778997#-0,6586503#3,516659#-0,1232308#-0,6168574#3,066612#1  
frame13 #-0,08297028#0,9889325#3,47893#-0,02435859#0,7927098#3,477214# -0,1216561#0,4659007#3,211754#-0,2962918#0,1210156#3,465856#-0,05974796#0,4711592#3,23187#-0,2765361#0,2083334#3,483624#0,1259765#0,4869345#3,306571#-0,2254#0,4381129#3,570473#0,1274882#0,6637661#3,419078#-0,1908118#0,6876313#3,516149#-0,01969053#0,4132293#3,492823#-0,03563812#0,3443814#3,441414#0,03112036#0,2707766#3,420896#-0,1056014#0,272861#3,444986#0,05040079#-0,2658832#3,510936#-0,1329034#-0,2572358#3,251208#-0,02168436#-0,6096512#3,53814#-0,1049707#-0,5911733#3,12012#0,04470119#-0,6586157#3,513899#-0,1284683#-0,6337793#3,042286#1  
frame14 #-0,09930544#0,985443#3,479959#-0,03091941#0,7920159#3,468501# -0,1400348#0,4228399#3,226547#-0,3137387#0,1177218#3,499928#-0,07690026#0,4401087#3,233576#-0,2802956#0,1978262#3,489966#0,1125033#0,4919152#3,269058#-0,2288388#0,4025876#3,559264#0,1177719#0,6676914#3,403118#-0,2022068#0,6588456#3,516705#-0,02137045#0,4130666#3,480158#-0,03974877#0,3446633#3,428807#0,02472227#0,2735732#3,396292#-0,1076217#0,270589#3,439112#0,001051045#-0,2639831#3,427555#-0,1221429#-0,2642389#3,270528#0,0005669165#-0,589559#3,545362#-0,1027169#-0,584875#3,120648#0,05238864#-0,6564223#3,549281#-0,1306514#-0,6271622#3,04466#1  
frame15 #-0,1103876#0,9816502#3,475612#-0,03640316#0,7906558#3,462963# -0,1969281#0,3788023#3,171816#-0,3244819#0,1053963#3,511776#-0,1204764#0,4049703#3,190576#-0,2901965#0,189008#3,502267#0,1088787#0,4834744#3,261303#-0,2283634#0,4021348#3,56178#0,1055452#0,6640013#3,37174#-0,2021546#0,659245#3,517941#-0,02094216#0,408154#3,46315#-0,04375584#0,3399789#3,411113#0,01948591#0,2715783#3,377308#-0,1087329#0,2641839#3,422969#0,06529576#-0,2821307#3,491355#-0,1203037#-0,2637372#3,271156#-0,002382202#-0,6157633#3,545909#-0,09551129#-0,582289#3,111799#0,04492368#-0,6913599#3,553508#-0,131462#-0,6243382#3,038957#1  
frame16 #-0,1321032#0,9699836#3,47291#-0,04637388#0,7827131#3,457675# -0,1910875#0,3532158#3,157894#-0,3269501#0,1035001#3,513001#-0,1210963#0,3837158#3,171932#-0,3081727#0,1840262#3,524178#0,08887726#0,4752159#3,22858#-0,2305111#0,3977471#3,563501#0,08354414#0,6521319#3,348372#-0,2053441#0,6559856#3,519442#-0,0200616#0,3901111#3,439989#-0,04492319#0,3204719#3,385969#0,01640062#0,2577161#3,356441#-0,1035376#0,2475933#3,391277#0,06591387#-0,2823805#3,490684#-0,1100031#-0,2455608#3,275779#-0,003482566#-0,592522#3,53913#-0,0865958#-0,5810497#3,104915#0,04354526#-0,6631355#3,546502#-0,1291483#-0,6228302#3,035532#1  
frame17 #-0,1408617#0,9679698#3,46732#-0,0568848#0,7814285#3,443811# -0,1670643#0,3038686#3,134648#-0,3386004#0,1118155#3,51534#-0,1100403#0,3414077#3,146117#-0,3112791#0,1896875#3,526025#0,06103161#0,4540249#3,195155#-0,237731#0,395198#3,556948#0,06652828#0,6448154#3,327849#-0,2126936#0,6548541#3,51232#-0,02800308#0,3670038#3,414035#-0,05523995#0,2927933#3,359964#0,004366338#0,2300908#3,327294#-0,1122295#0,2255801#3,369576#0,07133214#-0,283784#3,483669#-0,03861854#-0,2446544#3,37637#0,02488339#-0,5653001#3,537857#-0,0808105#-0,5573497#3,098579#-0,02189383#-0,6077504#3,469248#-0,1275877#-0,5997999#3,029971#1  
frame18 #-0,1544721#0,9464799#3,457314#-0,06184112#0,77169#3,437261# -0,1440994#0,2633447#3,099349#-0,3640854#0,125496#3,520437#-0,09433613#0,3093771#3,115978#-0,3277121#0,1981018#3,532777#0,05495365#0,4474744#3,180603#-0,2434191#0,3840123#3,551233#0,05556095#0,6340016#3,303612#-0,2185326#0,6446755#3,506037#-0,02701296#0,3583889#3,404332#-0,05612373#0,2851174#3,351787#0,002416837#0,2240689#3,317513#-0,112117#0,2157196#3,359735#0,07886937#-0,2837537#3,467079#-0,07852539#-0,2887636#3,277508#0,006089792#-0,5609583#3,503077#-0,08136748#-0,5725423#3,080642#-0,04448011#-0,603402#3,436933#-0,1319374#-0,6149859#3,014498#1  
frame19 #-0,1717001#0,9296061#3,439088#-0,08023182#0,7533134#3,410894# -0,1663972#0,2125366#3,072469#-0,411575#0,1285731#3,500582#-0,1202909#0,2668015#3,087935#-0,3779509#0,1829334#3,520876#0,01802831#0,4295964#3,149004#-0,2626883#0,363964#3,525548#0,03685139#0,6337185#3,290095#-0,2374264#0,6263083#3,480156#-0,03905459#0,3302958#3,369689#-0,0660003#0,2556661#3,314034#-0,008434623#0,1967811#3,276855#-0,1190204#0,1888666#3,324811#0,07980506#-0,2879775#3,449348#-0,1399092#-0,2513062#3,155056#0,02311773#-0,559653#3,51199#-0,08209458#-0,5749518#3,070166#-0,02604438#-0,6021758#3,444654#-0,1106157#-0,6627543#3,022987#1  
frame20 #-0,1781767#0,9241978#3,436851#-0,08422929#0,7506924#3,407348# -0,2001265#0,1345458#3,05305#-0,4408516#0,1301499#3,501783#-0,1466641#0,206306#3,070271#-0,4152538#0,1898469#3,516399#0,01372307#0,4215863#3,13673#-0,2668173#0,3600078#3,522203#0,01714697#0,6252939#3,258048#-0,2414749#0,6236708#3,476614#-0,03851926#0,3255128#3,350967#-0,06906964#0,2511652#3,294811#-0,0139291#0,1928246#3,249507#-0,1200938#0,1828005#3,304381#0,08246767#-0,2943355#3,414542#-0,09833187#-0,2865602#3,202462#0,03424776#-0,553481#3,507855#-0,0859092#-0,5866906#3,060258#0,026232#-0,6539838#3,466799#-0,1420928#-0,6294063#2,997174#1  
frame21 #-0,1998418#0,859956#3,398054#-0,09695815#0,6439658#3,352634# -0,1929353#0,1562222#3,014993#-0,5247383#0,2348413#3,549628#-0,1374521#0,2070623#3,065007#-0,4486166#0,281161#3,564611#0,005209144#0,4090725#3,111306#-0,2797309#0,2519019#3,467933#-0,001536389#0,6197531#3,232176#-0,2542632#0,5169359#3,42194#-0,03573471#0,282564#3,305176#-0,06351583#0,2202451#3,251394#-0,007664579#0,1670244#3,20345#-0,1092613#0,145423#3,264271#0,05071338#-0,2786815#3,343398#-0,128103#-0,2895417#3,159184#0,04150197#-0,5711129#3,533873#-0,08949484#-0,5940905#3,055764#-0,01440653#-0,6140881#3,470166#-0,1247948#-0,6733729#3,020195#1  
frame22 #-0,2047992#0,8526942#3,393649#-0,1071678#0,6327726#3,334178# -0,2031196#0,1196954#2,992263#-0,5635077#0,251201#3,417415#-0,1424802#0,1599495#3,030912#-0,495154#0,2481814#3,421833#-0,007163185#0,3990763#3,089883#-0,290093#0,2391225#3,4499#-0,01787425#0,6212665#3,21771#-0,2644729#0,5057427#3,403484#-0,03803518#0,2834321#3,293348#-0,06511421#0,2215676#3,23987#-0,01078638#0,1715361#3,177339#-0,1081029#0,1409893#3,25821#0,05854006#-0,2662669#3,281836#-0,149203#-0,2771537#3,109692#0,03519061#-0,5484813#3,481303#-0,09251262#-0,5923224#3,053678#-0,02055739#-0,5915158#3,417848#-0,1235312#-0,6703511#3,018385#1  
frame23 #-0,2247018#0,8440797#3,379433#-0,1202696#0,6257242#3,318523# -0,1668179#0,08776391#2,965383#-0,5343603#0,2405062#3,400628#-0,1415505#0,1547408#3,017338#-0,5015645#0,2792642#3,386102#-0,01520495#0,3977066#3,07755#-0,3033448#0,2305126#3,434652#-0,03804041#0,6229633#3,203248#-0,2775746#0,4986943#3,387829#-0,05989477#0,2424645#3,235014#-0,08863755#0,1795941#3,177623#-0,03117784#0,1372594#3,150647#-0,1356788#0,1073999#3,166715#0,03836375#-0,2916525#3,175664#-0,1512273#-0,3259883#3,103693#0,05159369#-0,5775903#3,421059#-0,09417144#-0,5921908#3,051069#-0,007262588#-0,6201211#3,360453#-0,1241301#-0,6702462#3,016398#1  
frame24 #-0,2510222#0,8584604#3,387206#-0,1557586#0,6552582#3,328355# -0,1592835#0,08952326#2,954999#-0,5624269#0,3016435#3,352365#-0,1379343#0,1436992#2,986579#-0,5096812#0,3159357#3,368472#-0,03189557#0,3939489#3,069578#-0,3062057#0,2954279#3,416034#-0,0694657#0,634106#3,197279#-0,3130637#0,5282283#3,397661#-0,08501875#0,2878354#3,237005#-0,1137553#0,2275567#3,176989#-0,0575925#0,1814333#3,107403#-0,1539204#0,1334972#3,190455#0,0340724#-0,2475933#3,070681#-0,1663128#-0,2866643#3,071439#0,05498493#-0,5245081#3,329913#-0,09241883#-0,5964409#3,044891#-0,004808232#-0,5668502#3,270585#-0,125141#-0,6707672#3,020949#1  
frame25 #-0,2632483#0,8580338#3,390959#-0,1623434#0,6534314#3,327775# -0,1533294#0,09165715#2,951407#-0,541169#0,3519495#3,292888#-0,1373537#0,1453576#2,985216#-0,4937684#0,3387613#3,309981#-0,03496886#0,3977027#3,06564#-0,3037998#0,305233#3,40002#-0,07203904#0,6335973#3,194373#-0,3196485#0,5264015#3,397081#-0,09048732#0,2873828#3,230126#-0,1193619#0,2283283#3,168354#-0,06196075#0,1836709#3,096928#-0,1622644#0,1328808#3,179227#0,016427#-0,2386094#2,984003#-0,168683#-0,2852833#3,067895#0,04476544#-0,5103616#3,249206#-0,09264685#-0,5966661#3,042747#-0,01536158#-0,5528997#3,189841#-0,1591945#-0,6805576#3,023546#1  
frame26 #-0,2812944#0,8600543#3,396558#-0,1756279#0,653625#3,331367# 0,02951187#0,07389861#2,899403#-0,5860505#0,4145274#3,245199#0,01286242#0,158364#2,935184#-0,4831028#0,3638516#3,274151#-0,03708594#0,4117602#3,057416#-0,3034231#0,3216291#3,382147#-0,1032086#0,6393164#3,188581#-0,3329329#0,5265951#3,400673#-0,09577274#0,2868837#3,214337#-0,1264975#0,2276263#3,149716#-0,06922652#0,1904362#3,086401#-0,1679813#0,134703#3,147328#-0,001450144#-0,1616598#2,84253#-0,1706444#-0,2854008#3,065327#0,03493609#-0,4306886#3,116474#-0,09681873#-0,5977426#3,040708#-0,02340387#-0,518461#3,087836#-0,1484126#-0,6820799#3,021622#1  
frame27 #-0,3126836#0,8515359#3,403305#-0,2135513#0,6508878#3,336853# 0,03018785#0,1381947#2,899564#-0,5479959#0,4502988#3,19184#0,01509548#0,2229257#2,933376#-0,4859878#0,3971131#3,228317#-0,03018161#0,4771186#3,049725#-0,3159985#0,3304638#3,336514#-0,1160407#0,6292796#3,186307#-0,3708564#0,5238579#3,406159#-0,1142232#0,2688296#3,193527#-0,1399347#0,2063689#3,122737#-0,07313558#0,1810677#3,079761#-0,1871814#0,1232408#3,107093#-0,01952787#-0,09107171#2,746541#-0,1684756#-0,2973395#3,060301#0,0172383#-0,3903455#2,999174#-0,09477036#-0,599279#3,039989#-0,03177043#-0,4881203#3,009683#-0,1490508#-0,6816307#3,011875#1  
frame28 #-0,3350003#0,842176#3,40754#-0,2345799#0,6471874#3,337176# -0,0173911#0,1728622#2,805264#-0,5680764#0,5676544#3,107175#-0,02195186#0,2468094#2,859687#-0,5128574#0,5129087#3,152752#-0,03563416#0,468651#3,037885#-0,3920427#0,3407142#3,257291#-0,1235599#0,6137997#3,180116#-0,391885#0,5201575#3,406482#-0,1412897#0,258027#3,188772#-0,1648042#0,196595#3,118041#-0,09832609#0,1577167#3,07523#-0,2177338#0,1168709#3,098884#-0,04014968#0,1004597#2,648999#-0,1316634#-0,2864936#3,008312#-0,002905756#-0,202703#2,90526#-0,09059283#-0,6019077#3,041626#-0,03019406#-0,3065066#2,932043#-0,1459519#-0,6816845#3,015911#1  
frame29 #-0,3645642#0,8270407#3,422875#-0,2527872#0,63753#3,337357# 0,02100234#0,2219618#2,758034#-0,4968393#0,599153#3,116309#-0,0005430551#0,2786703#2,822192#-0,4694124#0,5427165#3,11305#-0,06517923#0,4487959#3,029609#-0,4068782#0,3688698#3,213859#-0,1692932#0,63064#3,202132#-0,4100923#0,5105001#3,406663#-0,1504166#0,2752314#3,182856#-0,1761844#0,2242993#3,1116#-0,1196778#0,1951035#3,036718#-0,2150409#0,1254571#3,100651#-0,100778#0,1942688#2,604975#-0,1519801#-0,2803387#3,011999#-0,06354802#-0,1087799#2,861102#-0,08910418#-0,6040516#3,040502#-0,07598641#-0,2146865#2,89157#-0,154854#-0,6857152#3,035677#1  
frame30 #-0,3402167#0,7933921#3,353509#-0,2186819#0,6030554#3,210891# 0,05090597#0,2318087#2,773412#-0,4886514#0,6760234#3,09891#0,02936058#0,2885172#2,83757#-0,4488147#0,6233981#3,111594#-0,03527559#0,4586428#3,044946#-0,4334929#0,3508514#3,102456#-0,1741046#0,6204072#3,19209#-0,3759869#0,4760255#3,280197#-0,09128831#0,3342874#3,178313#-0,09568282#0,2879371#3,119123#-0,02330076#0,2635878#3,057739#-0,1264529#0,2056782#3,14442#-0,1341018#-0,03116291#2,586666#-0,1400711#-0,2737246#3,018445#-0,0968796#-0,3341489#2,842815#-0,08504945#-0,6052642#3,033174#-0,1381613#-0,378767#2,767623#-0,1547958#-0,6855571#3,035212#1  
frame31 #-0,354836#0,8147844#3,353139#-0,2146634#0,6544576#3,199145# -0,2141778#0,1937298#2,793253#-0,433531#0,6686171#3,128306#-0,1777376#0,2488988#2,804886#-0,3937404#0,6160525#3,140976#-0,1750072#0,4685653#2,982665#-0,3919264#0,3425763#3,159937#-0,1996874#0,6683864#3,196926#-0,3719685#0,5274277#3,26845#-0,06202286#0,4227672#3,155075#-0,06151901#0,3845354#3,093545#0,05373136#0,240423#2,882125#0,007972898#0,2030334#3,159673#-0,2104178#-0,1770546#2,782049#-0,1284174#-0,2736741#3,012905#-0,1732638#-0,479485#3,037792#-0,08233931#-0,6119373#3,002389#-0,157244#-0,5875541#3,017258#-0,09170436#-0,6880713#2,972947#1  
frame32 #-0,38775#0,7412803#3,414148#-0,2411884#0,5721222#3,26528# -0,2440683#0,2488596#2,7438#-0,3915583#0,6007791#3,133675#-0,1895338#0,2626038#2,780623#-0,3517147#0,5481446#3,146361#-0,1943864#0,4259186#3,014649#-0,2801098#0,2957916#3,238188#-0,2262124#0,5860509#3,263062#-0,3984935#0,4450923#3,334586#-0,1349496#0,3642514#3,210675#-0,1479999#0,3379765#3,15092#-0,07153355#0,1532133#2,890672#-0,06799272#0,1295844#3,194218#-0,3172491#-0,3232436#2,813129#-0,1080229#-0,2718827#2,993887#-0,2801148#-0,6255139#3,068713#-0,08199723#-0,6135313#2,956951#-0,189092#-0,6579264#3,013348#-0,130686#-0,6578529#2,885944#1  
frame33 #-0,2639564#0,7285557#2,691982#-0,1414481#0,593757#2,66934# -0,2709404#0,1559048#2,267753#-0,4184052#0,6810825#3,095665#-0,2315085#0,1196487#2,308654#-0,3784587#0,628312#3,108384#-0,08539157#0,137217#2,462043#-0,3245778#0,4051439#2,974672#-0,1353065#0,3430823#2,573395#-0,2987532#0,4667271#2,738646#-0,03107544#0,2241121#2,900919#-0,05957555#0,1254975#2,919313#-0,02429555#0,03727674#2,981501#-0,07459389#0,09783434#2,915313#-0,337301#-0,3764621#2,801332#-0,09223381#-0,3173034#2,954059#-0,3001593#-0,6787921#3,056965#-0,1218751#-0,6423082#2,893029#-0,2177416#-0,673756#2,98178#-0,06850875#-0,6913632#2,853549#1  
frame34 #-0,2766317#0,5488369#2,600206#-0,1395385#0,5957137#2,669269# -0,2640114#0,3126091#2,167481#-0,4524486#0,7459772#3,020997#-0,230664#0,267025#2,20415#-0,4125358#0,6932513#3,033705#-0,07036957#0,241462#2,338885#-0,3510141#0,4375538#2,975225#-0,1389242#0,3981801#2,506452#-0,2968435#0,4686839#2,738574#-0,01770347#0,2472265#2,89195#-0,04459482#0,1547007#2,911347#0,005335092#0,1266228#2,916331#-0,07419184#0,1209222#2,931787#-0,190882#-0,08900942#2,603609#-0,07156017#-0,2957858#2,925914#-0,1537974#-0,3908746#2,858826#-0,1321954#-0,638109#2,884929#-0,1435297#-0,5007306#2,875971#-0,09606873#-0,6998286#2,843736#1  
frame35 #-0,2864943#0,3612695#2,698594#-0,1466849#0,416642#2,760991# -0,1408939#0,4818303#2,107553#-0,4600765#0,653037#3,029088#-0,1274138#0,3955389#2,269386#-0,4202359#0,6004064#3,041773#-0,03395805#0,3161077#2,527395#-0,373242#0,332087#3,061437#0,00734854#0,3760918#2,818842#-0,3039899#0,2896121#2,830297#-0,06464559#0,1935235#2,921482#-0,04408221#0,1374063#2,906805#0,08268902#0,08411009#2,904644#-0,1239804#0,03670217#2,961278#-0,1729821#-0,09492529#2,61693#-0,03068602#-0,3583719#2,861969#-0,1359729#-0,3961771#2,871783#-0,1356441#-0,6345342#2,875949#-0,1344125#-0,5073236#2,881115#-0,1069797#-0,7038393#2,841701#1  
frame36 #-0,2815894#0,4306536#2,590765#-0,1415994#0,4860976#2,653451# -0,06903063#0,5165444#2,218283#-0,3923641#0,5845827#3,141263#-0,1077789#0,4715048#2,249474#-0,352591#0,5320413#3,153927#-0,04611374#0,2964077#2,462813#-0,3047883#0,3573973#2,96577#0,01243407#0,4455474#2,711303#-0,2989044#0,3590677#2,722757#-0,05081033#0,2757008#2,864753#-0,02640108#0,2053526#2,867094#0,07287166#0,1702424#2,922004#-0,07837524#0,1251933#2,893875#-0,1426459#-0,0613628#2,6433#-0,06260149#-0,1917282#2,867279#-0,1057092#-0,3620242#2,897697#-0,1371504#-0,6359572#2,87175#-0,1146584#-0,4730992#2,896253#-0,1085079#-0,7069209#2,841273#1  
frame37 #-0,247032#0,6389023#2,25127#-0,1373767#0,6168537#2,354788# -0,1128255#0,6824455#2,248755#-0,268453#0,5303494#2,870561#-0,1516099#0,6373639#2,279975#-0,242474#0,5317402#2,784224#-0,10508#0,4768287#2,50736#-0,1645371#0,5359126#2,539896#0,01665676#0,5763035#2,412639#-0,2946817#0,4898238#2,424093#-0,1383908#0,3585257#2,734738#-0,1289669#0,2677861#2,780975#-0,04595093#0,2567661#2,842698#-0,2097168#0,1847454#2,830137#-0,3197249#0,1027272#2,56053#-0,05259673#-0,29887#2,8405#-0,3571257#0,1752136#2,938091#-0,1374953#-0,6363913#2,864417#-0,3287843#0,0674325#2,932445#-0,1126076#-0,7123287#2,844002#1  
